start_time,end_time,note_value,velocity,instrument_program_number
0.75,0.8113497,92,50,0
0.8113497,0.8726993,93,43,0
0.8726993,0.934049,92,46,0
0.934049,0.99539864,93,41,0
0.99539864,1.0567484,92,44,0
1.0567484,1.118098,91,40,0
1.118098,1.1794477,97,50,0
1.118098,1.1794477,92,35,0
1.1794477,1.2407973,93,45,0
1.2407973,1.302147,92,37,0
1.302147,1.3941715,88,44,0
1.3941715,1.486196,87,39,0
1.486196,1.5475457,85,35,0
1.486196,1.5475457,92,50,0
1.5475457,1.6088953,87,45,0
1.6088953,1.670245,85,40,0
1.670245,1.7622695,81,45,0
1.7622695,1.854294,80,40,0
1.854294,1.9156437,78,35,0
1.854294,1.9156437,85,50,0
1.9156437,1.9769933,80,45,0
1.9769933,2.038343,78,37,0
2.038343,2.1303675,76,41,0
2.1303675,2.222392,75,37,0
2.222392,2.2837417,73,35,0
2.222392,2.2837417,80,50,0
2.2837417,2.3450913,75,44,0
2.3450913,2.406441,73,37,0
2.406441,2.4984655,69,40,0
2.4984655,2.59049,68,38,0
2.59049,2.6522183,73,50,0
2.59049,2.6522183,66,35,0
2.6522183,2.7139466,68,44,0
2.7139466,2.775675,66,36,0
2.775675,2.8682675,64,40,0
2.8682675,2.96086,63,36,0
2.96086,3.0225883,68,50,0
2.96086,3.0225883,61,35,0
3.0225883,3.0843167,63,44,0
3.0843167,3.146045,61,36,0
3.146045,3.2386374,59,40,0
3.2386374,3.33123,57,35,0
5.613972,6.131213,64,45,0
6.131213,6.191819,92,35,0
6.131213,6.191819,97,50,0
6.191819,6.252425,93,45,0
6.252425,6.313031,92,38,0
6.313031,6.40394,88,43,0
6.40394,6.494849,87,39,0
6.494849,6.555455,85,35,0
6.494849,6.555455,92,50,0
6.555455,6.616061,87,45,0
6.616061,6.676667,85,40,0
6.676667,6.767576,81,43,0
6.767576,6.858485,80,39,0
6.858485,6.919091,78,35,0
6.858485,6.919091,85,50,0
6.919091,6.979697,80,45,0
6.979697,7.040303,78,38,0
7.040303,7.131212,76,42,0
7.131212,7.2221212,75,38,0
7.2221212,7.2827272,80,50,0
7.2221212,7.2827272,73,35,0
7.2827272,7.3433332,75,45,0
7.3433332,7.4039392,73,38,0
7.4039392,7.4948483,69,40,0
7.4948483,7.5857573,68,38,0
7.5857573,7.6463633,73,50,0
7.5857573,7.6463633,66,35,0
7.6463633,7.7069693,68,45,0
7.7069693,7.7675753,66,36,0
7.7675753,7.8584843,64,40,0
7.8584843,7.9493933,63,37,0
7.9493933,8.009999,61,35,0
7.9493933,8.009999,68,50,0
8.009999,8.070605,63,45,0
8.070605,8.131211,61,36,0
8.131211,8.22212,59,40,0
8.22212,8.313029,58,38,0
8.705186,9.476891,63,55,0
10.6264305,11.143671,68,46,0
11.143671,11.203732,97,45,0
11.143671,11.203732,90,31,0
11.203732,11.263791,92,40,0
11.263791,11.323852,90,36,0
11.323852,11.413941,86,38,0
11.413941,11.504031,85,36,0
11.504031,11.564092,90,45,0
11.504031,11.564092,83,31,0
11.564092,11.624151,85,40,0
11.624151,11.684212,83,36,0
11.684212,11.774302,81,39,0
11.774302,11.864391,80,36,0
11.864391,11.924452,85,45,0
11.864391,11.924452,78,30,0
11.924452,11.984511,80,40,0
11.984511,12.044572,78,36,0
12.044572,12.134662,74,39,0
12.134662,12.224751,73,35,0
12.224751,12.284811,71,31,0
12.224751,12.284811,78,45,0
12.284811,12.3448715,73,40,0
12.3448715,12.404931,71,35,0
12.404931,12.495022,69,37,0
12.495022,12.585112,68,36,0
12.585112,12.645171,66,31,0
12.585112,12.645171,73,45,0
12.645171,12.705367,68,40,0
12.705367,12.765699,66,34,0
12.765699,12.856471,62,35,0
12.856471,12.94761,61,30,0
12.94761,13.008586,59,31,0
12.94761,13.008586,66,45,0
13.008586,13.069701,61,40,0
13.069701,13.131004,59,35,0
13.131004,13.223218,57,37,0
13.223218,13.31581,56,32,0
13.67617,14.068229,61,45,0
14.068229,14.466522,63,56,0
14.876897,15.671599,63,37,0
15.671599,16.204931,64,35,0
16.204931,16.266281,97,50,0
16.204931,16.266281,92,35,0
16.266281,16.327631,93,49,0
16.327631,16.38898,92,40,0
16.38898,16.481005,88,45,0
16.481005,16.57303,87,39,0
16.57303,16.63438,85,35,0
16.57303,16.63438,92,50,0
16.63438,16.69573,87,45,0
16.69573,16.757078,85,40,0
16.757078,16.849104,81,44,0
16.849104,16.941128,80,39,0
16.941128,17.002478,85,50,0
16.941128,17.002478,78,35,0
17.002478,17.063828,80,44,0
17.063828,17.125177,78,36,0
17.125177,17.217201,76,42,0
17.217201,17.309225,75,37,0
17.309225,17.370575,80,50,0
