start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.10550622,51,83,1
0.1063865,0.20969443,55,52,1
0.2105565,0.31141275,63,52,1
0.3122545,0.4109943,63,53,1
0.41181666,0.5091461,67,62,1
0.5099631,0.6067654,75,55,1
0.6075771,0.70396054,75,53,1
0.7047696,0.80063623,79,53,1
0.80144006,0.8968931,87,71,1
0.8976969,0.99356097,79,57,1
0.9943674,1.0907482,75,57,1
1.0915599,1.1883596,75,57,1
1.1891739,1.2882339,67,64,1
1.2890756,1.3911905,63,55,1
1.3920556,1.4971776,63,56,1
1.4980705,1.6045934,55,56,1
1.6054324,1.7069719,50,84,1
1.7078222,1.8082224,56,52,1
1.8090613,1.9082315,62,52,1
1.909062,2.0071418,62,52,1
2.0079641,2.105721,68,67,1
2.1065407,2.20387,74,55,1
2.204687,2.3014894,74,53,1
2.302301,2.3986845,80,53,1
2.3994935,2.4954612,86,77,1
2.4962678,2.5926485,80,58,1
2.5934603,2.69026,74,58,1
2.6910741,2.788401,74,58,1
2.7892206,2.8882754,68,66,1
2.8891144,2.9907632,62,58,1
2.991625,3.0961306,62,58,1
3.097017,3.2044163,56,57,1
3.2053287,3.3048272,53,90,1
3.3056633,3.40483,60,59,1
3.4056633,3.504393,65,60,1
3.505221,3.6036243,65,60,1
3.6044495,3.7025285,72,70,1
3.703351,3.8009999,77,61,1
3.8018196,3.899149,77,61,1
3.899966,3.9969778,84,61,1
3.9977922,4.094383,89,78,1
4.095195,4.191994,84,63,1
4.1928086,4.2899246,77,63,1
4.2907414,4.3881755,77,63,1
4.388995,4.487503,72,72,1
4.4883394,4.5898733,65,63,1
4.5907354,4.6954875,65,63,1
4.6963773,4.8045573,60,63,1
4.8054767,4.905309,51,96,1
4.906148,5.0055375,55,62,1
5.006371,5.105319,63,62,1
5.106149,5.2045527,63,63,1
5.205378,5.3033485,67,74,1
5.3041706,5.4016075,75,64,1
5.4024243,5.4994364,75,63,1
5.500251,5.596739,79,63,1
5.597548,5.6939287,87,86,1
5.694741,5.79154,79,67,1
5.7923546,5.8894706,75,67,1
5.8902874,5.9878283,75,67,1
5.988648,6.0875936,67,74,1
6.0884356,6.1910224,63,63,1
6.191897,6.298401,63,63,1
6.299307,6.4097652,55,63,1
6.410698,6.5101967,50,97,1
6.5110326,6.610091,56,59,1
6.610922,6.709652,62,59,1
6.7104797,6.808774,62,59,1
6.809599,6.9074607,68,72,1
6.908283,7.0057197,74,59,1
7.006537,7.1036553,74,58,1
7.1044693,7.201166,80,58,1
7.2019777,7.2982564,86,86,1
7.299065,7.395759,80,61,1
7.3965735,7.4935827,74,60,1
7.4943995,7.5918336,74,60,1
7.5926533,7.690835,68,67,1
7.6916656,7.7925115,62,59,1
7.7933674,7.8973866,62,58,1
7.89827,8.005799,56,57,1
8.006716,8.106214,51,93,1
8.10705,8.206328,56,59,1
8.207162,8.30622,63,59,1
8.307051,8.405888,63,58,1
8.406718,8.505228,68,68,1
8.506056,8.60435,75,58,1
8.605176,8.703255,75,58,1
8.704077,8.801834,80,58,1
8.802653,8.900299,87,75,1
8.901122,8.999089,80,59,1
8.999915,9.098315,75,58,1
9.099143,9.19787,75,58,1
9.198701,9.298531,68,64,1
9.299376,9.401723,63,57,1
9.402592,9.507589,63,57,1
9.508479,9.610284,56,56,1
9.611117,9.718011,48,88,1
9.718904,9.823787,51,55,1
9.824664,9.927614,60,55,1
9.928473,10.029673,60,55,1
10.030517,10.129908,63,59,1
10.230741,10.329907,63,50,1
10.330741,10.429908,60,49,1
10.430741,10.529907,63,56,1
10.130741,10.530741,72,66,1
10.630741,10.729907,63,49,1
10.730741,10.829907,60,48,1
10.830741,10.929908,63,53,1
10.530741,10.930741,70,61,1
11.030741,11.129908,63,46,1
11.130741,11.229063,60,46,1
11.229875,11.32774,62,50,1
10.930741,11.3285675,68,57,1
11.428125,11.527401,62,42,1
11.528237,11.627957,59,42,1
11.628796,11.729075,61,48,1
11.3285675,11.729919,67,56,1
11.8315,11.932804,61,42,1
11.933657,12.035423,58,40,1
12.03628,12.138629,60,46,1
11.729919,12.139491,67,52,1
12.243178,12.346595,60,39,1
12.3474655,12.4513645,57,38,1
12.452239,12.556503,59,42,1
12.139491,12.557389,65,49,1
12.669381,12.789862,59,37,1
12.790903,12.922794,56,35,1
12.557389,12.923942,65,47,1
12.923942,13.030582,51,85,1
13.031472,13.135502,55,56,1
13.136371,13.237803,63,56,1
13.238647,13.337717,63,56,1
13.338542,13.437272,67,64,1
13.4381,13.536393,75,57,1
13.537219,13.634975,75,56,1
13.635795,13.733125,79,56,1
13.733941,13.830951,87,79,1
13.831768,13.929202,79,58,1
13.930021,14.027989,75,58,1
14.028814,14.127214,75,58,1
14.128042,14.226661,67,66,1
14.227499,14.329734,63,56,1
14.330605,14.436856,63,57,1
14.437762,14.544286,55,57,1
14.545124,14.646436,50,91,1
14.647292,14.74826,56,53,1
14.749104,14.848719,62,53,1
14.849552,14.947956,62,53,1
14.948781,15.046538,68,67,1
15.047358,15.144687,74,55,1
15.145504,15.242307,74,53,1
15.243118,15.339501,80,53,1
15.340311,15.436278,86,75,1
15.437085,15.533465,80,58,1
15.534277,15.631077,74,57,1
15.631891,15.7292185,74,57,1
