start_time,end_time,note_value,velocity,instrument_program_number
0.687718,1.178672,69,77,0
1.178672,1.325767,73,70,0
1.031577,1.325767,66,68,0
1.325767,1.46959,74,71,0
1.46959,1.613413,76,71,0
1.325767,1.613413,66,60,0
1.613413,1.762009,78,72,0
1.762009,1.8454583,79,73,0
1.8454583,1.8871828,78,70,0
1.8871828,1.9289075,79,68,0
1.613413,1.9289075,66,61,0
1.9289075,2.2314036,78,76,0
2.2314036,2.3779235,76,74,0
2.3779235,2.5244434,74,74,0
2.2314036,2.5244434,67,62,0
2.5244434,2.6709635,73,73,0
2.6709635,2.8174834,71,72,0
2.5244434,2.8174834,67,62,0
2.8174834,2.9613066,69,74,0
2.9613066,3.1051295,74,70,0
3.1051295,3.2084086,74,74,0
3.2084086,3.3116875,76,70,0
3.3116875,3.4149666,74,70,0
3.1051295,3.4149666,66,62,0
3.4149666,3.566658,73,70,0
3.566658,3.7183495,71,70,0
3.4149666,3.7183495,66,59,0
4.0349226,4.3668175,69,53,0
4.0349226,4.3668175,64,44,0
4.3668175,4.7331624,69,68,0
4.3668175,4.7331624,67,57,0
3.7183495,4.7331624,73,73,0
4.7331624,4.8802576,69,74,0
4.8802576,5.0273523,73,70,0
5.0273523,5.1711755,74,71,0
5.1711755,5.3149986,76,71,0
5.0273523,5.3149986,66,60,0
5.3149986,5.4635944,78,72,0
5.4635944,5.543386,79,73,0
5.543386,5.5832815,78,70,0
5.5832815,5.6231775,79,68,0
5.3149986,5.6231775,66,61,0
5.6231775,5.9256735,78,76,0
5.9256735,6.0721936,76,74,0
6.0721936,6.2187133,74,74,0
5.9256735,6.2187133,67,62,0
6.2187133,6.3652334,73,73,0
6.3652334,6.5117536,71,72,0
6.2187133,6.5117536,67,62,0
6.5117536,6.6555767,69,74,0
6.6555767,6.7993994,73,70,0
6.7993994,6.9026785,73,74,0
6.9026785,7.0059576,74,70,0
7.0059576,7.1092367,73,70,0
6.7993994,7.1092367,67,62,0
7.1092367,7.260928,71,70,0
7.260928,7.4126196,69,70,0
7.1092367,7.4126196,67,59,0
7.7257886,8.043216,66,53,0
7.4126196,8.396239,74,73,0
8.396239,8.546782,69,40,0
8.546782,8.697324,73,39,0
8.043216,8.697324,66,47,0
8.697324,8.84452,74,39,0
8.84452,8.991715,76,39,0
8.697324,8.991715,66,33,0
8.991715,9.143791,78,40,0
9.143791,9.227722,79,40,0
9.227722,9.269687,78,39,0
9.269687,9.311652,79,37,0
8.991715,9.311652,66,33,0
9.311652,9.62125,78,42,0
9.62125,9.771213,76,40,0
9.771213,9.921175,74,40,0
9.62125,9.921175,67,34,0
9.921175,10.071137,73,40,0
10.071137,10.2211,71,40,0
9.921175,10.2211,67,34,0
10.2211,10.368296,69,40,0
10.368296,10.515492,74,39,0
10.515492,10.621195,74,40,0
10.621195,10.726897,76,39,0
10.726897,10.8326,74,39,0
10.515492,10.8326,66,34,0
10.8326,10.987847,73,39,0
10.987847,11.143095,71,39,0
10.8326,11.143095,66,32,0
11.463591,11.805218,69,29,0
11.463591,11.805218,64,24,0
11.805218,12.160395,69,37,0
11.805218,12.160395,67,31,0
11.143095,12.160395,73,40,0
12.160395,12.310937,69,40,0
12.310937,12.461479,73,39,0
12.461479,12.608675,74,39,0
12.608675,12.755871,76,39,0
12.461479,12.755871,66,33,0
12.755871,12.907947,78,40,0
12.907947,12.990921,79,40,0
12.990921,13.032408,78,39,0
13.032408,13.0738945,79,37,0
12.755871,13.0738945,66,33,0
13.0738945,13.383492,78,42,0
13.383492,13.533455,76,40,0
13.533455,13.683417,74,40,0
13.383492,13.683417,67,34,0
13.683417,13.83338,73,40,0
13.83338,13.983342,71,40,0
13.683417,13.983342,67,34,0
13.983342,14.130539,69,40,0
14.130539,14.277735,73,39,0
14.277735,14.383437,73,40,0
14.383437,14.48914,74,39,0
14.48914,14.594843,73,39,0
14.277735,14.594843,67,34,0
14.594843,14.75009,71,39,0
14.75009,14.905337,69,39,0
14.594843,14.905337,67,32,0
15.225834,15.550719,66,29,0
15.550719,15.890354,66,37,0
14.905337,15.890354,74,40,0
15.890354,16.037449,64,73,0
16.037449,16.184544,68,70,0
16.184544,16.328367,69,71,0
16.328367,16.47219,71,71,0
16.184544,16.47219,61,60,0
16.47219,16.620787,73,72,0
16.620787,16.704962,74,73,0
16.704962,16.74705,73,70,0
16.74705,16.789137,74,68,0
16.47219,16.789137,61,61,0
16.789137,17.091633,73,76,0
17.091633,17.238152,71,74,0
17.238152,17.384672,69,74,0
17.091633,17.384672,62,62,0
17.384672,17.531193,68,73,0
17.531193,17.677713,66,72,0
17.384672,17.677713,62,62,0
17.677713,17.821535,64,74,0
17.821535,17.965359,69,70,0
17.965359,18.068638,69,74,0
18.068638,18.171917,71,70,0
18.171917,18.275196,69,70,0
17.965359,18.275196,61,62,0
18.275196,18.426888,68,70,0
18.426888,18.578579,66,70,0
18.275196,18.578579,61,59,0
18.897745,19.22776,64,53,0
18.897745,19.22776,59,44,0
19.22776,19.584011,64,68,0
19.22776,19.584011,62,57,0
18.578579,19.584011,68,73,0
19.584011,19.731106,64,74,0
19.731106,19.878202,68,70,0
19.878202,20.022024,69,71,0
20.022024,20.165848,71,71,0
19.878202,20.165848,61,60,0
20.165848,20.314444,73,72,0
20.314444,20.396948,74,73,0
20.396948,20.4382,73,70,0
20.4382,20.47945,74,68,0
20.165848,20.47945,61,61,0
20.47945,20.781946,73,76,0
20.781946,20.928467,71,74,0
20.928467,21.074987,69,74,0
20.781946,21.074987,62,62,0
21.074987,21.221506,68,73,0
21.221506,21.368027,66,72,0
21.074987,21.368027,62,62,0
21.368027,21.51185,64,74,0
21.51185,21.655672,68,70,0
21.655672,21.758951,68,74,0
21.758951,21.86223,69,70,0
21.86223,21.96551,68,70,0
21.655672,21.96551,62,62,0
21.96551,22.1172,66,70,0
22.1172,22.268892,64,70,0
21.96551,22.268892,62,59,0
22.582062,22.907476,61,53,0
22.268892,23.262653,69,73,0
23.262653,23.413452,64,40,0
23.413452,23.564253,68,39,0
22.907476,23.564253,61,47,0
23.564253,23.7117,69,39,0
23.7117,23.85915,71,39,0
23.564253,23.85915,61,33,0
23.85915,24.016153,73,40,0
24.016153,24.102573,74,40,0
24.102573,24.145782,73,39,0
24.145782,24.188993,74,37,0
23.85915,24.188993,61,33,0
24.188993,24.499104,73,42,0
24.499104,24.64932,71,40,0
24.64932,24.79954,69,40,0
24.499104,24.79954,62,34,0
24.79954,24.949757,68,40,0
24.949757,25.099976,66,40,0
24.79954,25.099976,62,34,0
25.099976,25.247425,64,40,0
25.247425,25.394873,69,39,0
25.394873,25.500755,69,40,0
25.500755,25.606636,71,39,0
25.606636,25.712519,69,39,0
25.394873,25.712519,61,34,0
25.712519,25.86803,68,39,0
25.86803,26.023544,66,39,0
