start_time,end_time,note_value,velocity,instrument_program_number
5.7771587,5.864964,68,37,1
5.864964,5.952941,69,41,1
5.952941,6.0424047,68,38,1
6.0424047,6.1311636,67,39,1
6.1311636,6.2193127,68,40,1
6.2193127,6.307984,73,42,1
6.307984,6.396917,76,43,1
6.396917,6.48524,75,45,1
6.48524,6.5729594,73,43,1
6.5729594,6.6609364,75,45,1
6.6609364,6.7497816,73,43,1
6.7497816,6.8378453,72,44,1
6.8378453,6.926081,73,46,1
6.926081,7.0145764,76,49,1
7.0145764,7.1194277,80,47,1
7.220173,7.3090253,68,45,1
7.3090253,7.397261,69,49,1
7.397261,7.485069,68,45,1
7.485069,7.573564,67,46,1
7.573564,7.661714,68,48,1
7.661714,7.749348,73,50,1
7.749348,7.837671,76,51,1
7.837671,7.926517,75,54,1
7.926517,8.015803,73,51,1
8.015803,8.104386,75,53,1
8.104386,8.192191,73,51,1
8.192191,8.280602,72,52,1
8.280602,8.370066,73,54,1
8.370066,8.458824,76,57,1
8.458824,8.563317,80,55,1
8.664395,8.7547245,69,55,1
8.7547245,8.844497,73,55,1
8.844497,8.933811,75,58,1
8.933811,9.023309,78,61,1
9.023309,9.112531,81,64,1
9.112531,9.201481,85,67,1
9.201481,9.29016,87,70,1
9.29016,9.37788,95,74,1
9.37788,9.465343,93,72,1
9.465343,9.553407,92,71,1
9.553407,9.641902,90,70,1
9.641902,9.730397,88,69,1
9.730397,9.817692,87,68,1
9.817692,9.905928,90,67,1
9.905928,9.994423,85,66,1
9.994423,10.082314,84,68,1
10.082314,10.170206,87,63,1
10.170206,10.258701,81,63,1
10.258701,10.34685,80,63,1
10.34685,10.43457,78,60,1
10.43457,10.522289,81,58,1
10.522289,10.610008,76,54,1
10.610008,10.697728,75,54,1
10.697728,10.785957,78,53,1
10.785957,10.874548,73,48,1
10.874548,10.963407,72,48,1
10.963407,11.052813,75,47,1
11.052813,11.143891,69,45,1
11.143891,11.236905,68,42,1
11.236905,11.331831,71,42,1
11.331831,11.534553,69,41,1
11.534553,11.622443,68,37,1
11.622443,11.710422,69,41,1
11.710422,11.799707,68,38,1
11.799707,11.889259,67,39,1
11.889259,11.978195,68,40,1
11.978195,12.066257,73,42,1
12.066257,12.154234,76,43,1
12.154234,12.24308,75,45,1
12.24308,12.332277,73,43,1
12.332277,12.421035,75,45,1
12.421035,12.509098,73,43,1
12.509098,12.597334,72,44,1
12.597334,12.686004,73,46,1
12.686004,12.774761,76,49,1
12.774761,12.881054,80,47,1
12.981799,13.070557,68,45,1
13.070557,13.159227,70,49,1
13.159227,13.24781,68,45,1
13.24781,13.33692,67,46,1
13.33692,13.425416,68,48,1
13.425416,13.513565,73,50,1
13.513565,13.602763,76,51,1
13.602763,13.692049,75,54,1
13.692049,13.78072,73,51,1
13.78072,13.868955,75,53,1
13.868955,13.957018,73,51,1
13.957018,14.045952,72,52,1
14.045952,14.1349745,73,54,1
14.1349745,14.2235565,76,57,1
14.2235565,14.329849,80,55,1
14.329849,14.430271,75,64,1
14.430271,14.5206,76,58,1
14.5206,14.610373,75,61,1
14.610373,14.699687,74,50,1
14.699687,14.789185,75,56,1
14.789185,14.878407,83,68,1
14.878407,14.967357,82,62,1
14.967357,15.056036,80,65,1
15.056036,15.143761,79,69,1
15.143761,15.231825,88,73,1
15.231825,15.320321,87,72,1
15.320321,15.40873,85,72,1
15.40873,15.496194,83,75,1
15.496194,15.584516,82,69,1
15.584516,15.673012,80,68,1
15.673012,15.761507,79,68,1
15.761507,15.850002,82,72,1
15.850002,15.937895,80,70,1
15.937895,16.025616,83,64,1
16.025616,16.114023,74,57,1
16.114023,16.202518,76,65,1
16.202518,16.289906,75,57,1
16.289906,16.376947,80,63,1
16.376947,16.464666,70,57,1
16.464666,16.552896,73,61,1
16.552896,16.641487,71,59,1
16.641487,16.730347,75,58,1
16.730347,16.819752,67,56,1
16.819752,16.911259,70,60,1
16.911259,17.005177,68,51,1
17.005177,17.101944,67,55,1
17.101944,17.203371,68,50,1
17.203371,17.308222,68,72,1
17.308222,17.411896,80,58,1
17.411896,17.514881,72,59,1
17.514881,17.617184,73,59,1
17.617184,17.718702,66,71,1
17.718702,17.819773,78,60,1
17.819773,17.920673,72,60,1
17.920673,18.02147,73,61,1
18.02147,18.122053,65,75,1
