start_time,end_time,note_value,velocity,instrument_program_number
0.2080445,0.2590372,65,45,0
0.2080445,0.2590372,59,45,0
0.60956573,0.6629922,62,45,0
0.60956573,0.6629922,69,45,0
0.8232715,0.99216753,59,48,0
1.0259467,1.1266314,59,44,0
1.1266314,1.227316,60,44,0
1.227316,1.423651,59,45,0
1.227316,1.423651,65,45,0
1.227316,1.423651,69,45,0
1.423651,1.5872635,57,45,0
1.641801,1.7203295,59,48,0
2.06062,2.2219796,60,43,0
2.06062,2.2219796,69,43,0
2.06062,2.2219796,65,43,0
2.4909124,2.698957,59,48,0
2.698957,2.9029276,60,45,0
2.9029276,3.0029678,62,48,0
3.1030078,3.2030478,64,45,0
2.9029276,3.3030877,69,48,0
2.9029276,3.3030877,72,48,0
3.3030877,3.401863,66,48,0
3.5006382,3.5648725,66,45,0
3.5648725,3.629107,67,44,0
3.629107,3.6933413,66,44,0
3.6933413,3.8934212,64,48,0
3.8934212,4.102831,62,45,0
3.6933413,4.102831,69,42,0
3.6933413,4.102831,72,42,0
4.102831,4.2773385,60,48,0
4.31224,4.486748,62,44,0
4.52165,4.905567,64,44,0
4.52165,4.905567,69,44,0
4.52165,4.905567,72,44,0
4.940469,5.1485133,64,48,0
5.1485133,5.352484,66,45,0
5.352484,5.4494333,68,45,0
5.546383,5.6532354,69,45,0
5.352484,5.7600884,59,48,0
5.7600884,5.931181,66,48,0
5.9653993,6.0673847,66,49,0
6.0673847,6.16937,68,51,0
6.16937,6.36945,62,48,0
6.16937,6.36945,66,55,0
6.36945,6.5330625,64,50,0
6.36945,6.5330625,60,43,0
6.5876,6.7942686,62,48,0
6.5876,6.7942686,66,55,0
7.000937,7.216083,69,57,0
7.000937,7.216083,66,57,0
7.000937,7.216083,62,57,0
7.4312296,7.644935,64,49,0
7.4312296,7.644935,68,49,0
7.644935,7.845015,69,46,0
7.644935,7.845015,66,46,0
7.845015,8.442451,68,49,0
7.845015,8.442451,64,49,0
8.477588,8.678957,69,48,0
8.477588,8.678957,66,48,0
8.678957,9.27125,71,51,0
8.678957,9.27125,68,51,0
9.305924,9.506004,72,50,0
9.305924,9.506004,69,50,0
9.506004,9.948461,68,45,0
9.506004,9.948461,64,45,0
9.948461,10.155129,79,45,0
9.948461,10.155129,76,45,0
10.155129,10.255814,77,43,0
10.155129,10.255814,74,43,0
10.255814,10.356499,79,43,0
10.255814,10.356499,76,43,0
10.356499,10.563167,77,45,0
10.356499,10.563167,74,45,0
10.563167,10.767138,76,42,0
10.563167,10.767138,72,42,0
