start_time,end_time,note_value,velocity,instrument_program_number
1.3487844,3.1786218,79,83,0
3.1786218,3.330137,81,53,0
3.330137,3.4816523,82,53,0
3.4816523,3.6265798,81,53,0
1.3487844,3.6265798,74,70,0
1.3487844,3.6265798,70,70,0
1.3487844,3.6265798,67,70,0
3.6265798,3.7661147,79,56,0
3.7661147,3.90125,81,54,0
3.90125,4.036385,79,54,0
4.036385,4.1715207,77,54,0
4.1715207,4.3091354,74,57,0
4.3091354,4.4436646,77,54,0
4.4436646,4.5781937,74,54,0
4.5781937,4.712723,72,54,0
4.712723,4.850338,70,58,0
4.850338,4.984867,67,54,0
4.984867,5.119396,62,53,0
5.119396,5.2539253,64,53,0
5.2539253,5.3961053,67,52,0
5.3961053,5.540336,65,48,0
5.540336,5.6831937,67,48,0
5.6831937,5.824703,69,47,0
5.2539253,6.401626,60,44,0
5.824703,6.545857,67,47,0
6.545857,6.688037,65,48,0
6.688037,6.8315773,67,49,0
6.8315773,6.9717646,69,52,0
6.9717646,7.1153054,72,53,0
7.1153054,7.256815,69,53,0
7.256815,7.398324,67,53,0
7.398324,7.5372133,65,53,0
6.401626,7.5372133,62,44,0
7.5372133,7.6835546,67,54,0
7.6835546,7.8320694,65,49,0
7.8320694,7.978411,67,51,0
7.978411,8.121268,69,49,0
7.5372133,8.715327,64,45,0
8.121268,8.863842,67,48,0
8.863842,9.010183,65,49,0
9.010183,9.156525,67,51,0
9.156525,9.299382,69,52,0
9.299382,9.451667,74,56,0
9.451667,9.600921,69,54,0
9.600921,9.750174,67,54,0
8.715327,9.899427,62,45,0
9.750174,10.049104,65,54,0
10.049104,10.20511,70,52,0
10.20511,10.356839,74,54,0
10.356839,10.522129,77,57,0
9.899427,10.522129,62,49,0
10.522129,11.1525755,74,47,0
10.522129,11.4786625,81,60,0
11.4786625,11.7978115,79,54,0
11.7978115,12.1103115,77,52,0
12.1103115,12.590844,79,54,0
12.590844,12.753007,77,49,0
12.753007,12.910902,76,51,0
12.910902,13.068796,79,51,0
11.1525755,13.4116535,72,52,0
13.4116535,13.572944,70,49,0
13.572944,13.731674,69,49,0
13.068796,14.057761,77,54,0
14.057761,14.396744,76,46,0
14.396744,14.743565,65,37,0
14.396744,14.743565,74,45,0
14.743565,15.090385,64,36,0
14.743565,15.090385,72,43,0
13.731674,15.090385,70,51,0
16.43917,18.269007,79,83,0
18.269007,18.420523,81,53,0
18.420523,18.572039,82,53,0
18.572039,18.716965,81,53,0
16.43917,18.716965,67,70,0
16.43917,18.716965,70,70,0
16.43917,18.716965,74,70,0
18.716965,18.8565,79,56,0
18.8565,18.991636,81,54,0
18.991636,19.126772,79,54,0
19.126772,19.261906,77,54,0
19.261906,19.39952,74,57,0
19.39952,19.53405,77,54,0
19.53405,19.66858,74,54,0
19.66858,19.803108,72,54,0
19.803108,19.940723,70,58,0
19.940723,20.075253,67,54,0
20.075253,20.209782,62,53,0
20.209782,20.34431,64,53,0
20.34431,20.490652,67,51,0
20.490652,20.63558,65,47,0
20.63558,20.779812,67,48,0
