start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.1329315,82,80,0
0.1329315,0.265863,80,74,0
0.3987945,0.531726,82,74,0
0.531726,0.67165124,77,76,0
0.8115765,0.91127515,82,80,0
1.0774395,1.210371,80,80,0
1.210371,1.3433025,77,80,0
1.4820116,1.6207205,75,74,0
1.6207205,2.1502416,71,80,0
2.2826219,2.4123123,68,80,0
2.4123123,2.5420027,65,79,0
2.5420027,2.6716933,63,84,0
2.6716933,3.2012143,59,86,0
3.3335946,3.4638143,56,80,0
3.4638143,3.594034,53,79,0
3.594034,3.7242537,51,84,0
3.7242537,4.002883,47,86,0
4.002883,4.265465,50,82,0
4.002883,4.265465,55,97,0
5.579459,5.678334,58,40,0
5.579459,5.678334,51,40,0
6.1117263,6.1695566,51,50,0
6.1117263,6.1695566,58,57,0
6.227387,6.285217,51,56,0
6.227387,6.285217,58,64,0
6.606714,6.705589,58,40,0
6.606714,6.705589,51,40,0
7.1340466,7.2329216,58,40,0
7.1340466,7.2329216,51,40,0
7.667522,7.72513,51,50,0
7.667522,7.72513,58,57,0
7.782738,7.8403463,51,56,0
7.782738,7.8403463,58,64,0
8.162715,8.262,58,40,0
8.162715,8.262,51,40,0
8.692236,8.791521,58,32,0
8.692236,8.791521,51,32,0
9.221757,9.32445,58,29,0
9.221757,9.32445,51,29,0
9.4956045,9.623733,70,80,0
9.623733,9.751862,68,74,0
9.751862,9.884241,63,45,0
9.751862,9.884241,59,45,0
9.884241,10.016622,70,74,0
10.016622,10.149002,65,76,0
10.281383,10.380668,70,80,0
10.281383,10.413762,63,45,0
10.281383,10.413762,59,45,0
10.546143,10.674272,68,80,0
10.674272,10.8024,65,80,0
10.8024,10.901275,59,45,0
10.934233,11.066066,63,74,0
11.066066,11.20358,59,80,0
11.341094,11.40701,63,80,0
11.341094,11.40701,59,72,0
11.60476,11.707895,58,80,0
11.742274,11.879787,58,74,0
12.013275,12.146763,60,74,0
12.146763,12.278596,58,76,0
12.410429,12.516302,70,80,0
12.377471,12.516302,63,68,0
12.692756,13.783465,58,80,0
13.783465,13.911594,58,64,0
13.911594,14.039722,56,57,0
14.172103,14.304483,58,56,0
14.304483,14.436864,60,64,0
14.569243,14.6723795,56,53,0
14.844272,14.9724,58,64,0
14.9724,15.100529,56,57,0
15.232908,15.365289,58,56,0
15.365289,15.497669,59,64,0
15.63005,15.733185,56,53,0
15.905077,16.033205,58,64,0
16.033205,16.161333,56,59,0
16.293715,16.393,53,59,0
16.426094,16.558474,51,61,0
16.690855,16.823235,50,65,0
16.955616,17.091373,48,71,0
17.227133,17.366447,43,68,0
17.505762,17.6482,48,76,0
17.790636,17.933071,50,80,0
18.075508,18.203636,70,80,0
18.203636,18.331766,68,74,0
18.331766,18.464146,63,45,0
18.331766,18.464146,59,45,0
18.464146,18.596525,70,74,0
18.596525,18.728907,65,76,0
18.861286,18.960571,70,80,0
18.861286,18.993666,63,45,0
18.861286,18.993666,59,45,0
19.126047,19.254175,68,80,0
19.254175,19.382303,65,80,0
19.382303,19.481178,59,45,0
19.514137,19.64597,63,74,0
19.64597,19.783484,59,80,0
19.920998,19.986914,63,80,0
19.920998,19.986914,59,72,0
20.184664,20.2878,58,80,0
20.322178,20.459692,58,74,0
20.59318,20.726667,60,74,0
20.726667,20.8585,58,76,0
20.990334,21.096205,70,80,0
20.957375,21.096205,63,68,0
21.27266,22.363369,58,80,0
22.363369,22.459467,58,55,0
22.491499,22.619627,58,49,0
22.752007,22.884388,60,53,0
22.884388,23.016768,58,61,0
23.149147,23.252283,61,53,0
23.424175,23.520271,63,64,0
23.680431,23.779716,65,61,0
23.945192,24.044477,63,65,0
24.209953,24.309238,66,71,0
24.474714,24.577848,65,80,0
24.612228,24.74974,65,74,0
24.883228,25.016716,67,74,0
25.016716,25.247425,65,76,0
25.280382,25.386255,74,80,0
25.247425,25.386255,67,68,0
25.56271,26.15083,62,72,0
25.56271,26.15083,70,85,0
26.15083,26.44489,94,106,0
26.15083,26.44489,82,90,0
26.738949,26.867077,63,64,0
26.738949,26.867077,60,54,0
26.867077,27.127586,65,57,0
26.867077,27.127586,62,48,0
27.127586,27.259966,67,56,0
27.127586,27.259966,63,47,0
27.259966,27.359251,65,64,0
27.259966,27.359251,62,54,0
27.524727,27.631363,63,53,0
27.524727,27.631363,60,45,0
28.388798,28.678652,82,54,0
28.388798,28.678652,94,64,0
27.809088,28.968508,62,45,0
27.809088,28.968508,65,53,0
28.968508,29.096636,63,64,0
28.968508,29.096636,60,54,0
29.096636,29.357145,65,57,0
29.096636,29.357145,62,48,0
29.357145,29.489525,67,56,0
29.357145,29.489525,63,47,0
29.489525,29.621904,65,64,0
29.489525,29.621904,62,54,0
29.754286,29.858936,63,53,0
29.754286,29.858936,60,45,0
30.033356,30.16972,62,45,0
30.033356,30.16972,65,53,0
30.306084,30.58386,63,53,0
30.306084,30.58386,60,53,0
30.58386,30.850527,65,53,0
30.58386,30.850527,62,53,0
30.850527,30.98386,72,53,0
30.850527,30.98386,70,53,0
30.850527,30.98386,67,53,0
31.117193,33.25747,63,42,0
31.117193,33.25747,60,36,0
31.117193,33.25747,56,36,0
33.25747,34.342373,63,36,0
33.25747,34.342373,60,30,0
33.25747,34.342373,55,30,0
34.4705,34.59863,46,65,0
34.59863,34.734375,48,65,0
34.734375,34.87012,50,67,0
34.87012,35.01505,48,68,0
35.159977,35.272476,46,62,0
35.459976,35.588104,63,64,0
35.459976,35.588104,60,54,0
35.588104,35.848614,65,57,0
35.588104,35.848614,62,48,0
35.848614,35.980995,67,56,0
35.848614,35.980995,63,47,0
35.980995,36.08028,65,64,0
35.980995,36.08028,62,54,0
36.245754,36.35239,63,53,0
36.245754,36.35239,60,45,0
37.109825,37.39968,82,54,0
37.109825,37.39968,94,64,0
36.530113,37.689533,62,45,0
36.530113,37.689533,65,53,0
37.689533,37.81766,63,64,0
37.689533,37.81766,60,54,0
37.81766,38.07817,65,57,0
37.81766,38.07817,62,48,0
38.07817,38.210552,67,56,0
38.07817,38.210552,63,47,0
38.210552,38.342934,65,64,0
38.210552,38.342934,62,54,0
38.47531,38.579964,63,53,0
38.47531,38.579964,60,45,0
38.754383,38.890747,62,45,0
38.754383,38.890747,65,53,0
39.02711,39.304886,63,53,0
39.02711,39.304886,60,53,0
39.304886,39.571556,65,53,0
39.304886,39.571556,62,53,0
39.571556,39.704887,72,53,0
39.571556,39.704887,70,53,0
39.571556,39.704887,67,53,0
39.838223,39.971153,82,80,0
39.971153,40.104084,80,74,0
40.237015,40.369946,82,74,0
40.369946,40.509872,77,76,0
40.649796,40.749496,82,80,0
40.91566,41.04859,80,80,0
41.04859,41.181522,77,80,0
39.838223,41.458942,75,60,0
41.320232,41.458942,75,74,0
39.838223,41.458942,71,60,0
41.458942,41.98846,71,80,0
42.120842,42.25106,68,80,0
42.25106,42.381283,65,79,0
42.381283,42.5115,63,84,0
42.5115,42.650818,59,86,0
42.79013,43.05271,50,82,0
42.79013,43.05271,55,97,0
43.31638,43.415253,58,40,0
43.31638,43.415253,51,40,0
43.84371,43.954548,58,40,0
43.84371,43.954548,51,40,0
45.455578,45.55445,58,39,0
45.455578,45.55445,51,39,0
45.98291,46.093746,58,36,0
45.98291,46.093746,51,36,0
47.594776,47.69365,58,39,0
47.594776,47.69365,51,39,0
48.12211,48.232944,58,36,0
48.12211,48.232944,51,36,0
49.6712,49.738163,57,25,0
49.738163,49.805126,58,25,0
49.738163,49.805126,61,30,0
50.206913,50.273876,57,25,0
50.273876,50.340843,58,25,0
50.273876,50.340843,61,30,0
50.742626,50.809593,55,25,0
50.809593,50.87567,59,33,0
50.809593,50.87567,56,28,0
51.267876,51.33253,56,25,0
51.33253,51.397186,57,32,0
51.33253,51.397186,60,38,0
51.33253,51.397186,65,38,0
51.79204,51.859005,57,25,0
51.859005,51.925972,58,25,0
51.859005,51.925972,61,30,0
52.327755,52.394722,57,25,0
52.394722,52.461685,58,25,0
52.394722,52.461685,61,30,0
52.863472,52.930435,55,25,0
52.930435,52.996513,59,33,0
52.930435,52.996513,56,28,0
53.388718,53.453373,56,25,0
53.453373,53.51803,57,32,0
53.453373,53.51803,60,38,0
53.453373,53.51803,65,38,0
53.912884,53.97985,57,25,0
53.97985,54.046814,58,25,0
53.97985,54.046814,61,30,0
55.267605,55.33226,57,25,0
55.33226,55.396915,61,33,0
55.33226,55.396915,58,28,0
57.408943,57.476723,48,21,0
57.476723,57.54538,51,27,0
57.476723,57.54538,47,22,0
58.24681,58.313778,57,25,0
58.313778,58.38074,58,25,0
58.313778,58.38074,61,30,0
58.782528,58.84949,57,25,0
58.84949,58.916454,58,25,0
58.84949,58.916454,61,30,0
59.31824,59.385204,55,25,0
59.385204,59.451283,59,33,0
59.385204,59.451283,56,28,0
59.843487,59.908142,56,25,0
59.908142,59.972797,57,32,0
59.908142,59.972797,60,38,0
59.908142,59.972797,65,38,0
60.367657,60.43462,57,25,0
60.43462,60.501583,58,25,0
60.43462,60.501583,61,30,0
60.90337,60.970333,57,25,0
60.970333,61.037296,58,25,0
60.970333,61.037296,61,30,0
61.439083,61.506046,55,25,0
61.506046,61.57213,59,33,0
61.506046,61.57213,56,28,0
61.96433,62.028984,56,25,0
62.028984,62.09364,57,32,0
62.028984,62.09364,60,38,0
62.028984,62.09364,65,38,0
62.4885,62.55546,57,25,0
62.55546,62.622425,58,25,0
62.55546,62.622425,61,30,0
65.65671,66.82513,65,63,0
65.00806,66.82513,57,46,0
66.82513,67.301315,58,68,0
66.82513,67.301315,64,68,0
67.624954,67.691734,74,25,0
67.691734,67.75781,75,33,0
67.691734,67.75781,71,28,0
67.88998,67.956055,72,25,0
67.956055,68.020706,73,33,0
67.956055,68.020706,71,28,0
68.15002,68.214676,74,25,0
68.214676,68.27933,71,38,0
68.214676,68.27933,75,38,0
67.301315,68.4733,59,41,0
67.301315,68.4733,63,49,0
68.66726,68.73405,74,25,0
68.73405,68.800125,75,33,0
68.73405,68.800125,71,28,0
68.93228,68.99836,72,25,0
68.99836,69.06302,73,33,0
68.99836,69.06302,71,28,0
69.19233,69.25698,74,25,0
69.25698,69.32164,71,38,0
69.25698,69.32164,75,38,0
70.681496,71.849915,65,63,0
71.849915,72.3261,64,68,0
70.032845,72.3261,57,46,0
72.649734,72.71652,74,25,0
72.71652,72.7826,75,33,0
72.71652,72.7826,70,28,0
72.91476,72.98084,72,25,0
72.98084,73.045494,73,33,0
72.98084,73.045494,70,28,0
73.174805,73.23946,74,25,0
73.23946,73.304115,70,38,0
73.23946,73.304115,75,38,0
72.3261,73.49808,58,41,0
72.3261,73.49808,63,49,0
73.69205,73.758835,74,25,0
73.758835,73.82491,75,33,0
73.758835,73.82491,70,28,0
73.95707,74.02315,72,25,0
74.02315,74.08781,73,33,0
74.02315,74.08781,70,28,0
74.21712,74.28177,74,25,0
74.28177,74.34643,70,38,0
74.28177,74.34643,75,38,0
75.05763,75.706276,69,50,0
75.706276,76.07438,77,63,0
76.07438,76.874695,80,74,0
76.874695,77.35089,78,68,0
77.35089,77.48031,75,68,0
77.35089,77.60973,70,57,0
77.48031,77.73915,78,74,0
77.73915,77.878174,77,68,0
77.60973,77.878174,68,72,0
77.878174,78.13702,66,66,0
78.13702,78.40511,65,57,0
77.878174,78.40511,73,78,0
78.40511,78.542854,68,57,0
78.40511,78.680595,63,48,0
78.542854,78.829994,71,61,0
78.829994,79.006676,70,57,0
78.680595,79.006676,61,55,0
79.006676,79.694176,61,50,0
79.32787,80.06048,58,42,0
79.006676,80.7511,59,42,0
80.42677,81.83568,57,46,0
81.075424,82.24384,65,63,0
82.24384,82.72003,64,68,0
81.83568,82.72003,58,68,0
83.04367,83.11045,74,25,0
83.11045,83.17654,75,33,0
83.11045,83.17654,71,28,0
83.30869,83.37477,72,25,0
83.37477,83.43942,73,33,0
83.37477,83.43942,71,28,0
83.56873,83.63339,74,25,0
83.63339,83.698044,71,38,0
83.63339,83.698044,75,38,0
82.72003,83.89201,59,41,0
82.72003,83.89201,63,49,0
85.08482,86.25324,65,63,0
86.25324,86.72943,64,53,0
84.43617,86.72943,57,46,0
87.05306,87.11985,74,25,0
87.11985,87.18593,75,33,0
87.11985,87.18593,70,28,0
87.31809,87.38417,72,25,0
87.38417,87.44882,73,33,0
87.38417,87.44882,70,28,0
87.57813,87.64279,74,25,0
87.64279,87.70744,70,38,0
87.64279,87.70744,75,38,0
86.72943,87.901405,58,41,0
86.72943,87.901405,63,49,0
88.41865,89.0673,73,50,0
89.0673,89.435394,81,63,0
89.435394,90.23572,83,74,0
90.23572,90.71191,82,68,0
90.71191,90.84133,77,68,0
90.71191,90.97075,70,57,0
90.84133,91.100174,80,74,0
91.100174,91.23919,78,68,0
90.97075,91.23919,68,72,0
91.23919,91.49804,66,66,0
91.49804,91.76613,65,57,0
91.23919,91.76613,75,78,0
91.76613,91.8976,70,57,0
91.8976,92.17178,73,61,0
92.17178,92.3145,71,57,0
92.3145,92.70547,65,50,0
92.70547,92.88839,66,50,0
95.52811,95.66028,70,43,0
95.66028,95.93427,68,47,0
95.93427,96.208275,70,41,0
96.61329,96.7443,70,43,0
96.7443,97.01582,68,47,0
97.01582,97.31733,70,41,0
92.88839,97.31733,63,31,0
92.88839,97.31733,59,31,0
92.88839,97.31733,54,31,0
97.31733,98.4137,54,31,0
98.82469,98.95923,70,34,0
98.95923,99.24497,68,39,0
99.24497,99.530716,70,34,0
99.95933,100.12509,70,33,0
100.12509,100.48229,68,40,0
100.48229,100.84161,70,32,0
98.4137,100.84161,53,31,0
97.31733,100.84161,61,31,0
97.31733,100.84161,59,31,0
100.84161,100.97899,70,39,0
100.97899,101.11636,68,34,0
101.25374,101.39111,70,42,0
101.39111,101.537186,65,45,0
101.68326,101.78676,70,48,0
101.95927,102.10463,68,39,0
102.10463,102.24999,65,34,0
102.395355,102.540726,63,42,0
102.540726,102.70082,59,45,0
102.86092,102.9755,63,48,0
103.16646,103.26959,58,80,0
103.30397,103.44148,58,74,0
103.574974,103.70846,60,74,0
103.70846,103.840294,58,76,0
103.97213,104.077995,70,80,0
103.93917,104.077995,63,68,0
104.254456,105.34516,58,80,0
105.34516,105.47329,58,64,0
