start_time,end_time,note_value,velocity,instrument_program_number
5.000004,5.240745,58,100,40
5.277782,5.5185227,67,100,40
5.55556,5.796301,63,100,40
5.833338,6.074079,70,100,40
6.111116,6.907413,68,100,40
6.94445,7.185191,67,100,40
7.222228,7.462969,65,100,40
7.500006,7.740747,63,100,40
7.777784,8.018525,65,100,40
8.055562,8.175933,65,100,40
8.194451,8.314821,67,100,40
8.33334,8.819451,65,100,40
9.444452,9.685193,58,100,40
9.72223,9.962971,67,100,40
10.000008,10.240749,63,100,40
10.277786,10.518527,70,100,40
10.555564,11.351861,68,100,40
11.388898,11.629639,67,100,40
11.666676,11.907417,65,100,40
11.944454,12.185195,63,100,40
12.222232,12.462973,65,100,40
12.50001,12.62038,65,100,40
12.638899,12.75927,67,100,40
12.777788,13.2639,65,100,40
13.8889,14.129641,63,100,40
14.166678,14.407419,67,100,40
14.444456,14.685197,70,100,40
14.722234,14.962975,75,100,40
15.000012,15.7963085,74,100,40
16.111124,16.351866,63,100,40
16.388903,16.629642,67,100,40
16.66668,16.907421,70,100,40
16.944458,17.1852,75,100,40
17.222237,17.708347,74,100,40
17.777792,18.018534,72,100,40
18.333347,18.57409,63,100,40
18.611126,18.851868,65,100,40
18.888905,19.129644,67,100,40
19.166681,19.407423,74,100,40
19.44446,20.240757,72,100,40
20.555573,20.796312,63,100,40
20.83335,21.074091,65,100,40
21.111128,21.35187,67,100,40
21.388906,21.629646,74,100,40
21.666683,22.46298,72,100,40
22.500017,22.740759,74,100,40
22.777796,23.574093,72,100,40
23.61113,23.851871,74,100,40
23.888908,24.685205,72,100,40
24.722242,24.962982,74,100,40
25.00002,25.24076,72,100,40
25.277798,25.51854,74,100,40
25.555576,25.796316,72,100,40
25.833355,26.074095,74,100,40
26.111132,26.351873,72,100,40
26.38891,26.62965,74,100,40
26.666689,26.907429,75,100,40
27.222244,27.462984,63,100,40
27.500023,27.740763,72,100,40
27.7778,28.018541,68,100,40
28.055578,28.296318,77,100,40
28.333357,29.129652,75,100,40
29.16669,29.40743,72,100,40
29.444468,29.68521,70,100,40
29.722246,29.962986,68,100,40
30.000025,30.240765,70,100,40
30.277802,30.398172,70,100,40
30.41669,30.537062,72,100,40
30.55558,31.04169,70,100,40
31.666693,31.907433,63,100,40
31.94447,32.18521,72,100,40
32.222248,32.46299,68,100,40
32.500027,32.74077,77,100,40
32.777805,33.5741,75,100,40
33.611137,33.85188,72,100,40
33.888916,34.129658,70,100,40
34.166695,34.407436,68,100,40
34.444473,34.68521,70,100,40
34.72225,34.84262,70,100,40
34.861137,34.98151,72,100,40
35.000027,35.48614,70,100,40
36.11114,36.35188,63,100,40
36.38892,36.629658,72,100,40
36.666695,36.907436,68,100,40
36.944473,37.185215,77,100,40
37.22225,38.018547,75,100,40
38.333363,38.574104,65,100,40
38.61114,38.851883,72,100,40
38.88892,39.12966,69,100,40
39.1667,39.287067,77,100,40
39.305588,39.425957,78,100,40
39.444477,40.240772,77,100,40
40.555588,40.79633,65,100,40
