start_time,end_time,note_value,velocity,instrument_program_number
0.488095,1.1825387,60,49,40
0.964285,1.6587287,62,49,40
1.440475,2.1349187,63,49,40
1.916665,2.2738075,58,49,40
2.15476,2.2738075,58,49,40
2.2738075,2.392855,61,49,40
2.392855,2.4871008,60,49,40
2.63095,2.725196,58,49,40
2.869045,3.345235,56,55,40
3.345235,3.821425,55,49,40
3.821425,4.2876945,58,49,40
4.05952,4.297615,63,49,40
4.297615,4.753964,60,49,40
4.773805,5.2301536,62,49,40
5.249995,5.96428,63,49,40
5.96428,6.078367,63,49,40
6.0833273,6.202375,72,49,40
6.202375,6.296621,70,49,40
6.44047,6.4851127,69,49,40
6.5595174,6.6041603,67,49,40
6.678565,7.154755,66,55,40
7.154755,7.630945,58,49,40
7.154755,7.630945,62,49,40
8.107135,8.8015785,60,49,40
8.583325,9.277769,62,49,40
9.059515,9.753959,63,49,40
9.535705,9.892847,58,49,40
9.7738,9.892847,58,49,40
9.892847,10.011895,61,49,40
10.011895,10.106141,60,49,40
10.24999,10.344236,58,49,40
10.488085,10.964275,56,55,40
10.964275,11.440465,55,49,40
11.440465,11.906734,58,49,40
11.67856,11.916655,63,49,40
11.916655,12.373004,60,49,40
12.392845,12.849194,62,49,40
12.869035,13.58332,63,49,40
13.58332,13.697407,63,49,40
13.702368,13.821415,72,49,40
13.821415,13.915661,70,49,40
14.05951,14.104153,69,49,40
14.178557,14.2232,67,49,40
14.297605,14.773795,66,55,40
14.773795,15.249985,58,49,40
14.773795,15.249985,62,49,40
15.48808,15.532722,67,49,40
15.607127,15.651771,68,49,40
15.726175,15.96427,70,49,40
15.96427,16.44046,70,49,40
16.44046,16.678555,64,49,40
16.678555,16.91665,67,49,40
16.91665,17.39284,65,55,40
17.39284,17.511887,67,49,40
17.511887,17.630936,68,49,40
17.630936,17.86903,70,49,40
17.86903,18.34522,70,55,40
18.34522,18.583315,64,49,40
18.583315,18.82141,67,49,40
18.82141,19.2976,65,55,40
19.2976,19.416647,65,49,40
19.416647,19.535694,67,49,40
19.535694,19.77379,68,49,40
19.77379,20.24998,68,49,40
20.24998,20.488075,62,49,40
20.488075,20.72617,65,49,40
20.72617,21.20236,63,55,40
21.20236,21.321407,65,49,40
21.321407,21.440454,67,49,40
21.440454,21.67855,68,49,40
21.67855,22.15474,68,55,40
22.15474,22.392836,62,49,40
22.392836,22.63093,65,49,40
22.63093,23.10712,63,49,40
23.10712,23.226168,65,49,40
23.226168,23.345215,67,49,40
23.345215,23.464262,68,49,40
23.464262,23.58331,67,49,40
23.58331,23.702358,65,49,40
24.0595,24.178547,65,49,40
24.178547,24.297594,67,49,40
24.297594,24.416643,68,49,40
24.416643,24.53569,67,49,40
24.53569,24.654737,65,49,40
25.01188,25.130928,65,49,40
25.130928,25.249975,67,49,40
25.249975,25.369022,68,49,40
25.369022,25.48807,67,49,40
25.48807,25.607117,65,49,40
25.607117,25.726166,62,49,40
25.726166,25.845213,68,49,40
25.845213,25.96426,67,49,40
25.96426,26.083307,65,49,40
26.083307,26.202354,62,49,40
26.202354,26.321402,68,49,40
26.321402,26.44045,67,49,40
26.44045,26.559498,65,49,40
26.559498,26.678545,62,49,40
26.678545,26.797592,68,49,40
26.797592,26.91664,67,49,40
26.91664,27.035688,65,49,40
27.035688,27.154736,62,49,40
27.154736,27.630924,68,49,40
27.630924,29.29759,62,49,40
30.964254,31.440445,72,49,40
31.440445,31.67854,74,49,40
31.67854,31.916636,75,49,40
31.916636,32.15473,75,49,40
32.15473,32.392826,70,49,40
32.392826,32.63092,67,49,40
32.63092,32.869015,63,49,40
32.869015,33.10711,60,49,40
33.10711,33.345203,62,49,40
33.345203,33.5833,65,55,40
33.5833,33.702347,63,49,40
33.702347,33.821396,62,49,40
33.821396,34.05949,63,49,40
34.05949,34.297585,65,49,40
34.297585,34.53568,67,49,40
34.53568,34.773773,70,49,40
34.773773,35.01187,60,49,40
35.01187,35.249966,62,49,40
35.249966,35.48806,65,49,40
35.48806,35.60711,63,49,40
35.60711,35.726154,62,49,40
35.726154,35.96425,63,49,40
35.96425,36.202347,65,49,40
36.202347,36.44044,58,49,40
36.44044,36.678535,70,49,40
36.678535,36.91663,60,49,40
36.91663,37.154724,62,49,40
