start_time,end_time,note_value,velocity,instrument_program_number
9.534576,9.694151,69,80,40
9.694151,12.055853,81,80,40
12.087768,12.726066,79,80,40
12.726066,13.045215,77,80,40
13.045215,13.348407,74,80,40
13.364364,15.58245,74,80,40
15.598407,15.901599,69,80,40
15.917556,16.236706,69,80,40
16.236706,16.539896,74,80,40
16.555855,16.875004,74,80,40
16.875004,17.178194,76,80,40
17.194153,18.470749,77,80,40
18.470749,19.077131,74,80,40
19.109047,19.188833,72,80,40
19.188833,19.268621,74,80,40
19.268621,19.348408,72,80,40
19.348408,19.428196,74,80,40
19.428196,20.385641,72,80,40
20.385641,20.70479,69,70,40
20.70479,21.018621,72,70,40
21.02394,22.9016,74,70,40
23.577131,23.736706,74,80,40
23.736706,23.89628,69,80,40
23.89628,24.055855,71,80,40
24.055855,24.21543,73,80,40
24.21543,24.321814,74,92,40
24.321814,24.428196,76,92,40
24.428196,24.534578,77,92,40
24.534578,24.694153,79,92,40
24.694153,24.853727,80,92,40
24.853727,25.013302,69,120,40
25.013302,27.375006,81,80,40
27.40692,28.045218,79,80,40
28.045218,28.364367,77,80,40
28.364367,28.667559,74,80,40
28.683516,30.901602,74,80,40
30.917559,31.22075,69,80,40
31.236708,31.555857,69,80,40
31.555857,31.859049,74,92,40
31.875006,32.194157,76,92,40
32.194157,32.497345,77,92,40
32.513306,33.7899,79,92,40
33.7899,34.10905,77,92,40
34.10905,34.41224,76,92,40
34.4282,35.492027,76,92,40
35.54522,35.91756,65,92,40
35.704796,35.91756,74,92,40
35.91756,36.130325,72,92,40
36.130325,36.332455,69,92,40
36.343094,38.162243,64,70,40
36.343094,38.877552,72,70,40
40.229,40.54815,74,63,40
40.54815,41.05879,77,63,40
41.186447,41.569427,77,63,40
41.824745,42.016235,77,63,40
42.143894,42.463043,74,63,40
42.463043,42.973682,77,63,40
43.10134,43.48432,77,63,40
43.73964,43.93113,77,63,40
44.05879,44.377937,74,63,40
44.377937,44.888577,77,63,40
45.016235,45.399216,77,63,40
45.654533,45.846024,77,63,40
45.973682,46.29283,74,63,40
46.29283,46.80347,77,63,40
46.93113,47.31411,77,63,40
47.569427,47.760918,77,63,40
47.888577,48.207726,74,63,40
48.207726,48.718365,77,63,40
48.846024,49.229004,77,63,40
49.48432,49.67581,77,63,40
49.80347,50.12262,72,63,40
50.12262,50.63326,77,63,40
50.760918,51.143898,77,63,40
51.399216,51.590706,77,63,40
51.718365,52.037514,74,63,40
52.037514,52.548153,77,63,40
52.67581,53.058792,77,63,40
53.31411,53.5056,77,63,40
53.63326,53.952408,74,63,40
53.952408,54.463047,77,63,40
54.590706,54.973682,77,63,40
55.229004,55.420494,77,63,40
55.548153,55.867302,74,83,40
55.867302,56.37794,77,63,40
56.5056,56.888577,77,63,40
57.143898,57.33539,77,63,40
57.463047,57.782196,74,63,40
57.782196,58.292835,77,63,40
58.420494,58.80347,77,63,40
59.058792,59.250282,77,63,40
59.37794,59.69709,74,63,40
59.69709,60.20773,77,63,40
60.33539,60.718365,77,63,40
60.973686,61.165176,77,63,40
61.292835,61.611984,74,63,40
61.611984,62.122623,77,63,40
62.250282,62.56943,77,70,40
62.56943,62.88858,79,70,40
62.88858,63.143898,81,70,40
63.20773,63.52688,72,80,40
63.52688,64.03751,76,80,40
64.16518,64.54816,76,80,40
64.803474,64.994965,76,80,40
65.12262,65.44177,72,80,40
65.44177,65.95241,76,80,40
66.08007,66.46305,76,92,40
66.71837,66.90986,84,92,40
67.03751,67.35667,72,80,40
67.35667,67.8673,76,80,40
67.994965,68.377945,76,80,40
68.63326,68.82475,76,70,40
68.95241,69.278496,72,63,40
69.278496,69.80024,76,63,40
69.93067,70.323425,76,63,40
70.590096,70.79009,76,63,40
70.92342,72.20002,79,63,40
70.92342,72.20002,70,63,40
72.20002,72.51917,77,63,40
72.51917,72.77449,76,63,40
72.83832,74.05109,70,63,40
72.83832,74.05109,79,63,40
74.114914,74.32768,77,63,40
74.32768,74.54044,81,63,40
74.114914,74.71066,69,63,40
74.54044,74.71066,76,63,40
74.75321,76.668106,70,63,40
74.75321,76.668106,79,63,40
77.9447,78.455345,79,70,40
78.583,79.8596,79,70,40
78.583,79.8596,70,70,40
79.8596,80.17875,77,70,40
80.17875,80.43407,76,70,40
80.497894,81.71066,70,80,40
80.497894,81.71066,79,80,40
81.77449,81.92875,69,80,40
