start_time,end_time,note_value,velocity,instrument_program_number
1.42857,1.5451373,60,127,45
1.7857125,1.9022799,55,127,45
2.142855,2.2594223,60,127,45
2.142855,2.2594223,67,127,45
2.4999976,2.6165648,55,127,45
2.85714,2.9737074,60,127,45
4.28571,4.4022775,60,127,45
4.6428523,4.75942,55,127,45
4.999995,5.1165624,60,127,45
4.999995,5.1165624,67,127,45
5.3571377,5.473705,55,127,45
5.71428,5.8308473,60,127,45
7.14285,7.2594175,60,127,45
7.4999924,7.61656,55,127,45
7.857135,7.9737024,60,127,45
7.857135,7.9737024,67,127,45
8.214277,8.330845,55,127,45
8.57142,8.687987,60,127,45
9.642847,9.759415,55,127,45
9.99999,10.116557,60,127,45
10.357133,10.4737,55,127,45
10.714275,10.830842,60,127,45
10.714275,10.830842,67,127,45
11.071418,11.187984,55,127,45
11.42856,11.545127,60,127,45
13.2142725,13.33084,65,127,45
13.571415,13.687983,60,127,45
14.642842,14.75941,65,127,45
14.999985,15.11812,60,127,45
15.375416,15.507347,60,127,45
15.796574,15.913141,60,127,45
16.153717,16.270285,60,127,45
16.510859,16.627426,61,127,45
17.582287,17.698854,61,127,45
17.939428,18.055996,62,127,45
18.296572,18.41314,62,127,45
19.367998,19.484566,62,127,45
23.37887,23.495438,55,127,45
23.736013,23.852581,60,127,45
23.736013,23.852581,67,127,45
24.093155,24.209723,55,127,45
24.450298,24.566866,60,127,45
25.521725,25.638292,55,127,45
25.878868,25.995436,60,127,45
26.236012,26.352577,55,127,45
26.593153,26.70972,60,127,45
26.593153,26.70972,67,127,45
26.950296,27.066862,55,127,45
27.307438,27.424006,60,127,45
29.093151,29.209719,65,127,45
29.450293,29.56686,60,127,45
30.52172,30.638288,65,127,45
30.878862,30.99543,60,127,45
31.236006,31.352573,60,127,45
31.593147,31.709715,60,127,45
31.95029,32.066856,60,127,45
32.307434,32.424,61,127,45
33.021717,33.138287,63,127,45
33.37886,33.495426,63,127,45
33.736004,33.85257,62,127,45
34.093147,34.209713,62,127,45
34.450287,34.566856,61,127,45
35.164574,35.281918,61,127,45
83.60029,83.71686,60,127,45
83.957436,84.074005,55,127,45
84.314575,84.431145,60,127,45
84.314575,84.431145,67,127,45
84.67172,84.788284,55,127,45
85.02886,85.14543,60,127,45
86.10029,86.21686,55,127,45
86.45743,86.574,60,127,45
86.814575,86.931145,55,127,45
87.171715,87.288284,60,127,45
87.171715,87.288284,67,127,45
87.52886,87.645424,55,127,45
87.886,88.00257,60,127,45
89.671715,89.788284,65,127,45
90.028854,90.145424,60,127,45
91.10028,91.21685,65,127,45
91.45743,91.574,60,127,45
91.81457,91.93114,60,127,45
92.171715,92.28828,60,127,45
92.528854,92.645424,60,127,45
92.885994,93.00256,61,127,45
93.95742,94.07399,62,127,45
94.67171,94.78828,61,127,45
95.385994,95.50256,60,127,45
143.24309,143.41917,57,127,45
143.24309,143.41917,62,127,45
143.24309,143.41917,69,127,45
144.67166,144.84775,57,127,45
144.67166,144.84775,62,127,45
144.67166,144.84775,69,127,45
146.10023,146.27632,57,127,45
146.10023,146.27632,62,127,45
146.10023,146.27632,69,127,45
147.5288,147.7049,57,127,45
147.5288,147.7049,62,127,45
147.5288,147.7049,69,127,45
148.95737,149.13345,57,127,45
148.95737,149.13345,62,127,45
148.95737,149.13345,69,127,45
150.38594,150.56203,60,127,45
150.38594,150.56203,69,127,45
151.81451,151.9906,60,127,45
151.81451,151.9906,69,127,45
155.0288,155.20488,58,127,45
157.88593,158.06203,58,127,45
210.73708,210.8694,60,127,45
21.153711,21.270279,62,127,40
21.510855,21.686945,63,127,40
35.916943,36.155037,70,127,40
36.155037,36.39313,68,127,40
36.39313,36.631226,66,127,40
36.631226,36.86932,65,127,40
36.86932,37.107418,66,127,40
37.107418,37.345512,68,127,40
37.345512,37.8217,70,127,40
37.8217,38.059795,70,127,40
38.059795,38.535988,75,127,40
38.535988,38.734398,70,127,40
38.774082,39.488365,70,127,40
39.488365,40.143127,69,127,40
40.202652,41.571697,66,127,40
48.059788,48.297882,70,127,40
48.297882,48.535976,68,127,40
48.535976,48.77407,66,127,40
48.77407,49.012165,65,127,40
49.012165,49.250263,66,127,40
49.250263,49.488358,68,127,40
49.488358,49.90502,70,127,40
49.964546,50.20264,70,127,40
50.20264,50.678833,75,127,40
50.678833,50.877243,70,127,40
50.916927,51.63121,70,127,40
51.63121,52.285973,69,127,40
