start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.731707,62,77,0
0.0,0.731707,59,64,0
0.731707,1.0802605,86,70,0
1.432849,2.164556,62,65,0
1.432849,2.164556,59,55,0
2.164556,2.503539,86,62,0
2.842522,3.548404,59,50,0
2.842522,3.548404,62,59,0
3.548404,3.8947046,86,57,0
4.241005,4.956739,62,51,0
4.241005,4.956739,59,43,0
4.956739,5.324837,86,49,0
5.5099306,5.691529,62,46,0
5.691529,6.0483317,67,51,0
5.691529,6.0483317,59,43,0
6.0483317,6.386665,67,44,0
6.386665,6.550188,67,50,0
6.386665,6.550188,59,42,0
6.550188,6.717431,69,40,0
6.717431,6.8809543,71,45,0
6.8809543,7.019024,72,40,0
6.386665,7.0692306,86,47,0
7.0261965,7.113121,72,44,0
7.0692306,7.420354,71,51,0
7.0692306,7.420354,62,43,0
7.420354,7.591353,69,39,0
7.591353,7.7623515,71,35,0
7.7623515,8.289037,67,45,0
7.7623515,8.289037,59,38,0
8.289037,8.464599,64,47,0
7.7623515,8.464599,86,45,0
8.464599,8.821402,69,51,0
8.464599,8.821402,60,43,0
8.821402,9.151072,69,45,0
9.151072,9.313691,69,50,0
9.151072,9.313691,60,42,0
9.313691,9.481891,71,40,0
9.481891,9.646328,72,45,0
9.646328,9.784397,74,40,0
9.151072,9.834604,86,47,0
9.79157,9.878494,74,44,0
9.834604,10.185727,72,51,0
9.834604,10.185727,64,43,0
10.185727,10.356727,71,41,0
10.356727,10.527725,72,38,0
10.527725,11.05441,69,45,0
10.527725,11.05441,60,38,0
11.05441,11.229972,67,47,0
10.527725,11.229972,86,45,0
11.229972,11.586775,66,51,0
11.229972,11.586775,60,43,0
11.586775,11.888014,66,48,0
11.888014,11.931048,67,42,0
11.931048,12.101193,66,50,0
11.931048,12.101193,60,42,0
12.101193,12.271339,62,40,0
12.271339,12.443476,64,45,0
12.443476,12.631752,66,40,0
11.931048,12.631752,86,47,0
12.631752,13.354644,67,51,0
12.631752,13.354644,59,43,0
13.871054,14.0473175,62,44,0
13.354644,14.0473175,86,47,0
14.0473175,14.40412,59,40,0
14.0473175,14.40412,67,48,0
14.40412,14.742454,67,45,0
14.742454,14.905976,67,47,0
14.742454,14.905976,59,40,0
14.905976,15.073219,69,38,0
15.073219,15.235839,71,43,0
15.235839,15.373908,72,38,0
14.742454,15.424115,86,44,0
15.381081,15.468005,72,41,0
15.424115,15.775238,71,48,0
15.424115,15.775238,62,40,0
15.775238,15.946237,69,39,0
15.946237,16.117235,71,33,0
16.117235,16.64392,59,36,0
16.117235,16.64392,67,42,0
16.64392,16.819483,64,44,0
16.117235,16.819483,86,42,0
16.819483,17.176287,60,40,0
16.819483,17.176287,69,48,0
17.176287,17.514618,69,42,0
17.514618,17.678143,69,47,0
17.514618,17.678143,60,40,0
17.678143,17.845385,71,38,0
17.845385,18.008005,72,43,0
18.008005,18.146074,74,38,0
17.514618,18.19628,86,44,0
18.153246,18.240171,74,41,0
18.19628,18.547403,64,40,0
18.19628,18.547403,72,48,0
18.547403,18.718403,71,38,0
18.718403,18.8894,72,36,0
18.8894,19.42816,69,42,0
18.8894,19.42816,60,36,0
19.42816,19.609756,67,44,0
18.8894,19.609756,86,42,0
19.609756,19.96656,66,48,0
19.609756,19.96656,60,40,0
19.96656,20.2678,66,45,0
20.2678,20.310833,67,40,0
20.310833,20.480978,66,47,0
20.310833,20.480978,60,40,0
20.480978,20.651123,62,38,0
20.651123,20.823261,64,43,0
20.823261,21.011538,66,38,0
20.310833,21.011538,86,44,0
21.011538,21.716589,59,40,0
21.011538,21.716589,67,48,0
22.24538,22.419556,62,46,0
21.716589,22.419556,86,44,0
22.419556,22.776358,59,43,0
22.419556,22.776358,67,51,0
22.776358,23.11469,67,44,0
23.11469,23.278215,67,50,0
23.11469,23.278215,59,42,0
23.278215,23.445457,69,40,0
23.445457,23.60898,71,45,0
23.60898,23.74705,72,37,0
23.11469,23.797256,77,45,0
23.754223,23.841146,72,44,0
23.797256,24.14838,62,43,0
23.797256,24.14838,71,51,0
24.14838,24.31938,69,41,0
24.31938,24.490377,71,37,0
24.490377,25.009829,67,45,0
24.490377,25.009829,59,37,0
25.009829,25.18298,64,47,0
24.490377,25.18298,77,42,0
25.18298,25.52525,60,43,0
25.18298,25.52525,69,51,0
25.52525,25.85492,69,45,0
25.85492,26.017538,69,51,0
25.85492,26.017538,60,44,0
26.017538,26.185738,71,42,0
26.185738,26.350176,72,48,0
26.350176,26.488245,74,43,0
25.85492,26.538452,76,46,0
26.495417,26.58174,74,47,0
26.538452,26.884752,64,46,0
26.538452,26.884752,72,54,0
26.884752,27.05105,71,45,0
27.05105,27.217346,72,38,0
27.217346,27.7244,69,51,0
27.217346,27.7244,60,42,0
27.7244,27.890144,67,56,0
27.217346,27.890144,76,47,0
27.890144,28.240572,64,52,0
27.890144,28.240572,72,62,0
28.240572,28.570242,72,55,0
28.570242,28.73286,72,63,0
28.570242,28.73286,64,53,0
28.73286,28.90106,74,51,0
28.90106,29.065498,76,58,0
29.065498,29.203568,78,52,0
28.570242,29.253775,81,55,0
29.21074,29.296558,78,56,0
29.253775,29.596045,67,55,0
29.253775,29.596045,76,66,0
29.596045,29.761408,74,54,0
29.761408,29.92677,76,50,0
29.92677,30.446604,72,61,0
29.92677,30.446604,66,50,0
30.446604,30.618742,71,67,0
29.92677,30.618742,81,55,0
30.618742,30.973392,71,62,0
30.618742,30.973392,79,74,0
30.973392,31.301262,79,68,0
31.301262,31.463882,79,76,0
31.301262,31.463882,71,65,0
31.463882,31.63208,81,62,0
31.63208,31.796518,83,70,0
31.796518,31.934587,84,62,0
31.301262,31.984795,86,72,0
31.94176,32.028687,84,67,0
31.984795,32.33592,74,66,0
31.984795,32.33592,83,79,0
32.33592,32.506916,81,73,0
32.506916,32.677914,83,69,0
32.677914,33.216675,79,84,0
32.677914,33.216675,71,69,0
33.216675,33.39827,62,64,0
32.677914,33.39827,91,81,0
33.39827,33.755074,59,57,0
33.39827,33.755074,67,69,0
33.755074,34.084743,67,59,0
34.084743,34.24827,67,68,0
34.084743,34.24827,59,56,0
34.24827,34.415512,69,54,0
34.415512,34.57095,71,60,0
34.57095,34.709023,72,54,0
34.084743,34.759228,77,59,0
34.716194,34.803116,72,59,0
34.759228,35.11035,62,57,0
34.759228,35.11035,71,69,0
35.11035,35.27889,69,53,0
35.27889,35.44743,71,51,0
35.44743,35.96688,67,60,0
35.44743,35.96688,59,51,0
35.96688,36.14003,64,64,0
35.44743,36.14003,77,56,0
36.14003,36.4823,60,57,0
36.14003,36.4823,69,69,0
36.4823,36.81197,69,60,0
36.81197,36.97459,69,69,0
36.81197,36.97459,60,59,0
36.97459,37.142788,71,56,0
37.142788,37.299038,72,65,0
37.299038,37.43711,74,57,0
36.81197,37.487316,76,61,0
37.444283,37.5306,74,62,0
37.487316,37.833614,64,61,0
37.487316,37.833614,72,72,0
37.833614,37.999912,71,60,0
37.999912,38.16621,72,55,0
38.16621,38.684044,69,69,0
38.16621,38.684044,60,56,0
38.684044,38.85518,67,65,0
38.16621,38.85518,76,64,0
38.85518,39.205605,64,59,0
38.85518,39.205605,72,71,0
39.205605,39.543938,72,63,0
39.543938,39.70656,72,72,0
39.543938,39.70656,64,61,0
39.70656,39.874756,74,58,0
39.874756,40.033485,76,67,0
40.033485,40.171555,78,59,0
39.543938,40.221764,81,65,0
40.178726,40.264545,78,65,0
40.221764,40.564034,67,63,0
40.221764,40.564034,76,75,0
40.564034,40.729393,74,62,0
40.729393,40.894756,76,57,0
40.894756,41.414593,72,70,0
40.894756,41.414593,66,57,0
41.414593,41.586727,74,68,0
40.894756,41.586727,81,65,0
41.586727,41.94138,71,63,0
41.586727,41.94138,79,75,0
41.94138,42.279713,79,70,0
42.279713,42.442333,79,78,0
42.279713,42.442333,71,67,0
42.442333,42.61053,81,63,0
42.61053,42.77497,83,69,0
42.77497,42.91304,84,63,0
42.279713,42.963245,86,70,0
42.92021,43.007137,84,68,0
42.963245,43.31437,74,68,0
