start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.313851,69,42,0
0.313851,0.413064,67,31,0
0.413064,0.512277,65,31,0
0.512277,0.62524575,67,31,0
0.0,0.62524575,57,34,0
0.62524575,1.0437138,69,36,0
1.0437138,1.261778,65,36,0
0.62524575,1.261778,58,30,0
1.261778,1.5768597,69,42,0
1.5768597,1.6760727,67,32,0
1.6760727,1.7752857,65,32,0
1.7752857,1.8892155,67,32,0
1.261778,1.8892155,60,34,0
1.8892155,2.4975762,69,36,0
1.8892155,2.4975762,58,30,0
2.5540605,2.8716104,72,45,0
2.8716104,2.9708235,74,38,0
2.9708235,3.0700364,76,42,0
3.0700364,3.1692495,74,38,0
2.5540605,3.1692495,65,36,0
3.1692495,3.5926495,65,38,0
3.1692495,3.5926495,72,47,0
3.5926495,3.832707,68,42,0
3.5926495,3.832707,64,42,0
3.832707,4.5133905,72,48,0
4.5133905,4.9671793,77,52,0
3.832707,4.9671793,65,40,0
5.194074,5.507925,72,50,0
5.507925,5.607138,71,37,0
5.607138,5.706351,69,37,0
5.706351,5.8193197,71,37,0
5.194074,5.8193197,60,40,0
5.8193197,6.2377877,72,43,0
6.2377877,6.455852,69,43,0
5.8193197,6.455852,62,36,0
6.455852,6.7709336,72,50,0
6.7709336,6.8701468,71,38,0
6.8701468,6.96936,69,38,0
6.96936,7.0832896,71,38,0
6.455852,7.0832896,64,40,0
7.0832896,7.695741,72,43,0
7.0832896,7.695741,62,36,0
7.752226,8.069776,76,50,0
8.069776,8.168989,77,42,0
8.168989,8.268202,79,46,0
8.268202,8.367414,77,42,0
7.752226,8.367414,69,40,0
8.367414,8.790814,69,41,0
8.367414,8.790814,76,51,0
8.790814,9.030872,72,45,0
8.790814,9.030872,68,45,0
9.030872,9.692005,76,51,0
9.030872,9.912382,69,42,0
9.912382,10.126622,68,57,0
10.126622,10.349753,67,61,0
9.692005,10.773153,81,53,0
10.773153,10.984854,78,53,0
10.984854,11.190094,74,53,0
11.190094,11.395335,75,53,0
11.395335,11.616623,76,53,0
10.349753,11.616623,66,70,0
11.616623,12.03509,77,53,0
12.03509,12.251042,74,49,0
12.251042,12.691797,71,41,0
11.616623,12.691797,65,42,0
13.123875,13.335575,81,53,0
13.335575,13.547275,78,47,0
13.547275,13.752515,74,49,0
13.752515,13.957756,75,53,0
12.912175,14.179044,66,64,0
13.957756,14.388278,76,54,0
14.388278,14.597511,77,62,0
14.597511,14.813463,74,53,0
14.813463,15.033841,69,56,0
15.033841,15.254218,70,58,0
14.179044,15.391954,65,42,0
15.254218,15.68564,71,63,0
15.68564,15.896685,72,58,0
15.896685,16.107729,69,53,0
16.107729,16.318773,61,47,0
16.318773,16.529818,62,43,0
16.529818,16.752205,64,44,0
16.752205,16.962421,65,46,0
16.962421,17.172638,68,42,0
17.172638,17.391409,69,39,0
17.391409,17.615658,73,31,0
17.615658,17.672226,74,32,0
17.615658,17.672226,69,25,0
17.615658,17.672226,65,25,0
17.844437,17.902353,77,33,0
17.844437,17.902353,74,26,0
17.844437,17.902353,69,26,0
18.077677,18.136652,74,32,0
18.077677,18.136652,77,32,0
18.077677,18.136652,81,40,0
19.393923,20.67527,64,40,0
20.67527,20.99035,60,40,0
20.99035,21.089565,59,30,0
21.089565,21.188778,60,30,0
21.188778,21.302708,62,30,0
21.302708,21.971643,64,34,0
21.971643,22.286726,60,40,0
22.286726,22.385939,59,30,0
22.385939,22.485151,60,30,0
22.485151,22.599081,62,30,0
22.599081,23.265963,64,34,0
23.265963,23.474543,52,24,0
23.265963,23.474543,60,29,0
23.891703,24.104408,72,27,0
23.889095,24.10618,64,22,0
24.529818,25.641754,76,23,0
24.529818,25.641754,84,28,0
25.86414,26.177992,69,42,0
26.177992,26.277205,67,31,0
26.277205,26.376417,65,31,0
26.376417,26.489386,67,31,0
25.86414,26.489386,57,34,0
26.489386,26.907854,69,36,0
26.907854,27.12592,65,36,0
26.489386,27.12592,58,30,0
27.12592,27.441,69,42,0
27.441,27.540213,67,32,0
27.540213,27.639425,65,32,0
27.639425,27.753355,67,32,0
27.12592,27.753355,60,34,0
27.753355,28.361717,69,36,0
27.753355,28.361717,58,30,0
28.418201,28.73575,72,45,0
28.73575,28.834965,74,38,0
28.834965,28.934177,76,42,0
28.934177,29.03339,74,38,0
28.418201,29.03339,65,36,0
29.03339,29.456789,65,38,0
29.03339,29.456789,72,47,0
29.456789,29.696848,68,42,0
29.456789,29.696848,64,42,0
29.696848,30.377531,72,48,0
30.377531,30.83132,77,51,0
29.696848,30.83132,65,39,0
31.058214,31.372065,72,50,0
31.372065,31.47128,71,37,0
31.47128,31.570492,69,37,0
31.570492,31.68346,71,37,0
31.058214,31.68346,60,40,0
31.68346,32.10193,72,43,0
32.10193,32.319992,69,43,0
31.68346,32.319992,62,36,0
32.319992,32.635075,72,50,0
32.635075,32.734287,71,38,0
32.734287,32.8335,69,38,0
32.8335,32.94743,71,38,0
32.319992,32.94743,64,40,0
32.94743,33.559883,72,43,0
32.94743,33.559883,62,36,0
33.616367,33.933918,76,50,0
33.933918,34.03313,77,42,0
34.03313,34.132343,79,46,0
34.132343,34.231556,77,42,0
33.616367,34.231556,69,40,0
34.231556,34.654957,69,41,0
34.231556,34.654957,76,51,0
34.654957,34.89501,72,45,0
34.654957,34.89501,68,45,0
34.89501,35.556145,76,51,0
34.89501,35.776524,69,42,0
35.776524,35.99076,68,57,0
35.99076,36.213894,67,61,0
35.556145,36.637295,81,53,0
36.637295,36.848995,78,53,0
36.848995,37.054234,74,53,0
37.054234,37.259476,75,53,0
37.259476,37.480762,76,53,0
36.213894,37.480762,66,70,0
37.480762,37.89923,77,53,0
37.89923,38.11518,74,50,0
38.11518,38.55594,71,46,0
37.480762,38.55594,65,42,0
38.988014,39.199715,81,53,0
39.199715,39.411415,78,47,0
39.411415,39.616657,74,49,0
39.616657,39.821896,75,53,0
38.776314,40.043182,66,64,0
39.821896,40.25242,76,54,0
40.25242,40.46165,77,60,0
40.46165,40.677605,74,53,0
40.677605,40.89798,69,56,0
40.89798,41.11836,70,58,0
40.043182,41.256096,65,42,0
41.11836,41.54978,71,63,0
41.54978,41.760826,72,58,0
41.760826,41.97187,69,53,0
41.97187,42.182915,61,47,0
42.182915,42.39396,62,43,0
42.39396,42.616344,64,44,0
42.616344,42.82656,65,46,0
42.82656,43.036777,68,42,0
43.036777,43.25555,69,39,0
43.25555,43.479797,73,31,0
43.479797,43.536366,74,32,0
43.479797,43.536366,69,25,0
43.479797,43.536366,65,25,0
43.708576,43.766495,77,33,0
43.708576,43.766495,74,26,0
43.708576,43.766495,69,26,0
43.94182,44.000793,74,32,0
43.94182,44.000793,77,32,0
43.94182,44.000793,81,40,0
45.258064,46.53941,64,40,0
46.53941,46.854492,60,40,0
46.854492,46.953705,59,30,0
46.953705,47.052917,60,30,0
47.052917,47.166847,62,30,0
47.166847,47.835785,64,34,0
47.835785,48.150867,60,40,0
48.150867,48.25008,59,30,0
48.25008,48.349293,60,30,0
48.349293,48.463223,62,30,0
48.463223,49.130104,64,34,0
49.130104,49.338684,52,24,0
49.130104,49.338684,60,29,0
49.755844,49.968548,72,27,0
49.753235,49.97032,64,22,0
50.39396,51.505894,76,23,0
50.39396,51.505894,84,28,0
51.72828,52.042133,67,42,0
52.042133,52.141346,66,31,0
52.141346,52.24056,67,31,0
52.24056,52.353527,69,31,0
51.72828,52.771996,62,34,0
52.771996,52.99006,64,36,0
52.353527,53.30391,70,36,0
53.30391,53.403122,69,36,0
53.403122,53.502335,70,38,0
53.502335,53.615303,72,40,0
52.99006,54.03377,65,34,0
54.03377,54.25184,66,42,0
54.467766,54.575222,67,48,0
53.615303,54.575222,74,44,0
54.575222,54.68228,70,42,0
54.575222,54.68228,73,42,0
54.68228,54.788944,67,46,0
54.788944,54.895214,74,42,0
54.788944,54.895214,70,42,0
54.895214,54.974632,70,47,0
55.001095,55.080276,78,41,0
