start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.936037,67,40,0
0.936037,1.872074,62,32,0
1.872074,2.808111,67,38,0
2.808111,3.744148,62,30,0
3.744148,4.040006,67,37,0
4.040006,4.335864,66,33,0
4.335864,4.660539,67,35,0
4.187935,4.660539,62,28,0
4.660539,4.954225,69,39,0
4.660539,5.101068,64,28,0
4.954225,5.2479105,71,32,0
5.2479105,5.604417,69,32,0
5.101068,5.604417,66,23,0
5.604417,6.540454,67,38,0
6.540454,7.282197,62,34,0
7.405959,8.458514,71,36,0
7.282197,8.458514,66,33,0
8.458514,9.168454,62,28,0
8.458514,9.168454,69,33,0
7.5297217,9.440686,74,38,0
9.30457,10.369479,71,36,0
9.168454,10.369479,66,33,0
10.369479,11.07548,62,28,0
10.369479,11.07548,69,33,0
9.440686,11.335897,74,38,0
11.335897,11.645494,74,38,0
11.205688,11.645494,71,36,0
11.07548,11.645494,66,33,0
11.645494,11.93704,69,31,0
11.645494,11.93704,62,26,0
11.93704,12.246637,66,23,0
11.93704,12.246637,74,31,0
12.246637,12.533994,67,31,0
12.246637,12.533994,76,41,0
12.533994,12.829852,78,36,0
12.533994,12.829852,72,27,0
12.829852,12.91236,67,24,0
12.829852,12.994868,76,32,0
13.077376,14.095922,71,36,0
12.994868,14.095922,66,33,0
14.095922,14.845762,62,28,0
14.095922,14.845762,69,33,0
13.159885,15.077961,74,38,0
15.077961,16.006754,79,44,0
14.961862,16.006754,76,38,0
16.006754,16.964262,67,28,0
16.006754,16.964262,74,34,0
16.964262,17.885921,79,44,0
16.849054,17.885921,76,38,0
17.885921,18.725233,67,28,0
17.885921,18.725233,74,34,0
18.838697,19.134556,79,37,0
18.725233,19.134556,76,34,0
19.134556,19.35645,67,28,0
19.134556,19.430414,74,33,0
19.430414,19.73529,79,40,0
19.73529,20.028976,81,44,0
19.73529,20.17582,76,28,0
20.028976,20.340836,83,39,0
20.340836,20.546095,81,38,0
20.17582,20.668844,78,23,0
20.668844,21.590504,79,44,0
20.546095,21.590504,76,38,0
21.590504,22.540407,67,28,0
21.590504,22.540407,74,34,0
22.311749,23.462067,81,36,0
23.462067,24.185593,74,28,0
22.426079,24.185593,83,41,0
22.540407,24.185593,86,52,0
23.462067,24.185593,79,33,0
24.3054,25.391394,86,41,0
24.185593,25.391394,82,36,0
25.391394,26.154337,76,28,0
25.391394,26.154337,85,33,0
24.425209,26.154337,88,52,0
26.280176,27.421389,88,42,0
26.154337,27.421389,84,36,0
27.421389,28.25684,78,28,0
27.421389,28.25684,86,33,0
26.406013,28.25684,90,52,0
28.425417,29.782349,86,44,0
28.25684,29.782349,83,41,0
29.782349,31.043459,79,33,0
28.593994,31.224226,91,48,0
31.224226,32.160263,67,36,0
32.160263,33.0963,62,28,0
33.0963,34.032337,67,34,0
34.032337,34.968372,62,27,0
34.968372,35.264233,67,33,0
35.264233,35.56009,66,29,0
35.56009,35.884766,67,31,0
35.41216,35.884766,62,25,0
35.884766,36.17845,69,35,0
35.884766,36.325294,64,25,0
36.17845,36.472137,71,28,0
36.472137,36.828644,69,28,0
36.325294,36.828644,66,20,0
36.828644,37.76468,67,34,0
37.76468,38.506424,62,30,0
38.630184,39.68274,71,32,0
38.506424,39.68274,66,29,0
39.68274,40.39268,62,25,0
39.68274,40.39268,69,29,0
38.75395,40.664913,74,34,0
40.528797,41.593704,71,36,0
40.39268,41.593704,66,33,0
41.593704,42.299706,62,28,0
41.593704,42.299706,69,33,0
40.664913,42.560123,74,38,0
42.560123,42.86972,74,38,0
42.429913,42.86972,71,36,0
42.299706,42.86972,66,33,0
42.86972,43.161266,69,31,0
42.86972,43.161266,62,26,0
43.161266,43.470863,66,23,0
43.161266,43.470863,74,31,0
43.470863,43.75822,67,31,0
43.470863,43.75822,76,41,0
43.75822,44.054077,78,36,0
43.75822,44.054077,72,27,0
44.054077,44.136585,67,24,0
44.054077,44.219093,76,32,0
44.3016,45.32015,71,36,0
44.219093,45.32015,66,33,0
45.32015,46.06999,62,28,0
45.32015,46.06999,69,33,0
44.38411,46.302185,74,38,0
46.302185,47.23098,79,44,0
46.18609,47.23098,76,38,0
47.23098,48.188488,67,28,0
47.23098,48.188488,74,34,0
48.188488,49.110146,79,44,0
48.07328,49.110146,76,38,0
49.110146,49.94946,67,28,0
49.110146,49.94946,74,34,0
50.062923,50.35878,79,37,0
49.94946,50.35878,76,34,0
50.35878,50.580673,67,28,0
50.35878,50.65464,74,33,0
50.65464,50.95952,79,40,0
50.95952,51.253204,81,44,0
50.95952,51.400047,76,28,0
51.253204,51.565063,83,39,0
51.565063,51.77032,81,38,0
51.400047,51.89307,78,23,0
51.89307,52.814728,79,44,0
51.77032,52.814728,76,38,0
52.814728,53.764633,67,28,0
52.814728,53.764633,74,34,0
53.535976,54.68629,81,36,0
54.68629,55.40982,74,28,0
53.650303,55.40982,83,41,0
53.764633,55.40982,86,52,0
54.68629,55.40982,79,33,0
55.52963,56.61562,86,41,0
55.40982,56.61562,82,36,0
56.61562,57.398113,76,28,0
56.61562,57.398113,85,33,0
55.649437,57.398113,88,52,0
57.52832,58.711266,88,42,0
57.398113,58.711266,84,36,0
58.711266,59.571274,78,28,0
58.711266,59.571274,86,33,0
57.65853,59.571274,90,52,0
59.754246,61.161957,86,44,0
59.571274,61.161957,83,41,0
61.161957,62.56233,79,33,0
59.937214,62.762383,91,48,0
62.762383,62.836544,58,35,0
62.762383,62.836544,67,42,0
63.059032,63.19985,66,39,0
63.19985,63.355324,67,35,0
63.059032,63.355324,58,33,0
63.355324,63.798954,69,46,0
63.798954,63.952423,70,38,0
63.355324,63.952423,60,39,0
63.355324,63.952423,66,39,0
63.952423,64.025856,58,35,0
63.952423,64.025856,67,42,0
64.24616,64.38534,66,39,0
64.38534,64.5398,67,35,0
64.24616,64.5398,58,33,0
64.5398,64.98245,69,46,0
64.98245,65.13692,70,38,0
64.5398,65.13692,60,39,0
64.5398,65.13692,66,39,0
65.13692,65.20733,58,35,0
65.13692,65.20733,67,42,0
65.41856,65.55303,69,42,0
65.55303,65.706505,70,38,0
65.41856,65.706505,60,36,0
65.41856,65.706505,66,36,0
65.706505,65.77691,58,39,0
65.706505,65.77691,67,47,0
65.988144,66.12112,69,48,0
66.12112,66.26981,70,44,0
65.988144,66.26981,60,40,0
65.988144,66.26981,66,48,0
66.26981,66.34063,58,44,0
66.26981,66.34063,67,53,0
66.55309,66.68682,69,54,0
66.68682,66.833694,70,49,0
66.55309,66.833694,60,45,0
66.55309,66.833694,66,45,0
66.833694,66.909935,58,49,0
66.833694,66.909935,67,59,0
67.138664,67.29618,69,66,0
67.29618,67.465996,70,61,0
67.138664,67.465996,60,49,0
67.138664,67.465996,66,49,0
67.465996,68.05429,67,66,0
68.05429,68.348434,69,62,0
68.348434,68.51329,70,57,0
68.51329,68.59572,69,45,0
68.59572,68.67814,70,45,0
67.465996,68.67814,58,56,0
68.67814,69.28426,69,58,0
69.28426,69.637245,67,48,0
69.637245,70.062836,65,41,0
68.67814,70.062836,58,42,0
70.062836,70.85242,62,35,0
70.85242,72.43157,62,27,0
70.062836,72.43157,58,29,0
73.22115,73.29531,61,35,0
73.22115,73.29531,70,42,0
73.5178,73.658615,69,39,0
73.658615,73.81409,70,35,0
73.5178,73.81409,61,33,0
73.81409,74.25772,72,46,0
74.25772,74.411194,73,38,0
73.81409,74.411194,63,39,0
73.81409,74.411194,69,39,0
