start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.0879982,71,45,0
0.0879982,0.17580965,74,34,0
0.17580965,0.2634264,73,38,0
0.2634264,0.3507988,76,32,0
0.3507988,0.43798923,74,35,0
0.43798923,0.52499634,78,29,0
0.52499634,0.61178315,76,31,0
0.61178315,0.69838816,79,26,0
0.69838816,0.7886409,78,30,0
0.69838816,0.7886409,74,30,0
1.0587274,1.1468073,71,45,0
1.1468073,1.2346616,74,34,0
1.2346616,1.3222783,73,38,0
1.3222783,1.4096507,76,32,0
1.4096507,1.4967989,74,36,0
1.4967989,1.583726,78,29,0
1.583726,1.6704314,76,32,0
1.6704314,1.7568765,79,27,0
1.7568765,1.8474015,78,32,0
1.7568765,1.8474015,74,32,0
2.1189764,2.2058232,79,49,0
2.2058232,2.2926078,83,39,0
2.2926078,2.3796148,78,44,0
2.3796148,2.4668434,81,38,0
2.4668434,2.5542965,76,43,0
2.5542965,2.6419754,79,36,0
2.6419754,2.729879,74,41,0
2.729879,2.8180106,78,36,0
2.8180106,2.9102046,76,44,0
2.8180106,2.9102046,73,44,0
3.1867876,3.2728124,78,49,0
3.2728124,3.3587334,81,39,0
3.3587334,3.4449902,76,44,0
3.4449902,3.531585,79,38,0
3.531585,3.6185312,74,43,0
3.6185312,3.7057807,78,36,0
3.7057807,3.7934062,73,41,0
3.7934062,3.8814023,76,36,0
3.8814023,3.9730332,74,44,0
3.8814023,3.9730332,71,44,0
4.336017,4.4239635,74,45,0
4.4239635,4.511683,73,50,0
4.511683,4.5991364,76,45,0
4.5991364,4.6863666,74,51,0
4.6863666,4.773374,78,45,0
4.773374,4.860119,76,52,0
4.860119,4.946724,79,47,0
4.946724,5.038355,78,53,0
4.946724,5.038355,74,53,0
5.401032,5.4886293,74,45,0
5.4886293,5.575991,73,50,0
5.575991,5.6632323,76,45,0
5.6632323,5.7503405,74,51,0
5.7503405,5.837228,78,45,0
5.837228,5.9240146,76,52,0
5.9240146,6.0106196,79,47,0
6.0106196,6.101694,78,53,0
6.0106196,6.101694,74,53,0
6.3749185,6.4616003,74,61,0
6.4616003,6.547886,78,54,0
6.547886,6.634431,73,61,0
6.634431,6.721276,76,58,0
6.721276,6.8083944,71,65,0
6.8083944,6.8958178,74,59,0
6.8958178,6.9835052,70,70,0
6.9835052,7.0715013,73,58,0
7.0715013,7.160964,71,72,0
7.160964,7.250677,74,64,0
7.250677,7.3403897,73,72,0
7.3403897,7.4425488,76,65,0
7.4425488,7.7986774,71,68,0
7.7986774,8.356652,70,52,0
7.4425488,8.356652,73,80,0
7.4425488,8.356652,78,80,0
8.552475,8.640473,71,45,0
8.640473,8.728285,74,34,0
8.728285,8.815902,73,38,0
8.815902,8.903251,76,32,0
8.903251,8.990204,74,35,0
8.990204,9.076538,78,29,0
9.076538,9.16225,76,31,0
9.16225,9.247339,79,26,0
9.247339,9.337592,78,30,0
9.247339,9.337592,74,30,0
9.607678,9.695759,71,45,0
9.695759,9.783613,74,34,0
9.783613,9.871229,73,38,0
9.871229,9.958602,76,32,0
9.958602,10.0455265,74,35,0
10.0455265,10.131749,78,29,0
10.131749,10.217314,76,31,0
10.217314,10.3022,79,26,0
10.3022,10.392726,78,30,0
10.3022,10.392726,74,30,0
10.663386,10.748523,79,49,0
10.748523,10.834577,83,39,0
10.834577,10.921426,78,44,0
10.921426,11.008654,81,38,0
11.008654,11.0961075,76,43,0
11.0961075,11.183786,79,36,0
11.183786,11.271689,74,41,0
11.271689,11.359821,78,36,0
11.359821,11.452015,76,44,0
11.359821,11.452015,73,44,0
11.728598,11.814623,78,49,0
11.814623,11.900544,81,39,0
11.900544,11.9868,76,44,0
11.9868,12.073396,79,38,0
12.073396,12.160341,74,43,0
12.160341,12.247591,78,36,0
12.247591,12.3352165,73,41,0
12.3352165,12.423213,76,36,0
12.423213,12.514844,74,44,0
12.423213,12.514844,71,44,0
12.877828,12.965775,74,45,0
12.965775,13.0534935,73,50,0
13.0534935,13.140946,76,45,0
13.140946,13.228177,74,51,0
13.228177,13.315185,78,45,0
13.315185,13.40193,76,52,0
13.40193,13.488534,79,47,0
13.488534,13.580166,78,53,0
13.488534,13.580166,74,53,0
13.9428425,14.03044,74,45,0
14.03044,14.117802,73,50,0
14.117802,14.205043,76,45,0
14.205043,14.292151,74,51,0
14.292151,14.379038,78,45,0
14.379038,14.465825,76,52,0
14.465825,14.55243,79,47,0
14.55243,14.643505,78,53,0
14.55243,14.643505,74,53,0
14.916729,15.003411,74,61,0
15.003411,15.089697,78,54,0
15.089697,15.176241,73,61,0
15.176241,15.263086,76,58,0
15.263086,15.350205,71,65,0
15.350205,15.437629,74,59,0
15.437629,15.525316,70,70,0
15.525316,15.613312,73,58,0
15.613312,15.702774,71,72,0
15.702774,15.792487,74,64,0
15.792487,15.8822,73,72,0
15.8822,15.984359,76,65,0
15.984359,16.340488,71,68,0
16.340488,16.897194,70,52,0
15.984359,16.897194,73,80,0
15.984359,16.897194,78,80,0
17.091745,17.179745,81,40,0
17.179745,17.267555,73,32,0
17.267555,17.355171,79,36,0
17.355171,17.442545,73,32,0
17.442545,17.529736,78,29,0
17.529736,17.616741,73,25,0
17.616741,17.70353,78,28,0
17.70353,17.790134,73,25,0
17.790134,17.880386,78,39,0
18.150473,18.238472,81,40,0
18.238472,18.326283,74,32,0
18.326283,18.4139,79,36,0
18.4139,18.501272,74,32,0
18.501272,18.588463,78,29,0
18.588463,18.67547,74,25,0
18.67547,18.762257,78,28,0
18.762257,18.848862,74,25,0
18.848862,18.939114,78,39,0
19.209873,19.29787,83,40,0
19.29787,19.385681,75,32,0
19.385681,19.473299,81,36,0
19.473299,19.56067,75,32,0
19.56067,19.647896,79,29,0
19.647896,19.734423,75,25,0
19.734423,19.819923,79,28,0
19.819923,19.904385,75,25,0
19.904385,19.994638,79,39,0
20.265396,20.353394,83,40,0
20.353394,20.441206,76,32,0
20.441206,20.528822,81,36,0
20.528822,20.616194,76,32,0
20.616194,20.702936,79,29,0
20.702936,20.788807,76,25,0
20.788807,20.874012,79,28,0
20.874012,20.958576,76,25,0
20.958576,21.04883,79,39,0
21.319588,21.407585,84,50,0
21.407585,21.495398,76,39,0
21.495398,21.583014,82,45,0
21.583014,21.670387,76,39,0
21.670387,21.757578,81,36,0
21.757578,21.844584,76,30,0
21.844584,21.931372,81,35,0
21.931372,22.017977,76,30,0
22.017977,22.108229,81,48,0
22.378986,22.466986,84,55,0
22.466986,22.554796,77,42,0
22.554796,22.642414,82,49,0
22.642414,22.729786,77,42,0
22.729786,22.816977,81,39,0
22.816977,22.903984,77,33,0
22.903984,22.99077,81,38,0
22.99077,23.077375,77,33,0
23.077375,23.167627,81,52,0
23.438387,23.526384,86,60,0
23.526384,23.614195,78,46,0
23.614195,23.701813,84,53,0
23.701813,23.789185,78,46,0
23.789185,23.875952,82,42,0
23.875952,23.961952,78,36,0
23.961952,24.047304,82,41,0
24.047304,24.132008,78,36,0
24.132008,24.222261,82,57,0
24.49302,24.581018,86,66,0
24.581018,24.668829,79,50,0
24.668829,24.756447,84,58,0
24.756447,24.843819,79,50,0
24.843819,24.930704,82,46,0
24.930704,25.016783,79,39,0
25.016783,25.102097,82,45,0
25.102097,25.186632,79,39,0
25.186632,25.276886,82,62,0
25.547644,25.634607,84,66,0
25.634607,25.72203,79,50,0
25.72203,25.809904,82,58,0
25.809904,25.898317,79,50,0
25.898317,25.985281,84,66,0
25.985281,26.072704,80,50,0
26.072704,26.160662,82,58,0
26.160662,26.249157,80,50,0
26.249157,26.336903,84,66,0
26.336903,26.423952,79,50,0
