start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.37273276,78,54,0
0.37273276,0.4958264,68,48,0
0.4958264,0.61278474,69,51,0
0.61278474,0.72927016,70,52,0
0.72927016,0.84534216,71,53,0
0.84534216,0.96098554,72,55,0
0.96098554,1.0761663,73,56,0
1.0761663,1.1909579,74,57,0
1.1909579,1.3052976,75,58,0
1.3052976,1.4192536,76,59,0
1.4192536,1.5332097,81,69,0
1.5332097,1.6477569,76,60,0
1.6477569,1.762901,73,62,0
1.762901,1.889238,69,60,0
1.889238,2.2334995,67,68,0
2.2334995,2.3528028,76,49,0
2.3528028,2.698129,68,69,0
2.698129,2.8169596,76,49,0
2.8169596,3.160965,67,70,0
3.160965,3.2807446,76,47,0
3.2807446,3.6256986,68,69,0
3.6256986,3.7611632,77,49,0
3.7611632,4.133896,78,67,0
4.133896,4.2569895,68,54,0
4.2569895,4.373948,69,53,0
4.373948,4.490433,70,54,0
4.490433,4.6065054,71,55,0
4.6065054,4.722149,72,57,0
4.722149,4.8373294,73,58,0
4.8373294,4.9521213,74,60,0
4.9521213,5.0664606,75,61,0
5.0664606,5.180417,76,63,0
5.180417,5.294373,81,69,0
5.294373,5.4089203,76,60,0
5.4089203,5.524064,73,62,0
5.524064,5.6613894,69,60,0
5.6613894,6.034122,85,76,0
6.034122,6.1572156,75,60,0
6.1572156,6.2741737,76,59,0
6.2741737,6.3906593,77,61,0
6.3906593,6.5067315,78,63,0
6.5067315,6.6223745,79,66,0
6.6223745,6.7375555,80,67,0
6.7375555,6.852347,81,70,0
6.852347,6.9666867,82,72,0
6.9666867,7.0806427,83,75,0
7.0806427,7.1945987,88,83,0
7.1945987,7.309146,83,73,0
7.309146,7.42429,80,76,0
7.42429,7.550627,76,74,0
7.550627,7.8948884,71,78,0
7.8948884,8.014192,80,55,0
8.014192,8.359518,68,77,0
8.359518,8.482238,76,50,0
8.482238,8.838912,64,68,0
8.838912,8.964193,73,43,0
8.964193,9.329995,61,61,0
9.329995,9.46546,70,39,0
9.46546,9.85546,60,53,0
9.85546,10.000067,69,36,0
10.000067,10.418071,57,50,0
10.418071,10.571555,66,32,0
10.571555,11.012864,56,47,0
11.012864,11.179106,64,37,0
11.844073,12.216805,78,53,0
12.216805,12.339899,68,48,0
12.339899,12.456858,69,52,0
12.456858,12.573343,70,53,0
12.573343,12.689415,71,54,0
12.689415,12.8050585,72,55,0
12.8050585,12.920239,73,56,0
12.920239,13.03503,74,58,0
13.03503,13.14937,75,59,0
13.14937,13.263327,76,60,0
13.263327,13.377282,81,69,0
13.377282,13.49183,76,60,0
13.49183,13.606974,73,62,0
13.606974,13.733311,69,60,0
13.733311,14.077572,67,68,0
14.077572,14.196876,76,49,0
14.196876,14.542202,68,69,0
14.542202,14.661033,76,50,0
14.661033,15.005038,67,70,0
15.005038,15.124817,76,49,0
15.124817,15.469771,68,69,0
15.469771,15.605236,77,45,0
15.605236,15.977969,78,67,0
15.977969,16.101063,68,54,0
16.101063,16.218021,69,53,0
16.218021,16.334507,70,54,0
16.334507,16.450579,71,55,0
16.450579,16.566221,72,57,0
16.566221,16.681402,73,58,0
16.681402,16.796194,74,60,0
16.796194,16.910534,75,61,0
16.910534,17.02449,76,63,0
17.02449,17.138445,81,69,0
17.138445,17.252993,76,60,0
17.252993,17.368137,73,62,0
17.368137,17.505463,69,60,0
17.505463,17.878195,85,76,0
17.878195,18.00129,75,60,0
18.00129,18.118246,76,59,0
18.118246,18.234732,77,61,0
18.234732,18.350803,78,63,0
18.350803,18.466448,79,66,0
18.466448,18.581629,80,67,0
18.581629,18.69642,81,70,0
