start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.063142,76,40,0
0.0,0.063142,71,34,0
0.252568,0.31571,76,37,0
0.252568,0.31571,71,31,0
0.505136,0.5714901,72,31,0
0.505136,0.5714901,76,37,0
0.7705525,0.8348254,76,40,0
0.7705525,0.8348254,71,34,0
1.027644,1.0919169,71,30,0
1.027644,1.0919169,76,36,0
1.2847354,1.4099127,67,40,0
1.4099127,1.53509,69,35,0
1.53509,1.655572,71,40,0
1.655572,1.776054,72,36,0
1.776054,1.896536,71,40,0
1.896536,2.017018,78,45,0
2.017018,2.1375,76,43,0
2.1375,2.2583282,74,40,0
2.2583282,2.3824894,71,39,0
2.3824894,2.5050404,76,41,0
2.5050404,2.626223,79,43,0
2.626223,2.7458253,82,45,0
2.7458253,2.864769,83,48,0
3.006949,3.070091,83,40,0
3.006949,3.070091,78,34,0
3.006949,3.070091,74,34,0
3.259517,3.322659,78,31,0
3.259517,3.322659,74,31,0
3.259517,3.322659,83,37,0
3.512085,3.578439,79,31,0
3.512085,3.578439,74,31,0
3.512085,3.578439,83,37,0
3.7775016,3.8417745,83,40,0
3.7775016,3.8417745,78,34,0
3.7775016,3.8417745,74,34,0
4.034593,4.098866,78,30,0
4.034593,4.098866,83,36,0
4.034593,4.098866,74,30,0
4.2916846,4.4168615,71,40,0
4.4168615,4.542039,73,35,0
4.542039,4.663506,74,40,0
4.663506,4.7849736,78,36,0
4.7849736,4.9064407,74,40,0
4.7849736,4.9064407,71,40,0
4.9064407,5.0416613,78,45,0
5.0416613,5.1631284,73,63,0
5.1631284,5.2849736,78,60,0
5.0416613,5.2849736,70,53,0
5.2849736,5.407376,75,62,0
5.2849736,5.407376,71,52,0
5.407376,5.5283747,78,57,0
5.5283747,5.6480393,75,63,0
5.5283747,5.6480393,71,53,0
5.6480393,5.7663984,78,59,0
5.7663984,5.8838797,71,54,0
5.7663984,5.8838797,75,64,0
5.8838797,6.0458317,78,57,0
6.0458317,6.108974,76,40,0
6.0458317,6.108974,71,34,0
6.2984,6.3615417,71,31,0
6.2984,6.3615417,76,37,0
6.5509677,6.617322,76,37,0
6.5509677,6.617322,72,31,0
6.8163843,6.880657,76,40,0
6.8163843,6.880657,71,34,0
7.073476,7.1386933,71,30,0
7.073476,7.1386933,76,36,0
7.3343453,7.4595227,67,40,0
7.4595227,7.5846996,69,35,0
7.5846996,7.7047,71,40,0
7.7047,7.8247,72,36,0
7.8247,7.9447,71,40,0
7.9447,8.0647,78,45,0
8.0647,8.1847,76,43,0
8.1847,8.305086,74,40,0
8.305086,8.429248,71,39,0
8.429248,8.551799,76,41,0
8.551799,8.672981,79,43,0
8.672981,8.792583,82,45,0
8.792583,8.911527,83,48,0
9.053037,9.1161785,78,34,0
9.053037,9.1161785,74,34,0
9.053037,9.1161785,83,40,0
9.305605,9.368747,83,37,0
9.305605,9.368747,78,31,0
9.305605,9.368747,74,31,0
9.558172,9.624527,83,37,0
9.558172,9.624527,79,31,0
9.558172,9.624527,74,31,0
9.823589,9.887862,78,34,0
9.823589,9.887862,74,34,0
9.823589,9.887862,83,40,0
10.080681,10.144954,83,36,0
10.080681,10.144954,78,30,0
10.080681,10.144954,74,30,0
10.337772,10.462949,71,40,0
10.462949,10.588126,73,35,0
10.588126,10.709094,74,40,0
10.709094,10.830062,78,36,0
10.830062,10.95103,71,40,0
10.830062,10.95103,74,40,0
10.95103,11.08625,78,45,0
11.08625,11.207718,73,63,0
11.207718,11.329563,78,60,0
11.08625,11.329563,70,53,0
11.329563,11.451964,75,62,0
11.329563,11.451964,71,52,0
11.451964,11.572964,78,57,0
11.572964,11.692629,75,63,0
11.572964,11.692629,71,53,0
11.692629,11.810987,78,59,0
11.810987,11.928469,71,54,0
11.810987,11.928469,75,64,0
11.928469,12.089517,78,57,0
12.089517,12.152658,59,88,0
12.342085,12.405227,59,80,0
12.594653,12.661007,54,80,0
12.860069,12.924342,59,88,0
13.117161,13.182378,59,79,0
13.378031,13.503207,64,40,0
13.503207,13.628385,66,35,0
13.628385,13.748867,67,40,0
13.748867,13.869349,70,36,0
13.869349,13.989831,67,40,0
13.989831,14.114312,70,34,0
14.114312,14.23578,66,41,0
14.23578,14.357625,70,36,0
14.357625,14.480026,64,41,0
14.480026,14.601026,70,36,0
14.601026,14.720691,64,41,0
14.720691,14.839049,70,35,0
15.1175785,15.18072,59,88,0
15.370147,15.433289,59,80,0
15.622715,15.689069,54,80,0
15.888131,15.952404,59,88,0
16.145224,16.209496,59,79,0
16.402315,16.52749,64,40,0
16.52749,16.652668,66,35,0
16.652668,16.774136,67,40,0
16.774136,16.895603,70,36,0
16.895603,17.01707,67,40,0
17.01707,17.14117,70,34,0
17.14117,17.262638,66,41,0
17.262638,17.384483,70,36,0
17.384483,17.506464,64,41,0
17.506464,17.628445,70,36,0
17.628445,17.750425,64,41,0
17.750425,17.87616,70,35,0
17.87616,17.99814,67,41,0
17.99814,18.120121,69,35,0
18.120121,18.242104,70,44,0
18.242104,18.362585,73,40,0
18.362585,18.483067,70,46,0
18.483067,18.603548,73,39,0
18.603548,18.724031,69,51,0
18.724031,18.84648,73,45,0
18.84648,18.966923,67,54,0
18.966923,19.087366,73,48,0
19.087366,19.20781,67,57,0
19.20781,19.333544,73,53,0
19.333544,19.455524,70,59,0
19.455524,19.577505,71,52,0
19.577505,19.699486,72,62,0
19.699486,19.819967,76,55,0
19.819967,19.94045,72,62,0
19.94045,20.060932,76,55,0
20.060932,20.181414,71,61,0
20.181414,20.305382,76,50,0
20.305382,20.425825,70,62,0
20.425825,20.546267,76,55,0
20.546267,20.66671,70,58,0
20.66671,20.787153,76,50,0
20.787153,20.910713,70,55,0
20.910713,21.045933,76,46,0
21.045933,21.170033,71,40,0
21.170033,21.294134,76,36,0
21.294134,21.418234,71,40,0
21.418234,21.542334,76,34,0
21.542334,21.666433,71,41,0
21.666433,21.790535,76,36,0
21.790535,21.916819,71,40,0
21.916819,22.043102,75,36,0
22.043102,22.169386,71,40,0
22.169386,22.29567,75,34,0
22.29567,22.421955,71,41,0
22.421955,22.56926,75,36,0
22.56926,22.632374,71,34,0
22.56926,22.632374,76,40,0
22.82172,22.884836,76,37,0
22.82172,22.884836,71,31,0
23.074183,23.140535,76,37,0
23.074183,23.140535,72,31,0
23.339598,23.403872,76,40,0
23.339598,23.403872,71,34,0
23.59669,23.661907,76,36,0
23.59669,23.661907,71,30,0
23.85756,23.982737,67,40,0
23.982737,24.107914,69,35,0
24.107914,24.227913,71,40,0
24.227913,24.347914,72,36,0
24.347914,24.467915,71,40,0
24.467915,24.587914,78,45,0
24.587914,24.707914,76,43,0
24.707914,24.8283,74,40,0
24.8283,24.952461,71,39,0
24.952461,25.075012,76,41,0
25.075012,25.196196,79,43,0
25.196196,25.315798,82,45,0
25.315798,25.43474,83,48,0
25.57625,25.639393,78,34,0
25.57625,25.639393,74,34,0
25.57625,25.639393,83,40,0
25.82882,25.89196,78,31,0
25.82882,25.89196,83,37,0
25.82882,25.89196,74,31,0
26.081387,26.147741,79,31,0
26.081387,26.147741,74,31,0
26.081387,26.147741,83,37,0
26.346804,26.411076,83,40,0
26.346804,26.411076,78,34,0
26.346804,26.411076,74,34,0
26.603895,26.668167,74,30,0
26.603895,26.668167,83,36,0
26.603895,26.668167,78,30,0
26.860987,26.986162,71,40,0
26.986162,27.11134,73,35,0
27.11134,27.232307,74,40,0
27.232307,27.353275,78,36,0
27.353275,27.474243,71,40,0
27.353275,27.474243,74,40,0
27.474243,27.609465,78,45,0
27.609465,27.730932,73,63,0
27.730932,27.852777,78,60,0
27.609465,27.852777,70,53,0
27.852777,27.97518,75,62,0
27.852777,27.97518,71,52,0
27.97518,28.096178,78,57,0
28.096178,28.215843,75,63,0
28.096178,28.215843,71,53,0
28.215843,28.334202,78,59,0
28.334202,28.451683,75,64,0
28.334202,28.451683,71,54,0
28.451683,28.61273,78,57,0
28.61273,28.675873,59,88,0
28.8653,28.92844,59,80,0
29.117867,29.184221,54,80,0
29.383284,29.447556,59,88,0
29.640375,29.705591,59,79,0
29.901245,30.02642,64,40,0
30.02642,30.151598,66,35,0
30.151598,30.272081,67,40,0
30.272081,30.392563,70,36,0
30.392563,30.513044,67,40,0
30.513044,30.637526,70,34,0
30.637526,30.758993,66,41,0
30.758993,30.880838,70,36,0
30.880838,31.00324,64,41,0
31.00324,31.124239,70,36,0
31.124239,31.243904,64,41,0
31.243904,31.362263,70,35,0
31.640793,31.703934,59,88,0
31.89336,31.956503,59,80,0
32.145927,32.212284,54,80,0
32.411346,32.475616,59,88,0
32.668438,32.732708,59,79,0
32.92553,33.050705,64,40,0
33.050705,33.175884,66,35,0
33.175884,33.297348,67,40,0
33.297348,33.418816,70,36,0
33.418816,33.540283,67,40,0
33.540283,33.664383,70,34,0
33.664383,33.78585,66,41,0
33.78585,33.907696,70,36,0
33.907696,34.02968,64,41,0
34.02968,34.15166,70,36,0
34.15166,34.27364,64,41,0
34.27364,34.399372,70,35,0
34.399372,34.521355,67,41,0
34.521355,34.643337,69,35,0
34.643337,34.765316,70,44,0
34.765316,34.8858,73,40,0
34.8858,35.00628,70,46,0
35.00628,35.126762,73,39,0
35.126762,35.247246,69,51,0
35.247246,35.369694,73,45,0
35.369694,35.490135,67,54,0
35.490135,35.61058,73,48,0
35.61058,35.73102,67,57,0
35.73102,35.85676,73,53,0
35.85676,35.978737,70,59,0
35.978737,36.10072,71,52,0
36.10072,36.2227,72,62,0
36.2227,36.34318,76,55,0
36.34318,36.463665,72,62,0
36.463665,36.584145,76,55,0
36.584145,36.704628,71,61,0
36.704628,36.828594,76,50,0
36.828594,36.94904,70,62,0
36.94904,37.06948,76,55,0
37.06948,37.189926,70,58,0
37.189926,37.310368,76,50,0
37.310368,37.433926,70,55,0
37.433926,37.569145,76,46,0
37.569145,37.69325,71,40,0
37.69325,37.81735,76,36,0
37.81735,37.94145,71,40,0
37.94145,38.065548,76,34,0
38.065548,38.189648,71,41,0
38.189648,38.313747,76,36,0
38.313747,38.440033,71,40,0
38.440033,38.566315,75,36,0
38.566315,38.6926,71,40,0
38.6926,38.818886,75,34,0
38.818886,38.945168,71,41,0
38.945168,39.104183,75,36,0
39.104183,39.1673,71,34,0
39.104183,39.1673,76,40,0
39.356647,39.41976,76,37,0
39.356647,39.41976,71,31,0
39.609108,39.67546,72,31,0
39.609108,39.67546,76,37,0
39.874523,39.938797,71,34,0
39.874523,39.938797,76,40,0
40.131615,40.19589,71,30,0
40.131615,40.19589,76,36,0
40.388706,40.513885,67,40,0
40.513885,40.63906,69,35,0
40.63906,40.759544,71,40,0
40.759544,40.880024,72,36,0
40.880024,41.000507,71,40,0
41.000507,41.12099,78,45,0
41.12099,41.24147,76,43,0
41.24147,41.3623,74,40,0
41.3623,41.48646,71,39,0
41.48646,41.609013,76,41,0
41.609013,41.730194,79,43,0
41.730194,41.849796,82,45,0
41.849796,41.968742,83,48,0
42.11092,42.17406,83,40,0
42.11092,42.17406,78,34,0
42.11092,42.17406,74,34,0
42.363487,42.426632,83,37,0
42.363487,42.426632,74,31,0
42.363487,42.426632,78,31,0
42.61606,42.68241,83,37,0
42.61606,42.68241,74,31,0
42.61606,42.68241,79,31,0
42.881474,42.945747,83,40,0
42.881474,42.945747,78,34,0
42.881474,42.945747,74,34,0
43.138565,43.20284,78,30,0
43.138565,43.20284,83,36,0
43.138565,43.20284,74,30,0
43.395657,43.520832,71,40,0
43.520832,43.64601,73,35,0
43.64601,43.76748,74,40,0
43.76748,43.888947,78,36,0
43.888947,44.010414,74,40,0
43.888947,44.010414,71,40,0
44.010414,44.145634,78,45,0
44.145634,44.2671,73,63,0
44.2671,44.388947,78,60,0
44.145634,44.388947,70,53,0
44.388947,44.51135,71,52,0
44.388947,44.51135,75,62,0
44.51135,44.632347,78,57,0
44.632347,44.75201,71,53,0
44.632347,44.75201,75,63,0
44.75201,44.87037,78,59,0
44.87037,44.98785,71,54,0
44.87037,44.98785,75,64,0
44.98785,45.149803,78,57,0
45.149803,45.212944,76,40,0
45.149803,45.212944,71,34,0
45.40237,45.465515,76,37,0
45.40237,45.465515,71,31,0
45.654938,45.721294,72,31,0
45.654938,45.721294,76,37,0
45.920357,45.98463,76,40,0
45.920357,45.98463,71,34,0
46.17745,46.242664,71,30,0
46.17745,46.242664,76,36,0
46.438316,46.563496,67,40,0
46.563496,46.68867,69,35,0
46.68867,46.80867,71,40,0
46.80867,46.928673,72,36,0
46.928673,47.04867,71,40,0
47.04867,47.16867,78,45,0
47.16867,47.28867,76,43,0
47.28867,47.409058,74,40,0
47.409058,47.53322,71,39,0
47.53322,47.65577,76,41,0
47.65577,47.77695,79,43,0
47.77695,47.896553,82,45,0
47.896553,48.0155,83,48,0
48.28117,48.40372,68,36,0
48.40372,48.524902,69,38,0
48.524902,48.644505,72,40,0
48.644505,48.76345,76,43,0
49.031418,49.15922,64,36,0
49.15922,49.285343,65,38,0
49.285343,49.409832,69,40,0
