start_time,end_time,note_value,velocity,instrument_program_number
1.125,1.2,87,70,0
1.2,1.523974,86,77,0
1.523974,1.6808778,82,58,0
1.6808778,1.8377815,79,70,0
1.523974,1.8377815,86,70,0
1.8377815,2.1565914,81,75,0
1.8377815,2.1565914,79,63,0
2.1565914,2.3212457,78,57,0
2.3212457,2.401374,74,68,0
2.1565914,2.401374,81,68,0
2.401374,2.4815023,87,70,0
2.4815023,2.8020153,86,77,0
2.8020153,2.9581027,82,59,0
2.9581027,3.1141903,79,72,0
2.8020153,3.1141903,86,71,0
3.1141903,3.4364243,81,78,0
3.1141903,3.4364243,79,66,0
3.4364243,3.593328,78,60,0
3.593328,3.7454576,74,73,0
3.4364243,3.7454576,81,72,0
3.7454576,3.9023614,91,69,0
3.9023614,4.0609236,90,66,0
3.7454576,4.0609236,93,82,0
4.0609236,4.219486,86,70,0
4.3823524,4.5409145,79,61,0
4.5409145,4.699477,78,58,0
4.3823524,4.699477,81,73,0
4.699477,4.8580394,74,62,0
5.0263896,5.19982,67,53,0
5.19982,5.382769,66,54,0
5.0263896,5.382769,69,63,0
5.5657187,5.767088,66,50,0
5.382769,5.767088,62,57,0
5.767088,6.3921623,67,57,0
6.3921623,6.4671626,75,63,0
6.4671626,6.7911363,74,69,0
6.7911363,6.94804,70,55,0
6.94804,7.1049438,67,63,0
6.7911363,7.1049438,74,66,0
7.1049438,7.4237537,69,67,0
7.1049438,7.4237537,67,56,0
7.4237537,7.588408,66,51,0
7.588408,7.668536,62,61,0
7.4237537,7.668536,69,61,0
7.668536,7.748665,75,63,0
7.748665,8.069178,74,69,0
8.069178,8.2252655,70,56,0
8.2252655,8.381352,67,64,0
8.069178,8.381352,74,67,0
8.381352,8.703587,69,70,0
8.381352,8.703587,67,59,0
8.703587,8.860491,66,54,0
8.860491,9.01262,62,65,0
8.703587,9.01262,69,64,0
9.01262,9.169524,79,62,0
9.169524,9.328086,78,64,0
9.01262,9.328086,81,73,0
9.328086,9.486649,74,63,0
9.649515,9.808077,67,54,0
9.808077,9.9666395,66,55,0
9.649515,9.9666395,69,65,0
9.9666395,10.125201,62,55,0
10.293551,10.466983,55,47,0
10.466983,10.656879,54,43,0
10.293551,10.656879,57,56,0
10.858249,11.066611,54,45,0
10.656879,11.066611,50,51,0
11.066611,11.699218,55,51,0
11.699218,11.774218,79,50,0
11.774218,11.936205,77,55,0
12.2550955,12.412,74,50,0
12.098192,12.412,77,52,0
12.412,12.729675,75,55,0
12.729675,12.886251,75,52,0
12.886251,13.042828,72,50,0
13.042828,13.363697,74,52,0
12.729675,13.363697,77,45,0
13.363697,13.520273,74,52,0
13.520273,13.676849,70,50,0
13.676849,13.994198,72,52,0
13.363697,13.994198,77,45,0
13.994198,14.158491,72,52,0
14.158491,14.330313,69,50,0
14.330313,14.735772,70,52,0
13.994198,14.735772,77,42,0
14.735772,14.901885,77,45,0
14.901885,15.067999,82,40,0
15.067999,15.238841,70,42,0
15.409684,15.575797,77,45,0
15.575797,15.74191,82,41,0
15.74191,15.911785,70,41,0
16.081661,16.272017,77,45,0
16.272017,16.476654,82,41,0
16.476654,16.663013,70,41,0
17.12891,17.203909,67,47,0
17.203909,17.365896,65,52,0
17.684788,17.84169,62,47,0
17.527884,17.84169,65,49,0
17.84169,18.159367,63,52,0
18.159367,18.315943,63,49,0
18.315943,18.472519,60,47,0
18.472519,18.793388,62,49,0
18.159367,18.793388,65,42,0
18.793388,18.949965,62,49,0
18.949965,19.10654,58,47,0
19.10654,19.42389,60,49,0
18.793388,19.42389,65,42,0
19.42389,19.588182,60,49,0
19.588182,19.760004,57,47,0
19.760004,20.168222,58,49,0
19.42389,20.168222,65,39,0
20.168222,20.338099,69,42,0
20.338099,20.507975,74,38,0
20.507975,20.688046,62,39,0
20.868118,21.042944,69,42,0
21.042944,21.217768,74,38,0
21.217768,21.430565,62,38,0
21.64336,21.902027,69,42,0
21.902027,22.221243,74,38,0
22.221243,22.423973,62,38,0
22.930798,23.012497,63,50,0
23.012497,23.587524,62,61,0
24.2447,24.326845,75,54,0
24.326845,24.901873,74,65,0
25.559046,25.634047,87,70,0
25.634047,25.958021,86,77,0
25.958021,26.114923,82,58,0
26.114923,26.271828,79,70,0
25.958021,26.271828,86,70,0
26.271828,26.590637,81,75,0
26.271828,26.590637,79,63,0
26.590637,26.755293,78,57,0
26.755293,26.83542,74,68,0
26.590637,26.83542,81,68,0
26.83542,26.915548,87,70,0
26.915548,27.236061,86,77,0
27.236061,27.392149,82,59,0
27.392149,27.548237,79,72,0
27.236061,27.548237,86,71,0
27.548237,27.87047,81,78,0
27.548237,27.87047,79,66,0
27.87047,28.027374,78,60,0
28.027374,28.179504,74,73,0
27.87047,28.179504,81,72,0
28.179504,28.336409,79,69,0
28.336409,28.49497,78,66,0
28.179504,28.49497,81,82,0
28.49497,28.653532,74,70,0
28.816399,28.974962,67,61,0
28.974962,29.133524,66,59,0
28.816399,29.133524,69,73,0
29.133524,29.292086,62,62,0
29.460436,29.63287,55,53,0
29.63287,29.822767,54,48,0
29.460436,29.822767,57,63,0
30.028275,30.20581,54,50,0
29.822767,30.20581,50,57,0
30.20581,30.827185,55,57,0
30.827185,30.902185,79,50,0
30.902185,31.064173,77,55,0
31.383062,31.539967,74,50,0
31.22616,31.539967,77,52,0
31.539967,31.857643,75,55,0
31.857643,32.014217,75,52,0
32.014217,32.170795,72,50,0
32.170795,32.491665,74,52,0
31.857643,32.491665,77,45,0
32.491665,32.64824,74,52,0
32.64824,32.804817,70,50,0
32.804817,33.122166,72,52,0
32.491665,33.122166,77,45,0
33.122166,33.286457,72,52,0
33.286457,33.45828,69,50,0
33.45828,33.855682,70,52,0
33.122166,33.855682,77,42,0
33.855682,34.021797,77,45,0
34.021797,34.18791,82,40,0
34.18791,34.358753,70,42,0
34.529594,34.69571,77,45,0
34.69571,34.86182,82,41,0
34.86182,35.043663,70,41,0
35.225502,35.42823,77,45,0
35.42823,35.64724,82,41,0
35.64724,35.831314,70,41,0
36.291492,36.366493,67,47,0
36.366493,36.52848,65,52,0
36.84737,37.004272,62,47,0
36.690468,37.004272,65,49,0
37.004272,37.32195,63,52,0
37.32195,37.478527,63,49,0
37.478527,37.6351,60,47,0
37.6351,37.95597,62,49,0
37.32195,37.95597,65,42,0
37.95597,38.11255,62,49,0
38.11255,38.269123,58,47,0
38.269123,38.58647,60,49,0
37.95597,38.58647,65,42,0
38.58647,38.750767,60,49,0
38.750767,38.92259,57,47,0
38.92259,39.339314,58,49,0
38.58647,39.339314,65,39,0
39.339314,39.509186,69,42,0
39.509186,39.67906,74,38,0
39.67906,39.859135,62,39,0
40.039207,40.21403,69,42,0
40.21403,40.38886,74,38,0
40.38886,40.604717,62,38,0
40.820576,41.07924,69,42,0
41.07924,41.37056,74,38,0
41.37056,41.57467,62,38,0
42.08494,42.16664,63,50,0
42.16664,42.74167,62,61,0
43.39884,43.480988,75,54,0
43.480988,44.056015,74,65,0
44.71319,44.78819,87,69,0
44.78819,45.112164,86,75,0
45.112164,45.269066,82,57,0
45.269066,45.425972,79,69,0
45.112164,45.425972,86,68,0
45.425972,45.74478,81,73,0
45.425972,45.74478,79,61,0
45.74478,45.909435,78,56,0
45.909435,45.989563,74,61,0
45.74478,45.989563,81,67,0
45.989563,46.06969,75,63,0
46.06969,46.390205,74,69,0
46.390205,46.54629,70,56,0
46.54629,46.70238,67,64,0
46.390205,46.70238,74,67,0
46.70238,47.024612,69,70,0
46.70238,47.024612,67,59,0
47.024612,47.18152,66,54,0
47.18152,47.33365,62,65,0
47.024612,47.33365,69,64,0
47.33365,47.49055,79,62,0
47.49055,47.649113,78,58,0
47.33365,47.649113,81,73,0
47.649113,47.807674,74,59,0
47.970543,48.129105,67,48,0
48.129105,48.287666,66,47,0
47.970543,48.287666,69,58,0
48.287666,48.446228,62,46,0
48.62849,48.82719,55,37,0
48.82719,49.051105,54,33,0
48.62849,49.051105,57,44,0
49.31431,49.65291,54,32,0
49.051105,49.65291,50,38,0
49.65291,51.007313,55,35,0
1.8377815,2.1565914,72,54,0
2.1565914,2.401374,69,49,0
1.523974,2.4815023,74,49,0
1.523974,2.4815023,67,41,0
3.1141903,3.4364243,72,56,0
3.4364243,3.7454576,69,52,0
2.8020153,3.7454576,74,49,0
2.8020153,3.7454576,67,41,0
4.0609236,4.219486,79,65,0
4.0609236,4.379638,81,78,0
4.219486,4.3823524,78,63,0
4.3823524,4.5409145,74,66,0
4.699477,4.8580394,67,57,0
4.699477,5.023584,69,69,0
4.8580394,5.0263896,66,56,0
5.0263896,5.19982,62,57,0
5.382769,5.5657187,50,46,0
5.767088,6.3921623,55,51,0
5.767088,6.3921623,43,43,0
7.1049438,7.4237537,60,48,0
7.4237537,7.748665,57,44,0
6.7911363,7.748665,62,44,0
6.7911363,7.748665,55,36,0
8.381352,8.703587,60,50,0
8.703587,9.01262,57,46,0
8.069178,9.01262,62,44,0
8.069178,9.01262,55,36,0
9.328086,9.486649,67,58,0
9.328086,9.6468,69,70,0
9.486649,9.649515,66,62,0
9.649515,9.808077,62,59,0
9.9666395,10.125201,55,51,0
9.9666395,10.290746,57,62,0
10.125201,10.293551,54,54,0
10.293551,10.466983,50,51,0
10.656879,10.858249,38,41,0
11.066611,11.699218,43,45,0
11.066611,11.699218,31,38,0
12.412,12.729675,67,34,0
12.729675,13.042828,69,34,0
12.098192,13.042828,65,35,0
12.098192,13.042828,58,28,0
13.676849,13.994198,63,32,0
13.994198,14.330313,60,32,0
14.330313,14.735772,62,40,0
13.363697,14.735772,65,35,0
