start_time,end_time,note_value,velocity,instrument_program_number
1.0821195,1.1602445,63,36,0
1.1602445,1.2381364,65,36,0
1.2381364,1.3156558,70,39,0
1.2381364,1.3156558,66,39,0
1.3156558,1.3931754,65,36,0
1.3931754,1.4706949,63,36,0
1.4706949,1.5482143,65,36,0
1.5482143,1.6243566,70,37,0
1.5482143,1.6243566,66,37,0
1.6243566,1.7004988,65,36,0
1.7004988,1.7788279,63,36,0
1.7788279,1.8571569,65,36,0
1.8571569,1.9346764,66,39,0
1.8571569,1.9346764,70,39,0
2.0121958,2.0897155,63,36,0
2.0121958,2.0897155,66,36,0
2.167235,2.2466,63,36,0
2.167235,2.2466,66,36,0
2.325965,2.40409,70,36,0
2.325965,2.40409,66,36,0
2.482215,2.5595343,69,40,0
2.482215,2.5595343,65,40,0
2.636854,2.7141733,65,36,0
2.636854,2.7141733,60,36,0
2.791493,2.8706486,60,36,0
2.791493,2.8706486,65,36,0
2.9498043,3.0277264,69,36,0
2.9498043,3.0277264,65,36,0
3.1056483,3.5648313,65,43,0
3.1056483,3.5648313,69,43,0
3.5648313,3.6435716,68,36,0
3.6435716,3.7218468,70,39,0
3.7218468,3.7993662,75,43,0
3.7218468,3.7993662,71,43,0
3.7993662,3.8768857,70,40,0
3.8768857,3.9544053,68,40,0
3.9544053,4.0319247,70,40,0
4.0319247,4.1082606,71,43,0
4.0319247,4.1082606,75,43,0
4.1082606,4.1845965,70,40,0
4.1845965,4.2631307,68,40,0
4.2631307,4.341665,70,40,0
4.341665,4.419385,75,43,0
4.341665,4.419385,71,43,0
4.497105,4.5748253,68,40,0
4.497105,4.5748253,71,40,0
4.652546,4.732333,71,40,0
4.652546,4.732333,68,40,0
4.8121204,4.890449,71,40,0
4.8121204,4.890449,75,40,0
4.968778,5.0462976,74,43,0
4.968778,5.0462976,70,43,0
5.1238174,5.201337,65,40,0
5.1238174,5.201337,70,40,0
5.2788563,5.358221,65,40,0
5.2788563,5.358221,70,40,0
5.4375863,5.5157113,70,40,0
5.4375863,5.5157113,74,40,0
5.5938363,5.821684,74,46,0
5.5938363,5.821684,70,46,0
6.0522723,6.131428,78,74,0
6.131428,6.2105837,80,74,0
6.2105837,6.287114,85,86,0
6.2105837,6.287114,82,86,0
6.287114,6.3636446,80,73,0
6.3636446,6.440175,78,73,0
6.440175,6.5167055,80,73,0
6.5167055,6.6618247,82,79,0
6.5167055,6.6618247,85,79,0
6.6750174,6.7539644,73,73,0
6.7539644,6.8329115,75,73,0
6.8329115,6.909638,80,85,0
6.8329115,6.909638,77,85,0
