start_time,end_time,note_value,velocity,instrument_program_number
0.762096,0.949479,72,40,0
0.949479,1.136862,74,37,0
1.136862,1.324245,76,45,0
1.324245,1.511628,72,38,0
1.136862,1.699011,65,34,0
1.511628,1.7915465,76,38,0
1.7915465,1.8378142,74,34,0
1.8378142,1.884082,76,34,0
1.884082,2.069153,74,43,0
2.069153,2.2595086,71,38,0
1.699011,2.2595086,67,34,0
2.2595086,2.3574839,74,40,0
2.2595086,2.830225,64,34,0
2.642842,3.017608,74,49,0
3.017608,3.20211,72,40,0
3.20211,3.386612,69,37,0
2.830225,3.386612,65,34,0
3.386612,3.571114,72,45,0
3.571114,3.755616,69,38,0
3.755616,3.944771,72,38,0
3.386612,3.944771,62,34,0
3.944771,4.129842,71,45,0
4.129842,4.314913,67,43,0
4.314913,4.5046663,71,38,0
3.944771,4.5046663,60,34,0
4.5046663,4.6026416,69,40,0
4.5046663,5.073056,59,34,0
4.8868365,5.2592754,69,46,0
5.2592754,5.442091,67,40,0
5.442091,5.6318445,64,37,0
5.073056,5.6318445,60,34,0
5.6318445,5.8163466,67,45,0
5.8163466,6.0008483,62,38,0
5.6318445,6.1936507,59,34,0
6.0008483,6.287342,67,38,0
6.287342,6.334188,64,34,0
6.334188,6.3810334,66,34,0
6.3810334,6.5684166,64,43,0
6.5684166,6.763729,62,38,0
6.1936507,6.763729,57,34,0
6.763729,6.9499483,67,40,0
6.9499483,7.136168,62,33,0
6.763729,7.3321185,59,30,0
7.136168,7.426696,67,32,0
7.426696,7.4739847,64,27,0
7.4739847,7.5212736,66,27,0
7.5212736,7.711629,64,34,0
7.711629,7.9069414,62,29,0
7.3321185,7.9069414,57,28,0
7.9069414,8.0082245,67,30,0
7.9069414,8.0082245,59,25,0
8.312074,9.135444,67,29,0
8.312074,9.135444,59,24,0
9.897539,10.084923,72,40,0
10.084923,10.2723055,74,37,0
10.2723055,10.459688,76,45,0
10.459688,10.647072,72,38,0
10.2723055,10.834455,65,34,0
10.647072,10.92699,76,38,0
10.92699,10.973258,74,34,0
10.973258,11.019526,76,34,0
11.019526,11.2045965,74,43,0
11.2045965,11.394952,71,38,0
10.834455,11.394952,67,34,0
11.394952,11.492928,74,40,0
11.394952,11.965669,64,34,0
11.778285,12.153051,74,49,0
12.153051,12.337553,72,40,0
12.337553,12.522056,69,37,0
11.965669,12.522056,65,34,0
12.522056,12.706557,72,45,0
12.706557,12.89106,69,38,0
12.89106,13.0802145,72,38,0
12.522056,13.0802145,62,34,0
13.0802145,13.2652855,71,45,0
13.2652855,13.4503565,67,43,0
13.4503565,13.64011,71,38,0
13.0802145,13.64011,60,34,0
13.64011,13.738085,69,40,0
13.64011,14.2085,59,34,0
14.02228,14.394719,69,46,0
14.394719,14.577535,67,40,0
14.577535,14.767288,64,37,0
14.2085,14.767288,60,34,0
14.767288,14.95179,67,45,0
14.95179,15.136292,62,38,0
14.767288,15.329094,59,34,0
15.136292,15.422786,67,38,0
15.422786,15.469631,64,34,0
15.469631,15.516477,66,34,0
15.516477,15.70386,64,43,0
15.70386,15.899173,62,38,0
15.329094,15.899173,57,34,0
15.899173,16.085392,67,40,0
16.085392,16.271612,62,33,0
15.899173,16.467562,59,30,0
16.271612,16.56214,67,32,0
16.56214,16.609428,64,27,0
16.609428,16.656717,66,27,0
16.656717,16.847073,64,34,0
16.847073,17.042385,62,29,0
16.467562,17.042385,57,28,0
17.042385,17.143667,67,30,0
17.042385,17.143667,59,25,0
17.447517,18.67602,67,29,0
17.447517,18.67602,59,24,0
18.67602,19.104284,67,20,0
18.67602,19.104284,59,17,0
19.479052,20.03781,71,75,0
19.479052,20.03781,68,73,0
20.03781,20.598307,72,75,0
20.03781,20.598307,69,62,0
20.598307,20.696281,71,75,0
20.598307,20.696281,68,72,0
20.990208,21.369715,71,75,0
20.990208,21.369715,68,48,0
21.369715,21.557096,71,40,0
21.557096,21.74448,73,37,0
21.74448,21.931864,75,45,0
21.931864,22.119246,71,38,0
21.74448,22.30663,64,34,0
22.119246,22.399164,75,38,0
22.399164,22.445433,73,34,0
22.445433,22.4917,75,34,0
22.4917,22.676771,73,43,0
22.676771,22.867126,69,38,0
22.30663,22.867126,63,34,0
22.867126,22.965101,71,34,0
22.867126,22.965101,68,27,0
22.867126,22.965101,64,27,0
23.25046,23.625225,71,41,0
23.25046,23.625225,68,33,0
23.25046,23.625225,64,33,0
23.995367,24.55187,74,75,0
23.995367,24.55187,71,73,0
24.55187,25.112368,75,75,0
24.55187,25.112368,72,62,0
25.112368,25.210342,74,75,0
25.112368,25.210342,71,72,0
25.504269,25.883776,74,75,0
25.504269,25.883776,71,48,0
25.883776,26.071157,74,40,0
26.071157,26.258541,76,37,0
26.258541,26.445925,78,45,0
26.445925,26.633307,74,38,0
26.258541,26.82069,67,34,0
26.633307,26.913225,78,38,0
26.913225,26.959494,76,34,0
26.959494,27.00576,78,34,0
27.00576,27.190832,76,43,0
27.190832,27.381187,72,38,0
26.82069,27.381187,66,34,0
27.381187,27.479162,74,34,0
27.381187,27.479162,71,27,0
