start_time,end_time,note_value,velocity,instrument_program_number
1.780416,2.732797,71,39,0
2.732797,3.6752574,64,42,0
3.4470828,3.685178,66,36,0
3.685178,4.3994637,67,43,0
4.3994637,4.637559,66,29,0
4.3994637,4.637559,69,37,0
4.637559,5.351845,71,45,0
5.351845,5.58994,76,37,0
4.637559,5.58994,67,36,0
5.58994,6.304226,79,45,0
6.304226,6.542321,78,37,0
5.58994,6.542321,72,36,0
6.542321,7.2566066,74,50,0
7.2566066,7.494702,72,43,0
6.542321,7.494702,66,40,0
7.494702,8.208988,76,54,0
8.208988,8.484217,74,46,0
7.494702,8.484217,69,43,0
8.484217,10.050365,71,40,0
10.050365,10.554567,72,36,0
8.484217,10.554567,63,32,0
10.554567,11.286275,69,43,0
11.286275,11.530177,71,36,0
10.554567,11.530177,65,34,0
11.530177,12.261885,67,45,0
12.261885,12.505787,69,39,0
11.530177,12.505787,64,36,0
12.505787,13.28165,66,45,0
13.28165,13.54027,67,36,0
12.505787,13.54027,62,36,0
13.54027,14.316133,64,43,0
14.316133,14.601847,66,35,0
13.54027,14.601847,60,34,0
14.601847,15.63633,59,32,0
14.601847,15.63633,63,41,0
15.63633,17.154684,55,28,0
15.63633,17.154684,59,28,0
15.63633,17.154684,64,36,0
17.638554,18.606297,71,39,0
17.638554,18.606297,63,31,0
18.606297,19.320581,64,42,0
19.320581,19.558678,66,36,0
18.545813,19.558678,60,38,0
19.558678,20.272963,67,43,0
19.558678,20.272963,64,36,0
20.272963,20.511059,66,29,0
20.272963,20.511059,69,37,0
20.511059,21.225344,71,45,0
21.225344,21.46344,76,37,0
20.511059,21.46344,67,36,0
21.46344,22.177725,79,45,0
22.177725,22.415821,78,37,0
21.46344,22.415821,69,36,0
22.415821,23.130106,74,50,0
23.130106,23.368202,72,43,0
22.415821,23.368202,66,40,0
23.368202,24.082487,76,54,0
24.082487,24.350344,74,46,0
23.368202,24.350344,67,43,0
24.350344,25.413624,66,32,0
24.350344,25.949339,71,40,0
25.949339,26.485052,72,27,0
25.413624,26.485052,65,32,0
26.485052,26.957493,60,25,0
26.485052,27.209595,69,32,0
27.209595,27.461695,71,27,0
26.957493,27.461695,62,18,0
27.461695,28.21037,67,33,0
28.21037,28.47124,69,29,0
27.461695,28.47124,64,27,0
28.47124,28.959044,57,27,0
28.47124,29.222202,66,33,0
29.222202,29.48536,67,27,0
28.959044,29.48536,59,20,0
29.48536,30.241663,64,32,0
30.241663,30.538692,66,26,0
29.48536,30.538692,60,25,0
30.538692,31.72681,59,24,0
30.538692,31.72681,63,30,0
31.72681,34.10305,55,21,0
31.72681,34.10305,59,21,0
31.72681,34.10305,64,27,0
34.10305,35.04055,66,58,0
34.10305,35.04055,62,58,0
35.04055,35.707214,67,63,0
35.707214,35.92944,69,54,0
35.04055,35.92944,62,43,0
35.92944,36.373882,71,64,0
36.373882,36.81833,67,55,0
35.92944,36.81833,64,43,0
36.81833,37.24386,71,67,0
36.76277,37.24386,66,54,0
37.24386,37.688305,69,55,0
37.24386,37.688305,64,55,0
37.688305,38.11423,62,54,0
37.688305,38.132748,69,67,0
38.132748,38.577194,62,55,0
38.577194,39.24386,72,63,0
39.24386,39.46608,74,56,0
38.577194,39.46608,64,43,0
39.46608,39.910526,76,68,0
39.910526,40.35497,72,61,0
39.46608,40.35497,66,46,0
40.299416,41.30735,67,61,0
40.35497,41.783543,74,77,0
41.783543,42.334137,74,77,0
41.30735,42.334137,69,62,0
42.334137,43.000805,76,72,0
43.000805,43.223026,78,62,0
42.334137,43.223026,71,49,0
43.223026,43.66747,74,73,0
43.66747,44.111916,71,63,0
43.223026,44.111916,69,49,0
44.111916,44.778584,72,70,0
44.778584,45.000805,74,56,0
44.111916,45.000805,67,59,0
45.000805,45.445248,71,68,0
45.445248,45.889694,67,57,0
45.000805,45.889694,66,57,0
45.889694,46.834576,69,69,0
45.889694,46.834576,64,58,0
46.834576,48.952442,71,57,0
46.77552,48.952442,63,48,0
48.952442,50.272385,63,39,0
48.952442,50.272385,71,46,0
50.272385,51.041615,64,42,0
51.041615,51.298027,66,36,0
50.272385,51.298027,59,36,0
51.298027,52.01231,67,43,0
52.01231,52.250404,69,37,0
51.298027,52.250404,64,29,0
51.298027,52.250404,59,29,0
52.250404,52.96469,71,45,0
52.96469,53.202785,76,37,0
52.250404,53.202785,67,36,0
52.250404,53.202785,64,36,0
53.202785,53.917072,79,45,0
53.917072,54.155167,78,37,0
53.202785,54.155167,72,36,0
53.202785,54.155167,64,36,0
54.155167,54.85829,74,50,0
54.85829,55.092667,72,43,0
54.155167,55.092667,66,40,0
54.155167,55.092667,71,40,0
55.092667,55.79579,76,54,0
55.79579,56.071022,74,46,0
55.092667,56.071022,69,43,0
55.092667,56.071022,60,43,0
56.071022,57.142452,59,43,0
56.071022,57.646652,71,40,0
57.646652,58.150856,72,36,0
57.142452,58.150856,57,43,0
56.071022,58.150856,63,32,0
58.150856,58.88256,69,32,0
58.88256,59.126465,71,27,0
58.150856,59.126465,65,25,0
58.150856,59.126465,60,25,0
59.126465,59.858173,67,33,0
59.858173,60.102074,69,29,0
59.126465,60.102074,64,27,0
59.126465,60.102074,59,27,0
60.102074,60.877937,66,33,0
60.877937,61.13656,67,27,0
60.102074,61.13656,62,27,0
60.102074,61.13656,57,27,0
61.13656,61.91242,64,32,0
61.91242,62.198135,66,26,0
61.13656,62.198135,60,25,0
61.13656,62.198135,55,25,0
62.198135,63.289043,59,24,0
62.198135,63.289043,63,30,0
62.198135,63.289043,54,24,0
63.289043,65.47086,55,21,0
63.289043,65.47086,59,21,0
63.289043,65.47086,64,27,0
65.47086,66.40836,66,58,0
65.47086,66.40836,62,58,0
66.40836,67.07503,67,63,0
67.07503,67.29725,69,54,0
66.40836,67.29725,62,43,0
67.29725,67.74169,71,64,0
67.74169,68.18614,67,55,0
67.29725,68.18614,64,43,0
68.18614,68.61167,71,67,0
68.130585,68.61167,66,54,0
68.61167,69.056114,69,55,0
68.61167,69.056114,64,55,0
69.056114,69.48204,62,54,0
69.056114,69.50056,69,67,0
69.50056,69.94501,62,55,0
69.94501,70.61167,72,63,0
70.61167,70.83389,74,56,0
69.94501,70.83389,64,43,0
70.83389,71.278336,76,68,0
71.278336,71.722786,72,61,0
70.83389,71.722786,66,46,0
71.66723,72.67516,67,61,0
71.722786,73.15135,74,77,0
73.15135,73.70195,74,77,0
72.67516,73.70195,69,62,0
73.70195,74.368614,76,72,0
74.368614,74.590836,78,62,0
73.70195,74.590836,71,49,0
74.590836,75.035286,74,73,0
75.035286,75.47973,71,63,0
74.590836,75.47973,69,49,0
75.47973,76.14639,72,70,0
76.14639,76.368614,74,56,0
75.47973,76.368614,67,59,0
76.368614,76.81306,71,68,0
76.81306,77.25751,67,57,0
76.368614,77.25751,66,57,0
77.25751,78.202385,69,69,0
77.25751,78.202385,64,58,0
78.202385,80.32025,71,57,0
78.14333,80.32025,63,48,0
80.32025,81.6402,63,39,0
80.32025,81.6402,71,46,0
81.6402,82.409424,64,42,0
82.409424,82.66584,66,36,0
81.6402,82.66584,59,36,0
82.66584,83.38012,67,43,0
83.38012,83.61822,69,37,0
82.66584,83.61822,64,29,0
82.66584,83.61822,59,29,0
83.61822,84.332504,71,45,0
84.332504,84.5706,76,37,0
83.61822,84.5706,67,36,0
83.61822,84.5706,64,36,0
84.5706,85.28488,79,45,0
85.28488,85.52298,78,37,0
84.5706,85.52298,72,36,0
84.5706,85.52298,64,36,0
85.52298,86.226105,74,50,0
86.226105,86.46048,72,43,0
85.52298,86.46048,66,40,0
85.52298,86.46048,71,40,0
86.46048,87.163605,76,54,0
87.163605,87.438835,74,46,0
86.46048,87.438835,69,43,0
86.46048,87.438835,60,43,0
87.438835,88.51026,59,43,0
87.438835,89.014465,71,40,0
89.014465,89.51867,72,36,0
88.51026,89.51867,57,43,0
87.438835,89.51867,63,32,0
89.51867,90.250374,69,32,0
90.250374,90.49428,71,27,0
89.51867,90.49428,65,25,0
89.51867,90.49428,60,25,0
90.49428,91.22598,67,33,0
91.22598,91.46989,69,29,0
90.49428,91.46989,64,27,0
90.49428,91.46989,59,27,0
91.46989,92.24575,66,33,0
92.24575,92.50437,67,27,0
91.46989,92.50437,62,27,0
91.46989,92.50437,57,27,0
92.50437,93.280235,64,32,0
93.280235,93.56595,66,26,0
92.50437,93.56595,60,25,0
92.50437,93.56595,55,25,0
94.65685,95.747765,59,18,0
94.65685,95.747765,63,22,0
94.65685,95.747765,54,18,0
99.76846,99.89981,68,34,0
99.89981,100.03116,71,28,0
99.76846,100.03116,64,30,0
100.03116,100.16052,68,33,0
100.16052,100.28989,71,25,0
100.03116,100.28989,64,29,0
100.28989,100.416794,73,43,0
100.416794,100.54369,69,25,0
100.54369,100.6706,73,36,0
100.6706,100.7975,69,25,0
100.54369,100.7975,61,32,0
100.7975,100.86603,66,36,0
100.7975,100.86603,61,32,0
101.333725,101.46478,66,34,0
101.46478,101.59585,69,28,0
101.333725,101.59585,61,30,0
101.59585,101.729836,66,33,0
101.729836,101.86382,69,25,0
101.59585,101.86382,61,29,0
102.15105,102.225525,68,30,0
102.15105,102.225525,63,30,0
102.44896,102.52344,68,30,0
102.44896,102.52344,63,30,0
101.86382,102.74687,71,42,0
103.00957,103.14092,64,34,0
103.14092,103.27227,68,28,0
103.00957,103.27227,63,30,0
103.27227,103.40136,64,33,0
103.40136,103.53044,68,25,0
103.27227,103.53044,63,29,0
103.53044,103.65735,69,46,0
103.65735,103.78425,66,25,0
103.78425,103.911156,69,36,0
103.911156,104.038055,66,25,0
103.78425,104.038055,57,32,0
104.038055,104.10935,61,36,0
104.038055,104.10935,57,32,0
104.58535,104.716415,59,34,0
104.716415,104.84747,63,28,0
104.58535,104.84747,54,30,0
104.84747,104.98146,59,33,0
104.98146,105.115456,63,25,0
104.84747,105.115456,54,29,0
105.40405,105.478905,59,30,0
105.40405,105.478905,56,30,0
105.70345,105.778305,59,30,0
105.70345,105.778305,56,30,0
105.115456,106.00285,64,42,0
106.26555,106.3969,63,39,0
106.3969,106.52825,66,32,0
106.26555,106.52825,59,30,0
106.52825,106.657616,63,37,0
106.65007,106.779434,66,28,0
106.52825,106.78698,59,29,0
106.78698,106.91389,68,49,0
106.91389,107.04079,64,28,0
107.04079,107.167694,68,41,0
107.167694,107.29459,64,28,0
107.04079,107.29459,56,32,0
107.29459,107.36312,61,41,0
107.29459,107.36312,56,32,0
107.83082,107.961876,61,39,0
107.961876,108.09294,64,32,0
107.83082,108.09294,56,30,0
108.09294,108.22693,61,37,0
108.22693,108.360916,64,28,0
108.09294,108.360916,56,29,0
108.647446,108.72066,63,30,0
108.647446,108.72066,58,30,0
108.94028,109.01348,63,30,0
108.94028,109.01348,58,30,0
108.360916,109.2331,66,48,0
109.4958,109.627144,59,39,0
109.627144,109.75849,63,32,0
109.4958,109.75849,58,30,0
109.75849,109.88786,59,37,0
109.88786,110.01723,63,28,0
109.75849,110.01723,58,29,0
110.01723,110.14413,64,49,0
110.14413,110.271034,61,28,0
110.271034,110.397934,64,41,0
110.397934,110.52484,61,28,0
