start_time,end_time,note_value,velocity,instrument_program_number
0.260926,0.5088057,82,15,0
0.260926,0.5088057,85,22,0
0.260926,0.5088057,78,15,0
0.521852,0.7697317,82,15,0
0.521852,0.7697317,85,22,0
0.521852,0.7697317,78,15,0
0.782778,1.0287007,82,16,0
0.782778,1.0287007,85,24,0
0.782778,1.0287007,78,16,0
1.041644,1.2875667,82,15,0
1.041644,1.2875667,85,22,0
1.041644,1.2875667,78,15,0
1.30051,1.5493853,82,15,0
1.30051,1.5493853,85,22,0
1.30051,1.5493853,78,15,0
1.82341,2.0712898,82,15,0
1.82341,2.0712898,85,22,0
1.82341,2.0712898,78,15,0
2.084336,2.3322158,82,15,0
2.084336,2.3322158,85,22,0
2.084336,2.3322158,78,15,0
2.345262,2.5911846,82,16,0
2.345262,2.5911846,85,24,0
2.345262,2.5911846,78,16,0
2.604128,2.8500507,82,14,0
2.604128,2.8500507,85,21,0
2.604128,2.8500507,78,14,0
2.862994,3.1118693,82,14,0
2.862994,3.1118693,85,21,0
2.862994,3.1118693,78,14,0
3.400197,3.6480768,82,15,0
3.400197,3.6480768,85,22,0
3.400197,3.6480768,78,15,0
3.661123,3.9090028,82,15,0
3.661123,3.9090028,85,22,0
3.661123,3.9090028,78,15,0
3.922049,4.167,82,16,0
3.922049,4.167,85,24,0
3.922049,4.167,78,16,0
4.179892,4.426795,82,14,0
4.179892,4.426795,85,21,0
4.179892,4.426795,78,14,0
4.43979,4.6969295,82,14,0
4.43979,4.6969295,87,21,0
4.43979,4.6969295,78,14,0
4.969329,5.2123685,87,24,0
4.969329,5.2123685,82,16,0
4.969329,5.2123685,78,16,0
5.22516,5.4710827,87,24,0
5.22516,5.4710827,82,16,0
5.22516,5.4710827,78,16,0
5.739857,5.9828963,85,26,0
5.739857,5.9828963,82,16,0
5.739857,5.9828963,78,16,0
5.995688,6.248617,78,16,0
5.995688,6.248617,82,26,0
5.995688,6.248617,73,16,0
6.519772,6.7628117,78,28,0
6.519772,6.7628117,75,19,0
6.519772,6.7628117,71,19,0
6.775603,7.020554,78,28,0
6.775603,7.020554,75,19,0
6.775603,7.020554,71,19,0
7.291289,7.5343285,80,28,0
7.291289,7.5343285,75,18,0
7.291289,7.5343285,71,18,0
7.54712,7.8015614,80,27,0
7.54712,7.8015614,75,18,0
7.54712,7.8015614,71,18,0
8.070784,8.31477,82,24,0
8.070784,8.31477,78,16,0
8.070784,8.31477,73,16,0
8.327611,8.571597,82,24,0
8.327611,8.571597,78,16,0
8.327611,8.571597,73,16,0
8.584438,8.82465,82,27,0
8.584438,8.82465,78,18,0
8.584438,8.82465,73,18,0
8.837293,9.080333,82,24,0
8.837293,9.080333,78,16,0
8.837293,9.080333,73,16,0
9.093124,9.348134,82,24,0
9.093124,9.348134,78,16,0
9.093124,9.348134,73,16,0
9.620422,9.8634615,82,20,0
9.620422,9.8634615,85,30,0
9.620422,9.8634615,78,20,0
9.876253,10.146267,85,30,0
9.876253,10.146267,82,20,0
9.876253,10.146267,78,20,0
10.160478,10.404464,89,34,0
10.160478,10.404464,82,23,0
10.160478,10.404464,78,23,0
10.417305,10.661186,78,21,0
10.417305,10.661186,82,21,0
10.417305,10.661186,87,32,0
10.674022,10.923913,85,32,0
10.674022,10.923913,82,21,0
10.674022,10.923913,78,21,0
11.195931,11.438021,82,23,0
11.195931,11.438021,87,35,0
11.195931,11.438021,78,23,0
11.450762,11.698642,85,33,0
11.450762,11.698642,82,21,0
11.450762,11.698642,78,21,0
11.970554,12.219429,78,29,0
11.970554,12.219429,82,34,0
11.970554,12.219429,73,23,0
12.232528,12.481403,78,32,0
12.232528,12.481403,73,21,0
12.232528,12.481403,70,21,0
12.756476,13.001427,78,30,0
12.756476,13.001427,75,20,0
12.756476,13.001427,71,20,0
13.014319,13.276316,78,30,0
13.014319,13.276316,75,20,0
13.014319,13.276316,71,20,0
13.290105,13.535056,82,35,0
13.290105,13.535056,75,23,0
13.290105,13.535056,71,23,0
13.547948,13.792899,80,31,0
13.547948,13.792899,75,20,0
13.547948,13.792899,71,20,0
13.805791,14.056683,78,31,0
13.805791,14.056683,75,20,0
13.805791,14.056683,71,20,0
14.330813,14.578692,82,30,0
14.330813,14.578692,78,20,0
14.330813,14.578692,73,20,0
14.591739,14.837662,82,30,0
14.591739,14.837662,78,20,0
14.591739,14.837662,73,20,0
14.850605,15.0917425,82,33,0
14.850605,15.0917425,78,21,0
14.850605,15.0917425,73,21,0
15.104434,15.348419,82,30,0
15.104434,15.348419,78,20,0
15.104434,15.348419,73,20,0
15.361261,15.631968,82,30,0
15.361261,15.631968,78,20,0
15.361261,15.631968,73,20,0
15.907141,16.15502,82,32,0
15.907141,16.15502,78,27,0
15.907141,16.15502,74,27,0
16.168068,16.40828,82,32,0
16.168068,16.40828,78,27,0
16.168068,16.40828,74,27,0
16.680819,16.92674,82,36,0
16.680819,16.92674,78,30,0
16.680819,16.92674,74,30,0
16.939684,17.191595,82,39,0
16.939684,17.191595,78,33,0
16.939684,17.191595,74,33,0
17.46578,17.711702,82,38,0
17.46578,17.711702,78,32,0
17.46578,17.711702,75,32,0
17.724646,17.976557,82,38,0
17.724646,17.976557,78,32,0
17.724646,17.976557,75,32,0
18.250742,18.495693,75,33,0
18.250742,18.495693,70,27,0
18.250742,18.495693,66,27,0
18.508585,18.761515,75,33,0
18.508585,18.761515,70,27,0
18.508585,18.761515,66,27,0
19.035751,19.283632,82,32,0
19.035751,19.283632,78,27,0
19.035751,19.283632,74,27,0
19.296679,19.53689,82,32,0
19.296679,19.53689,78,27,0
19.296679,19.53689,74,27,0
19.80943,20.055351,83,36,0
19.80943,20.055351,78,30,0
19.80943,20.055351,74,30,0
20.068295,20.320206,85,39,0
20.068295,20.320206,78,33,0
20.068295,20.320206,74,33,0
20.59439,20.837431,82,42,0
20.59439,20.837431,78,35,0
20.59439,20.837431,75,35,0
20.850222,21.102133,82,43,0
20.850222,21.102133,78,36,0
20.850222,21.102133,75,36,0
21.115393,21.363272,82,45,0
21.115393,21.363272,78,37,0
21.115393,21.363272,75,37,0
21.376318,21.62127,82,46,0
21.376318,21.62127,78,39,0
21.376318,21.62127,75,39,0
21.634161,21.91492,82,48,0
21.634161,21.91492,78,40,0
21.634161,21.91492,75,40,0
22.19813,22.45314,82,40,0
22.19813,22.45314,78,33,0
22.19813,22.45314,74,33,0
22.466562,22.716454,82,40,0
22.466562,22.716454,78,33,0
22.466562,22.716454,74,33,0
22.729605,22.987804,82,40,0
22.729605,22.987804,78,33,0
22.729605,22.987804,74,33,0
23.001392,23.263474,82,41,0
23.001392,23.263474,78,34,0
23.001392,23.263474,74,34,0
23.277267,23.55684,81,41,0
23.277267,23.55684,78,34,0
23.277267,23.55684,74,34,0
23.833557,24.078508,81,39,0
23.833557,24.078508,77,33,0
23.833557,24.078508,73,33,0
24.0914,24.343311,81,38,0
24.0914,24.343311,77,32,0
24.0914,24.343311,73,32,0
24.619614,24.866516,80,37,0
24.619614,24.866516,77,31,0
24.619614,24.866516,73,31,0
24.87951,25.133488,80,37,0
24.87951,25.133488,77,31,0
24.87951,25.133488,73,31,0
25.408829,25.654753,80,39,0
25.408829,25.654753,76,33,0
25.408829,25.654753,72,33,0
