start_time,end_time,note_value,velocity,instrument_program_number
0.851305,0.9069306,81,43,0
0.9069306,0.96255624,82,38,0
0.96255624,1.0181819,81,43,0
1.0181819,1.0738075,82,39,0
1.0738075,1.2078677,81,49,0
2.501137,2.5584238,86,44,0
2.5584238,2.6157107,88,40,0
2.6157107,2.6729977,86,44,0
2.6729977,2.7302845,88,42,0
2.7302845,2.8643448,86,50,0
4.184893,4.2412205,81,49,0
4.2412205,4.297548,82,44,0
4.297548,4.3538756,81,49,0
4.3538756,4.410203,82,44,0
4.410203,4.525269,81,52,0
4.870467,4.9265585,77,48,0
4.9265585,4.98265,79,45,0
4.98265,5.0387416,77,48,0
5.0387416,5.094833,79,45,0
5.094833,5.209407,77,56,0
5.553128,5.6094556,81,49,0
5.6094556,5.665783,82,44,0
5.665783,5.7221103,81,49,0
5.7221103,5.778438,82,44,0
5.778438,5.9124985,81,54,0
7.192728,7.253664,84,48,0
7.253664,7.3146,86,45,0
7.3146,7.375536,84,48,0
7.375536,7.436472,86,45,0
7.436472,7.5705323,84,68,0
8.797644,8.859704,88,48,0
8.859704,8.921764,89,44,0
8.921764,8.983825,88,48,0
8.983825,9.045885,89,45,0
9.045885,9.183374,88,67,0
10.336507,10.425581,80,54,0
10.425581,10.542149,76,54,0
10.662204,10.9371805,68,49,0
10.662204,10.9371805,72,49,0
11.0697,11.15937,80,54,0
11.15937,11.275939,76,54,0
11.392507,11.667483,72,50,0
11.392507,11.667483,68,50,0
11.804973,11.894642,81,54,0
11.894642,12.012234,76,54,0
12.129826,12.388871,69,56,0
12.647916,12.933142,69,55,0
12.647916,12.933142,60,55,0
12.933142,13.218367,60,55,0
12.933142,13.218367,69,55,0
13.5035925,13.559217,81,43,0
13.559217,13.614843,82,38,0
13.614843,13.670469,81,43,0
13.670469,13.726095,82,39,0
13.726095,13.860155,81,49,0
15.149035,15.206322,86,44,0
15.206322,15.263609,88,40,0
15.263609,15.320896,86,44,0
15.320896,15.378182,88,42,0
15.378182,15.512243,86,50,0
16.828129,16.884457,81,49,0
16.884457,16.940784,82,44,0
16.940784,16.997112,81,49,0
16.997112,17.05344,82,44,0
17.05344,17.168505,81,52,0
17.513702,17.569796,77,48,0
17.569796,17.625887,79,45,0
17.625887,17.681978,77,48,0
17.681978,17.73807,79,45,0
17.73807,17.852644,77,56,0
18.196363,18.252691,81,49,0
18.252691,18.30902,82,44,0
18.30902,18.365347,81,49,0
18.365347,18.421675,82,44,0
18.421675,18.555735,81,54,0
19.8233,19.884235,84,48,0
19.884235,19.945171,86,45,0
19.945171,20.006107,84,48,0
20.006107,20.067043,86,45,0
20.067043,20.201103,84,68,0
21.428215,21.490276,88,48,0
21.490276,21.552336,89,44,0
21.552336,21.614397,88,48,0
21.614397,21.676456,89,45,0
21.676456,21.813946,88,67,0
22.983988,23.073061,80,54,0
23.073061,23.189629,76,54,0
23.309685,23.584661,72,49,0
23.309685,23.584661,68,49,0
23.71718,23.80685,80,54,0
23.80685,23.92342,76,54,0
24.039988,24.314964,72,50,0
24.039988,24.314964,68,50,0
24.452454,24.542122,81,54,0
24.542122,24.659714,76,54,0
24.777306,25.024403,69,56,0
25.2715,25.556725,69,57,0
25.2715,25.556725,60,57,0
25.556725,25.84195,69,57,0
25.556725,25.84195,60,57,0
26.845364,26.95943,62,40,0
26.845364,26.95943,52,40,0
26.95943,27.0735,64,43,0
27.187569,27.912922,52,49,0
27.187569,27.912922,62,49,0
27.187569,27.912922,64,49,0
28.345325,28.460268,52,40,0
28.345325,28.460268,62,40,0
28.460268,28.57521,64,45,0
28.690153,29.41364,52,48,0
28.690153,29.41364,64,48,0
28.690153,29.41364,62,48,0
29.878756,30.003237,52,40,0
29.878756,30.003237,62,40,0
29.878756,30.003237,64,40,0
30.592834,30.716291,52,40,0
30.592834,30.716291,62,40,0
30.592834,30.716291,64,40,0
31.189018,31.30544,52,48,0
31.189018,31.30544,61,48,0
31.30544,31.421865,64,48,0
31.538288,32.24373,64,48,0
31.538288,32.24373,61,48,0
31.538288,32.24373,52,48,0
32.7276,32.77541,69,76,0
32.77541,32.82322,71,69,0
32.82322,32.871033,69,69,0
32.871033,32.918842,71,69,0
32.918842,33.01446,68,68,0
33.301323,33.349873,67,73,0
33.349873,33.398422,69,67,0
33.398422,33.44697,67,67,0
33.44697,33.49552,69,67,0
33.49552,33.592625,66,67,0
33.883923,33.934258,65,70,0
33.934258,33.984596,67,62,0
33.984596,34.03493,65,62,0
34.03493,34.085266,67,62,0
34.085266,34.185936,64,62,0
34.4964,34.55055,62,68,0
34.55055,34.604702,64,60,0
34.604702,34.65885,62,60,0
34.65885,34.713005,64,60,0
34.713005,34.82131,61,60,0
35.146217,35.20157,60,64,0
35.20157,35.25692,64,57,0
35.25692,35.31227,60,58,0
35.31227,35.36762,64,58,0
35.36762,35.47832,59,58,0
35.810425,35.867027,58,62,0
35.867027,35.92363,64,55,0
35.92363,35.980236,58,54,0
35.980236,36.03684,64,54,0
36.03684,36.150047,57,68,0
37.29528,37.345615,70,74,0
