start_time,end_time,note_value,velocity,instrument_program_number
1.979763,2.639684,59,57,0
2.639684,3.299605,64,60,0
3.299605,3.959526,64,61,0
3.959526,4.619447,63,57,0
4.619447,4.95866,61,55,0
4.95866,5.3076596,59,49,0
5.3076596,6.6645117,57,45,0
5.3076596,6.6645117,61,53,0
6.6645117,7.3244324,64,52,0
6.6645117,7.3244324,56,44,0
7.9843535,8.428354,66,54,0
7.9843535,8.428354,61,45,0
8.650354,9.088279,66,51,0
8.650354,9.088279,61,43,0
9.3072405,9.747188,66,49,0
9.3072405,9.747188,59,41,0
9.967161,10.42373,59,40,0
9.967161,10.42373,66,48,0
10.652015,11.971856,59,44,0
10.652015,11.971856,68,52,0
12.631778,13.271299,68,64,0
13.271299,13.919457,73,71,0
13.919457,14.5676155,73,69,0
14.5676155,15.215774,71,69,0
15.215774,15.550296,69,69,0
15.550296,15.878739,68,63,0
15.878739,16.535625,61,69,0
16.535625,17.207668,63,60,0
15.878739,17.207668,69,69,0
17.207668,18.53967,68,62,0
17.207668,18.53967,64,53,0
18.53967,19.224524,66,66,0
18.53967,19.224524,61,56,0
19.224524,19.909376,66,56,0
19.224524,19.909376,57,47,0
19.909376,20.956522,66,56,0
20.956522,21.329731,64,51,0
19.909376,21.329731,57,47,0
19.909376,21.329731,59,47,0
21.329731,22.649572,56,37,0
21.329731,22.649572,59,37,0
21.329731,22.649572,64,45,0
23.309494,24.260199,71,52,0
24.260199,24.56101,73,52,0
23.94922,24.56101,68,31,0
24.56101,25.155045,66,41,0
24.56101,25.155045,75,49,0
25.167683,25.793596,75,53,0
25.793596,26.397764,71,49,0
26.397764,27.004438,68,51,0
27.004438,27.598793,70,49,0
25.167683,27.598793,64,40,0
27.598793,28.215502,71,47,0
27.598793,28.215502,63,39,0
28.256615,29.166624,71,58,0
29.166624,29.462658,73,52,0
28.863289,29.462658,68,36,0
29.462658,29.761045,75,55,0
29.761045,30.059435,71,50,0
29.462658,30.059435,66,46,0
30.059435,30.673622,75,57,0
30.673622,30.968433,73,55,0
30.968433,31.257536,71,47,0
31.257536,31.85916,68,57,0
31.85916,32.468296,70,53,0
30.059435,32.468296,64,43,0
32.468296,33.10219,71,50,0
32.468296,33.10219,63,42,0
33.144592,33.810593,59,57,0
33.810593,34.476593,64,60,0
34.476593,35.142593,64,57,0
35.142593,35.808594,63,57,0
35.808594,36.154255,61,57,0
36.154255,36.513622,59,55,0
36.513622,37.89627,57,45,0
36.513622,37.89627,61,53,0
37.89627,38.556194,64,52,0
37.89627,38.556194,56,44,0
39.216114,39.904186,66,56,0
39.216114,39.904186,61,47,0
39.904186,40.59226,57,45,0
39.904186,40.59226,66,54,0
40.59226,41.649788,66,52,0
41.649788,42.04904,64,49,0
40.59226,42.04904,57,44,0
40.59226,42.04904,59,44,0
42.04904,43.568195,64,46,0
42.04904,43.568195,56,39,0
42.04904,43.568195,59,39,0
44.228115,45.162865,71,52,0
45.162865,45.460365,73,52,0
44.856586,45.460365,68,31,0
45.460365,46.0576,66,41,0
45.460365,46.0576,75,49,0
46.07031,46.696026,75,53,0
46.696026,47.28856,71,45,0
47.28856,47.888496,68,43,0
47.888496,48.478703,70,45,0
46.07031,48.478703,64,40,0
48.478703,49.09178,71,47,0
48.478703,49.09178,63,39,0
49.132652,50.047565,71,58,0
50.047565,50.33908,73,52,0
49.742596,50.33908,68,36,0
50.33908,50.63658,75,55,0
50.63658,50.929268,71,50,0
50.33908,50.929268,66,46,0
50.929268,51.526695,75,57,0
51.526695,51.818214,73,55,0
51.818214,52.10177,71,50,0
52.10177,52.68954,68,53,0
52.68954,53.286972,70,50,0
