start_time,end_time,note_value,velocity,instrument_program_number
2.557407,2.990307,64,50,0
2.990307,3.0933998,66,49,0
3.1964924,3.2480388,68,49,0
3.402678,3.6130564,69,53,0
3.823435,4.250178,69,56,0
4.250178,4.3511205,71,58,0
4.4520626,4.5025334,68,50,0
4.653947,4.761474,66,48,0
5.0302916,5.084055,69,39,0
5.084055,5.193544,66,50,0
5.522011,6.801743,64,47,0
7.8573775,7.961907,64,43,0
8.066437,8.117983,66,46,0
8.272622,8.324168,68,49,0
8.478807,8.69233,68,54,0
8.69233,8.905853,69,51,0
9.108419,9.160144,69,51,0
9.315316,9.366337,71,56,0
9.516738,9.566872,68,50,0
9.717273,9.932326,68,48,0
9.932326,10.039854,66,50,0
10.093617,10.147381,69,39,0
10.147381,10.256869,66,50,0
10.585337,11.861842,64,47,0
12.699908,12.915858,76,44,0
12.699908,12.915858,67,37,0
13.130016,13.342914,68,40,0
13.130016,13.342914,76,48,0
13.554045,13.765448,76,52,0
13.554045,13.765448,69,44,0
13.975098,14.113505,76,54,0
14.113505,14.251914,74,44,0
14.251914,14.390323,72,44,0
14.390323,15.253086,74,48,0
13.975098,15.253086,71,45,0
15.253086,15.469157,64,37,0
15.253086,15.469157,72,44,0
15.681657,15.895438,65,40,0
15.681657,15.895438,72,48,0
16.105686,16.317966,72,52,0
16.105686,16.317966,66,44,0
16.52674,16.665146,72,54,0
16.665146,16.803555,71,44,0
16.803555,16.941963,69,44,0
16.941963,17.80639,71,48,0
16.52674,17.80639,67,45,0
17.80639,17.94291,71,54,0
17.94291,18.079428,69,44,0
18.079428,18.215948,67,44,0
18.215948,19.049282,69,48,0
17.80639,19.049282,65,45,0
19.049282,19.1858,65,59,0
19.18836,19.324879,64,48,0
19.320612,19.45713,62,48,0
19.458838,20.292171,64,52,0
19.049282,20.292171,67,43,0
20.292171,20.733347,65,61,0
20.292171,20.733347,60,51,0
20.733347,20.84829,60,51,0
20.733347,20.84829,67,61,0
20.963232,21.08181,60,48,0
20.963232,21.08181,69,57,0
21.200386,21.416525,60,56,0
21.200386,21.416525,65,66,0
21.776754,22.07092,59,40,0
21.776754,22.07092,62,48,0
22.580431,24.35558,59,34,0
22.580431,24.35558,64,41,0
26.909182,27.342081,64,50,0
27.342081,27.445173,66,48,0
27.548267,27.599813,68,46,0
27.754452,27.96483,69,53,0
28.175209,28.601952,69,54,0
28.601952,28.702557,71,58,0
28.80316,28.85346,68,53,0
29.004366,29.21401,66,48,0
29.371243,29.423653,69,39,0
