start_time,end_time,note_value,velocity,instrument_program_number
1.5,2.0504584,71,60,0
2.0504584,2.8404102,69,64,0
2.8404102,3.0946474,67,51,0
3.0946474,3.666076,66,49,0
3.666076,4.709554,66,53,0
1.5,4.709554,62,60,0
4.709554,5.046633,71,60,0
5.046633,5.159415,69,52,0
5.159415,5.272197,71,52,0
5.272197,6.051104,69,62,0
6.051104,6.2990384,67,51,0
6.2990384,6.8759613,66,55,0
6.8759613,7.9104443,66,53,0
4.709554,7.9104443,62,60,0
7.9104443,8.175931,62,49,0
8.175931,8.475931,64,52,0
8.475931,10.079346,66,55,0
8.475931,10.079346,59,55,0
10.079346,10.861954,66,53,0
10.079346,10.861954,58,53,0
10.861954,11.134682,70,51,0
10.861954,11.134682,61,51,0
11.134682,11.407409,73,54,0
11.134682,11.407409,64,54,0
11.407409,11.693123,74,56,0
11.407409,11.693123,66,56,0
11.693123,12.233664,73,52,0
11.693123,12.233664,64,52,0
12.233664,14.158371,71,45,0
12.233664,14.158371,62,45,0
14.832528,15.34977,74,60,0
15.34977,16.13972,73,71,0
16.13972,16.393959,71,55,0
16.393959,16.965387,69,57,0
16.965387,18.008865,69,59,0
14.832528,18.008865,66,60,0
18.008865,18.345943,74,60,0
18.345943,18.458727,73,59,0
18.458727,18.571508,74,62,0
18.571508,19.350416,73,67,0
19.350416,19.59835,71,56,0
19.59835,20.175272,69,61,0
20.175272,21.209755,69,58,0
18.008865,21.209755,66,60,0
21.209755,21.475243,66,49,0
21.475243,21.775242,67,55,0
21.775242,23.378656,69,60,0
21.775242,23.378656,62,60,0
23.378656,24.161266,69,59,0
23.378656,24.161266,61,59,0
24.161266,24.433992,73,54,0
24.161266,24.433992,64,54,0
24.433992,24.70672,76,57,0
24.433992,24.70672,67,57,0
24.70672,24.992434,78,60,0
24.70672,24.992434,69,60,0
24.992434,25.532974,76,56,0
24.992434,25.532974,67,56,0
25.532974,27.415104,74,48,0
25.532974,27.415104,66,48,0
28.046682,28.577656,78,63,0
28.577656,29.374117,76,66,0
29.374117,29.632738,74,58,0
29.632738,30.174377,73,63,0
28.577656,30.174377,70,46,0
28.577656,30.174377,67,40,0
30.174377,30.970837,74,67,0
30.970837,31.233995,71,58,0
31.233995,31.791271,74,60,0
30.174377,31.791271,68,45,0
30.174377,31.791271,65,40,0
31.791271,34.758053,73,58,0
31.791271,34.758053,70,56,0
31.791271,34.758053,66,56,0
34.758053,35.289024,78,63,0
35.289024,36.085484,77,67,0
36.085484,36.344105,76,58,0
36.344105,36.602726,74,63,0
36.602726,36.885746,73,63,0
35.289024,36.885746,70,45,0
35.289024,36.885746,67,40,0
36.885746,37.682205,76,67,0
37.682205,37.945362,74,58,0
37.945362,38.208523,71,60,0
38.208523,38.50264,74,60,0
36.885746,38.50264,68,40,0
36.885746,38.50264,65,40,0
38.50264,41.364384,73,56,0
38.50264,41.364384,70,56,0
38.50264,41.364384,66,56,0
41.364384,41.64216,75,53,0
41.64216,41.919937,77,53,0
41.364384,41.919937,71,45,0
41.364384,41.919937,66,45,0
41.919937,44.814655,73,56,0
41.919937,44.814655,70,47,0
41.919937,44.814655,66,47,0
44.814655,45.08738,75,53,0
45.08738,45.360107,77,53,0
44.814655,45.360107,71,45,0
