start_time,end_time,note_value,velocity,instrument_program_number
0.525026,0.779091,50,31,0
0.525026,0.779091,57,31,0
0.779091,1.033156,57,31,0
0.779091,1.033156,50,31,0
1.033156,1.287221,57,36,0
1.033156,1.287221,50,36,0
2.492308,2.7300634,57,31,0
2.492308,2.7300634,50,31,0
2.7300634,2.967819,57,31,0
2.7300634,2.967819,50,31,0
2.967819,3.207378,57,35,0
2.967819,3.207378,50,35,0
3.686496,3.7657478,69,39,0
3.7657478,3.8449996,71,39,0
3.8449996,3.9242516,69,41,0
4.162007,4.3997626,69,44,0
3.9242516,4.3997626,66,44,0
4.3997626,4.4583197,74,45,0
4.3997626,4.4583197,66,42,0
4.633991,4.693657,66,45,0
4.633991,4.693657,78,42,0
4.8726544,5.11041,76,45,0
5.11041,5.3481655,74,42,0
4.8726544,5.3481655,66,37,0
5.3481655,5.407604,66,42,0
5.585921,5.64536,66,41,0
5.585921,5.64536,69,41,0
5.8236766,6.061432,66,45,0
5.8236766,6.061432,69,45,0
5.8236766,6.061432,71,45,0
6.2991877,6.536943,71,41,0
6.2991877,6.536943,69,41,0
6.2991877,6.536943,66,41,0
6.655821,6.7746987,69,41,0
6.655821,6.7746987,71,41,0
6.655821,6.7746987,66,41,0
6.7746987,7.250337,66,41,0
6.7746987,7.250337,69,41,0
6.7746987,7.250337,71,41,0
7.250337,7.3084583,66,42,0
7.250337,7.3084583,62,42,0
7.482823,7.5409446,66,42,0
7.482823,7.5409446,68,42,0
7.482823,7.5409446,62,42,0
7.715309,7.951288,69,45,0
7.951288,8.177925,71,42,0
7.715309,8.177925,66,45,0
7.715309,8.177925,62,45,0
8.177925,8.236047,62,44,0
8.177925,8.236047,66,44,0
8.410412,8.468533,66,44,0
8.410412,8.468533,68,44,0
8.410412,8.468533,62,44,0
8.642898,8.877126,69,45,0
8.877126,9.103764,71,42,0
8.642898,9.103764,66,45,0
8.642898,9.103764,62,45,0
9.103764,9.217901,66,44,0
9.103764,9.217901,62,44,0
9.33204,9.389109,68,44,0
9.33204,9.389109,62,44,0
9.33204,9.389109,66,44,0
9.560315,9.790271,69,47,0
9.560315,9.790271,64,47,0
9.560315,9.790271,62,47,0
10.0202265,10.25358,69,42,0
10.0202265,10.25358,61,42,0
10.370257,10.486935,61,42,0
10.370257,10.486935,69,42,0
10.486935,10.720288,61,42,0
10.486935,10.720288,69,42,0
11.183598,11.26025,73,44,0
11.26025,11.336902,74,44,0
11.336902,11.413553,73,44,0
11.643509,11.873465,74,47,0
11.413553,11.873465,71,47,0
11.873465,11.932238,71,49,0
11.873465,11.932238,79,49,0
12.108556,12.167329,71,45,0
12.108556,12.167329,83,45,0
12.343648,12.578739,81,48,0
12.578739,12.81383,79,42,0
12.343648,12.81383,71,41,0
12.81383,12.871528,67,42,0
12.81383,12.871528,71,42,0
13.044618,13.102314,74,42,0
13.044618,13.102314,71,42,0
13.044618,13.102314,67,42,0
13.275405,13.509633,67,46,0
13.275405,13.509633,78,46,0
13.275405,13.509633,74,46,0
13.275405,13.509633,71,46,0
13.742987,13.977216,67,42,0
13.742987,13.977216,78,42,0
13.742987,13.977216,74,42,0
13.742987,13.977216,71,42,0
14.09433,14.211444,67,42,0
14.09433,14.211444,78,42,0
14.09433,14.211444,74,42,0
14.09433,14.211444,71,42,0
14.211444,14.689873,71,42,0
14.211444,14.689873,78,42,0
14.211444,14.689873,74,42,0
14.211444,14.689873,67,42,0
14.689873,14.748646,67,42,0
14.689873,14.748646,71,42,0
14.924964,14.983737,67,42,0
14.924964,14.983737,71,42,0
14.924964,14.983737,73,42,0
15.160055,15.396034,74,46,0
15.396034,15.623497,76,42,0
15.160055,15.623497,71,46,0
15.160055,15.623497,67,46,0
15.623497,15.68227,67,45,0
15.623497,15.68227,71,45,0
15.858588,15.917361,73,45,0
15.858588,15.917361,71,45,0
15.858588,15.917361,67,45,0
16.09368,16.31711,74,47,0
16.31711,16.547897,76,44,0
16.09368,16.547897,71,47,0
16.09368,16.547897,67,47,0
16.547897,16.604763,67,45,0
16.547897,16.604763,71,45,0
16.77536,16.832226,73,45,0
16.77536,16.832226,71,45,0
16.77536,16.832226,67,45,0
17.002823,17.23361,67,49,0
17.002823,17.23361,69,49,0
17.002823,17.23361,74,49,0
17.464397,17.695183,66,45,0
17.464397,17.695183,74,45,0
17.810577,17.92597,66,45,0
17.810577,17.92597,74,45,0
17.92597,18.156757,66,45,0
17.92597,18.156757,74,45,0
19.420425,19.668482,69,27,0
19.420425,19.668482,62,27,0
19.668482,19.916538,69,27,0
19.668482,19.916538,62,27,0
19.916538,20.164595,69,33,0
19.916538,20.164595,62,33,0
21.363674,21.60143,69,27,0
21.363674,21.60143,62,27,0
21.60143,21.839186,69,27,0
21.60143,21.839186,62,27,0
21.839186,22.078745,69,31,0
21.839186,22.078745,62,31,0
22.557863,22.637114,81,35,0
22.637114,22.716366,83,35,0
22.716366,22.795618,81,36,0
23.028105,23.26059,81,39,0
22.795618,23.26059,78,39,0
23.26059,23.319363,86,39,0
23.26059,23.319363,78,39,0
23.495682,23.554676,78,37,0
23.495682,23.554676,90,37,0
23.73166,23.965015,88,41,0
23.965015,24.20277,86,37,0
23.73166,24.20277,78,33,0
24.20277,24.262209,78,37,0
24.440525,24.499964,78,36,0
24.440525,24.499964,81,36,0
24.678282,24.916037,83,39,0
24.678282,24.916037,81,39,0
24.678282,24.916037,78,39,0
25.153791,25.391548,83,37,0
25.153791,25.391548,81,37,0
