start_time,end_time,note_value,velocity,instrument_program_number
1.2891139,1.3336242,62,36,0
1.3336242,1.3781346,64,36,0
1.3781346,1.422645,65,36,0
1.422645,1.4671553,67,36,0
1.4671553,1.5588983,69,38,0
1.6506413,1.7415503,65,34,0
1.6506413,1.7415503,62,34,0
1.6506413,1.7415503,74,34,0
1.8324593,1.9239229,65,34,0
1.8324593,1.9239229,74,34,0
1.8324593,1.9239229,62,34,0
2.0153863,2.1054764,65,34,0
2.0153863,2.1054764,62,34,0
2.0153863,2.1054764,73,34,0
2.1955664,2.286752,65,36,0
2.1955664,2.286752,62,36,0
2.1955664,2.286752,73,36,0
2.3779373,2.4672232,72,34,0
2.3779373,2.4672232,62,34,0
2.3779373,2.4672232,65,34,0
2.5565088,2.6465988,65,34,0
2.5565088,2.6465988,62,34,0
2.5565088,2.6465988,72,34,0
2.7366889,2.824408,65,34,0
2.7366889,2.824408,71,34,0
2.7366889,2.824408,62,34,0
2.9121273,3.0022173,65,36,0
2.9121273,3.0022173,62,36,0
2.9121273,3.0022173,71,36,0
3.0923073,3.1810648,65,33,0
3.0923073,3.1810648,62,33,0
3.0923073,3.1810648,70,33,0
3.2698224,3.3599124,70,33,0
3.2698224,3.3599124,62,33,0
3.2698224,3.3599124,65,33,0
3.4500024,3.538498,65,32,0
3.4500024,3.538498,62,32,0
3.4500024,3.538498,69,32,0
3.6269934,3.7165456,64,43,0
3.6269934,3.7165456,68,43,0
3.6269934,3.7165456,59,43,0
3.806098,4.1670203,59,43,0
3.806098,4.1670203,68,43,0
3.806098,4.1670203,64,43,0
4.1670203,4.211399,67,36,0
4.211399,4.255778,69,36,0
4.255778,4.3001566,70,36,0
4.3001566,4.3445354,72,36,0
4.3445354,4.4354444,74,38,0
4.5263534,4.6161737,79,34,0
4.5263534,4.6161737,70,34,0
4.5263534,4.6161737,67,34,0
4.7059937,4.7969027,67,34,0
4.7059937,4.7969027,79,34,0
4.7059937,4.7969027,70,34,0
4.8878117,4.976569,70,34,0
4.8878117,4.976569,67,34,0
