start_time,end_time,note_value,velocity,instrument_program_number
13.026321,13.41119,81,80,40
13.421058,13.805926,81,80,40
13.815795,14.200664,81,80,40
14.210532,15.680927,81,80,40
15.740138,15.782901,81,80,40
15.78948,16.947374,90,80,40
16.973692,17.16448,88,80,40
17.171059,17.361849,86,80,40
17.368427,18.141455,86,80,40
18.157902,18.444086,85,80,40
18.453955,18.54606,86,80,40
18.552639,18.611849,88,80,40
18.61843,18.674349,86,80,40
18.677639,18.74343,88,80,40
18.750008,18.842113,86,80,40
18.848692,18.891455,85,80,40
18.898033,18.940798,86,80,40
18.947376,19.332245,88,80,40
20.526323,21.99672,81,80,40
22.05593,22.098694,81,80,40
22.105272,23.263166,91,80,40
23.289482,23.480272,90,80,40
23.48685,23.67764,88,80,40
23.68422,24.457247,88,80,40
24.473694,24.759878,86,80,40
24.769747,24.861853,88,80,40
24.868431,24.92764,90,80,40
24.934221,24.99014,88,80,40
24.993431,25.059221,90,80,40
25.0658,25.157906,88,80,40
25.164484,25.207247,86,80,40
25.213825,25.25659,88,80,40
25.263168,25.648037,90,80,40
26.842115,27.575668,81,49,40
27.582249,27.625011,85,49,40
27.63159,27.917774,83,49,40
27.927643,28.019749,81,49,40
28.026327,28.312511,83,49,40
28.32238,28.414486,86,49,40
28.421064,29.000011,81,49,40
29.111855,29.154617,81,49,40
29.161196,29.496723,79,49,40
29.50659,29.598696,78,49,40
29.605274,29.891459,79,49,40
29.901327,29.993433,81,49,40
30.000011,30.57896,78,49,40
30.690802,30.733564,78,49,40
30.740145,31.07567,76,49,40
31.085539,31.177645,74,49,40
31.184223,31.470407,76,49,40
31.480276,31.57567,78,49,40
31.57896,35.059223,74,105,40
35.13159,35.51646,86,104,40
35.52633,35.911198,85,104,40
35.921066,36.305935,84,104,40
36.315804,36.700672,83,104,40
36.71054,37.09541,82,104,40
37.105278,37.490147,83,104,40
37.500015,37.884884,80,104,40
37.894753,38.27962,81,104,40
38.28949,38.628304,74,104,40
38.634884,38.677647,78,104,40
38.684227,39.02304,76,104,40
39.02962,39.072384,79,104,40
39.078964,39.417778,78,104,40
39.42436,39.46712,81,104,40
39.4737,39.85857,79,104,40
39.86844,40.641464,79,104,40
40.65791,41.437515,78,104,40
41.447384,42.220413,76,104,40
42.23686,42.621727,74,104,40
42.631596,42.822384,73,104,40
43.026333,43.21712,76,104,40
43.42107,43.61186,69,104,40
43.815807,44.006596,81,104,40
44.210545,44.401333,80,104,40
44.60528,44.79607,76,104,40
45.00002,45.190807,74,104,40
45.394756,45.585545,71,104,40
45.789494,46.174362,73,104,40
46.9737,47.35857,73,104,40
47.36844,48.101994,74,104,40
48.10857,48.151337,76,104,40
48.157913,48.4441,74,104,40
48.453968,48.546074,73,104,40
48.55265,48.838837,74,104,40
48.848705,48.940807,76,104,40
48.947388,49.332256,73,104,40
50.921074,51.305943,71,104,40
51.31581,51.70068,70,104,40
51.71055,52.095417,76,104,40
52.105286,52.490154,74,104,40
52.500023,52.884888,69,104,40
52.894756,53.279625,68,104,40
53.289494,53.674362,74,104,40
53.68423,54.0691,73,104,40
54.078968,54.463837,76,104,40
54.473705,54.858574,75,104,40
54.868443,55.25331,81,104,40
55.26318,55.64805,80,104,40
56.44739,57.220417,78,104,40
57.236866,58.00989,80,104,40
58.02634,58.799366,81,104,40
58.81581,59.58884,81,104,40
59.605286,60.378315,82,104,40
60.39476,61.16779,83,104,40
61.184235,61.95726,80,104,40
61.97371,62.746735,81,104,40
62.763184,63.148052,85,104,40
63.15792,63.54279,86,104,40
63.552658,64.32568,86,127,40
64.34213,64.727,85,104,40
64.73687,65.121735,83,104,40
65.13161,65.90463,83,127,40
65.92108,66.30595,81,104,40
66.31582,66.70068,80,104,40
67.50003,68.273056,78,104,40
68.2895,69.06253,80,104,40
69.07897,69.852005,80,104,40
69.86845,70.64147,81,104,40
70.65792,71.43095,79,104,40
71.447395,71.83227,78,104,40
71.84213,72.227005,78,104,40
72.23687,72.62174,78,104,40
72.63161,73.01648,78,104,40
73.026344,73.41122,83,49,40
73.42108,73.805954,83,49,40
73.81582,74.20069,83,49,40
74.210556,75.75661,83,49,40
75.789505,76.56253,84,49,40
76.57898,77.302666,87,105,40
77.368454,77.75332,88,65,40
78.15793,78.54279,80,104,40
78.15793,78.54279,71,104,40
78.9474,79.07569,81,104,40
79.07898,79.20727,80,104,40
79.210556,79.338844,78,104,40
79.34214,79.47043,76,104,40
79.47372,79.602005,74,104,40
79.60529,79.73358,73,104,40
79.73688,79.865166,71,104,40
79.868454,79.99674,69,104,40
80.00003,80.12832,68,104,40
80.131615,80.2599,66,104,40
80.26319,80.39148,64,104,40
80.39477,80.523056,62,104,40
80.526344,80.91122,61,104,40
80.92108,81.305954,62,104,40
81.31582,81.70069,63,104,40
81.710556,82.09543,64,104,40
82.10529,82.23359,81,104,40
82.23688,82.365166,83,104,40
82.368454,82.49674,81,104,40
82.50003,82.62832,80,104,40
82.631615,82.7599,78,104,40
82.76319,82.89148,76,104,40
82.89477,83.023056,74,104,40
83.02635,83.15464,73,104,40
83.15793,83.28622,71,104,40
83.289505,83.41779,69,104,40
83.42109,83.54938,68,104,40
83.552666,83.680954,66,104,40
83.68424,84.069115,65,104,40
84.07898,84.46385,66,104,40
84.47372,84.85859,68,104,40
