start_time,end_time,note_value,velocity,instrument_program_number
1.5789475,1.914143,67,46,0
1.914143,2.4667747,67,49,0
2.4667747,2.545722,71,47,0
2.545722,2.8683026,69,47,0
2.8683026,3.1808026,62,49,0
3.1808026,3.4933026,64,45,0
3.4933026,3.6495526,66,45,0
3.6495526,3.688615,67,45,0
3.688615,3.7276776,66,45,0
3.7276776,3.76674,64,45,0
3.76674,3.8058026,66,45,0
3.8058026,3.9242237,67,46,0
4.121592,4.240013,67,45,0
4.4373813,4.5558023,67,45,0
4.753171,5.393285,67,45,0
5.393285,5.62766,69,45,0
5.62766,5.705785,72,45,0
5.393285,5.705785,62,45,0
5.705785,6.0119076,71,49,0
6.0119076,6.31803,69,45,0
6.31803,6.6225986,71,45,0
5.705785,6.6225986,62,41,0
6.6225986,6.928721,74,49,0
6.928721,7.2378674,72,45,0
6.6225986,7.2378674,66,44,0
7.2378674,7.553657,71,45,0
7.2378674,7.553657,67,45,0
6.6225986,7.553657,62,36,0
7.553657,7.8597794,71,47,0
7.553657,7.8597794,67,47,0
7.8597794,8.164348,69,45,0
7.8597794,8.164348,66,45,0
8.164348,8.468916,69,45,0
8.164348,8.468916,66,45,0
8.468916,9.090678,69,45,0
8.468916,9.090678,66,45,0
9.090678,9.398371,71,46,0
9.090678,9.398371,68,46,0
9.398371,9.706063,72,49,0
9.398371,9.706063,69,49,0
9.706063,10.013756,74,51,0
9.706063,10.013756,71,51,0
10.013756,10.326256,76,51,0
10.013756,10.326256,72,51,0
10.326256,10.961177,76,51,0
10.326256,10.961177,72,51,0
10.961177,11.063218,72,52,0
11.063218,11.167838,71,42,0
11.167838,11.280198,72,44,0
10.961177,11.280198,69,52,0
11.280198,11.58632,71,50,0
11.280198,11.58632,67,50,0
11.58632,11.892443,72,49,0
11.58632,11.892443,69,49,0
11.892443,12.1985655,74,49,0
11.892443,12.1985655,71,49,0
12.1985655,12.504687,72,51,0
12.504687,12.809257,74,51,0
12.809257,13.113825,76,51,0
13.113825,13.423103,74,53,0
12.1985655,13.423103,67,51,0
13.423103,13.732382,79,57,0
13.732382,14.04166,79,57,0
14.04166,14.194721,81,60,0
14.194721,14.347783,79,53,0
14.347783,14.500844,78,57,0
14.500844,14.653905,76,50,0
14.653905,14.806967,74,55,0
14.806967,14.9783945,73,49,0
14.9783945,15.308065,76,47,0
15.308065,15.639557,74,44,0
15.639557,15.971048,74,44,0
15.971048,16.468287,74,44,0
16.468287,16.634031,71,44,0
16.634031,16.799778,72,44,0
16.799778,16.965523,69,44,0
16.965523,17.518154,67,49,0
17.518154,17.597101,71,47,0
17.597101,17.919682,69,47,0
17.919682,18.232182,62,49,0
18.232182,18.544682,64,45,0
18.544682,18.700932,66,45,0
18.700932,18.739994,67,45,0
18.739994,18.779057,66,45,0
18.779057,18.81812,64,45,0
18.81812,18.857182,66,45,0
18.857182,18.975603,67,46,0
19.172972,19.291393,67,45,0
19.488762,19.607182,67,45,0
19.80455,20.444664,67,45,0
20.444664,20.679039,69,45,0
20.679039,20.757164,72,45,0
20.444664,20.757164,62,45,0
20.757164,21.063288,71,49,0
21.063288,21.36941,69,45,0
21.36941,21.673979,71,45,0
20.757164,21.673979,62,41,0
21.673979,21.9801,74,49,0
21.9801,22.289248,72,45,0
21.673979,22.289248,66,44,0
22.289248,22.603384,71,45,0
22.289248,22.603384,67,45,0
21.673979,22.603384,62,36,0
22.603384,22.909506,71,47,0
22.603384,22.909506,67,47,0
22.909506,23.214075,69,45,0
22.909506,23.214075,66,45,0
23.214075,23.518642,69,45,0
23.214075,23.518642,66,45,0
23.518642,24.140406,69,45,0
23.518642,24.140406,66,45,0
24.140406,24.448097,71,46,0
24.140406,24.448097,68,46,0
24.448097,24.755789,72,49,0
24.448097,24.755789,69,49,0
24.755789,25.063482,74,51,0
