start_time,end_time,note_value,velocity,instrument_program_number
0.754338,1.005784,72,40,0
1.005784,1.1336503,77,45,0
1.1336503,1.2615165,72,40,0
1.2615165,1.3893827,77,41,0
1.3893827,1.517249,72,42,0
1.517249,1.641411,81,48,0
1.641411,1.765573,77,44,0
1.765573,1.8933158,81,44,0
1.8933158,2.0330977,77,45,0
2.0330977,2.5556548,84,55,0
2.5556548,2.6813776,82,47,0
2.6813776,2.8071008,81,44,0
2.8071008,2.9355032,79,44,0
2.9355032,3.0692644,77,44,0
3.0692644,3.1949875,76,44,0
3.1949875,3.3207104,77,45,0
3.3207104,3.4464333,79,46,0
3.4464333,3.5721564,76,44,0
3.5721564,3.708756,72,47,0
3.8453555,3.9136553,82,47,0
3.8453555,3.9136553,79,39,0
4.1360598,4.672637,82,46,0
4.1360598,4.672637,79,39,0
4.672637,4.9339156,77,38,0
4.672637,4.9339156,81,45,0
4.9339156,5.1853614,72,40,0
5.1853614,5.312685,77,45,0
5.312685,5.440009,72,40,0
5.440009,5.5673327,77,41,0
5.5673327,5.6946564,72,42,0
5.6946564,5.8193345,81,48,0
5.8193345,5.9440126,77,44,0
5.9440126,6.072099,81,44,0
6.072099,6.2099543,77,45,0
6.2099543,6.734797,84,55,0
6.734797,6.8605204,82,47,0
6.8605204,6.9862432,81,44,0
6.9862432,7.1146455,79,44,0
7.1146455,7.248407,77,44,0
7.248407,7.376175,79,40,0
7.376175,7.5039434,81,41,0
7.5039434,7.6325965,82,42,0
7.6325965,7.76302,79,40,0
7.76302,7.8979244,77,43,0
7.8979244,8.032828,76,43,0
8.032828,8.170611,74,43,0
8.170611,8.323191,72,43,0
8.323191,8.828072,77,46,0
9.080512,9.331958,72,40,0
9.331958,9.459282,77,45,0
9.459282,9.586605,72,40,0
9.586605,9.713929,77,41,0
9.713929,9.841252,72,42,0
9.841252,9.966976,81,48,0
9.966976,10.092699,77,44,0
10.092699,10.221482,81,44,0
10.221482,10.356386,77,45,0
10.356386,10.88586,84,55,0
10.88586,11.012592,82,47,0
11.012592,11.139324,81,44,0
11.139324,11.268399,79,44,0
11.268399,11.402161,77,44,0
11.402161,11.527884,76,44,0
11.527884,11.653606,77,45,0
11.653606,11.779329,79,46,0
11.779329,11.905053,76,44,0
11.905053,12.041033,72,47,0
12.177013,12.245004,82,47,0
12.177013,12.245004,79,39,0
12.4696455,12.9870205,82,46,0
12.4696455,12.9870205,79,39,0
12.9870205,13.2457075,77,38,0
12.9870205,13.2457075,81,45,0
13.2457075,13.497153,72,40,0
13.497153,13.624477,77,45,0
13.624477,13.7518015,72,40,0
13.7518015,13.879125,77,42,0
13.879125,14.006449,72,42,0
14.006449,14.132172,81,49,0
14.132172,14.2578945,77,44,0
14.2578945,14.386678,81,46,0
14.386678,14.521583,77,46,0
14.521583,15.053403,84,48,0
15.053403,15.179126,82,47,0
15.179126,15.30485,81,44,0
15.30485,15.433251,79,44,0
15.433251,15.567013,77,44,0
15.567013,15.694781,79,40,0
15.694781,15.82255,81,41,0
15.82255,15.951202,82,42,0
15.951202,16.081627,79,40,0
16.081627,16.21653,77,43,0
