start_time,end_time,note_value,velocity,instrument_program_number
1.2808918,2.0430157,62,55,0
1.2808918,2.0430157,57,55,0
1.2808918,2.0430157,69,65,0
2.23746,3.527061,57,61,0
2.23746,3.527061,69,72,0
3.527061,3.936897,57,54,0
3.527061,3.936897,69,63,0
2.23746,3.936897,61,61,0
3.936897,4.857142,62,59,0
3.936897,4.857142,69,70,0
3.936897,4.857142,57,70,0
4.857142,5.882958,64,57,0
4.857142,5.882958,57,68,0
4.857142,5.882958,69,68,0
4.857142,5.882958,60,57,0
5.882958,6.835339,66,59,0
5.882958,6.835339,60,47,0
6.835339,7.8697715,60,52,0
5.882958,7.8697715,57,48,0
5.882958,7.8697715,69,75,0
6.835339,7.8697715,66,62,0
7.8697715,8.770767,57,51,0
7.8697715,8.770767,69,73,0
7.8697715,8.770767,60,48,0
7.8697715,8.770767,66,55,0
8.770767,9.457758,57,54,0
8.770767,9.457758,69,71,0
9.457758,9.757757,57,55,0
8.770767,9.757757,66,48,0
8.770767,9.757757,60,45,0
9.457758,9.757757,69,66,0
9.757757,11.516499,57,61,0
9.757757,11.516499,60,61,0
11.516499,13.451438,56,61,0
9.757757,13.451438,52,61,0
9.757757,13.451438,64,72,0
11.516499,13.451438,59,72,0
13.66445,15.802075,64,72,0
13.66445,15.802075,52,61,0
13.66445,15.802075,57,61,0
13.66445,15.802075,61,61,0
17.890026,18.190025,65,63,0
17.890026,18.190025,67,76,0
17.890026,18.190025,55,63,0
17.890026,18.190025,62,63,0
18.190025,18.666216,55,59,0
18.190025,18.666216,67,82,0
18.190025,18.666216,60,70,0
18.190025,18.666216,64,70,0
19.142406,19.618597,55,54,0
19.142406,19.618597,67,79,0
19.142406,19.618597,60,64,0
19.142406,19.618597,63,64,0
20.489525,20.884262,55,55,0
20.489525,20.884262,67,78,0
20.489525,20.884262,59,65,0
20.489525,20.884262,62,65,0
20.884262,21.384262,55,59,0
20.884262,21.384262,67,82,0
20.884262,21.384262,58,70,0
20.884262,21.384262,61,70,0
21.884262,22.384262,55,55,0
21.884262,22.384262,67,78,0
21.884262,22.384262,58,65,0
21.884262,22.384262,61,65,0
23.884262,24.684244,55,32,0
23.884262,24.684244,67,42,0
24.684244,24.920055,67,45,0
24.684244,24.920055,55,37,0
23.884262,24.920055,60,36,0
24.920055,25.819288,62,44,0
24.920055,25.819288,67,54,0
24.93472,25.83568,59,43,0
24.936552,25.83773,55,37,0
25.819288,25.83773,55,47,0
25.819288,26.27788,67,62,0
26.27788,26.802221,67,63,0
25.819288,26.802221,58,42,0
25.819288,26.802221,64,47,0
26.27788,26.802221,55,54,0
26.802221,27.670578,57,61,0
26.802221,27.670578,55,61,0
27.670578,29.7116,54,61,0
26.802221,29.7116,62,72,0
26.802221,29.7116,50,61,0
27.670578,29.7116,57,72,0
30.160452,32.43594,62,76,0
29.950235,32.43594,50,65,0
30.004574,32.43594,55,69,0
30.068195,32.43594,59,72,0
35.207973,35.3054,50,62,0
35.207973,35.398945,62,66,0
35.3054,35.40052,53,40,0
35.3054,35.40052,56,48,0
35.40052,35.493443,62,50,0
35.493443,35.584606,62,51,0
35.584606,35.673756,65,45,0
35.584606,35.673756,68,53,0
35.673756,35.761124,74,54,0
35.761124,35.846786,74,55,0
35.846786,35.9308,77,48,0
35.846786,35.9308,80,57,0
35.9308,36.014183,86,58,0
36.014183,36.09858,86,60,0
36.09858,36.21029,89,54,0
36.09858,36.21029,92,63,0
36.21029,36.294147,98,68,0
36.294147,36.378914,89,57,0
36.294147,36.378914,92,68,0
36.378914,36.464638,86,66,0
36.464638,36.55131,86,64,0
