start_time,end_time,note_value,velocity,instrument_program_number
2.325,2.4077814,63,71,0
2.4243379,5.4872518,63,74,0
5.503808,5.5865893,60,56,0
5.503808,5.5865893,66,56,0
5.503808,5.5865893,68,66,0
5.6031456,8.6660595,68,71,0
5.6031456,8.6660595,66,59,0
5.6031456,8.6660595,60,59,0
8.682616,8.765397,59,56,0
8.682616,8.765397,66,56,0
8.682616,8.765397,69,66,0
8.781954,9.579826,59,58,0
8.781954,9.579826,66,58,0
8.781954,9.579826,69,70,0
9.633018,10.4663515,66,60,0
9.633018,10.4663515,69,72,0
9.633018,10.4663515,59,60,0
10.521907,11.380686,69,74,0
10.521907,11.380686,65,63,0
11.437938,12.08835,69,74,0
11.437938,12.08835,63,63,0
12.524216,15.050532,70,72,0
12.436657,15.050532,65,63,0
12.351742,15.050532,62,63,0
15.050532,15.171744,74,41,0
15.050532,15.171744,70,36,0
15.17932,15.300193,65,36,0
15.17932,15.300193,62,36,0
15.307655,15.427058,77,41,0
15.307655,15.427058,74,36,0
15.307655,15.427058,70,36,0
15.434521,15.553156,65,36,0
15.434521,15.553156,70,36,0
15.560509,15.678156,77,36,0
15.560509,15.678156,74,36,0
15.560509,15.678156,82,41,0
15.685509,15.794738,74,36,0
15.685509,15.794738,70,36,0
15.807238,15.899204,86,41,0
15.807238,15.899204,82,36,0
15.807238,15.899204,77,36,0
15.911144,15.998742,77,36,0
15.911144,15.998742,74,36,0
16.010172,16.093733,89,41,0
16.010172,16.093733,86,36,0
16.010172,16.093733,82,36,0
16.104603,16.180672,82,36,0
16.104603,16.180672,77,36,0
16.190287,16.258905,89,37,0
16.190287,16.258905,86,37,0
16.190287,16.258905,94,43,0
16.267834,16.332663,86,39,0
16.267834,16.332663,82,39,0
16.340996,16.402287,89,41,0
16.340996,16.402287,94,41,0
16.340996,16.402287,98,45,0
16.410225,16.467937,89,48,0
16.410225,16.467937,86,43,0
16.482975,18.24768,101,44,0
16.482975,18.24768,98,49,0
16.482975,18.24768,94,44,0
18.24768,18.570263,88,36,0
18.24768,18.570263,97,41,0
18.24768,18.570263,94,36,0
18.570263,18.844234,99,37,0
18.570263,18.844234,91,33,0
18.844234,19.055079,98,38,0
18.844234,19.055079,89,35,0
19.0852,19.317757,85,36,0
19.0852,19.317757,89,36,0
19.0852,19.317757,93,41,0
19.317757,19.49167,96,37,0
19.317757,19.49167,87,33,0
19.49167,19.637503,94,37,0
19.49167,19.637503,86,33,0
19.658337,19.819628,82,36,0
19.658337,19.819628,85,36,0
19.658337,19.819628,88,41,0
19.819628,19.95568,91,38,0
19.819628,19.95568,86,35,0
19.95568,20.068584,89,38,0
19.95568,20.068584,82,35,0
20.084713,20.217165,85,41,0
20.084713,20.217165,82,36,0
20.084713,20.217165,76,36,0
20.217165,20.342165,87,37,0
20.217165,20.342165,79,33,0
20.342165,20.445105,86,38,0
20.342165,20.445105,77,35,0
20.45981,20.567919,73,36,0
20.45981,20.567919,77,36,0
20.45981,20.567919,81,41,0
20.567919,20.669441,84,37,0
20.567919,20.669441,75,33,0
20.669441,20.758274,82,38,0
20.669441,20.758274,74,35,0
20.770966,20.875132,70,37,0
20.770966,20.875132,73,37,0
20.770966,20.875132,76,43,0
20.875132,20.970825,79,41,0
20.875132,20.970825,74,36,0
20.970825,21.054558,70,36,0
20.970825,21.054558,77,42,0
21.066519,21.165041,70,39,0
21.066519,21.165041,73,45,0
21.066519,21.165041,64,39,0
21.165041,21.258938,75,42,0
21.165041,21.258938,67,36,0
21.258938,21.341301,74,41,0
21.258938,21.341301,65,36,0
21.353378,21.449997,61,42,0
21.353378,21.449997,65,42,0
21.353378,21.449997,69,46,0
21.449997,21.54174,72,44,0
21.449997,21.54174,63,38,0
21.54174,21.622015,70,45,0
21.54174,21.622015,62,39,0
21.633484,21.726507,61,44,0
21.633484,21.726507,58,44,0
21.633484,21.726507,64,49,0
21.726507,21.814613,67,45,0
21.726507,21.814613,62,41,0
21.814613,21.891705,65,45,0
21.814613,21.891705,58,41,0
21.902718,21.993628,58,49,0
21.902718,21.993628,61,55,0
21.902718,21.993628,52,49,0
21.993628,22.080584,63,52,0
21.993628,22.080584,55,45,0
22.080584,22.156672,62,52,0
22.080584,22.156672,53,45,0
22.16754,22.260565,49,52,0
22.16754,22.260565,53,52,0
22.16754,22.260565,57,58,0
22.260565,22.348284,51,48,0
22.260565,22.348284,60,54,0
22.348284,22.425037,58,54,0
22.348284,22.425037,50,48,0
22.436003,22.53124,46,55,0
22.436003,22.53124,49,55,0
22.436003,22.53124,52,63,0
22.53124,22.620129,55,59,0
22.53124,22.620129,50,53,0
22.620129,22.697906,53,59,0
22.620129,22.697906,46,53,0
