start_time,end_time,note_value,velocity,instrument_program_number
0.30214748,0.39445525,65,37,0
0.3790706,0.47137836,66,37,0
0.45599374,0.5482361,65,37,0
0.53291684,0.6247667,67,38,0
0.6094606,0.70129734,68,38,0
0.6859912,0.7778279,69,38,0
0.7625218,0.85435855,68,39,0
0.83905244,0.9305007,70,39,0
0.9152723,1.0066428,71,39,0
0.99141437,1.0827849,72,41,0
1.0675565,1.1589271,71,41,0
1.1436987,1.2347488,73,41,0
1.2195972,1.3105065,74,42,0
1.2953548,1.3862641,75,42,0
1.3711125,1.4620217,74,42,0
1.4468701,1.5375191,76,43,0
1.5224438,1.612896,77,43,0
1.5978206,1.6882728,78,43,0
1.6731975,1.7636497,77,44,0
1.7485744,1.8388319,79,44,0
1.8238319,1.9138318,80,44,0
1.8988318,1.9888319,81,45,0
1.9738319,2.0638318,80,45,0
2.048832,2.138695,82,45,0
2.1237698,2.213322,83,45,0
2.1983967,2.2879488,84,45,0
2.2730234,2.3625758,83,45,0
2.3476503,2.4371288,86,46,0
2.4222772,2.5113862,84,46,0
2.4965346,2.5856435,85,46,0
2.570792,2.659901,84,48,0
2.6450493,2.7341583,86,48,0
2.7193067,2.8084157,87,48,0
2.793564,2.8823924,89,49,0
2.8676143,2.956284,87,49,0
2.941506,3.0301032,90,49,0
3.0153975,3.1036327,91,50,0
3.0889268,3.1771622,92,50,0
3.1624563,3.250578,91,50,0
3.2359438,3.3237486,95,51,0
3.3091145,3.3969195,96,51,0
3.382285,3.4698179,97,51,0
3.4552546,3.5426333,96,52,0
3.5280702,3.6154487,98,52,0
3.6008856,3.673701,99,54,0
3.673701,3.7465167,98,54,0
3.7465167,3.8193321,99,53,0
3.8193321,3.8921478,97,53,0
3.8921478,3.9649632,96,52,0
3.9649632,4.0380926,95,52,0
4.0380926,4.1112633,96,51,0
4.1112633,4.184434,94,51,0
4.184434,4.2576046,93,50,0
4.2576046,4.3307753,92,50,0
4.3307753,4.404102,93,49,0
4.404102,4.477631,91,49,0
4.477631,4.5511603,90,48,0
4.5511603,4.6246896,89,48,0
4.6246896,4.6982193,90,46,0
4.6982193,4.7717485,88,45,0
4.7717485,4.844564,87,44,0
4.844564,4.9173794,86,44,0
4.9173794,4.9904675,87,44,0
4.9904675,5.063638,85,43,0
5.063638,5.137108,84,43,0
5.137108,5.210637,83,43,0
5.210637,5.284384,84,42,0
5.284384,5.3582754,82,42,0
5.3582754,5.432417,81,41,0
5.432417,5.5066743,80,41,0
5.5066743,5.581215,81,41,0
5.581215,5.655842,79,39,0
5.655842,5.7306614,78,39,0
5.7306614,5.8056617,77,38,0
5.8056617,5.8808875,78,38,0
5.8808875,5.9562645,75,37,0
5.9562645,6.031902,74,37,0
6.031902,6.1084943,73,37,0
6.1084943,6.1857214,74,36,0
6.1857214,6.263235,72,36,0
6.263235,6.341164,70,36,0
6.341164,6.4193845,69,36,0
6.4193845,6.498036,70,36,0
6.498036,6.5771155,68,35,0
6.5771155,6.6564946,67,35,0
6.6564946,6.7363176,66,33,0
6.7363176,6.816531,67,33,0
6.816531,6.8970904,65,33,0
6.8970904,6.978099,73,32,0
6.978099,7.0594296,70,32,0
7.0594296,7.1412187,67,31,0
7.1412187,7.223471,65,31,0
7.223471,7.596142,64,38,0
7.897955,7.9737124,97,43,0
7.9737124,8.049502,94,43,0
8.049502,8.125644,90,42,0
8.125644,8.201786,87,41,0
8.201786,8.278007,91,41,0
8.278007,8.354537,88,39,0
8.354537,8.431067,84,39,0
8.431067,8.507722,81,38,0
8.507722,8.584645,85,37,0
8.584645,8.661569,82,36,0
8.661569,8.738492,78,36,0
8.738492,8.815414,75,36,0
8.815414,8.892338,79,35,0
8.892338,8.969261,76,35,0
8.969261,9.046185,72,33,0
9.046185,9.123107,69,32,0
9.123107,9.200867,73,32,0
9.200867,9.283442,70,31,0
9.283442,9.371608,66,31,0
9.371608,9.452348,64,30,0
9.452348,9.610807,67,30,0
9.452348,9.610807,64,30,0
10.020359,10.103231,73,33,0
10.020359,10.103231,76,33,0
10.020359,10.103231,85,39,0
10.186105,10.268977,76,28,0
10.186105,10.268977,73,28,0
10.186105,10.268977,84,35,0
10.3518505,10.434723,73,31,0
10.3518505,10.434723,76,31,0
10.3518505,10.434723,83,37,0
10.517596,10.607958,76,28,0
10.517596,10.607958,82,33,0
10.517596,10.607958,73,28,0
10.6983185,10.781652,85,38,0
10.6983185,10.781652,73,32,0
10.6983185,10.781652,76,32,0
10.864985,10.9507,84,42,0
10.9507,11.036414,83,41,0
10.864985,11.036414,76,35,0
10.864985,11.036414,73,35,0
11.036414,11.1221285,82,39,0
11.550699,11.626457,99,43,0
11.626457,11.702247,96,43,0
11.702247,11.778389,92,42,0
11.778389,11.854531,89,41,0
11.854531,11.930751,93,41,0
11.930751,12.007281,90,39,0
12.007281,12.083813,86,39,0
12.083813,12.160467,83,38,0
12.160467,12.2373905,87,37,0
12.2373905,12.314314,84,36,0
12.314314,12.391236,80,36,0
12.391236,12.46816,77,36,0
12.46816,12.545083,81,35,0
12.545083,12.622006,78,35,0
12.622006,12.698929,74,33,0
12.698929,12.775852,71,32,0
12.775852,12.852255,75,32,0
12.852255,12.928975,72,31,0
12.928975,13.006469,68,31,0
13.006469,13.08471,65,30,0
13.08471,13.24317,69,30,0
13.08471,13.24317,66,30,0
13.9141655,13.997039,78,39,0
13.9141655,13.997039,81,39,0
13.9141655,13.997039,90,46,0
14.079911,14.162785,78,33,0
14.079911,14.162785,81,33,0
14.079911,14.162785,89,41,0
14.245657,14.32853,88,45,0
14.245657,14.32853,81,37,0
14.245657,14.32853,78,37,0
14.411403,14.501764,81,33,0
14.411403,14.501764,87,39,0
14.411403,14.501764,78,33,0
14.592126,14.675459,78,38,0
14.592126,14.675459,90,45,0
14.592126,14.675459,81,38,0
14.758793,14.844507,89,50,0
14.844507,14.930222,88,48,0
14.758793,14.930222,81,41,0
14.758793,14.930222,78,41,0
14.930222,15.015936,87,43,0
15.296455,15.382317,78,31,0
15.296455,15.382317,75,31,0
15.296455,15.382317,87,38,0
15.468178,15.554039,78,27,0
15.468178,15.554039,75,27,0
15.468178,15.554039,86,33,0
15.639901,15.725762,78,29,0
15.639901,15.725762,75,29,0
15.639901,15.725762,85,36,0
15.811624,15.904965,75,27,0
15.811624,15.904965,84,31,0
15.811624,15.904965,78,27,0
15.998307,16.08417,87,37,0
15.998307,16.08417,78,30,0
15.998307,16.08417,75,30,0
16.17003,16.260012,86,39,0
16.260012,16.349995,85,38,0
16.17003,16.349995,78,33,0
16.17003,16.349995,75,33,0
16.349995,16.439976,84,37,0
16.709923,16.795784,72,29,0
16.709923,16.795784,75,29,0
16.709923,16.795784,84,36,0
16.881645,16.97217,83,38,0
16.97217,17.062695,82,37,0
16.881645,17.062695,75,32,0
16.881645,17.062695,72,32,0
17.062695,17.15322,81,37,0
17.43893,17.528376,81,35,0
17.43893,17.528376,72,28,0
17.43893,17.528376,75,28,0
17.61782,17.712938,80,36,0
17.712938,17.808056,79,36,0
17.61782,17.808056,72,30,0
17.61782,17.808056,75,30,0
17.808056,17.903173,78,35,0
18.18974,18.285463,72,28,0
18.18974,18.285463,77,36,0
18.380379,18.474304,78,30,0
18.380379,18.474304,75,24,0
18.568232,18.661602,77,36,0
18.568232,18.661602,72,28,0
18.754944,18.847881,79,31,0
18.754944,18.847881,75,24,0
18.940645,19.033297,72,28,0
18.940645,19.033297,77,36,0
19.12549,19.217684,78,30,0
19.12549,19.217684,75,24,0
19.309343,19.400974,72,28,0
19.309343,19.400974,77,36,0
19.491762,19.547943,79,32,0
19.604067,19.659933,77,36,0
19.715574,19.771038,78,30,0
19.826286,19.881277,77,36,0
19.936222,19.990889,79,29,0
20.045385,20.099718,77,36,0
20.153772,20.207645,78,32,0
20.261358,20.314835,77,36,0
20.368309,20.421785,79,30,0
20.475262,20.554853,77,36,0
20.554853,20.634218,78,31,0
20.634218,20.713583,77,36,0
20.713583,20.792727,79,31,0
20.792727,20.871674,77,36,0
20.871674,20.95062,78,31,0
20.95062,21.029568,77,36,0
21.029568,21.108515,79,31,0
21.108515,21.187462,77,36,0
21.187462,21.26641,78,31,0
21.26641,21.345026,77,36,0
21.345026,21.423851,79,30,0
21.423851,21.503153,77,36,0
21.503153,21.58314,78,31,0
21.58314,21.663786,77,36,0
21.663786,21.74511,79,31,0
21.74511,21.827152,77,36,0
21.827152,21.90985,78,31,0
21.90985,21.99334,77,36,0
21.99334,22.0775,79,32,0
22.0775,22.180439,77,36,0
22.165733,22.268675,78,32,0
22.25397,22.35691,77,36,0
22.342205,22.430439,79,31,0
22.430439,22.526117,69,29,0
22.430439,22.526117,77,36,0
22.526117,22.622469,78,32,0
22.526117,22.622469,72,27,0
22.622469,22.71882,69,29,0
22.622469,22.71882,77,36,0
22.71882,22.815172,72,26,0
22.71882,22.815172,79,31,0
22.815172,22.915977,77,36,0
22.815172,22.915977,70,29,0
22.915977,23.016785,74,27,0
22.915977,23.016785,78,32,0
23.016785,23.117592,77,36,0
23.016785,23.117592,70,29,0
23.117592,23.218397,74,26,0
23.117592,23.218397,79,31,0
23.218397,23.313696,77,36,0
23.218397,23.313696,69,29,0
23.313696,23.408995,78,32,0
23.313696,23.408995,75,27,0
23.408995,23.504293,69,29,0
23.408995,23.504293,77,36,0
23.504293,23.599592,79,31,0
23.504293,23.599592,75,26,0
23.599592,23.702784,77,36,0
23.599592,23.702784,70,29,0
23.702784,23.754381,74,27,0
23.702784,23.754381,78,32,0
23.805977,23.909168,70,42,0
23.805977,23.909168,78,42,0
23.909168,23.960764,79,36,0
23.909168,23.960764,74,36,0
24.011065,24.11049,74,37,0
24.011065,24.11049,80,45,0
24.11049,24.209328,77,32,0
24.11049,24.209328,81,38,0
24.209328,24.307413,81,45,0
24.209328,24.307413,74,38,0
24.307413,24.35621,77,32,0
24.307413,24.35621,82,38,0
24.404816,24.501568,82,46,0
24.404816,24.501568,72,39,0
24.501568,24.549692,75,35,0
24.501568,24.549692,81,41,0
24.597603,24.693424,81,45,0
24.597603,24.693424,72,38,0
24.693424,24.741335,80,38,0
24.693424,24.741335,75,32,0
24.789248,24.885069,80,43,0
24.789248,24.885069,72,36,0
24.885069,24.93298,79,37,0
24.885069,24.93298,75,31,0
24.98089,25.086584,72,35,0
24.98089,25.086584,79,42,0
25.086584,25.139431,78,36,0
25.086584,25.139431,75,29,0
25.192278,25.303165,70,29,0
25.192278,25.303165,77,36,0
25.293085,25.40397,78,32,0
25.293085,25.40397,74,27,0
25.39389,25.505735,77,36,0
25.39389,25.505735,70,29,0
25.494698,25.605072,74,26,0
25.494698,25.605072,79,31,0
25.605072,25.701424,69,29,0
25.605072,25.701424,77,36,0
25.701424,25.797775,78,32,0
25.701424,25.797775,72,27,0
25.797775,25.894127,69,29,0
25.797775,25.894127,77,36,0
25.894127,25.990479,72,26,0
25.894127,25.990479,79,31,0
25.990479,26.091286,77,36,0
25.990479,26.091286,70,29,0
