start_time,end_time,note_value,velocity,instrument_program_number
2.5659175,2.782087,63,34,0
2.782087,2.9672835,68,40,0
2.9672835,3.156224,72,36,0
3.156224,3.3522255,68,32,0
3.3522255,3.552908,63,32,0
3.7925055,3.9941454,63,37,0
3.9941454,4.181073,68,40,0
4.181073,4.371731,72,37,0
4.371731,4.5677323,68,33,0
4.5677323,4.803953,63,34,0
5.0477166,5.254314,64,30,0
5.254314,5.441568,70,34,0
5.441568,5.6339746,72,31,0
5.6339746,5.826381,70,27,0
5.826381,6.022472,64,27,0
6.233013,6.428097,64,30,0
6.428097,6.6176825,70,34,0
6.6176825,6.807268,72,30,0
6.807268,7.010865,70,26,0
7.010865,7.229285,64,26,0
7.4622407,7.661961,63,34,0
7.661961,7.84379,69,36,0
7.84379,8.031044,72,35,0
8.031044,8.223451,69,36,0
8.223451,8.471918,63,38,0
8.693795,8.886202,63,38,0
8.886202,9.069699,69,43,0
9.069699,9.257799,72,40,0
9.257799,9.450206,69,37,0
9.450206,9.746993,63,37,0
9.979949,10.1825695,62,38,0
10.1825695,10.369496,68,43,0
10.369496,10.561903,72,42,0
10.561903,10.75431,68,39,0
10.75431,10.965057,62,39,0
11.196718,11.399339,62,36,0
11.399339,11.590872,68,40,0
11.590872,11.782406,72,37,0
11.782406,11.990033,68,32,0
11.990033,12.228261,62,34,0
12.436913,12.630199,61,38,0
12.630199,12.823485,63,45,0
12.823485,13.016772,72,38,0
13.016772,13.217455,63,34,0
13.217455,13.438172,61,33,0
13.646825,13.849445,61,38,0
13.849445,14.044529,63,43,0
14.044529,14.239614,67,38,0
14.239614,14.460331,63,34,0
14.460331,14.681049,61,34,0
14.885632,15.090214,60,38,0
15.090214,15.290896,63,43,0
15.290896,15.491579,68,38,0
15.491579,15.702327,63,34,0
15.702327,15.925376,60,34,0
16.122831,16.33252,56,38,0
16.344751,16.562033,60,43,0
16.587646,16.809225,68,38,0
16.781588,17.018478,63,34,0
17.018478,17.255371,56,34,0
17.503448,17.713137,63,34,0
17.713137,17.898333,68,40,0
17.898333,18.090738,72,36,0
18.090738,18.288576,68,32,0
18.288576,18.492172,63,30,0
18.73177,18.926905,63,37,0
18.926905,19.108734,68,40,0
19.108734,19.294792,72,37,0
19.294792,19.497412,68,33,0
19.497412,19.7733,63,33,0
19.99172,20.19434,64,28,0
20.19434,20.386747,70,32,0
20.386747,20.579153,72,30,0
20.579153,20.77156,70,28,0
20.77156,20.971281,64,28,0
21.196726,21.402317,64,32,0
21.402317,21.587103,70,37,0
21.587103,21.78039,72,35,0
21.78039,21.973677,70,32,0
21.973677,22.175316,64,37,0
22.394873,22.594593,63,42,0
22.594593,22.77642,69,45,0
22.77642,22.965363,72,43,0
22.965363,23.160446,69,45,0
23.160446,23.365028,63,46,0
23.578993,23.77318,63,47,0
23.77318,23.956678,69,54,0
23.956678,24.145618,72,50,0
24.145618,24.3502,69,47,0
24.3502,24.622335,63,51,0
24.833082,25.032803,62,38,0
25.032803,25.220057,68,43,0
25.220057,25.410715,77,42,0
25.410715,25.601374,72,39,0
25.601374,25.822092,68,39,0
26.032839,26.23256,56,36,0
26.23256,26.422361,58,40,0
26.422361,26.612164,65,37,0
26.612164,26.814783,62,33,0
26.814783,27.032064,58,33,0
27.243868,27.44265,58,38,0
27.44265,27.635937,61,45,0
27.635937,27.829224,67,38,0
27.829224,28.022509,63,34,0
28.022509,28.22513,61,35,0
28.445848,28.640932,61,38,0
28.640932,28.836016,63,43,0
28.836016,29.0311,67,38,0
29.0311,29.255348,63,33,0
29.255348,29.479597,61,33,0
29.691402,29.894999,60,38,0
29.894999,30.08394,63,43,0
30.08394,30.279942,68,38,0
30.279942,30.475943,63,34,0
30.475943,30.671944,60,34,0
30.872627,31.073309,60,38,0
31.073309,31.270224,68,43,0
31.270224,31.466227,63,38,0
31.466227,31.662228,60,38,0
31.662228,31.913841,56,47,0
32.13099,32.33263,61,38,0
32.33263,32.526817,68,40,0
32.526817,32.721004,64,38,0
32.721004,32.91519,61,34,0
33.32424,33.519325,61,40,0
33.519325,33.71441,68,45,0
33.71441,33.909492,64,42,0
33.909492,34.10458,61,42,0
34.529724,34.72664,63,40,0
34.72664,34.917297,72,45,0
34.917297,35.107956,68,42,0
35.107956,35.298615,63,38,0
35.298615,35.504208,60,38,0
35.727253,35.926037,63,40,0
35.926037,36.11757,72,45,0
36.11757,36.309105,68,42,0
36.309105,36.500637,63,42,0
36.500637,36.700596,60,46,0
36.91956,37.116474,65,43,0
37.116474,37.2983,72,46,0
37.2983,37.48896,68,39,0
37.48896,37.67962,65,40,0
38.094265,38.280323,65,48,0
38.280323,38.459705,72,53,0
38.459705,38.64951,68,47,0
38.64951,38.85115,65,47,0
39.31243,39.504837,67,50,0
39.504837,39.697243,72,56,0
39.697243,39.88965,76,52,0
39.88965,40.082054,72,49,0
40.082054,40.286636,67,49,0
40.510887,40.714485,67,50,0
40.714485,40.90689,72,56,0
40.90689,41.099297,76,52,0
41.099297,41.291702,72,49,0
41.291702,41.53547,67,49,0
41.755024,41.95764,69,39,0
41.95764,42.143253,72,45,0
42.143253,42.336536,76,38,0
42.336536,42.529823,72,33,0
42.529823,42.732445,69,33,0
42.956696,43.148228,69,34,0
