start_time,end_time,note_value,velocity,instrument_program_number
7.2083287,7.310566,46,44,0
7.310566,7.402732,49,38,0
7.402732,7.4944577,46,45,0
7.4944577,7.5853667,49,39,0
7.5853667,7.7205687,46,46,0
7.6757255,7.7654114,49,42,0
7.7654114,7.8544726,46,47,0
7.8544726,7.9429684,49,42,0
7.9429684,8.030768,46,48,0
8.030768,8.118105,49,44,0
8.118105,8.248319,46,50,0
8.2052145,8.291422,49,45,0
8.291422,8.377326,46,51,0
8.377326,8.462433,49,46,0
8.462433,8.547163,46,52,0
8.547163,8.631197,49,47,0
8.631197,8.755795,46,53,0
8.71476,8.796778,49,48,0
8.796778,8.878745,46,55,0
8.878745,8.960165,49,49,0
8.960165,9.041137,46,56,0
9.041137,9.121477,49,50,0
9.121477,9.241263,46,57,0
9.201477,9.280789,49,51,0
9.280789,9.35984,46,58,0
9.35984,9.43815,49,55,0
9.43815,9.517395,46,60,0
9.517395,9.597784,49,53,0
9.597784,9.721119,46,61,0
9.679676,9.76311,49,54,0
9.76311,9.84311,46,62,0
9.84311,9.92311,49,58,0
9.92311,10.00311,46,63,0
10.00311,10.08311,49,59,0
10.08311,10.20311,46,67,0
10.16311,10.242873,49,70,0
10.242873,10.3221855,46,73,0
10.3221855,10.403286,49,76,0
10.403286,10.48561,46,79,0
10.48561,10.569942,49,82,0
10.569942,10.699156,46,85,0
10.655544,10.743375,49,88,0
10.792879,10.89189,48,94,0
10.792879,10.89189,45,84,0
10.89189,11.188919,49,100,0
10.89189,11.188919,46,90,0
13.178426,13.24569,56,65,0
13.178426,13.24569,68,74,0
13.268112,14.209816,68,82,0
13.268112,14.209816,56,72,0
14.254659,14.321923,73,72,0
14.254659,14.321923,61,63,0
14.344345,15.309002,73,81,0
14.344345,15.309002,61,71,0
15.356395,15.427485,71,73,0
15.356395,15.427485,59,64,0
15.451181,15.877722,71,80,0
15.451181,15.877722,59,70,0
15.925116,15.996205,70,74,0
15.925116,15.996205,58,65,0
16.019903,16.446444,70,80,0
16.019903,16.446444,58,70,0
16.493835,16.564926,68,74,0
16.493835,16.564926,56,65,0
16.588623,17.00337,68,81,0
16.588623,17.00337,56,71,0
17.049452,17.118576,55,64,0
17.049452,17.118576,67,73,0
17.141619,17.587162,67,80,0
17.141619,17.587162,55,70,0
17.636667,17.710926,68,72,0
17.636667,17.710926,56,63,0
17.735678,18.072756,68,81,0
17.735678,18.072756,56,71,0
18.409836,18.508018,47,44,0
18.409836,18.508018,50,44,0
18.508018,18.601477,56,38,0
18.601477,18.694935,47,45,0
18.601477,18.694935,50,45,0
18.694935,18.787262,56,39,0
18.787262,18.92551,47,46,0
18.787262,18.92551,50,46,0
18.879427,18.970997,56,42,0
18.970997,19.061905,47,47,0
18.970997,19.061905,50,47,0
19.061905,19.152723,56,42,0
19.152723,19.242409,47,48,0
19.152723,19.242409,50,48,0
19.242409,19.332096,56,44,0
19.332096,19.465792,47,50,0
19.332096,19.465792,50,50,0
19.421543,19.510038,56,45,0
19.510038,19.598534,47,51,0
19.510038,19.598534,50,51,0
19.598534,19.686102,56,46,0
19.686102,19.77344,47,52,0
19.686102,19.77344,50,52,0
19.77344,19.860323,56,47,0
19.860323,19.989634,47,53,0
19.860323,19.989634,50,53,0
19.94653,20.032738,56,48,0
20.032738,20.11779,47,55,0
20.032738,20.11779,50,55,0
20.11779,20.201746,56,49,0
20.201746,20.284605,47,56,0
20.201746,20.284605,50,56,0
20.284605,20.366423,56,50,0
20.366423,20.4872,47,57,0
20.366423,20.4872,50,57,0
20.4472,20.526962,56,51,0
20.526962,20.60576,47,58,0
20.526962,20.60576,50,58,0
20.60576,20.68359,56,55,0
20.68359,20.761127,47,60,0
20.68359,20.761127,50,60,0
20.761127,20.840063,56,53,0
20.840063,20.960915,47,61,0
20.840063,20.960915,50,61,0
20.92043,21.001873,56,54,0
21.001873,21.085411,47,62,0
21.001873,21.085411,50,62,0
21.085411,21.168869,56,58,0
21.168869,21.25112,47,63,0
21.168869,21.25112,50,63,0
21.25112,21.331945,56,59,0
21.331945,21.451073,47,67,0
21.331945,21.451073,50,67,0
21.411757,21.490135,56,70,0
21.490135,21.567339,47,73,0
21.490135,21.567339,50,73,0
21.567339,21.643963,56,77,0
21.643963,21.721498,47,80,0
21.643963,21.721498,50,80,0
21.721498,21.800434,56,83,0
21.800434,21.920801,47,86,0
21.800434,21.920801,50,86,0
21.880363,21.96176,56,89,0
21.96176,22.051445,55,93,0
22.006603,22.096289,46,74,0
21.96176,22.096289,49,83,0
22.096289,22.365347,56,98,0
22.096289,22.365347,50,90,0
22.096289,22.365347,47,78,0
25.238798,25.676756,76,66,0
25.164785,25.676756,62,57,0
25.189457,25.676756,68,59,0
25.214128,25.676756,71,63,0
26.941048,27.379005,76,66,0
26.865545,27.379005,62,57,0
26.890713,27.379005,68,59,0
26.91588,27.379005,71,63,0
28.682053,29.127258,76,66,0
28.604998,29.127258,62,57,0
28.630682,29.127258,66,59,0
28.656366,29.127258,69,63,0
30.400923,30.843727,76,66,0
30.323868,30.843727,62,57,0
30.349554,30.843727,68,59,0
30.375238,30.843727,71,63,0
32.142048,32.58,81,70,0
32.066544,32.58,64,60,0
32.09171,32.58,69,64,0
32.11688,32.58,73,67,0
33.85684,34.29964,81,70,0
33.77898,34.29964,64,60,0
33.80493,34.29964,69,64,0
33.830883,34.29964,73,67,0
35.627365,36.076553,81,70,0
35.54614,36.076553,66,60,0
35.573215,36.076553,72,64,0
35.600292,36.076553,75,67,0
37.41258,37.89258,81,70,0
37.326702,37.89258,64,60,0
37.355328,37.89258,69,64,0
37.383953,37.89258,73,67,0
38.06239,38.1756,61,69,0
38.34541,39.52962,69,77,0
39.52962,39.686687,71,69,0
38.260506,39.829357,57,59,0
39.686687,39.843758,73,69,0
38.31711,39.843758,66,64,0
38.288807,39.856846,61,63,0
39.843758,40.000824,73,73,0
40.000824,40.472027,66,68,0
41.021767,41.074123,66,63,0
41.1003,41.96777,66,78,0
41.96777,42.092995,68,65,0
42.075104,42.205532,69,65,0
42.182438,42.598145,61,70,0
42.598145,42.696667,63,64,0
42.672035,42.7681,64,64,0
52.105877,52.199432,76,61,0
52.105877,52.199432,88,73,0
52.105877,52.199432,85,73,0
52.230618,53.62009,76,70,0
52.230618,53.62009,85,83,0
52.230618,53.62009,88,83,0
53.62009,53.71483,75,61,0
53.62009,53.71483,83,73,0
53.62009,53.71483,87,73,0
53.745716,54.09908,75,70,0
53.745716,54.09908,83,83,0
53.745716,54.09908,87,83,0
54.09908,54.186176,73,61,0
54.09908,54.186176,81,73,0
54.09908,54.186176,85,73,0
54.215134,54.558113,73,68,0
54.215134,54.558113,85,80,0
54.215134,54.558113,81,80,0
54.558113,54.6427,69,61,0
54.558113,54.6427,78,73,0
54.558113,54.6427,81,73,0
54.670734,55.00226,69,68,0
54.670734,55.00226,78,80,0
54.670734,55.00226,81,80,0
