start_time,end_time,note_value,velocity,instrument_program_number
0.56581503,1.3183314,64,70,0
1.3183314,1.4112765,61,69,0
1.4112765,1.5036314,64,72,0
1.5036314,1.6001441,69,75,0
1.6001441,1.696657,73,77,0
1.696657,2.4489746,76,85,0
2.4489746,2.5415604,73,73,0
2.5415604,2.6334794,76,77,0
2.6334794,2.7299922,81,80,0
2.7299922,2.826505,85,81,0
3.0149567,3.0616915,76,67,0
3.0149567,3.0616915,83,79,0
3.2018957,3.249633,76,59,0
3.2018957,3.249633,83,70,0
2.826505,3.3928447,88,87,0
3.3928447,3.5771878,81,68,0
3.3928447,3.5771878,85,81,0
3.5771878,3.6242511,83,70,0
3.5771878,3.6242511,76,59,0
3.7654407,3.8151393,83,70,0
3.7654407,3.8151393,76,59,0
3.3928447,3.9642348,88,81,0
3.9642348,4.147318,81,64,0
3.9642348,4.147318,85,76,0
4.147318,4.195055,83,70,0
4.147318,4.195055,76,59,0
4.338267,4.3939586,83,70,0
4.338267,4.3939586,76,59,0
3.9642348,4.5610337,88,76,0
4.5610337,4.975771,81,71,0
4.5610337,4.975771,88,83,0
5.492704,5.5748057,69,70,0
5.492704,5.5748057,64,59,0
5.583928,5.7207646,64,57,0
5.583928,5.7207646,69,68,0
5.766377,5.95072,69,70,0
5.766377,5.95072,64,59,0
5.95072,6.1350627,68,58,0
5.95072,6.1350627,71,69,0
6.1350627,6.2315755,64,58,0
6.1350627,6.2315755,69,69,0
6.1350627,6.2315755,73,69,0
6.3280883,6.6967745,64,62,0
6.3280883,6.6967745,69,73,0
6.3280883,6.6967745,73,73,0
6.6967745,6.8350315,69,55,0
6.6967745,6.8350315,73,65,0
6.8811173,7.06546,73,70,0
6.8811173,7.06546,69,59,0
7.06546,7.249803,71,56,0
7.06546,7.249803,74,66,0
7.249803,7.3449388,69,54,0
7.249803,7.3449388,73,54,0
7.249803,7.3449388,76,64,0
7.4400744,7.716589,69,66,0
7.4400744,7.716589,73,66,0
7.4400744,7.716589,76,78,0
7.716589,7.799543,78,70,0
7.716589,7.799543,74,59,0
7.80876,7.964826,78,73,0
7.80876,7.964826,74,62,0
8.016848,8.288669,69,68,0
8.016848,8.288669,78,68,0
8.016848,8.288669,81,80,0
8.288669,8.370215,81,72,0
8.288669,8.370215,78,61,0
8.379275,8.522488,78,61,0
8.379275,8.522488,81,72,0
8.570225,8.768677,81,78,0
8.570225,8.768677,78,66,0
8.570225,8.768677,69,66,0
8.768677,8.967129,76,56,0
8.768677,8.967129,80,66,0
8.967129,9.087931,74,56,0
8.967129,9.087931,78,66,0
9.208734,9.808054,69,64,0
9.208734,9.808054,74,64,0
9.208734,9.808054,78,76,0
9.808054,10.043035,73,56,0
9.808054,10.043035,76,66,0
10.160525,10.242627,69,70,0
10.160525,10.242627,64,59,0
10.25175,10.388586,64,57,0
10.25175,10.388586,69,68,0
10.434198,10.618541,69,70,0
10.434198,10.618541,64,59,0
10.618541,10.802884,68,58,0
10.618541,10.802884,71,69,0
10.802884,10.899397,64,58,0
10.802884,10.899397,69,69,0
10.802884,10.899397,73,69,0
10.99591,11.364595,64,62,0
10.99591,11.364595,69,73,0
10.99591,11.364595,73,73,0
11.364595,11.502852,69,55,0
11.364595,11.502852,73,65,0
11.548939,11.733281,73,70,0
11.548939,11.733281,69,59,0
11.733281,11.917624,71,56,0
11.733281,11.917624,74,66,0
11.917624,12.01276,69,54,0
11.917624,12.01276,73,54,0
11.917624,12.01276,76,64,0
12.107896,12.401219,69,66,0
12.107896,12.401219,73,66,0
12.107896,12.401219,76,78,0
12.401219,12.48421,78,52,0
12.401219,12.48421,73,44,0
12.493431,12.6382,78,54,0
12.493431,12.6382,73,46,0
12.686457,12.958278,73,51,0
12.686457,12.958278,81,60,0
12.958278,13.039824,81,54,0
12.958278,13.039824,73,45,0
13.048884,13.192097,73,45,0
13.048884,13.192097,81,54,0
13.239834,13.430782,81,60,0
13.430782,13.621732,80,60,0
13.621732,13.81268,78,60,0
13.81268,13.996391,85,60,0
13.996391,14.187341,81,60,0
14.187341,14.378289,80,55,0
14.378289,14.671575,78,55,0
13.239834,14.671575,73,51,0
14.671575,14.753309,78,54,0
14.671575,14.753309,73,45,0
14.76239,14.905602,73,45,0
14.76239,14.905602,78,54,0
14.95334,15.225161,81,60,0
15.225161,15.306706,81,54,0
15.315767,15.45898,81,54,0
15.506717,15.697665,81,60,0
15.697665,15.888615,80,60,0
15.888615,16.079563,78,60,0
16.079563,16.263275,85,60,0
16.263275,16.454224,81,60,0
16.454224,16.655336,80,55,0
16.655336,16.83655,78,55,0
14.95334,16.83655,73,51,0
16.83655,16.927774,71,70,0
16.83655,16.927774,83,83,0
17.019,17.110224,83,78,0
17.019,17.110224,71,66,0
17.201448,17.763159,83,88,0
17.201448,17.763159,71,74,0
17.763159,18.316189,83,84,0
17.763159,18.316189,71,71,0
18.316189,18.586828,71,86,0
18.586828,18.669498,71,71,0
18.678684,18.770538,71,71,0
18.862394,19.046738,71,85,0
18.316189,19.046738,83,86,0
19.046738,19.155018,71,49,0
19.046738,19.155018,76,58,0
19.24624,19.337465,76,53,0
19.24624,19.337465,71,45,0
19.42869,19.613033,71,52,0
19.42869,19.613033,76,62,0
19.613033,19.797377,78,53,0
19.613033,19.797377,75,45,0
19.797377,19.893888,76,41,0
19.797377,19.893888,80,49,0
19.990402,20.376453,76,45,0
19.990402,20.376453,80,53,0
20.376453,20.467676,76,46,0
20.376453,20.467676,80,55,0
20.5589,20.743244,76,66,0
20.5589,20.743244,80,78,0
20.743244,20.927588,85,68,0
20.927588,21.0241,88,71,0
21.120613,21.41015,88,79,0
21.41015,21.497013,73,61,0
21.41015,21.497013,76,72,0
21.506664,21.603176,73,63,0
21.506664,21.603176,76,75,0
21.69969,21.884031,71,69,0
21.69969,21.884031,76,81,0
21.884031,22.068375,78,70,0
21.884031,22.068375,75,59,0
22.068375,22.164888,76,55,0
22.068375,22.164888,80,66,0
22.2614,22.647451,76,61,0
22.2614,22.647451,80,72,0
22.647451,22.738676,76,63,0
22.647451,22.738676,80,77,0
22.8299,23.014242,76,82,0
22.8299,23.014242,80,96,0
23.014242,23.198586,85,85,0
23.198586,23.2951,88,91,0
23.391611,23.68115,88,102,0
23.68115,23.768011,73,70,0
23.68115,23.768011,76,83,0
23.777662,23.874176,73,73,0
23.777662,23.874176,76,86,0
23.970688,24.247202,71,70,0
23.970688,24.247202,76,83,0
24.247202,24.339375,78,88,0
24.339375,24.435886,80,81,0
24.5324,24.725426,76,82,0
24.5324,24.725426,80,97,0
24.725426,24.918451,83,85,0
24.918451,25.009674,88,90,0
25.100899,25.855637,88,112,0
25.100899,25.855637,76,95,0
25.100899,25.855637,81,95,0
25.855637,25.94686,87,78,0
26.038084,26.129309,85,72,0
26.220533,26.309622,83,80,0
26.398712,26.4878,81,68,0
26.57689,26.665981,80,61,0
26.75507,26.84416,81,72,0
26.933249,27.022339,78,62,0
27.111427,27.205555,75,62,0
27.29968,28.01793,83,68,0
27.29968,28.01793,95,81,0
28.01793,28.10702,93,70,0
28.01793,28.10702,81,59,0
28.196108,28.285198,92,70,0
