start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.8727272,72,80,40
1.090909,2.3999999,65,80,40
2.7272725,3.272727,67,80,40
3.272727,4.363636,70,85,40
4.363636,5.2363634,69,80,40
5.9999995,6.9818177,65,80,40
7.0909085,7.963636,70,80,40
8.181817,9.054544,74,80,40
9.272726,9.70909,77,80,40
9.818181,10.363635,76,80,40
10.363635,10.436363,76,58,40
10.454545,10.527272,74,58,40
10.545454,10.618181,76,58,40
10.636363,10.70909,74,58,40
10.727272,10.799999,72,58,40
10.818181,10.890908,74,58,40
10.90909,11.781817,72,58,40
13.090908,14.836363,67,80,40
15.272726,16.145452,69,80,40
16.363634,17.454544,72,80,40
17.454544,18.763636,70,80,40
19.090908,19.527271,69,80,40
19.636362,19.990908,69,68,40
19.931816,20.222725,67,68,40
20.190907,20.454544,70,68,40
20.436361,20.754543,62,68,40
20.72727,21.895452,65,68,40
21.849998,22.995453,67,68,40
22.909088,23.127272,69,80,40
23.181816,23.254543,70,80,40
23.272726,23.345453,69,58,40
23.363634,23.436361,67,58,40
23.454544,23.672726,69,58,40
23.72727,23.945452,70,58,40
23.999998,24.872725,72,80,40
26.181816,27.054543,77,65,40
27.272724,27.70909,76,92,40
27.81818,28.254543,77,92,40
28.363634,28.799997,79,92,40
28.909088,29.345451,81,92,40
29.454542,30.109089,82,92,40
30.186361,30.295452,79,80,40
30.322725,30.431816,76,80,40
30.45909,30.56818,72,80,40
30.595451,31.031816,70,77,40
32.231815,32.449997,69,80,40
32.504543,32.722725,77,80,40
32.754543,33.572723,77,68,40
33.52727,33.799995,74,68,40
33.772724,35.249996,72,68,40
35.204544,35.499996,73,68,40
35.468178,35.736362,74,68,40
35.699997,35.91818,70,68,40
35.999996,36.272724,70,91,40
36.272724,36.490906,69,80,40
36.545452,36.681816,67,80,40
36.81818,36.954544,65,80,40
37.090904,37.963634,65,80,40
39.754543,40.02727,72,68,40
40.054543,40.32727,71,68,40
40.34545,40.890907,74,68,40
40.85454,41.34545,72,68,40
41.968178,42.199997,72,68,40
43.027267,43.34545,72,68,40
43.32727,43.63636,71,68,40
43.61818,44.16363,74,68,40
44.12727,44.290905,72,68,40
45.240906,45.472725,72,68,40
46.363632,46.63636,77,80,40
46.63636,46.90909,76,80,40
46.90909,47.45454,79,80,40
47.45454,47.890903,77,80,40
48.545452,48.981815,77,80,40
49.63636,49.90909,76,80,40
49.90909,50.181812,74,80,40
50.181812,50.72727,77,80,40
50.72727,51.16363,76,80,40
51.818176,52.25454,76,80,40
52.89545,53.16818,79,86,40
53.17272,53.44545,78,86,40
53.481815,54.027267,81,86,40
54.04545,54.37727,79,86,40
55.08636,55.43636,80,86,40
56.18636,56.459087,81,86,40
56.45454,56.72727,80,86,40
56.759087,57.304543,82,86,40
57.304543,57.740906,81,92,40
58.468178,58.799995,81,86,40
59.47727,59.768177,74,68,40
59.759087,59.999996,73,68,40
60.031815,60.468178,76,80,40
60.577267,61.01363,74,80,40
61.66818,62.10454,74,62,40
62.181812,62.618176,74,54,40
62.72727,63.16363,67,55,40
63.27272,63.345448,66,57,40
63.363632,63.43636,67,58,40
63.45454,63.527267,69,58,40
63.54545,65.07272,67,58,40
65.45454,65.52727,66,65,40
65.54545,65.61818,67,65,40
65.63636,65.70908,69,65,40
65.727264,67.25454,67,65,40
67.63636,67.70908,77,71,40
67.727264,67.799995,79,71,40
67.81818,67.8909,81,72,40
67.90909,69.59999,79,72,40
69.81818,69.8909,77,79,40
69.90909,69.98181,79,79,40
69.99999,70.07272,81,80,40
70.090904,72.436356,79,80,40
72.54545,72.81818,79,88,40
72.81818,73.090904,78,84,40
73.090904,73.36363,81,82,40
73.36363,73.63636,79,79,40
73.63636,73.90909,77,76,40
73.90909,74.18181,76,73,40
74.18181,74.45454,79,70,40
74.45454,74.727264,77,66,40
74.727264,74.99999,76,64,40
74.99999,75.27272,74,60,40
75.27272,75.54545,73,58,40
75.54545,75.68181,74,58,40
75.81818,76.090904,73,58,40
76.090904,76.227264,74,58,40
76.36363,76.63636,73,58,40
76.63636,76.77272,74,58,40
77.590904,77.727264,74,56,40
77.727264,77.86363,77,56,40
77.86363,77.99999,76,56,40
77.99999,78.13636,74,56,40
78.13636,78.27272,72,56,40
78.27272,78.40909,71,56,40
78.40909,78.54545,69,56,40
78.54545,78.81818,69,58,40
78.81818,78.95454,67,58,40
79.090904,79.36363,69,58,40
79.36363,79.49999,67,58,40
79.63636,79.77272,69,58,40
79.90908,80.04545,67,58,40
81.81818,82.6909,60,32,40
82.90908,83.34545,60,32,40
83.45454,83.8909,60,32,40
83.99999,84.436356,60,32,40
84.54545,84.98181,60,32,40
85.090904,85.96363,60,43,40
86.18181,87.054535,59,43,40
88.36363,90.109085,67,43,40
91.63635,92.50909,77,43,40
92.727264,93.16363,77,43,40
93.27272,93.70908,77,43,40
93.81818,94.25454,77,43,40
94.36363,94.799995,77,43,40
94.90908,95.78181,77,41,40
95.99999,96.436356,76,65,40
96.54545,96.98181,82,77,40
97.090904,97.52727,82,89,40
97.63635,98.072716,82,92,40
98.18181,99.054535,82,92,40
98.18181,99.054535,72,92,40
99.27272,100.14545,72,92,40
99.27272,100.14545,81,92,40
101.45454,102.32726,74,43,40
102.54545,102.98181,74,43,40
103.090904,103.52727,74,43,40
103.63635,104.072716,74,43,40
104.18181,104.61817,74,43,40
104.727264,104.99999,74,43,40
104.99999,105.13635,75,43,40
105.13635,105.27272,77,43,40
105.27272,105.54545,75,43,40
105.54545,105.81818,74,43,40
105.81818,106.25454,74,43,40
106.363625,106.79999,74,43,40
106.90908,107.34544,74,43,40
107.45454,107.8909,74,43,40
107.99999,108.81818,69,68,40
108.81818,109.0909,74,68,40
109.0909,110.18181,72,68,40
110.18181,111.27272,71,68,40
111.27272,113.01817,72,92,40
113.45454,113.52726,72,75,40
113.54545,113.61817,70,75,40
113.63635,113.70908,72,75,40
113.727264,113.79999,70,75,40
113.81817,113.8909,72,75,40
113.90908,113.98181,70,75,40
113.99999,114.072716,72,75,40
114.0909,114.16363,70,75,40
114.18181,114.25454,72,75,40
114.27272,114.34544,70,75,40
114.363625,114.436356,69,75,40
114.45454,114.52726,70,75,40
114.54545,114.98181,69,92,40
115.0909,115.745445,81,63,40
115.90908,115.98181,82,75,40
115.99999,116.072716,81,76,40
116.0909,116.16363,79,77,40
116.18181,116.399994,81,79,40
116.45454,116.672714,83,82,40
116.727264,116.94544,86,86,40
116.99999,117.21817,84,90,40
117.27272,117.4909,83,92,40
117.54545,117.763626,81,92,40
117.81817,119.127266,79,80,40
119.45454,119.99999,81,67,40
119.99999,120.54545,83,80,40
120.54545,121.0909,84,92,40
121.0909,121.30908,79,80,40
121.363625,121.58181,78,80,40
121.63635,121.85454,77,80,40
121.90908,122.127266,76,80,40
122.18181,122.31817,76,80,40
122.31817,122.45454,74,80,40
122.45454,122.5909,76,80,40
122.5909,122.727264,74,80,40
122.727264,122.863625,76,80,40
122.863625,122.99999,74,80,40
122.99999,123.13635,76,80,40
123.13635,123.27272,74,80,40
123.27272,123.363625,76,80,40
123.363625,123.45454,74,80,40
123.45454,123.54544,76,80,40
123.54544,123.63635,74,80,40
123.63635,123.727264,76,80,40
123.727264,123.81817,74,80,40
123.81817,123.90908,76,80,40
123.90908,123.99999,74,80,40
123.99999,124.0909,76,80,40
124.0909,124.18181,74,80,40
124.18181,124.27272,72,80,40
124.27272,124.363625,74,80,40
124.363625,125.23635,72,43,40
125.99999,126.27272,72,67,40
126.27272,126.54544,71,73,40
126.54544,127.0909,74,88,40
127.0909,127.63635,72,90,40
127.63635,128.18181,76,89,40
128.18181,128.61816,74,80,40
129.27272,129.54544,74,80,40
129.54544,129.81818,73,80,40
129.81818,130.36363,76,88,40
130.36363,130.90907,74,80,40
130.90907,131.45453,77,92,40
131.45453,131.8909,76,95,40
132.54544,132.81818,77,95,40
132.81818,133.0909,76,95,40
133.0909,133.63635,79,108,40
133.63635,134.07272,77,95,40
134.72726,134.99998,79,101,40
134.99998,135.27272,78,101,40
135.27272,135.81818,81,108,40
135.81818,136.25453,79,101,40
136.90907,137.12726,81,101,40
137.18181,137.4,79,101,40
137.45453,137.8909,82,108,40
137.99998,138.43636,81,101,40
139.0909,139.30908,82,101,40
139.36363,139.5818,81,101,40
139.63635,140.07271,84,97,40
140.18181,140.61816,82,101,40
141.27272,141.49089,70,80,40
141.54544,141.76363,69,80,40
141.81818,142.33635,72,88,40
142.36362,143.4,70,80,40
143.45453,143.99998,71,56,40
143.99998,144.40907,72,61,40
144.40907,144.54544,69,61,40
144.54544,144.95453,72,61,40
144.95453,145.0909,69,61,40
145.0909,146.72726,65,61,40
146.72726,147.27272,67,61,40
147.27272,148.36362,70,65,40
148.36362,149.23636,69,58,40
149.99998,150.81818,65,92,40
150.81818,151.0909,62,92,40
151.0909,151.90907,70,92,40
151.90907,152.18181,65,92,40
152.18181,152.99998,74,92,40
152.99998,153.27272,70,92,40
153.27272,154.03635,77,92,40
154.0909,154.30908,76,60,40
154.36362,154.5818,75,57,40
154.63635,154.85454,74,55,40
154.90907,155.7818,72,82,40
157.0909,158.4,67,58,40
158.72726,158.83635,69,58,40
158.86362,158.97272,67,58,40
158.99998,159.10909,66,58,40
159.13635,159.24544,67,58,40
159.27272,159.81816,70,58,40
159.81816,160.36362,69,58,40
160.36362,160.90907,72,69,40
160.90907,161.45453,70,58,40
161.45453,163.0909,70,58,40
163.0909,163.63635,69,58,40
163.63635,163.90907,69,58,40
163.90907,164.18181,67,58,40
164.18181,164.45453,70,58,40
164.45453,164.72726,62,58,40
164.72726,165.27272,65,58,40
165.27272,165.81816,66,58,40
165.81816,166.36362,67,58,40
166.36362,166.90907,68,58,40
166.90907,167.12726,69,58,40
167.18181,167.25453,70,58,40
167.27272,167.34544,69,58,40
167.36362,167.43636,67,58,40
167.45453,167.67271,69,58,40
167.72726,167.94543,70,58,40
167.99998,168.87271,72,58,40
170.18181,170.83635,77,56,40
170.99998,171.10907,79,66,40
171.13635,171.27272,77,68,40
171.27272,171.81816,76,70,40
171.81816,172.36362,77,76,40
172.36362,172.90907,79,82,40
172.90907,173.45453,81,89,40
173.45453,174.10907,82,92,40
174.18636,174.29544,79,80,40
174.32271,174.43181,76,80,40
174.45908,174.56816,72,80,40
174.59544,175.0318,70,72,40
176.2318,176.44998,69,80,40
176.50453,176.72272,77,80,40
176.72726,177.3818,77,58,40
177.54544,177.76363,74,58,40
177.81816,178.03635,72,58,40
178.0909,178.17271,81,58,40
178.36362,178.44543,79,58,40
178.63635,178.71817,77,58,40
178.90907,178.99089,76,58,40
179.18181,179.26363,74,58,40
179.45453,179.53635,72,58,40
179.72726,179.80908,70,58,40
179.99998,180.2727,70,76,40
180.2727,180.54544,69,58,40
180.54544,180.68181,67,58,40
180.81816,180.95453,65,58,40
181.0909,181.96362,65,58,40
183.2727,184.5818,72,87,40
184.63635,184.90907,79,87,40
184.90907,185.18181,77,87,40
185.18181,185.45453,75,87,40
185.45453,185.72726,74,87,40
185.72726,185.99998,72,87,40
185.99998,186.2727,70,87,40
186.2727,186.54544,69,87,40
186.54544,187.0909,72,83,40
187.0909,187.52725,70,58,40
188.18181,188.39998,70,58,40
188.45453,188.67271,69,58,40
188.72726,189.2727,72,64,40
189.2727,189.70908,71,58,40
189.81816,190.36362,74,64,40
190.36362,190.79999,72,58,40
191.45453,191.67271,72,58,40
191.72725,191.94543,71,58,40
191.99998,192.54544,74,64,40
192.54544,192.9818,72,58,40
193.0909,193.63635,75,91,40
193.63635,194.07271,74,92,40
194.72725,194.94543,74,92,40
194.99998,195.21817,73,92,40
195.2727,195.70908,75,101,40
195.81816,196.25453,74,92,40
196.36362,197.67271,74,58,40
197.99998,198.21817,82,74,40
198.2727,198.49089,81,74,40
198.54544,198.9818,84,82,40
199.0909,199.52725,82,74,40
199.63635,200.18181,70,72,40
200.18181,200.61816,69,65,40
201.2727,201.49089,69,64,40
201.54544,201.76363,68,64,40
201.81816,202.36362,70,70,40
202.36362,202.79999,69,64,40
202.90907,204.21817,69,64,40
204.54544,204.76363,77,64,40
204.81816,205.03635,76,64,40
205.0909,205.63635,79,70,40
205.63635,206.07271,77,64,40
206.18181,206.72725,69,64,40
206.72725,207.16362,67,66,40
207.81816,208.03635,67,72,40
208.0909,208.30907,66,72,40
208.36362,208.90907,69,81,40
208.90907,209.34544,67,77,40
209.45453,209.99998,79,88,40
209.99998,210.43634,77,83,40
211.0909,211.30907,67,80,40
211.36362,211.5818,66,81,40
211.63635,212.1818,69,90,40
212.1818,212.61816,67,84,40
212.72725,213.2727,79,88,40
213.2727,213.70908,77,80,40
214.36362,214.5818,67,80,40
214.63635,214.85452,66,80,40
214.90907,215.34544,69,88,40
215.45453,215.89088,67,80,40
215.99998,216.54544,79,88,40
216.54544,216.9818,77,80,40
217.63635,217.85452,79,92,40
217.90907,218.12726,77,92,40
218.1818,218.72725,80,101,40
218.72725,219.16362,77,92,40
219.2727,219.54544,77,92,40
219.54544,219.81816,76,92,40
219.81816,219.95453,74,92,40
220.0909,220.22725,72,92,40
220.36362,220.43634,71,88,40
220.45453,220.52725,72,88,40
220.54544,220.61816,74,88,40
220.63635,222.9818,72,59,40
223.0909,223.30907,72,59,40
223.36362,223.5818,71,59,40
223.63635,224.1818,74,59,40
224.1818,224.61816,72,59,40
224.72725,225.59998,72,59,40
225.81816,226.25453,72,80,40
226.36362,226.5818,84,59,40
226.63634,226.85452,83,60,40
226.90907,227.45453,86,63,40
227.45453,227.89088,84,66,40
227.99998,228.87271,84,70,40
229.0909,232.79999,84,80,40
232.90907,233.1818,84,76,40
233.1818,233.45453,83,76,40
233.45453,233.72725,86,76,40
233.72725,233.99998,84,76,40
233.99998,234.2727,82,76,40
234.2727,234.54544,81,76,40
234.54544,234.81816,84,76,40
234.81816,235.0909,82,76,40
235.0909,235.36362,81,76,40
235.36362,235.63634,79,76,40
235.63634,235.85452,78,64,40
235.90907,236.04544,79,64,40
236.1818,236.39998,78,64,40
236.45453,236.5909,79,64,40
236.72725,236.94543,78,64,40
236.99998,237.13634,79,64,40
237.95453,238.06361,79,64,40
238.0909,238.19998,82,64,40
238.22725,238.33635,81,64,40
238.36362,238.4727,79,64,40
238.49998,238.60907,77,64,40
238.63634,238.74544,76,64,40
238.7727,238.8818,74,64,40
238.90907,239.12726,74,64,40
239.1818,239.31816,72,64,40
239.45453,239.67271,74,64,40
239.72725,239.86362,72,64,40
239.99998,240.21815,74,64,40
240.2727,240.40907,72,64,40
242.1818,243.05452,65,32,40
243.2727,243.70908,65,32,40
243.81816,244.25453,65,32,40
244.36362,244.79997,65,32,40
244.90907,245.34543,65,32,40
245.45453,246.32726,65,51,40
246.54544,247.41817,64,51,40
248.72725,250.4727,72,51,40
251.99998,252.87271,82,51,40
253.09088,253.52725,82,51,40
253.63634,254.07271,82,51,40
254.1818,254.61816,82,51,40
254.72725,255.16362,82,51,40
255.2727,256.14545,82,55,40
256.36362,256.8,81,70,40
256.90906,257.34543,87,78,40
257.45453,257.8909,87,85,40
257.99997,258.43634,87,92,40
258.54544,259.41815,77,92,40
258.54544,259.41815,87,92,40
259.63635,260.50906,77,92,40
259.63635,260.50906,86,92,40
261.81815,262.6909,67,51,40
262.90906,263.34543,67,51,40
263.45453,263.8909,67,51,40
263.99997,264.43634,67,51,40
264.54544,264.98178,67,51,40
265.09088,265.36362,67,51,40
265.36362,265.49997,68,51,40
265.49997,265.63635,70,51,40
265.63635,265.90906,68,51,40
265.90906,266.1818,67,51,40
266.1818,266.61816,67,51,40
266.72726,267.1636,67,51,40
267.2727,267.70908,67,51,40
267.81815,268.25452,67,51,40
268.36362,269.1818,62,69,40
269.1818,269.45453,67,69,40
269.45453,270.54544,65,69,40
270.54544,270.81815,69,87,40
270.81815,271.36362,67,87,40
271.36362,271.63635,65,80,40
271.63635,272.50906,65,80,40
281.45453,282.32724,65,51,40
282.54544,282.98178,65,51,40
283.09088,283.52725,65,51,40
283.63635,284.0727,65,51,40
284.1818,284.61816,65,51,40
284.72723,285.59998,65,51,40
285.81815,286.6909,64,51,40
287.99997,289.74542,60,51,40
291.2727,292.14542,73,92,40
292.36362,292.8,73,92,40
292.90906,293.34543,73,92,40
293.45453,293.8909,73,92,40
293.99997,294.43634,73,92,40
294.54544,295.41815,73,92,40
295.63635,296.0727,72,92,40
296.1818,296.61816,72,92,40
296.72723,297.1636,72,92,40
297.2727,297.70908,72,92,40
297.81815,298.25452,72,92,40
298.36362,298.8,71,92,40
298.90906,299.34543,70,92,40
299.45453,299.89087,70,92,40
299.99997,300.43634,70,92,40
300.54544,300.98178,70,92,40
301.09088,301.52725,70,92,40
301.63635,302.0727,69,92,40
302.1818,302.61816,68,92,40
302.72723,303.1636,68,92,40
303.2727,303.70908,68,92,40
303.81815,304.25452,68,92,40
304.36362,305.23633,67,51,40
307.63635,307.90906,79,92,40
307.90906,308.04544,80,92,40
308.04544,308.1818,82,92,40
308.1818,308.45453,80,51,40
308.45453,308.72723,79,51,40
308.72723,309.1636,79,51,40
309.2727,309.70908,79,51,40
309.81815,310.09088,77,92,40
310.09088,310.22723,79,92,40
310.22723,310.36362,80,80,40
310.36362,310.63635,79,80,40
310.63635,310.90906,77,51,40
310.90906,311.34543,77,51,40
311.45453,311.89087,77,51,40
311.99997,312.8727,77,85,40
313.09088,313.36362,81,92,40
313.36362,313.90906,79,92,40
313.90906,314.1818,77,92,40
314.1818,315.2727,77,92,40
315.2727,316.36362,76,92,40
316.36362,317.45453,75,92,40
317.45453,317.99997,73,92,40
317.99997,318.6818,74,92,40
318.6818,318.81815,76,92,40
318.81815,318.95453,74,92,40
318.95453,319.09088,72,92,40
319.09088,319.22723,74,92,40
319.22723,319.36362,76,92,40
319.36362,319.49997,74,92,40
319.49997,319.63632,76,92,40
319.63632,319.90906,79,92,40
319.90906,320.1818,77,92,40
320.1818,320.45453,76,92,40
320.45453,320.72723,74,92,40
320.72723,322.03635,72,75,40
322.36362,322.8,74,75,40
322.90906,323.34543,76,82,40
323.45453,323.89087,77,88,40
323.99997,324.2727,72,78,40
324.2727,324.54544,71,78,40
324.54544,324.81815,70,78,40
324.81815,325.09088,69,78,40
325.09088,325.1636,67,62,40
325.1818,325.25452,69,62,40
325.2727,325.34543,67,62,40
325.36362,325.43634,69,62,40
325.45453,325.52725,67,62,40
325.54544,325.61816,69,62,40
325.63632,325.70908,67,62,40
325.72723,325.8,69,62,40
325.81815,325.89087,67,62,40
325.90906,325.98178,69,62,40
325.99997,326.0727,67,62,40
326.09088,326.1636,69,62,40
326.1818,326.25452,67,62,40
326.2727,326.34543,69,62,40
326.36362,326.43634,67,62,40
326.45453,326.52725,69,62,40
326.54544,326.61816,67,62,40
326.63632,326.70908,69,62,40
326.72723,326.8,67,62,40
326.81815,326.89087,69,62,40
326.90906,326.98178,67,62,40
326.99997,327.10907,65,62,40
327.13632,327.24542,67,62,40
327.2727,328.14542,65,51,40
330.54544,332.72723,70,80,40
332.72723,333.54544,67,80,40
333.54544,333.81815,64,80,40
333.81815,335.5636,72,80,40
335.99997,337.09088,74,80,40
337.09088,339.2727,65,80,40
339.2727,340.36362,67,80,40
340.36362,341.45453,70,92,40
341.45453,342.32724,69,80,40
343.63632,345.81815,82,80,40
345.81815,346.63632,79,80,40
346.63632,346.90906,76,80,40
346.90906,348.566,84,96,40
348.566,349.13205,85,96,40
349.13205,349.70895,86,96,40
349.70895,350.1705,89,96,40
350.2859,352.03134,77,77,40
352.4677,352.54044,81,64,40
352.55862,352.63135,79,64,40
352.64954,352.72226,81,64,40
352.74045,352.81317,79,64,40
352.83136,352.90408,81,64,40
352.92224,352.995,79,64,40
353.01315,353.0859,81,64,40
353.10406,353.1768,79,64,40
353.19498,353.2677,81,64,40
353.2859,353.3586,79,64,40
353.3768,353.44952,77,64,40
353.4677,353.54044,79,64,40
353.55862,354.43134,77,80,40
355.74045,356.1768,75,80,40
356.83136,357.2677,74,80,40
357.92224,358.3586,73,80,40
359.01315,360.64954,72,80,40
360.64954,361.19498,71,80,40
361.19498,362.2859,70,80,40
362.2859,363.2677,69,80,40
363.3768,365.01315,67,80,40
365.01315,365.12225,69,80,40
365.14954,365.2586,67,80,40
365.2859,365.395,66,80,40
365.42224,365.53134,67,80,40
365.55862,366.43134,72,80,40
366.64954,367.08588,65,80,40
367.74045,368.1768,65,80,40
368.83136,369.2677,65,80,40
369.92224,370.03336,64,56,40
370.03336,370.14447,65,56,40
370.14447,370.25558,67,56,40
370.25558,372.58893,65,56,40
0.0,1.090909,69,58,40
1.090909,2.7272725,60,58,40
2.7272725,3.272727,64,58,40
3.272727,4.363636,67,61,40
4.363636,4.7999997,65,58,40
4.9090905,5.454545,65,80,40
5.454545,5.9999995,64,80,40
5.9999995,6.545454,63,80,40
6.545454,7.0909085,62,67,40
7.0909085,8.181817,65,75,40
8.181817,9.272726,70,88,40
9.272726,9.818181,74,92,40
9.818181,10.363635,72,80,40
10.363635,10.436363,72,58,40
10.454545,10.527272,70,58,40
10.545454,10.618181,72,58,40
10.636363,10.70909,70,58,40
10.727272,10.799999,69,58,40
10.818181,10.890908,70,58,40
10.90909,11.781817,69,58,40
13.090908,13.963635,65,80,40
14.181817,15.054544,64,80,40
15.272726,17.236362,63,80,40
17.454544,17.999998,62,80,40
17.999998,18.545452,64,80,40
18.545452,19.636362,65,80,40
19.636362,20.509089,62,80,40
20.72727,21.599998,60,80,40
21.81818,22.690907,64,80,40
22.909088,23.127272,65,80,40
23.181816,23.254543,67,80,40
23.272726,23.345453,65,58,40
23.363634,23.436361,64,58,40
23.454544,23.672726,65,58,40
23.72727,23.945452,67,58,40
23.999998,24.872725,69,80,40
26.181816,26.61818,72,65,40
26.72727,27.163633,72,74,40
27.272724,27.70909,72,82,40
27.81818,28.254543,72,89,40
28.363634,29.23636,72,92,40
29.454542,30.32727,72,92,40
31.090906,31.963634,70,80,40
32.181816,32.61818,69,80,40
32.72727,33.545452,74,80,40
33.545452,33.81818,70,80,40
33.81818,35.12727,69,80,40
35.454544,35.672726,70,80,40
35.72727,35.94545,67,80,40
35.999996,36.272724,67,91,40
36.272724,36.490906,65,80,40
36.545452,36.681816,64,80,40
36.81818,36.954544,65,80,40
37.090904,38.399998,60,80,40
38.454544,38.672726,61,58,40
38.72727,38.94545,62,58,40
38.999996,39.218178,58,58,40
39.272724,39.545452,57,43,40
39.81818,40.090904,69,43,40
40.363632,40.63636,69,43,40
40.90909,41.181816,69,43,40
41.45454,41.72727,69,43,40
41.999996,42.272724,69,43,40
42.545452,42.81818,67,43,40
43.090904,43.363632,67,43,40
43.63636,43.90909,67,43,40
44.181816,44.45454,67,43,40
44.72727,44.999996,67,43,40
45.272724,45.545452,67,43,40
45.818176,46.090904,72,43,40
46.363632,46.63636,72,43,40
46.90909,47.181816,72,43,40
47.45454,47.72727,72,43,40
47.999996,48.272724,71,43,40
48.545452,48.818176,71,43,40
49.109085,49.381813,72,43,40
49.649998,49.92272,72,43,40
50.222725,50.49545,72,43,40
50.749996,51.022724,72,43,40
51.313633,51.58636,72,43,40
51.840904,52.113632,72,43,40
52.399994,52.67272,72,43,40
52.91363,53.18636,72,43,40
53.481815,53.75454,72,43,40
54.018177,54.290905,72,43,40
54.577267,54.849995,72,43,40
55.08636,55.359085,72,43,40
55.63636,55.90909,72,43,40
56.19545,56.468178,72,43,40
56.813633,57.086357,72,43,40
57.272724,57.54545,72,43,40
57.818176,58.090904,72,43,40
58.349995,58.622723,72,43,40
58.909084,59.181812,60,43,40
59.45454,59.72727,60,43,40
59.999996,60.272724,60,43,40
60.54545,60.818176,60,43,40
61.090904,61.363632,60,43,40
61.63636,61.909084,60,43,40
62.181812,62.618176,59,67,40
62.72727,62.999996,62,70,40
62.999996,63.27272,60,71,40
63.27272,63.818176,64,72,40
63.818176,64.25454,62,75,40
64.90909,65.181816,64,80,40
65.181816,65.45454,62,82,40
65.45454,65.99999,65,82,40
65.99999,66.436356,64,85,40
67.090904,67.36363,65,90,40
67.36363,67.63636,64,92,40
67.63636,68.181816,67,92,40
68.181816,68.61818,65,92,40
69.27272,69.54545,67,92,40
69.54545,69.81818,66,92,40
69.81818,70.36363,69,92,40
70.36363,70.90909,67,92,40
70.90909,71.45454,65,92,40
71.45454,71.99999,64,92,40
71.99999,73.090904,62,80,40
75.27272,75.54545,65,58,40
75.81818,76.090904,65,58,40
76.36363,76.63636,65,58,40
78.54545,78.81818,65,58,40
79.090904,79.36363,65,58,40
79.63636,79.90908,65,58,40
85.090904,86.83636,55,43,40
88.36363,89.23636,72,43,40
89.45454,89.8909,72,43,40
89.99999,90.436356,72,43,40
90.54545,90.98181,72,43,40
91.090904,91.52727,72,43,40
91.63635,92.50909,72,43,40
92.727264,93.59999,71,43,40
94.90908,96.21817,70,41,40
96.54545,96.98181,76,77,40
97.090904,97.52727,76,89,40
97.63635,98.072716,76,92,40
98.18181,99.054535,79,92,40
98.18181,99.054535,70,92,40
99.27272,100.14545,69,92,40
99.27272,100.14545,77,92,40
101.45454,102.32726,69,43,40
101.45454,102.32726,72,43,40
102.54545,102.98181,72,43,40
102.54545,102.98181,69,43,40
103.090904,103.52727,69,43,40
103.090904,103.52727,72,43,40
103.63635,104.072716,69,43,40
103.63635,104.072716,72,43,40
104.18181,104.61817,72,43,40
104.18181,104.61817,69,43,40
104.727264,105.59999,68,43,40
104.727264,105.59999,72,43,40
105.81818,106.25454,72,43,40
105.81818,106.25454,68,43,40
106.363625,106.79999,68,43,40
106.363625,106.79999,72,43,40
106.90908,107.34544,72,43,40
106.90908,107.34544,68,43,40
107.45454,107.8909,72,43,40
107.45454,107.8909,68,43,40
107.99999,109.0909,62,48,40
109.0909,110.18181,64,48,40
110.18181,111.27272,65,48,40
111.27272,111.81818,64,92,40
111.81818,112.363625,60,92,40
112.363625,112.90908,61,92,40
112.90908,113.45454,62,92,40
113.45454,113.99999,63,92,40
113.99999,114.54545,64,92,40
114.54545,114.81817,65,55,40
115.0909,115.363625,72,63,40
115.63635,115.90908,72,71,40
116.18181,116.45454,72,79,40
116.727264,116.99999,72,86,40
117.27272,117.54545,72,92,40
117.81817,118.25453,72,80,40
118.363625,119.23635,79,80,40
119.45454,119.99999,77,67,40
119.99999,120.54545,77,80,40
120.54545,121.0909,76,92,40
121.63635,121.90908,72,58,40
122.18181,122.45454,72,58,40
122.727264,122.99999,72,58,40
123.27272,123.54544,71,58,40
123.81817,124.0909,71,58,40
124.363625,127.63635,72,52,40
127.63635,130.90907,71,65,40
130.90907,133.0909,70,72,40
133.0909,134.18181,69,78,40
134.18181,135.27272,69,77,40
135.27272,137.45453,64,82,40
137.45453,138.54544,65,82,40
138.54544,139.63635,57,71,40
139.63635,140.72726,55,71,40
140.72726,142.90907,55,72,40
143.99998,144.40907,69,61,40
144.40907,144.54544,65,61,40
144.54544,144.95453,69,61,40
144.95453,145.0909,65,61,40
145.0909,146.72726,60,61,40
146.72726,147.27272,64,61,40
147.27272,148.14545,67,58,40
148.36362,148.90907,65,58,40
148.90907,149.45453,65,58,40
149.45453,149.99998,64,58,40
149.99998,150.54544,63,58,40
150.54544,150.98181,62,92,40
