start_time,end_time,note_value,velocity,instrument_program_number
0.52916664,1.1291667,66,100,40
1.1291667,1.7291666,62,100,40
1.7291666,2.3291667,66,100,40
2.3291667,2.9291666,62,100,40
2.9291666,3.5291667,66,100,40
3.5291667,4.1291666,62,100,40
4.1291666,4.7291665,67,100,40
4.7291665,5.329167,62,100,40
5.329167,5.929167,67,100,40
5.929167,6.5291667,62,100,40
6.5291667,7.1291666,67,100,40
7.1291666,7.7291665,62,100,40
7.7291665,8.329166,67,100,40
8.329166,8.929167,64,100,40
8.929167,9.529166,67,100,40
9.529166,10.129167,67,100,40
10.129167,10.729167,66,100,40
10.729167,11.329166,64,100,40
11.329166,12.529166,62,100,40
12.529166,13.129167,66,100,40
13.129167,13.729167,74,100,40
13.729167,14.329166,73,100,40
14.329166,14.929167,72,100,40
14.929167,15.529166,71,100,40
15.529166,16.129168,67,100,40
16.129168,16.729166,71,100,40
16.729166,17.329166,67,100,40
17.329166,17.929167,71,100,40
17.929167,18.529167,67,100,40
18.529167,19.129168,71,100,40
19.129168,19.729166,67,100,40
19.729166,20.329166,69,100,40
20.329166,20.929167,66,100,40
20.929167,21.529167,69,100,40
21.529167,22.129168,66,100,40
22.129168,22.729166,69,100,40
22.729166,23.329166,67,100,40
23.329166,23.929167,69,100,40
23.929167,24.529167,67,100,40
24.529167,25.129168,69,100,40
25.129168,25.729166,66,100,40
25.729166,26.329166,69,100,40
26.329166,26.929167,64,100,40
26.929167,27.529167,66,100,40
27.529167,28.129168,69,100,40
28.129168,28.729166,67,100,40
28.729166,29.329166,71,100,40
29.329166,29.929167,66,100,40
29.929167,30.529167,69,100,40
30.529167,31.129168,64,100,40
31.129168,31.729166,69,100,40
31.729166,32.329166,64,100,40
32.329166,32.929165,69,100,40
32.929165,33.529167,69,100,40
33.529167,34.129166,64,100,40
34.129166,34.729168,69,100,40
34.729168,35.329166,64,100,40
35.329166,35.929165,69,100,40
35.929165,36.529167,64,100,40
36.529167,37.129166,69,100,40
37.129166,37.729168,66,100,40
37.729168,38.329166,69,100,40
38.329166,38.929165,66,100,40
38.929165,39.529167,69,100,40
39.529167,40.129166,62,100,40
40.129166,40.729168,71,100,40
40.729168,41.329166,62,100,40
41.329166,41.929165,71,100,40
41.929165,42.529167,62,100,40
42.529167,43.129166,68,100,40
43.129166,43.729168,64,100,40
43.729168,44.329166,68,100,40
44.329166,44.929165,64,100,40
44.929165,45.529167,69,100,40
45.529167,46.129166,64,100,40
46.129166,46.729168,69,100,40
46.729168,47.329166,67,100,40
47.329166,47.929165,66,100,40
47.929165,48.529167,69,100,40
48.529167,49.129166,66,100,40
49.129166,49.729168,69,100,40
49.729168,50.329166,66,100,40
50.329166,50.929165,69,100,40
50.929165,51.529167,67,100,40
51.529167,52.129166,71,100,40
52.129166,52.729168,69,100,40
52.729168,53.329166,76,100,40
53.329166,53.929165,69,100,40
53.929165,54.529167,74,100,40
54.529167,55.129166,71,100,40
55.129166,55.729168,67,100,40
55.729168,56.329166,66,100,40
56.329166,56.929165,69,100,40
56.929165,57.529167,67,100,40
57.529167,58.129166,64,100,40
58.129166,58.729168,65,100,40
58.729168,59.329166,71,100,40
59.329166,59.929165,65,100,40
59.929165,60.529167,71,100,40
60.529167,61.129166,64,100,40
61.129166,61.729168,71,100,40
61.729168,62.329166,64,100,40
62.329166,62.929165,69,100,40
62.929165,63.529167,64,100,40
63.529167,64.129166,73,100,40
64.129166,64.729164,62,100,40
64.729164,65.32917,74,100,40
65.32917,65.92917,71,100,40
65.92917,66.52917,67,100,40
66.52917,67.129166,66,100,40
67.129166,67.729164,69,100,40
67.729164,68.32917,61,100,40
68.32917,68.92917,69,100,40
68.92917,69.52917,62,100,40
69.52917,70.729164,86,100,40
70.729164,71.02917,85,100,40
71.02917,71.32917,83,100,40
71.32917,71.629166,83,100,40
71.629166,71.92917,81,100,40
71.92917,72.229164,79,100,40
72.229164,72.52917,78,100,40
72.52917,72.82917,81,100,40
72.82917,73.129166,79,100,40
73.129166,73.42917,78,100,40
73.42917,73.729164,76,100,40
73.729164,74.92917,76,100,40
76.129166,76.729164,69,100,40
76.729164,77.92917,88,100,40
77.92917,78.229164,86,100,40
78.229164,78.52917,85,100,40
78.52917,78.82917,83,100,40
78.82917,79.129166,81,100,40
79.129166,79.42917,79,100,40
79.42917,79.729164,83,100,40
79.729164,80.02917,83,100,40
80.02917,80.32917,81,100,40
80.32917,80.629166,79,100,40
80.629166,80.92917,78,100,40
80.92917,82.129166,78,100,40
83.32917,83.92917,81,100,40
83.92917,84.52917,86,100,40
84.52917,85.129166,85,100,40
85.129166,85.729164,79,100,40
85.729164,86.32917,78,100,40
86.32917,86.92917,83,100,40
86.92917,87.52917,74,100,40
87.52917,87.67917,76,100,40
87.67917,87.75916,78,100,40
87.75916,87.82917,76,100,40
87.82917,87.909164,74,100,40
87.909164,87.979164,76,100,40
87.979164,88.129166,78,100,40
88.129166,88.729164,81,100,40
88.729164,89.92917,79,100,40
89.92917,90.67917,78,100,40
90.67917,90.82917,83,100,40
90.82917,90.979164,81,100,40
90.979164,91.129166,79,100,40
91.129166,91.27917,78,100,40
91.27917,91.42917,81,100,40
91.42917,91.57917,79,100,40
91.57917,91.729164,76,100,40
91.729164,92.629166,74,100,40
92.629166,92.70917,76,100,40
92.70917,92.77917,74,100,40
92.77917,92.85917,73,100,40
92.85917,92.92917,76,100,40
92.92917,93.52917,78,100,40
93.52917,93.979164,76,100,40
93.979164,94.129166,74,100,40
94.129166,94.27917,74,100,40
94.42917,94.729164,81,100,40
94.729164,95.02917,78,100,40
95.02917,95.32917,74,100,40
95.629166,95.92917,79,100,40
95.92917,96.229164,76,100,40
96.229164,96.52917,73,100,40
96.82917,97.129166,78,100,40
97.129166,97.42917,74,100,40
97.42917,97.729164,71,100,40
98.02917,98.32917,76,100,40
98.32917,98.629166,74,100,40
98.629166,98.92917,73,100,40
98.92917,99.229164,71,100,40
99.229164,99.52917,69,100,40
99.52917,99.82917,68,100,40
99.82917,100.129166,67,100,40
100.129166,100.42917,76,100,40
100.42917,100.729164,67,100,40
100.729164,101.02917,66,100,40
101.02917,101.32917,74,100,40
101.629166,101.92917,64,100,40
101.92917,102.229164,67,100,40
102.229164,102.52917,71,100,40
102.52917,102.82917,71,100,40
102.82917,103.129166,69,100,40
103.129166,103.42917,67,100,40
103.42917,103.729164,66,100,40
103.729164,104.02917,66,100,40
104.02917,104.32917,64,100,40
104.32917,104.629166,69,100,40
104.629166,104.92917,61,100,40
104.92917,105.52917,62,100,40
105.52917,106.129166,66,100,40
106.129166,106.729164,62,100,40
106.729164,107.32917,66,100,40
107.32917,107.92917,61,100,40
107.92917,108.52917,66,100,40
108.52917,109.729164,62,100,40
109.879166,110.02917,59,100,40
110.02917,110.17917,61,100,40
110.17917,110.32917,62,100,40
110.32917,110.479164,64,100,40
110.479164,110.629166,66,100,40
110.629166,110.77917,68,100,40
110.77917,110.92917,70,100,40
110.92917,111.07917,71,100,40
111.07917,111.229164,73,100,40
111.229164,111.379166,74,100,40
111.379166,111.52917,76,100,40
111.52917,111.67917,78,100,40
111.67917,111.82917,80,100,40
111.82917,111.979164,82,100,40
111.979164,112.129166,83,100,40
117.07917,117.229164,57,100,40
117.229164,117.379166,59,100,40
117.379166,117.52917,61,100,40
117.52917,117.67917,62,100,40
117.67917,117.82917,64,100,40
117.82917,117.979164,66,100,40
117.979164,118.129166,68,100,40
118.129166,118.27917,69,100,40
118.27917,118.42917,71,100,40
118.42917,118.57917,73,100,40
118.57917,118.729164,74,100,40
118.729164,118.879166,76,100,40
118.879166,119.02917,78,100,40
119.02917,119.17917,80,100,40
119.17917,119.32917,81,100,40
120.67917,120.82917,66,100,40
120.82917,120.979164,68,100,40
120.979164,121.129166,70,100,40
121.129166,121.27917,71,100,40
121.27917,121.42917,73,100,40
121.42917,121.57917,74,100,40
121.57917,121.729164,76,100,40
121.729164,121.879166,78,100,40
121.879166,122.02917,80,100,40
122.02917,122.17917,82,100,40
122.17917,122.32917,83,100,40
122.32917,122.479164,82,100,40
122.479164,122.629166,83,100,40
122.629166,122.77917,82,100,40
122.77917,122.92917,83,100,40
124.27917,124.42917,64,100,40
124.42917,124.57917,66,100,40
124.57917,124.729164,68,100,40
124.729164,124.879166,69,100,40
124.879166,125.02917,71,100,40
125.02917,125.17917,73,100,40
125.17917,125.32917,74,100,40
125.32917,125.479164,76,100,40
125.479164,125.629166,78,100,40
125.629166,125.77917,80,100,40
125.77917,125.92917,81,100,40
125.92917,126.07917,80,100,40
126.07917,126.229164,81,100,40
126.229164,126.379166,80,100,40
126.379166,126.52917,81,100,40
127.879166,128.02916,62,100,40
128.02916,128.17917,64,100,40
128.17917,128.32916,66,100,40
128.32916,128.47917,68,100,40
128.47917,128.62917,69,100,40
128.62917,128.77916,71,100,40
128.77916,128.92917,73,100,40
128.92917,129.07916,74,100,40
129.07916,129.22917,76,100,40
129.22917,129.37917,78,100,40
129.37917,129.52916,80,100,40
129.52916,129.67917,78,100,40
129.67917,129.82916,80,100,40
129.82916,129.97917,78,100,40
129.97917,130.12917,80,100,40
131.47917,131.62917,61,100,40
131.62917,131.77916,63,100,40
131.77916,131.92917,65,100,40
131.92917,132.07916,66,100,40
132.07916,132.22917,68,100,40
132.22917,132.37917,69,100,40
132.37917,132.52916,71,100,40
132.52916,132.67917,73,100,40
132.67917,132.82916,75,100,40
132.82916,132.97917,77,100,40
132.97917,133.12917,78,100,40
133.12917,133.27916,77,100,40
133.27916,133.42917,78,100,40
133.42917,133.57916,77,100,40
133.57916,133.72917,78,100,40
133.72917,135.22917,71,100,40
135.22917,135.37917,73,100,40
135.37917,135.52916,71,100,40
135.52916,135.67917,70,100,40
135.67917,135.82916,71,100,40
135.82916,136.12917,73,100,40
136.12917,136.42917,74,100,40
136.42917,136.57916,76,100,40
136.57916,136.72917,74,100,40
136.72917,136.87917,73,100,40
136.87917,137.02916,74,100,40
137.02916,137.32916,76,100,40
137.32916,137.92917,78,100,40
137.92917,138.52916,81,100,40
138.52916,139.12917,80,100,40
139.12917,139.72917,78,100,40
139.72917,140.32916,76,100,40
140.32916,140.92917,74,100,40
140.92917,141.82916,73,100,40
141.82916,141.97917,74,100,40
141.97917,142.12917,76,100,40
142.12917,143.32916,69,100,40
143.32916,144.52916,68,100,40
144.52916,145.12917,69,100,40
145.12917,145.72917,66,100,40
145.72917,146.32916,69,100,40
146.32916,146.92917,66,100,40
146.92917,147.52916,69,100,40
147.52916,148.12917,66,100,40
148.12917,149.32916,69,100,40
149.32916,149.92917,68,100,40
149.92917,150.52916,66,100,40
150.52916,151.12917,64,100,40
151.12917,151.72917,62,100,40
151.72917,152.32916,61,100,40
152.32916,152.92917,64,100,40
153.52916,154.12917,64,100,40
154.12917,154.72917,66,100,40
154.72917,155.32916,66,100,40
155.92917,156.52916,69,100,40
156.52916,157.12917,69,100,40
157.12917,157.72917,69,100,40
157.72917,158.32916,68,100,40
158.32916,158.92917,68,100,40
158.92917,160.12917,69,100,40
162.52916,166.12917,83,100,40
166.12917,169.72917,81,100,40
169.72917,173.32916,79,100,40
173.32916,175.72917,67,100,40
180.52916,181.12917,66,100,40
181.12917,181.72917,62,100,40
181.72917,182.32916,66,100,40
182.32916,182.92917,62,100,40
182.92917,183.52916,66,100,40
183.52916,184.12917,62,100,40
184.12917,184.72917,67,100,40
184.72917,185.32916,62,100,40
185.32916,185.92917,67,100,40
185.92917,186.52916,62,100,40
186.52916,187.12917,67,100,40
187.12917,187.72917,62,100,40
187.72917,188.32916,67,100,40
188.32916,188.92917,64,100,40
188.92917,189.52916,67,100,40
189.52916,190.12917,67,100,40
190.12917,190.72917,66,100,40
190.72917,191.32916,64,100,40
191.32916,192.52916,62,100,40
192.52916,193.12917,66,100,40
193.12917,193.72917,74,100,40
193.72917,194.32916,73,100,40
194.32916,194.92917,72,100,40
194.92917,195.52916,71,100,40
195.52916,196.12917,67,100,40
196.12917,196.72917,71,100,40
196.72917,197.32916,67,100,40
197.32916,197.92917,71,100,40
197.92917,198.52916,67,100,40
198.52916,199.12917,71,100,40
199.12917,199.72917,67,100,40
199.72917,200.32916,69,100,40
200.32916,200.92917,66,100,40
200.92917,201.52916,69,100,40
201.52916,202.12917,66,100,40
202.12917,202.72917,69,100,40
202.72917,203.32916,67,100,40
203.32916,203.92917,69,100,40
203.92917,204.52916,67,100,40
204.52916,205.12917,69,100,40
205.12917,205.72917,66,100,40
205.72917,206.32916,69,100,40
206.32916,206.92917,64,100,40
206.92917,207.52916,66,100,40
207.52916,208.12917,69,100,40
208.12917,208.72917,67,100,40
208.72917,209.32916,71,100,40
209.32916,209.92917,66,100,40
209.92917,210.52916,69,100,40
210.52916,211.12917,64,100,40
211.12917,211.72917,69,100,40
211.72917,212.32916,64,100,40
212.32916,212.92917,69,100,40
212.92917,213.52916,69,100,40
213.52916,214.12917,64,100,40
214.12917,214.72917,69,100,40
214.72917,215.32916,64,100,40
215.32916,215.92917,69,100,40
