start_time,end_time,note_value,velocity,instrument_program_number
1.3863087,1.8148797,76,127,71
1.8148797,2.6720216,76,127,71
2.6720216,3.1005926,74,127,71
3.1005926,3.5291636,73,127,71
3.5291636,3.9577346,69,127,71
3.9577346,4.17202,71,127,71
4.386306,4.600591,73,127,71
4.8148766,5.243448,73,127,71
5.243448,5.6720185,74,127,71
5.6720185,6.1005898,73,127,71
6.1005898,6.5291605,71,127,71
6.5291605,6.9577317,76,127,71
6.9577317,7.3863025,81,127,71
7.3863025,7.8148737,74,127,71
7.8148737,8.243444,78,127,71
8.243444,8.886301,76,127,71
8.886301,9.100587,78,127,71
9.100587,9.314872,74,127,71
9.314872,9.529158,71,127,71
9.529158,10.3863,69,127,71
10.3863,10.600585,73,127,71
10.600585,10.814871,71,127,71
10.814871,11.243442,69,127,71
11.672012,12.100584,76,127,71
12.100584,12.957726,76,127,71
12.957726,13.386296,74,127,71
13.386296,13.814868,73,127,71
13.814868,14.243439,69,127,71
14.243439,14.457725,71,127,71
14.672009,14.886295,73,127,71
15.10058,15.529152,73,127,71
15.529152,15.957723,74,127,71
15.957723,16.386293,73,127,71
16.386293,16.814865,71,127,71
16.814865,17.243435,76,127,71
17.243435,17.672007,81,127,71
17.672007,18.100578,74,127,71
18.100578,18.529148,78,127,71
18.529148,19.172005,76,127,71
19.172005,19.386292,78,127,71
19.386292,19.600576,74,127,71
19.600576,19.814861,71,127,71
19.814861,20.672003,69,127,71
20.672003,20.88629,73,127,71
20.88629,21.100574,71,127,71
21.100574,21.529146,69,127,71
31.386278,31.600565,76,127,71
31.600565,31.81485,75,127,71
31.81485,32.029137,76,127,71
32.029137,32.24342,75,127,71
32.24342,32.457706,76,127,71
32.457706,32.671993,77,127,71
32.671993,32.886276,78,127,71
32.886276,33.100563,77,127,71
33.100563,33.31485,78,127,71
33.31485,33.529133,77,127,71
33.529133,33.74342,78,127,71
33.74342,33.957706,80,127,71
33.957706,34.17199,81,127,71
34.17199,34.386276,80,127,71
34.386276,34.600563,81,127,71
34.600563,34.814846,83,127,71
34.814846,35.029133,80,127,71
35.029133,35.243416,76,127,71
35.243416,35.457703,78,127,71
35.457703,35.67199,81,127,71
35.67199,35.886272,80,127,71
35.886272,36.10056,76,127,71
36.10056,36.314846,75,127,71
36.314846,36.52913,78,127,71
36.52913,41.88627,76,127,71
41.88627,42.100555,75,127,71
42.100555,42.31484,76,127,71
42.31484,42.529125,75,127,71
42.529125,42.743412,76,127,71
42.743412,42.957695,75,127,71
42.957695,43.81484,76,127,71
43.81484,44.24341,74,127,71
44.24341,44.671978,73,127,71
44.671978,45.10055,69,127,71
45.10055,45.314835,71,127,71
45.52912,45.74341,73,127,71
45.95769,46.386265,73,127,71
46.386265,46.814835,74,127,71
46.814835,47.243404,73,127,71
47.243404,47.671978,71,127,71
47.671978,48.100548,76,127,71
48.100548,48.529118,81,127,71
48.529118,48.95769,74,127,71
48.95769,49.38626,78,127,71
49.38626,50.029118,76,127,71
50.029118,50.243404,78,127,71
50.243404,50.457687,74,127,71
50.457687,50.671974,71,127,71
50.671974,51.529114,69,127,71
51.529114,51.7434,73,127,71
51.7434,51.957687,71,127,71
51.957687,52.386257,69,127,71
62.24339,62.457676,76,127,71
62.457676,62.671963,75,127,71
62.671963,62.886246,76,127,71
62.886246,63.100533,75,127,71
63.100533,63.31482,76,127,71
63.31482,63.529102,77,127,71
63.529102,63.74339,78,127,71
63.74339,63.957676,77,127,71
63.957676,64.17196,78,127,71
64.17196,64.386246,77,127,71
64.386246,64.60053,78,127,71
64.60053,64.81482,80,127,71
64.81482,65.0291,81,127,71
65.0291,65.243385,80,127,71
65.243385,65.45767,81,127,71
65.45767,65.67196,83,127,71
65.67196,65.886246,80,127,71
65.886246,66.10053,76,127,71
66.10053,66.31481,78,127,71
66.31481,66.5291,81,127,71
66.5291,66.743385,80,127,71
66.743385,66.95767,76,127,71
66.95767,67.17196,75,127,71
67.17196,67.386246,78,127,71
67.386246,72.74338,76,127,71
72.74338,72.957664,75,127,71
72.957664,73.17195,76,127,71
73.17195,73.38624,75,127,71
73.38624,73.600525,76,127,71
73.600525,73.814804,75,127,71
73.814804,74.67195,76,127,71
74.67195,75.10052,74,127,71
75.10052,75.52909,73,127,71
75.52909,75.957664,69,127,71
75.957664,76.17195,71,127,71
76.38623,76.60052,73,127,71
76.814804,77.24338,73,127,71
77.24338,77.67194,74,127,71
