start_time,end_time,note_value,velocity,instrument_program_number
0.52916664,0.7291667,76,100,40
0.9291667,1.1291667,76,100,40
1.3291667,1.5291667,73,100,40
1.7291666,1.9291667,73,100,40
2.1291666,2.4291666,74,100,40
2.4291666,2.5291667,76,100,40
2.5291667,2.8291667,78,100,40
2.8291667,2.9291666,74,100,40
2.9291666,3.1291666,71,100,40
3.3291667,3.5291667,71,100,40
3.7291667,3.9291666,69,100,40
4.1291666,4.329167,69,100,40
4.5291667,4.7291665,71,100,40
4.929167,5.1291666,71,100,40
5.329167,5.3791666,69,100,40
5.3791666,5.429167,71,100,40
5.429167,5.4791665,69,100,40
5.4791665,5.5291667,71,100,40
5.5291667,5.579167,69,100,40
5.579167,5.6291666,71,100,40
5.6291666,5.679167,69,100,40
5.679167,5.7291665,71,100,40
5.7291665,5.7791667,69,100,40
5.7791667,5.829167,71,100,40
5.829167,5.8791666,69,100,40
5.8791666,5.929167,71,100,40
5.929167,6.0291667,68,100,40
6.0291667,6.1291666,69,100,40
6.1291666,6.929167,68,100,40
6.929167,7.1291666,76,100,40
7.329167,7.5291667,76,100,40
7.7291665,7.929167,73,100,40
8.129167,8.329166,73,100,40
8.529166,8.829166,74,100,40
8.829166,8.929167,76,100,40
8.929167,9.229167,78,100,40
9.229167,9.329166,74,100,40
9.329166,9.529166,71,100,40
9.729167,9.929167,71,100,40
10.129167,10.329166,81,100,40
10.529166,10.729167,81,100,40
10.929167,11.129167,83,100,40
11.329166,11.529166,83,100,40
11.729167,11.779166,80,100,40
11.779166,11.829166,81,100,40
11.829166,11.879167,80,100,40
11.879167,11.929167,81,100,40
11.929167,11.979167,80,100,40
11.979167,12.029166,81,100,40
12.029166,12.079166,80,100,40
12.079166,12.129167,81,100,40
12.129167,12.179167,80,100,40
12.179167,12.229167,81,100,40
12.229167,12.279166,80,100,40
12.279166,12.329166,81,100,40
12.329166,12.429167,78,100,40
12.429167,12.529166,80,100,40
12.529166,13.329166,81,100,40
13.329166,13.529166,76,100,40
13.729167,13.929167,76,100,40
14.129167,14.329166,73,100,40
14.529166,14.729167,73,100,40
14.929167,15.229167,74,100,40
15.229167,15.329166,76,100,40
15.329166,15.629167,78,100,40
15.629167,15.729167,74,100,40
15.729167,15.929167,71,100,40
16.129168,16.329166,71,100,40
16.529167,16.729166,69,100,40
16.929167,17.129168,69,100,40
17.329166,17.529167,71,100,40
17.729166,17.929167,71,100,40
18.129168,18.179167,69,100,40
18.179167,18.229166,71,100,40
18.229166,18.279167,69,100,40
18.279167,18.329166,71,100,40
18.329166,18.379168,69,100,40
18.379168,18.429167,71,100,40
18.429167,18.479166,69,100,40
18.479166,18.529167,71,100,40
18.529167,18.579166,69,100,40
18.579166,18.629168,71,100,40
18.629168,18.679167,69,100,40
18.679167,18.729166,71,100,40
18.729166,18.829166,68,100,40
18.829166,18.929167,69,100,40
18.929167,19.729166,68,100,40
19.729166,19.929167,76,100,40
20.129168,20.329166,76,100,40
20.529167,20.729166,73,100,40
20.929167,21.129168,73,100,40
21.329166,21.629168,74,100,40
21.629168,21.729166,76,100,40
21.729166,22.029167,78,100,40
22.029167,22.129168,74,100,40
22.129168,22.329166,71,100,40
22.529167,22.729166,71,100,40
22.929167,23.129168,81,100,40
23.329166,23.529167,81,100,40
23.729166,23.929167,83,100,40
24.129168,24.329166,83,100,40
24.529167,24.579166,80,100,40
24.579166,24.629168,81,100,40
24.629168,24.679167,80,100,40
24.679167,24.729166,81,100,40
24.729166,24.779167,80,100,40
24.779167,24.829166,81,100,40
24.829166,24.879168,80,100,40
24.879168,24.929167,81,100,40
24.929167,24.979166,80,100,40
24.979166,25.029167,81,100,40
25.029167,25.079166,80,100,40
25.079166,25.129168,81,100,40
25.129168,25.229166,78,100,40
25.229166,25.329166,80,100,40
25.329166,26.129168,81,100,40
26.129168,26.929167,80,100,40
26.929167,27.129168,83,100,40
27.129168,27.329166,81,100,40
27.329166,27.529167,80,100,40
27.529167,27.729166,78,100,40
27.729166,28.129168,76,100,40
28.129168,28.529167,74,100,40
28.529167,29.329166,73,100,40
29.329166,30.129168,80,100,40
30.129168,30.329166,83,100,40
30.329166,30.529167,81,100,40
30.529167,30.729166,80,100,40
30.729166,30.929167,78,100,40
30.929167,31.129168,78,100,40
31.129168,31.329166,76,100,40
31.329166,31.529167,74,100,40
31.529167,31.729166,73,100,40
31.729166,31.929167,71,100,40
31.929167,32.129166,73,100,40
32.129166,32.329166,74,100,40
32.329166,32.529167,75,100,40
32.529167,32.729168,76,100,40
32.929165,33.129166,76,100,40
33.329166,33.529167,73,100,40
33.729168,33.929165,73,100,40
34.129166,34.429165,74,100,40
34.429165,34.529167,76,100,40
34.529167,34.829166,78,100,40
34.829166,34.929165,74,100,40
34.929165,35.129166,71,100,40
35.329166,35.529167,71,100,40
35.729168,35.929165,81,100,40
36.129166,36.329166,81,100,40
36.529167,36.729168,83,100,40
36.929165,37.129166,83,100,40
37.329166,37.379166,80,100,40
37.379166,37.429165,81,100,40
37.429165,37.479168,80,100,40
37.479168,37.529167,81,100,40
37.529167,37.579166,80,100,40
37.579166,37.629166,81,100,40
37.629166,37.679165,80,100,40
37.679165,37.729168,81,100,40
37.729168,37.779167,80,100,40
37.779167,37.829166,81,100,40
37.829166,37.879166,80,100,40
37.879166,37.929165,81,100,40
37.929165,38.029167,78,100,40
38.029167,38.129166,80,100,40
38.129166,38.929165,81,100,40
38.929165,39.729168,80,100,40
39.729168,39.929165,83,100,40
39.929165,40.129166,81,100,40
40.129166,40.329166,80,100,40
40.329166,40.529167,78,100,40
40.529167,40.929165,76,100,40
40.929165,41.329166,74,100,40
41.329166,42.129166,73,100,40
42.129166,42.929165,80,100,40
42.929165,43.129166,83,100,40
43.129166,43.329166,81,100,40
43.329166,43.529167,80,100,40
43.529167,43.729168,78,100,40
43.729168,43.929165,78,100,40
43.929165,44.129166,76,100,40
44.129166,44.329166,74,100,40
44.329166,44.529167,73,100,40
44.529167,44.729168,71,100,40
44.729168,44.929165,73,100,40
44.929165,45.129166,74,100,40
45.129166,45.329166,75,100,40
45.329166,45.529167,76,100,40
45.729168,45.929165,76,100,40
46.129166,46.329166,73,100,40
46.529167,46.729168,73,100,40
46.929165,47.229168,74,100,40
47.229168,47.329166,76,100,40
47.329166,47.629166,78,100,40
47.629166,47.729168,74,100,40
47.729168,47.929165,71,100,40
48.129166,48.329166,71,100,40
48.529167,48.729168,81,100,40
48.929165,49.129166,81,100,40
49.329166,49.529167,83,100,40
49.729168,49.929165,83,100,40
50.129166,50.179165,80,100,40
50.179165,50.229168,81,100,40
50.229168,50.279167,80,100,40
50.279167,50.329166,81,100,40
50.329166,50.379166,80,100,40
50.379166,50.429165,81,100,40
50.429165,50.479168,80,100,40
50.479168,50.529167,81,100,40
50.529167,50.579166,80,100,40
50.579166,50.629166,81,100,40
50.629166,50.679165,80,100,40
50.679165,50.729168,81,100,40
50.729168,50.829166,78,100,40
50.829166,50.929165,80,100,40
50.929165,51.729168,81,100,40
51.729168,51.929165,76,100,40
52.129166,52.329166,76,100,40
52.529167,52.729168,73,100,40
52.929165,53.129166,73,100,40
53.329166,53.629166,74,100,40
53.629166,53.729168,76,100,40
53.729168,54.029167,78,100,40
54.029167,54.129166,74,100,40
54.129166,54.329166,71,100,40
54.529167,54.729168,71,100,40
54.929165,55.129166,69,100,40
55.329166,55.529167,69,100,40
55.729168,55.929165,71,100,40
56.129166,56.329166,71,100,40
56.529167,56.579166,73,100,40
56.579166,56.629166,74,100,40
56.629166,56.679165,73,100,40
56.679165,56.729168,74,100,40
56.729168,56.779167,73,100,40
56.779167,56.829166,74,100,40
56.829166,56.879166,73,100,40
56.879166,56.929165,74,100,40
56.929165,56.979168,73,100,40
56.979168,57.029167,74,100,40
57.029167,57.079166,73,100,40
57.079166,57.129166,74,100,40
57.129166,57.229168,71,100,40
57.229168,57.329166,73,100,40
57.329166,57.729168,71,100,40
61.329166,61.529167,69,100,40
61.729168,61.929165,69,100,40
62.129166,62.329166,71,100,40
62.529167,62.729168,71,100,40
62.929165,62.979168,68,100,40
62.979168,63.029167,69,100,40
63.029167,63.079166,68,100,40
63.079166,63.129166,69,100,40
63.129166,63.179165,68,100,40
63.179165,63.229168,69,100,40
63.229168,63.279167,68,100,40
63.279167,63.329166,69,100,40
63.329166,63.379166,68,100,40
63.379166,63.429165,69,100,40
63.429165,63.479168,68,100,40
63.479168,63.529167,69,100,40
63.529167,63.629166,66,100,40
63.629166,63.729168,68,100,40
63.729168,64.129166,69,100,40
64.52917,64.729164,76,100,40
64.92917,65.129166,76,100,40
65.32917,65.52917,73,100,40
65.729164,65.92917,73,100,40
66.129166,66.42917,74,100,40
66.42917,66.52917,76,100,40
66.52917,66.82917,78,100,40
66.82917,66.92917,74,100,40
66.92917,67.129166,71,100,40
67.32917,67.52917,71,100,40
67.729164,67.92917,69,100,40
68.129166,68.32917,69,100,40
68.52917,68.729164,71,100,40
68.92917,69.129166,71,100,40
69.32917,69.379166,73,100,40
69.379166,69.42917,74,100,40
69.42917,69.479164,73,100,40
69.479164,69.52917,74,100,40
69.52917,69.57917,73,100,40
69.57917,69.629166,74,100,40
69.629166,69.67917,73,100,40
69.67917,69.729164,74,100,40
69.729164,69.77917,73,100,40
69.77917,69.82917,74,100,40
69.82917,69.879166,73,100,40
69.879166,69.92917,74,100,40
69.92917,70.02917,71,100,40
70.02917,70.129166,73,100,40
70.129166,70.52917,71,100,40
74.129166,74.32917,69,100,40
74.52917,74.729164,69,100,40
74.92917,75.129166,71,100,40
75.32917,75.52917,71,100,40
75.729164,75.77917,68,100,40
75.77917,75.82917,69,100,40
75.82917,75.879166,68,100,40
75.879166,75.92917,69,100,40
75.92917,75.979164,68,100,40
75.979164,76.02917,69,100,40
76.02917,76.07917,68,100,40
76.07917,76.129166,69,100,40
76.129166,76.17917,68,100,40
76.17917,76.229164,69,100,40
76.229164,76.27917,68,100,40
76.27917,76.32917,69,100,40
76.32917,76.42917,66,100,40
76.42917,76.52917,68,100,40
76.52917,76.92917,69,100,40
77.32917,77.52917,62,100,40
77.52917,77.729164,64,100,40
77.729164,77.92917,62,100,40
77.92917,78.129166,64,100,40
78.129166,78.32917,61,100,40
78.32917,78.52917,64,100,40
78.52917,78.729164,61,100,40
78.729164,78.92917,64,100,40
78.92917,79.129166,59,100,40
79.129166,79.32917,64,100,40
79.32917,79.52917,59,100,40
79.52917,79.729164,64,100,40
79.729164,79.92917,61,100,40
79.92917,80.129166,64,100,40
80.129166,80.32917,61,100,40
80.32917,80.52917,64,100,40
80.52917,80.729164,62,100,40
80.729164,80.92917,64,100,40
80.92917,81.129166,62,100,40
81.129166,81.32917,64,100,40
81.32917,81.52917,61,100,40
81.52917,81.729164,64,100,40
81.729164,81.92917,69,100,40
81.92917,82.129166,71,100,40
82.129166,82.32917,72,100,40
82.32917,82.52917,73,100,40
82.52917,82.729164,74,100,40
82.729164,82.92917,73,100,40
82.92917,83.32917,68,100,40
83.729164,83.92917,76,100,40
84.129166,84.32917,76,100,40
84.52917,84.729164,73,100,40
84.92917,85.129166,73,100,40
85.32917,85.629166,74,100,40
85.629166,85.729164,76,100,40
85.729164,86.02917,78,100,40
86.02917,86.129166,74,100,40
86.129166,86.32917,71,100,40
86.52917,86.729164,71,100,40
86.92917,87.129166,69,100,40
87.32917,87.52917,69,100,40
87.729164,87.92917,71,100,40
88.129166,88.32917,71,100,40
88.52917,88.57917,68,100,40
88.57917,88.629166,69,100,40
88.629166,88.67917,68,100,40
88.67917,88.729164,69,100,40
88.729164,88.77917,68,100,40
88.77917,88.82917,69,100,40
88.82917,88.879166,68,100,40
88.879166,88.92917,69,100,40
88.92917,88.979164,68,100,40
88.979164,89.02917,69,100,40
89.02917,89.07917,68,100,40
89.07917,89.129166,69,100,40
89.129166,89.229164,66,100,40
89.229164,89.32917,68,100,40
89.32917,89.729164,69,100,40
90.129166,90.32917,62,100,40
90.32917,90.52917,64,100,40
90.52917,90.729164,62,100,40
90.729164,90.92917,64,100,40
90.92917,91.129166,61,100,40
91.129166,91.32917,64,100,40
91.32917,91.52917,61,100,40
91.52917,91.729164,64,100,40
91.729164,91.92917,59,100,40
91.92917,92.129166,64,100,40
92.129166,92.32917,59,100,40
92.32917,92.52917,64,100,40
92.52917,92.729164,61,100,40
92.729164,92.92917,64,100,40
92.92917,93.129166,61,100,40
93.129166,93.32917,64,100,40
93.32917,93.52917,62,100,40
93.52917,93.729164,64,100,40
93.729164,93.92917,62,100,40
93.92917,94.129166,64,100,40
94.129166,94.32917,61,100,40
94.32917,94.52917,64,100,40
94.52917,94.729164,69,100,40
94.729164,94.92917,71,100,40
94.92917,95.129166,72,100,40
95.129166,95.32917,73,100,40
95.32917,95.52917,74,100,40
95.52917,95.729164,73,100,40
95.729164,96.129166,68,100,40
96.52917,96.729164,76,100,40
96.92917,97.129166,76,100,40
97.32917,97.52917,73,100,40
97.729164,97.92917,73,100,40
98.129166,98.42917,74,100,40
98.42917,98.52917,76,100,40
98.52917,98.82917,78,100,40
98.82917,98.92917,74,100,40
98.92917,99.129166,71,100,40
99.32917,99.52917,71,100,40
99.729164,99.92917,69,100,40
100.129166,100.32917,69,100,40
100.52917,100.729164,71,100,40
100.92917,101.129166,71,100,40
101.32917,101.379166,68,100,40
101.379166,101.42917,69,100,40
101.42917,101.479164,68,100,40
101.479164,101.52917,69,100,40
101.52917,101.57917,68,100,40
101.57917,101.629166,69,100,40
101.629166,101.67917,68,100,40
101.67917,101.729164,69,100,40
101.729164,101.77917,68,100,40
101.77917,101.82917,69,100,40
101.82917,101.879166,68,100,40
101.879166,101.92917,69,100,40
101.92917,102.02917,66,100,40
102.02917,102.129166,68,100,40
102.129166,102.52917,69,100,40
102.92917,103.629166,76,100,40
103.629166,103.729164,73,100,40
103.729164,104.129166,81,100,40
104.42917,104.52917,81,100,40
104.52917,105.129166,80,100,40
105.129166,105.229164,81,100,40
105.229164,105.32917,83,100,40
105.32917,105.729164,74,100,40
106.02917,106.129166,71,100,40
106.129166,106.42917,73,100,40
106.42917,106.52917,69,100,40
106.52917,106.729164,76,100,40
106.92917,107.229164,74,100,40
107.229164,107.32917,71,100,40
107.32917,107.52917,76,100,40
107.729164,108.129166,74,100,40
108.129166,108.15583,73,100,40
108.15583,108.17917,74,100,40
108.17917,108.20583,73,100,40
108.20583,108.229164,74,100,40
108.229164,108.25584,73,100,40
108.25584,108.27917,74,100,40
108.27917,108.30583,73,100,40
108.30583,108.32917,74,100,40
108.32917,108.355835,73,100,40
108.355835,108.379166,74,100,40
108.379166,108.40583,73,100,40
108.40583,108.42917,74,100,40
108.42917,108.479164,71,100,40
108.479164,108.52917,73,100,40
108.52917,108.92917,71,100,40
109.32917,110.02917,76,100,40
110.02917,110.129166,73,100,40
110.129166,110.52917,81,100,40
110.82917,110.92917,81,100,40
110.92917,111.52917,80,100,40
111.52917,111.629166,81,100,40
111.629166,111.729164,83,100,40
111.729164,112.129166,74,100,40
112.42917,112.52917,71,100,40
112.52917,112.82917,73,100,40
112.82917,112.92917,76,100,40
112.92917,113.32917,81,100,40
113.32917,113.629166,71,100,40
113.629166,113.729164,74,100,40
113.729164,114.129166,78,100,40
114.129166,114.17917,68,100,40
114.17917,114.229164,69,100,40
114.229164,114.27917,68,100,40
114.27917,114.32917,69,100,40
114.32917,114.379166,68,100,40
114.379166,114.42917,69,100,40
114.42917,114.479164,68,100,40
114.479164,114.52917,69,100,40
114.52917,114.57917,68,100,40
114.57917,114.629166,69,100,40
114.629166,114.67917,68,100,40
114.67917,114.729164,69,100,40
114.729164,114.82917,66,100,40
114.82917,114.92917,68,100,40
114.92917,115.32917,69,100,40
115.729164,116.42917,76,100,40
116.42917,116.52917,73,100,40
116.52917,116.92917,81,100,40
117.229164,117.32917,81,100,40
117.32917,117.92917,80,100,40
117.92917,118.02917,81,100,40
118.02917,118.129166,83,100,40
118.129166,118.52917,74,100,40
118.82917,118.92917,71,100,40
118.92917,119.229164,73,100,40
119.229164,119.32917,69,100,40
119.32917,119.52917,76,100,40
119.729164,120.02917,74,100,40
120.02917,120.129166,71,100,40
120.129166,120.32917,76,100,40
120.52917,120.92917,74,100,40
120.92917,120.95583,73,100,40
120.95583,120.979164,74,100,40
120.979164,121.00584,73,100,40
121.00584,121.02917,74,100,40
121.02917,121.05583,73,100,40
121.05583,121.07917,74,100,40
121.07917,121.105835,73,100,40
121.105835,121.129166,74,100,40
121.129166,121.15583,73,100,40
121.15583,121.17917,74,100,40
121.17917,121.20583,73,100,40
121.20583,121.229164,74,100,40
121.229164,121.27917,71,100,40
121.27917,121.32917,73,100,40
121.32917,121.729164,71,100,40
122.129166,122.82917,76,100,40
122.82917,122.92917,73,100,40
122.92917,123.32917,81,100,40
123.629166,123.729164,81,100,40
123.729164,124.32917,80,100,40
124.32917,124.42917,81,100,40
124.42917,124.52917,83,100,40
124.52917,124.92917,74,100,40
125.229164,125.32917,71,100,40
125.32917,125.629166,73,100,40
125.629166,125.729164,76,100,40
125.729164,126.129166,81,100,40
126.129166,126.42917,71,100,40
126.42917,126.52917,74,100,40
126.52917,126.92917,78,100,40
126.92917,126.979164,68,100,40
126.979164,127.02917,69,100,40
127.02917,127.07917,68,100,40
127.07917,127.129166,69,100,40
127.129166,127.17917,68,100,40
127.17917,127.229164,69,100,40
127.229164,127.27917,68,100,40
127.27917,127.32917,69,100,40
127.32917,127.379166,68,100,40
127.379166,127.42917,69,100,40
127.42917,127.479164,68,100,40
127.479164,127.52917,69,100,40
127.52917,127.629166,66,100,40
127.629166,127.729164,68,100,40
127.729164,128.12917,69,100,40
128.92917,129.72917,74,100,40
129.72917,129.92917,73,100,40
130.52916,131.32916,86,100,40
131.32916,131.52916,85,100,40
132.12917,132.92917,62,100,40
132.92917,133.12917,61,100,40
133.32916,133.4625,59,100,40
133.4625,133.59584,64,100,40
133.59584,133.72917,66,100,40
133.72917,133.8625,67,100,40
133.8625,133.99583,68,100,40
133.99583,134.12917,69,100,40
134.12917,134.2625,70,100,40
134.2625,134.39583,71,100,40
134.39583,134.52916,72,100,40
134.52916,134.6625,73,100,40
134.6625,134.79584,74,100,40
134.79584,134.92917,75,100,40
134.92917,135.62917,76,100,40
135.62917,135.72917,73,100,40
135.72917,136.12917,81,100,40
136.42917,136.52916,81,100,40
136.52916,137.12917,80,100,40
137.12917,137.22917,81,100,40
137.22917,137.32916,83,100,40
137.32916,137.72917,74,100,40
138.02916,138.12917,71,100,40
138.12917,138.42917,73,100,40
138.42917,138.52916,76,100,40
138.52916,138.72917,81,100,40
138.92917,139.22917,71,100,40
139.22917,139.32916,74,100,40
139.32916,139.72917,78,100,40
139.72917,139.77916,68,100,40
139.77916,139.82916,69,100,40
139.82916,139.87917,68,100,40
139.87917,139.92917,69,100,40
139.92917,139.97917,68,100,40
139.97917,140.02916,69,100,40
140.02916,140.07916,68,100,40
140.07916,140.12917,69,100,40
140.12917,140.17917,68,100,40
140.17917,140.22917,69,100,40
140.22917,140.27916,68,100,40
140.27916,140.32916,69,100,40
140.32916,140.42917,66,100,40
140.42917,140.52916,68,100,40
140.52916,140.92917,69,100,40
141.72917,142.52916,74,100,40
142.52916,142.72917,73,100,40
143.32916,144.12917,86,100,40
144.12917,144.32916,85,100,40
144.92917,145.72917,62,100,40
145.72917,145.92917,61,100,40
146.12917,146.2625,59,100,40
146.2625,146.39583,64,100,40
146.39583,146.52916,66,100,40
146.52916,146.6625,67,100,40
146.6625,146.79584,68,100,40
146.79584,146.92917,69,100,40
146.92917,147.0625,70,100,40
147.0625,147.19583,71,100,40
147.19583,147.32916,72,100,40
147.32916,147.4625,73,100,40
147.4625,147.59584,74,100,40
147.59584,147.72917,75,100,40
147.72917,148.42917,76,100,40
148.42917,148.52916,73,100,40
148.52916,148.92917,81,100,40
149.22917,149.32916,81,100,40
149.32916,149.92917,80,100,40
149.92917,150.02916,81,100,40
150.02916,150.12917,83,100,40
150.12917,150.52916,74,100,40
150.82916,150.92917,71,100,40
150.92917,151.22917,73,100,40
151.22917,151.32916,76,100,40
151.32916,151.52916,81,100,40
151.72917,152.02916,71,100,40
152.02916,152.12917,74,100,40
152.12917,152.52916,78,100,40
152.52916,152.57916,68,100,40
152.57916,152.62917,69,100,40
152.62917,152.67917,68,100,40
152.67917,152.72917,69,100,40
152.72917,152.77916,68,100,40
152.77916,152.82916,69,100,40
152.82916,152.87917,68,100,40
152.87917,152.92917,69,100,40
152.92917,152.97917,68,100,40
152.97917,153.02916,69,100,40
153.02916,153.07916,68,100,40
153.07916,153.12917,69,100,40
153.12917,153.22917,66,100,40
153.22917,153.32916,68,100,40
153.32916,153.72917,69,100,40
154.12917,155.51378,60,100,40
155.51378,155.97531,72,100,40
155.97531,157.35994,74,100,40
157.35994,157.82147,62,100,40
157.82147,157.93686,60,100,40
158.05225,158.16762,60,100,40
158.51378,158.74455,60,100,40
158.74455,158.97531,62,100,40
158.97531,159.0907,62,100,40
159.43686,159.66762,60,100,40
159.66762,159.89839,59,100,40
159.89839,160.12917,59,100,40
160.12917,160.35992,59,100,40
161.51378,162.89839,72,100,40
162.89839,163.35992,84,100,40
163.35992,164.74454,86,100,40
164.74454,165.20609,74,100,40
165.20609,165.32146,72,100,40
165.43684,165.55223,72,100,40
165.89839,166.12915,72,100,40
166.12915,166.35992,71,100,40
166.35992,166.47531,71,100,40
166.82146,167.05223,76,100,40
167.05223,167.283,69,100,40
167.283,167.51376,69,100,40
167.51376,167.74454,69,100,40
168.89838,169.12915,76,100,40
169.12915,169.35992,80,100,40
169.35992,169.59068,83,100,40
169.59068,169.82146,87,100,40
169.82146,170.05223,88,100,40
170.05223,170.28299,83,100,40
170.28299,170.51376,84,100,40
170.51376,170.74454,81,100,40
170.74454,170.97531,80,100,40
170.97531,171.20607,83,100,40
171.20607,171.43684,82,100,40
171.43684,171.66762,81,100,40
171.66762,171.89838,80,100,40
171.89838,172.12915,79,100,40
172.12915,172.35992,78,100,40
172.35992,172.59068,77,100,40
172.59068,172.82146,76,100,40
172.82146,173.05223,80,100,40
173.05223,173.28299,83,100,40
173.28299,173.51376,87,100,40
173.51376,173.74454,88,100,40
173.74454,173.9753,83,100,40
173.9753,174.20607,84,100,40
174.20607,174.43684,81,100,40
174.43684,174.6676,80,100,40
174.6676,174.89838,79,100,40
174.89838,175.12915,78,100,40
175.12915,175.35991,77,100,40
175.35991,175.59068,76,100,40
175.59068,175.82146,75,100,40
175.82146,176.05222,74,100,40
176.05222,176.28299,73,100,40
176.28299,177.6676,72,100,40
177.6676,178.12914,84,100,40
178.12914,179.51376,86,100,40
179.51376,179.9753,74,100,40
179.9753,180.09068,72,100,40
180.20607,180.32144,72,100,40
180.6676,180.89838,72,100,40
180.89838,181.12914,71,100,40
181.12914,181.24452,71,100,40
181.59068,181.82144,76,100,40
