start_time,end_time,note_value,velocity,instrument_program_number
3.6,4.39625,75,88,71
4.4,4.69625,70,88,71
4.7,4.79625,75,88,71
4.8,5.59625,79,88,71
5.6,5.89625,75,88,71
5.9,5.99625,79,88,71
6.0,6.39625,82,88,71
6.4,6.79625,79,88,71
6.8,7.19625,75,88,71
7.2,7.99625,70,88,71
8.0,8.39625,82,88,71
8.4,8.59625,79,88,71
8.6,8.79625,80,88,71
8.8,8.99625,79,88,71
9.0,9.19625,80,88,71
9.2,9.39625,79,88,71
9.4,9.59625,80,88,71
9.6,10.39625,77,88,71
10.4,10.79625,79,88,71
11.2,11.59625,80,88,71
10.8,11.59625,77,88,71
11.6,11.99625,74,88,71
12.0,12.39625,75,88,71
13.2,13.99625,77,88,71
14.0,14.39625,74,88,71
14.4,14.59625,77,88,71
14.6,14.79625,75,88,71
14.8,14.99625,72,88,71
15.0,15.19625,74,88,71
15.2,15.39625,75,88,71
15.4,15.59625,76,88,71
15.6,16.39625,77,88,71
16.4,16.79625,74,88,71
16.8,16.99625,77,88,71
17.0,17.19625,75,88,71
17.2,17.39625,72,88,71
17.4,17.59625,74,88,71
17.6,17.79625,75,88,71
17.8,17.99625,76,88,71
18.0,18.59625,77,88,71
18.4,18.99625,82,88,71
18.8,18.99625,82,88,71
19.2,19.79625,72,88,71
19.6,20.19625,79,88,71
20.0,20.19625,79,88,71
20.4,21.19625,70,88,71
21.4,21.59625,72,88,71
21.2,21.59625,74,88,71
21.6,22.0,70,88,71
22.8,23.4,63,49,71
23.4,23.6,65,49,71
23.6,24.0,67,49,71
24.0,24.39625,68,49,71
24.4,24.79625,70,49,71
24.8,25.19625,72,49,71
25.2,25.59625,70,49,71
25.6,25.99625,68,49,71
26.0,26.39625,67,49,71
26.4,26.59625,65,49,71
26.6,26.79625,70,49,71
26.8,26.99625,71,49,71
27.0,27.19625,72,49,71
27.2,27.39625,73,49,71
27.4,27.59625,74,49,71
27.6,28.39625,75,88,71
28.4,28.69625,70,88,71
28.7,28.79625,75,88,71
28.8,29.6,79,88,71
29.6,29.9,75,88,71
29.9,30.0,79,88,71
30.4,30.79625,79,88,71
30.0,30.79625,82,88,71
30.8,31.19625,75,88,71
31.2,32.0,70,88,71
32.0,32.39625,82,88,71
32.4,32.79625,79,88,71
32.6,32.8,80,88,71
32.8,32.99625,79,88,71
33.2,33.39625,79,88,71
33.0,33.39625,80,88,71
33.4,33.6,80,88,71
33.6,34.39625,77,88,71
34.4,34.79625,79,88,71
35.2,35.59625,80,88,71
35.6,35.99625,74,88,71
34.8,35.99625,77,88,71
36.0,36.39625,75,88,71
37.2,37.99625,75,88,71
38.0,38.29625,70,88,71
38.3,38.39625,75,88,71
38.4,39.19625,79,88,71
39.2,39.49625,75,88,71
39.5,39.59625,79,88,71
39.6,39.99625,82,88,71
40.0,40.39625,79,88,71
40.4,40.79625,75,88,71
40.8,41.59625,70,88,71
41.6,41.99625,82,88,71
42.0,42.19625,79,88,71
42.2,42.39625,80,88,71
42.4,42.59625,79,88,71
42.6,42.79625,80,88,71
42.8,42.99625,79,88,71
43.0,43.19625,80,88,71
43.2,43.99625,77,88,71
44.0,44.39625,79,88,71
44.8,45.19625,80,88,71
44.4,45.19625,77,88,71
45.2,45.59625,74,88,71
45.6,45.99625,75,88,71
46.8,47.59625,77,88,71
47.6,47.99625,74,88,71
48.0,48.19625,77,88,71
48.2,48.39625,75,88,71
48.4,48.59625,72,88,71
48.6,48.79625,74,88,71
48.8,48.99625,75,88,71
49.0,49.19625,76,88,71
49.2,49.99625,77,88,71
50.0,50.39625,74,88,71
50.4,50.59625,77,88,71
50.6,50.79625,75,88,71
50.8,50.99625,72,88,71
51.0,51.19625,74,88,71
51.2,51.39625,75,88,71
51.4,51.59625,76,88,71
51.6,52.19625,77,88,71
52.0,52.59625,82,88,71
52.4,52.59625,82,88,71
52.8,53.39625,72,88,71
53.2,53.79625,79,88,71
53.6,53.79625,79,88,71
54.0,54.79625,70,88,71
55.0,55.19625,72,88,71
54.8,55.19625,74,88,71
55.2,55.6,70,88,71
56.4,57.0,63,49,71
57.0,57.2,65,49,71
57.2,57.6,67,49,71
57.6,57.99625,68,49,71
58.0,58.39625,70,49,71
58.4,58.79625,72,49,71
58.8,59.19625,70,49,71
59.2,59.59625,68,49,71
59.6,59.99625,67,49,71
60.0,60.19625,65,49,71
60.2,60.39625,70,49,71
60.4,60.59625,71,49,71
60.6,60.79625,72,49,71
60.8,60.99625,73,49,71
61.0,61.19625,74,49,71
61.2,61.99625,75,88,71
62.0,62.29625,70,88,71
62.3,62.39625,75,88,71
62.4,63.2,79,88,71
63.2,63.5,75,88,71
63.5,63.6,79,88,71
64.0,64.39625,79,88,71
63.6,64.39625,82,88,71
64.4,64.79625,75,88,71
64.8,65.6,70,88,71
65.6,65.99625,82,88,71
66.0,66.39625,79,88,71
66.2,66.4,80,88,71
66.4,66.59625,79,88,71
66.8,66.99625,79,88,71
66.6,66.99625,80,88,71
67.0,67.2,80,88,71
67.2,67.99625,77,88,71
68.0,68.39625,79,88,71
68.8,69.19625,80,88,71
69.2,69.59625,74,88,71
68.4,69.59625,77,88,71
69.6,69.99625,75,88,71
72.0,72.1,72,88,71
72.1,72.2,74,88,71
72.2,72.59625,75,88,71
72.8,73.19625,72,88,71
72.6,73.19625,74,88,71
74.4,74.5,74,88,71
74.5,74.6,75,88,71
74.6,75.0,77,88,71
75.0,75.2,75,88,71
75.2,75.6,74,88,71
76.8,76.9,72,88,71
76.9,77.0,74,88,71
77.0,77.39625,75,88,71
77.4,77.8,74,88,71
77.6,78.0,72,88,71
78.0,78.4,70,49,71
78.4,78.79625,74,49,71
78.8,79.2,69,49,71
79.2,79.4,67,49,71
79.4,79.59625,79,49,71
79.6,79.8,77,49,71
79.8,80.0,75,49,71
80.0,80.2,74,49,71
80.2,80.4,73,49,71
80.4,80.59625,74,49,71
80.6,80.8,72,49,71
80.8,80.99625,70,49,71
81.0,81.19625,69,49,71
81.2,81.39625,67,49,71
81.4,81.59625,66,49,71
81.6,81.99625,67,49,71
81.8,82.0,79,49,71
82.0,82.19625,77,49,71
82.2,82.39625,75,49,71
82.4,82.59625,74,49,71
82.6,82.79625,73,49,71
82.8,82.99625,74,49,71
83.0,83.19625,72,49,71
83.2,83.39625,70,49,71
83.4,83.59625,69,49,71
83.6,83.79625,67,49,71
83.8,83.99625,66,49,71
84.0,84.39625,67,49,71
86.4,86.5,72,49,71
86.5,86.6,74,49,71
86.6,86.99625,75,49,71
87.2,87.59625,72,49,71
87.0,87.59625,74,49,71
88.8,88.9,74,49,71
88.9,89.0,75,49,71
89.0,89.4,77,49,71
89.4,89.6,75,49,71
89.6,90.0,74,49,71
91.2,91.3,72,49,71
91.3,91.4,74,49,71
91.4,91.79625,75,49,71
91.8,92.2,74,49,71
92.0,92.4,72,49,71
92.4,92.8,70,49,71
92.8,93.19625,74,49,71
93.2,93.6,69,49,71
93.6,93.8,67,49,71
93.8,93.99625,79,49,71
94.0,94.2,77,49,71
94.2,94.4,75,49,71
94.4,94.6,74,49,71
94.6,94.8,73,49,71
94.8,94.99625,74,49,71
95.0,95.2,72,49,71
95.2,95.39625,70,49,71
95.4,95.59625,69,49,71
95.6,95.79625,67,49,71
95.8,95.99625,66,49,71
96.0,96.39625,67,49,71
96.2,96.4,79,49,71
96.4,96.59625,77,49,71
96.6,96.79625,75,49,71
96.8,96.99625,74,49,71
97.0,97.19625,73,49,71
97.2,97.39625,74,49,71
97.4,97.59625,72,49,71
97.6,97.79625,70,49,71
97.8,97.99625,69,49,71
98.0,98.19625,67,49,71
98.2,98.39625,66,49,71
98.4,98.79625,67,49,71
105.2,105.49625,72,49,71
105.5,105.59625,70,49,71
104.4,105.59625,65,49,71
105.9,105.99625,72,49,71
106.0,106.29625,68,49,71
105.6,106.39625,70,49,71
106.3,106.39625,70,49,71
106.4,106.79625,67,49,71
107.6,107.89625,72,49,71
107.9,107.99625,70,49,71
106.8,107.99625,65,49,71
108.3,108.39625,72,49,71
108.4,108.69625,68,49,71
108.0,108.7,70,49,71
108.7,108.79625,70,49,71
108.8,109.2,67,49,71
109.2,109.3,70,49,71
109.3,109.59625,68,49,71
109.6,110.0,67,49,71
110.0,110.39625,65,49,71
110.4,110.8,63,49,71
113.2,113.6,75,49,71
113.6,113.65,77,49,71
113.65,113.7,79,49,71
113.7,113.75,77,49,71
113.75,113.8,79,49,71
113.8,113.85,77,49,71
113.85,113.9,79,49,71
113.9,113.95,75,49,71
113.95,114.0,77,49,71
114.0,114.4,79,49,71
114.4,114.8,74,49,71
114.8,114.85,76,49,71
114.85,114.9,77,49,71
114.9,114.95,76,49,71
114.95,115.0,77,49,71
115.0,115.05,76,49,71
115.05,115.1,77,49,71
115.1,115.15,74,49,71
115.15,115.2,76,49,71
115.2,115.6,77,49,71
115.6,116.0,72,49,71
116.0,116.05,74,49,71
116.05,116.1,75,49,71
116.1,116.15,74,49,71
116.15,116.2,75,49,71
116.2,116.25,74,49,71
116.25,116.3,75,49,71
116.3,116.35,72,49,71
116.35,116.4,74,49,71
116.4,118.0,75,49,71
118.0,118.4,74,49,71
118.4,118.8,72,49,71
118.8,118.85,72,49,71
118.85,118.9,74,49,71
118.9,118.95,72,49,71
118.95,119.0,74,49,71
119.0,119.05,72,49,71
119.05,119.1,74,49,71
119.1,119.15,71,49,71
119.15,119.2,72,49,71
119.2,119.6,71,49,71
121.2,121.3,72,49,71
121.3,121.4,74,49,71
121.4,121.79625,75,49,71
122.0,122.39625,72,49,71
121.8,122.39625,74,49,71
123.6,123.7,74,49,71
123.7,123.8,75,49,71
123.8,124.2,77,49,71
124.2,124.4,75,49,71
124.4,124.8,74,49,71
126.0,126.1,76,49,71
126.1,126.2,77,49,71
126.2,126.59625,79,49,71
126.6,127.0,77,49,71
126.8,127.2,76,49,71
128.4,128.5,77,49,71
128.5,128.6,79,49,71
128.6,128.99625,80,49,71
129.0,129.4,79,49,71
129.2,129.6,77,49,71
130.8,130.9,72,49,71
130.9,131.0,74,49,71
131.0,131.39626,75,49,71
131.4,131.8,74,49,71
131.6,132.0,72,49,71
132.8,133.19624,71,49,71
132.0,133.19624,79,49,71
133.2,133.6,72,49,71
134.6,134.79625,77,49,71
134.8,134.99625,75,49,71
135.0,135.19624,74,49,71
135.2,135.39626,72,49,71
135.4,135.6,71,49,71
135.6,136.19624,72,49,71
137.0,137.2,80,49,71
137.2,137.4,79,49,71
137.4,137.6,77,49,71
137.6,137.8,75,49,71
137.8,138.0,74,49,71
138.0,138.4,72,49,71
144.8,145.09625,72,49,71
145.1,145.19624,70,49,71
144.0,145.19624,65,49,71
145.5,145.59625,72,49,71
145.6,145.89626,68,49,71
145.2,145.99625,70,49,71
145.9,145.99625,70,49,71
146.0,146.39626,67,49,71
147.2,147.49625,72,49,71
147.5,147.59625,70,49,71
146.4,147.59625,65,49,71
147.9,147.99625,72,49,71
148.0,148.29625,68,49,71
147.6,148.3,70,49,71
148.3,148.39626,70,49,71
148.4,148.8,67,49,71
148.8,148.9,70,49,71
148.9,149.19624,68,49,71
149.2,149.6,67,49,71
149.6,149.99625,65,49,71
150.0,150.4,63,49,71
152.8,153.2,75,49,71
153.2,153.25,77,49,71
153.25,153.3,79,49,71
153.3,153.35,77,49,71
153.35,153.4,79,49,71
153.4,153.45,77,49,71
153.45,153.5,79,49,71
153.5,153.55,75,49,71
153.55,153.6,77,49,71
153.6,154.0,79,49,71
154.0,154.4,74,49,71
154.4,154.45,76,49,71
154.45,154.5,77,49,71
154.5,154.55,76,49,71
154.55,154.6,77,49,71
154.6,154.65,76,49,71
154.65,154.7,77,49,71
154.7,154.75,74,49,71
154.75,154.8,76,49,71
154.8,155.2,77,49,71
155.2,155.6,72,49,71
155.6,155.65,74,49,71
155.65,155.7,75,49,71
155.7,155.75,74,49,71
155.75,155.8,75,49,71
155.8,155.85,74,49,71
155.85,155.9,75,49,71
155.9,155.95,72,49,71
155.95,156.0,74,49,71
156.0,157.6,75,49,71
157.6,158.0,74,49,71
158.0,158.4,72,49,71
158.4,158.45,72,49,71
158.45,158.5,74,49,71
158.5,158.55,72,49,71
158.55,158.6,74,49,71
158.6,158.65,72,49,71
158.65,158.7,74,49,71
158.7,158.75,71,49,71
158.75,158.8,72,49,71
158.8,159.2,71,49,71
160.8,160.9,72,49,71
160.9,161.0,74,49,71
161.0,161.39626,75,49,71
161.6,161.99625,72,49,71
161.4,161.99625,74,49,71
163.2,163.3,74,49,71
163.3,163.4,75,49,71
163.4,163.8,77,49,71
163.8,164.0,75,49,71
164.0,164.4,74,49,71
165.6,165.7,76,49,71
165.7,165.8,77,49,71
165.8,166.19624,79,49,71
166.2,166.6,77,49,71
166.4,166.8,76,49,71
168.0,168.1,77,49,71
168.1,168.2,79,49,71
168.2,168.59625,80,49,71
168.6,169.0,79,49,71
168.8,169.2,77,49,71
170.4,170.5,72,49,71
170.5,170.6,74,49,71
170.6,170.99625,75,49,71
171.0,171.4,74,49,71
171.2,171.6,72,49,71
172.4,172.79625,71,49,71
171.6,172.79625,79,49,71
172.8,173.2,72,49,71
174.2,174.39626,77,49,71
174.4,174.59625,75,49,71
174.6,174.79625,74,49,71
174.8,174.99625,72,49,71
175.0,175.2,71,49,71
175.2,175.79625,72,49,71
176.6,176.8,80,49,71
176.8,177.0,79,49,71
177.0,177.2,77,49,71
177.2,177.4,75,49,71
177.4,177.6,74,49,71
177.6,178.0,72,49,71
178.8,179.59625,75,49,71
179.6,179.89626,70,49,71
179.9,179.99625,75,49,71
180.0,180.79625,79,49,71
180.8,181.09625,75,49,71
181.1,181.19624,79,49,71
181.2,181.59625,82,49,71
181.6,181.99625,79,49,71
182.0,182.39626,75,49,71
182.4,183.19624,70,49,71
183.2,183.59625,82,49,71
183.6,183.79625,79,49,71
183.8,183.99625,80,49,71
184.0,184.19624,79,49,71
184.2,184.39626,80,49,71
184.4,184.59625,79,49,71
184.6,184.79625,80,49,71
184.8,185.59625,77,49,71
185.6,185.99625,79,49,71
186.4,186.79625,80,49,71
186.0,186.79625,77,49,71
186.8,187.19624,74,49,71
187.2,187.59625,75,49,71
188.4,189.19624,77,49,71
189.2,189.59625,74,49,71
189.6,189.79625,77,49,71
189.8,189.99625,75,49,71
190.0,190.19624,72,49,71
190.2,190.39626,74,49,71
190.4,190.59625,75,49,71
190.6,190.79625,76,49,71
190.8,191.59625,77,49,71
191.6,191.99625,74,49,71
192.0,192.19624,77,49,71
192.2,192.39626,75,49,71
192.4,192.59625,72,49,71
192.6,192.79625,74,49,71
192.8,192.99625,75,49,71
193.0,193.19624,76,49,71
193.2,193.79625,77,49,71
193.6,194.19624,82,49,71
194.0,194.19624,82,49,71
194.4,194.99625,72,49,71
194.8,195.39626,79,49,71
195.2,195.39626,79,49,71
195.6,196.39626,70,49,71
196.6,196.79625,72,49,71
196.4,196.79625,74,49,71
196.8,197.2,70,49,71
198.0,198.6,63,49,71
198.6,198.8,65,49,71
198.8,199.2,67,49,71
199.2,199.59625,68,49,71
199.6,199.99625,70,49,71
200.0,200.39626,72,49,71
200.4,200.79625,70,49,71
200.8,201.19624,68,49,71
201.2,201.59625,67,49,71
201.6,201.79625,65,49,71
201.8,201.99625,70,49,71
202.0,202.19624,71,49,71
202.2,202.39626,72,49,71
202.4,202.59625,73,49,71
202.6,202.79625,74,49,71
202.8,203.59625,75,49,71
203.6,203.89626,70,49,71
203.9,203.99625,75,49,71
204.0,204.8,79,49,71
204.8,205.1,75,49,71
205.1,205.2,79,49,71
205.6,205.99625,79,49,71
205.2,205.99625,82,49,71
206.0,206.39626,75,49,71
206.4,207.2,70,49,71
207.2,207.59625,82,49,71
207.6,207.99625,79,49,71
207.8,208.0,80,49,71
208.0,208.19624,79,49,71
208.4,208.59625,79,49,71
208.2,208.59625,80,49,71
208.6,208.8,80,49,71
208.8,209.59625,77,49,71
209.6,209.99625,79,49,71
210.4,210.79625,80,49,71
210.8,211.19624,74,49,71
210.0,211.19624,77,49,71
211.2,211.59625,75,49,71
3.6,4.39625,75,88,71
4.4,4.69625,70,88,71
4.7,4.79625,75,88,71
4.8,5.59625,79,88,71
5.6,5.89625,75,88,71
5.9,5.99625,79,88,71
6.0,6.39625,82,88,71
6.4,6.79625,79,88,71
6.8,7.19625,75,88,71
7.2,8.0,70,88,71
8.0,8.39625,79,88,71
8.4,8.59625,76,88,71
8.6,8.79625,77,88,71
8.8,8.99625,76,88,71
9.0,9.19625,77,88,71
9.2,9.39625,76,88,71
9.4,9.59625,77,88,71
9.6,10.39625,74,88,71
10.4,10.79625,75,88,71
11.6,11.99625,68,88,71
10.8,11.99625,72,88,71
12.0,12.39625,67,88,71
13.2,13.99625,65,88,71
14.0,14.39625,62,88,71
14.4,14.59625,65,88,71
14.6,14.79625,63,88,71
14.8,14.99625,60,88,71
15.0,15.19625,62,88,71
15.2,15.39625,63,88,71
15.4,15.59625,64,88,71
15.6,16.39625,65,88,71
16.4,16.79625,62,88,71
16.8,16.99625,65,88,71
17.0,17.19625,63,88,71
17.2,17.39625,60,88,71
17.4,17.59625,62,88,71
17.6,17.79625,63,88,71
17.8,17.99625,64,88,71
18.0,18.39625,65,88,71
18.2,18.4,70,88,71
18.4,18.79625,62,88,71
18.6,18.8,70,88,71
18.8,19.19625,65,88,71
19.0,19.2,70,88,71
19.2,19.59625,67,88,71
19.4,19.6,70,88,71
19.6,19.99625,60,88,71
19.8,20.0,70,88,71
20.0,20.39625,67,88,71
20.2,20.4,70,88,71
20.4,21.19625,65,88,71
21.2,21.79625,69,88,71
21.6,21.99625,70,88,71
22.8,24.0,61,49,71
24.0,24.39625,63,49,71
24.4,24.79625,67,49,71
24.8,25.19625,68,49,71
25.2,25.59625,67,49,71
25.6,25.99625,65,49,71
26.0,26.39625,63,49,71
26.4,26.6,62,49,71
26.6,26.79625,70,49,71
26.8,26.99625,71,49,71
27.0,27.19625,72,49,71
27.2,27.39625,73,49,71
27.4,27.59625,74,49,71
27.6,28.39625,75,88,71
28.4,28.69625,70,88,71
28.7,28.79625,75,88,71
28.8,29.6,79,88,71
29.6,29.9,75,88,71
29.9,30.0,79,88,71
30.4,30.79625,79,88,71
30.0,30.79625,82,88,71
30.8,31.19625,75,88,71
31.2,31.99625,70,88,71
32.0,32.4,79,88,71
32.4,32.79625,76,88,71
32.6,32.8,77,88,71
32.8,32.99625,76,88,71
33.2,33.39625,76,88,71
33.0,33.39625,77,88,71
33.4,33.6,77,88,71
33.6,34.4,74,88,71
34.4,34.79625,75,88,71
35.6,35.99625,68,88,71
36.0,36.39625,67,88,71
34.8,36.39625,72,88,71
37.2,37.99625,75,88,71
38.0,38.29625,70,88,71
38.3,38.39625,75,88,71
38.4,39.19625,79,88,71
39.2,39.49625,75,88,71
39.5,39.59625,79,88,71
39.6,39.99625,82,88,71
40.0,40.39625,79,88,71
40.4,40.79625,75,88,71
40.8,41.6,70,88,71
41.6,41.99625,79,88,71
42.0,42.19625,76,88,71
42.2,42.39625,77,88,71
42.4,42.59625,76,88,71
42.6,42.79625,77,88,71
42.8,42.99625,76,88,71
43.0,43.19625,77,88,71
43.2,43.99625,74,88,71
44.0,44.39625,75,88,71
45.2,45.59625,68,88,71
44.4,45.59625,72,88,71
45.6,45.99625,67,88,71
46.8,47.59625,65,88,71
47.6,47.99625,62,88,71
48.0,48.19625,65,88,71
48.2,48.39625,63,88,71
48.4,48.59625,60,88,71
48.6,48.79625,62,88,71
48.8,48.99625,63,88,71
49.0,49.19625,64,88,71
49.2,49.99625,65,88,71
50.0,50.39625,62,88,71
50.4,50.59625,65,88,71
50.6,50.79625,63,88,71
50.8,50.99625,60,88,71
51.0,51.19625,62,88,71
51.2,51.39625,63,88,71
51.4,51.59625,64,88,71
51.6,51.99625,65,88,71
51.8,52.0,70,88,71
52.0,52.39625,62,88,71
52.2,52.4,70,88,71
52.4,52.79625,65,88,71
52.6,52.8,70,88,71
52.8,53.19625,67,88,71
53.0,53.2,70,88,71
53.2,53.59625,60,88,71
53.4,53.6,70,88,71
53.6,53.99625,67,88,71
53.8,54.0,70,88,71
54.0,54.79625,65,88,71
54.8,55.39625,69,88,71
55.2,55.59625,70,88,71
56.4,57.6,61,49,71
57.6,57.99625,63,49,71
58.0,58.39625,67,49,71
58.4,58.79625,68,49,71
58.8,59.19625,67,49,71
59.2,59.59625,65,49,71
59.6,59.99625,63,49,71
60.0,60.2,62,49,71
60.2,60.39625,70,49,71
60.4,60.59625,71,49,71
60.6,60.79625,72,49,71
60.8,60.99625,73,49,71
61.0,61.19625,74,49,71
61.2,61.99625,75,88,71
62.0,62.29625,70,88,71
62.3,62.39625,75,88,71
62.4,63.2,79,88,71
63.2,63.5,75,88,71
63.5,63.6,79,88,71
64.0,64.39625,79,88,71
63.6,64.39625,82,88,71
64.4,64.79625,75,88,71
64.8,65.59625,70,88,71
65.6,66.0,79,88,71
66.0,66.39625,76,88,71
66.2,66.4,77,88,71
66.4,66.59625,76,88,71
66.8,66.99625,76,88,71
66.6,66.99625,77,88,71
67.0,67.2,77,88,71
67.2,68.0,74,88,71
68.0,68.39625,75,88,71
69.2,69.59625,68,88,71
69.6,69.99625,67,88,71
68.4,69.99625,72,88,71
72.0,72.1,63,88,71
72.1,72.2,65,88,71
72.2,72.59625,67,88,71
