start_time,end_time,note_value,velocity,instrument_program_number
4.4,4.79625,70,49,71
4.8,5.35625,75,49,71
5.2,5.35625,75,49,71
5.6,5.99625,70,49,71
6.0,6.55625,77,49,71
6.4,6.55625,77,49,71
6.8,7.19625,70,49,71
7.2,7.59625,79,49,71
7.6,7.99625,79,49,71
8.0,8.2,82,49,71
8.2,8.39625,80,49,71
8.4,8.79625,79,49,71
8.8,9.19625,77,49,71
9.2,9.59625,82,88,71
9.6,9.99625,75,88,71
10.0,10.15625,75,88,71
10.4,10.79625,79,88,71
10.8,11.19625,72,88,71
11.2,11.35625,72,88,71
11.6,11.99625,75,88,71
12.0,12.39625,74,88,71
12.4,12.59625,77,88,71
12.6,12.79625,74,88,71
12.8,12.99625,75,88,71
13.0,13.19625,72,88,71
13.2,13.6,70,88,71
14.0,14.39625,65,49,71
14.4,14.79625,70,49,71
14.8,15.19625,70,49,71
15.2,15.59625,72,49,71
15.6,15.99625,72,49,71
16.0,16.39625,74,49,71
16.4,16.79625,77,49,71
16.8,17.19625,70,49,71
17.2,17.35625,70,49,71
17.9,17.99625,74,49,71
17.6,17.99625,72,49,71
18.0,18.4,70,49,71
18.8,19.2,70,49,71
19.2,19.75625,75,49,71
19.6,19.75625,75,49,71
20.0,20.39625,70,49,71
20.4,20.95625,77,49,71
20.8,20.95625,77,49,71
21.2,21.59625,70,49,71
21.6,21.99625,79,49,71
22.0,22.39625,79,49,71
22.4,22.6,82,49,71
22.6,22.79625,80,49,71
22.8,23.19625,79,49,71
23.2,23.59625,77,49,71
23.6,23.99625,82,88,71
24.0,24.39625,75,88,71
24.4,24.55625,75,88,71
24.8,25.19625,79,88,71
25.2,25.59625,72,88,71
25.6,25.75625,72,88,71
26.0,26.39625,75,88,71
26.4,26.79625,74,88,71
26.8,26.99625,77,88,71
27.0,27.19625,74,88,71
27.2,27.39625,75,88,71
27.4,27.59625,72,88,71
27.6,28.0,70,88,71
28.4,28.79625,65,49,71
28.8,29.19625,70,49,71
29.2,29.59625,70,49,71
29.6,29.99625,72,49,71
30.0,30.39625,72,49,71
30.4,30.79625,74,49,71
30.8,31.19625,77,49,71
31.2,31.59625,70,49,71
31.6,31.75625,70,49,71
32.3,32.39625,74,49,71
32.0,32.39625,72,49,71
32.4,32.8,70,49,71
33.2,33.59625,73,49,71
33.6,33.99625,67,88,71
34.0,34.15625,67,88,71
34.4,34.79625,70,88,71
34.8,35.2,64,88,71
35.2,35.36,64,88,71
35.6,35.99625,84,88,71
36.0,36.4,77,88,71
36.4,36.99625,77,88,71
36.8,37.19625,79,88,71
37.2,37.59625,79,88,71
37.6,37.99625,80,88,71
38.0,38.39625,80,88,71
38.8,39.19625,74,88,71
38.4,39.19625,75,88,71
39.2,39.59625,80,88,71
40.0,40.39625,74,88,71
39.6,40.39625,75,88,71
40.4,40.79625,83,88,71
41.2,41.59625,74,88,71
40.8,41.59625,75,88,71
41.6,41.99625,83,88,71
42.0,43.19625,75,88,71
43.2,43.59625,74,88,71
48.8,49.19625,84,88,71
49.2,49.59625,77,88,71
49.6,49.75625,77,88,71
50.0,50.39625,80,88,71
50.4,50.79625,74,88,71
50.8,50.95625,74,88,71
51.2,51.59625,82,88,71
51.6,51.99625,75,88,71
52.3,52.39625,80,88,71
52.0,52.39625,79,88,71
52.7,52.8,79,88,71
52.4,52.8,77,88,71
52.8,53.2,75,49,71
54.8,54.95625,77,49,71
55.2,55.59625,77,49,71
55.6,56.0,79,49,71
57.5,57.59625,79,49,71
57.2,57.59625,77,49,71
57.6,57.99625,75,49,71
58.4,58.8,73,49,71
58.8,59.19625,67,88,71
59.2,59.35625,67,88,71
59.6,59.99625,70,88,71
60.0,60.4,64,88,71
60.4,60.56,64,88,71
60.8,61.19625,84,88,71
61.2,61.6,77,88,71
61.6,62.19625,77,88,71
62.0,62.39625,79,88,71
62.4,62.79625,79,88,71
62.8,63.19625,80,88,71
63.2,63.59625,80,88,71
64.0,64.39625,74,88,71
63.6,64.39625,75,88,71
64.4,64.79625,80,88,71
65.2,65.59625,74,88,71
64.8,65.59625,75,88,71
65.6,65.99625,83,88,71
66.4,66.79625,74,88,71
66.0,66.79625,75,88,71
66.8,67.19625,83,88,71
67.2,68.39625,75,88,71
68.4,68.79625,74,88,71
74.0,74.39625,84,88,71
74.4,74.79625,77,88,71
74.8,74.95625,77,88,71
75.2,75.59625,80,88,71
75.6,75.99625,74,88,71
76.0,76.15625,74,88,71
76.4,76.79625,82,88,71
76.8,77.19625,75,88,71
77.5,77.59625,80,88,71
77.2,77.59625,79,88,71
77.9,78.0,79,88,71
77.6,78.0,77,88,71
78.0,78.4,75,49,71
80.0,80.15625,77,49,71
80.4,80.79625,77,49,71
80.8,81.2,79,49,71
82.7,82.79625,79,49,71
82.4,82.79625,77,49,71
82.8,83.2,75,49,71
83.6,83.99625,75,49,71
84.0,85.2,84,49,71
85.2,85.59625,82,49,71
86.3,86.39625,75,49,71
86.0,86.39625,79,49,71
86.4,86.79625,80,49,71
86.8,87.19625,75,49,71
87.5,87.59625,72,49,71
87.2,87.59625,75,49,71
87.6,87.99625,75,49,71
88.0,88.39625,73,49,71
88.7,88.79625,67,49,71
88.4,88.79625,70,49,71
88.8,90.0,84,49,71
90.0,90.39625,82,49,71
91.1,91.19625,75,49,71
90.8,91.19625,79,49,71
91.2,91.59625,80,49,71
91.9,91.99625,72,49,71
91.6,91.99625,75,49,71
92.3,92.39625,70,49,71
92.0,92.39625,73,49,71
92.4,92.79625,68,49,71
93.2,93.6,75,49,71
93.6,94.8,84,49,71
94.8,95.19625,82,49,71
95.9,95.99625,75,49,71
95.6,95.99625,79,49,71
96.0,96.39625,80,49,71
96.4,96.79625,75,49,71
97.1,97.19625,72,49,71
96.8,97.19625,75,49,71
97.2,97.59625,75,49,71
97.6,97.99625,73,49,71
98.3,98.39625,67,49,71
98.0,98.39625,70,49,71
98.4,99.6,84,49,71
99.6,99.99625,82,49,71
100.7,100.79625,75,49,71
100.4,100.79625,79,49,71
100.8,101.19625,80,49,71
101.5,101.59625,72,49,71
101.2,101.59625,75,49,71
101.9,101.99625,70,49,71
