start_time,end_time,note_value,velocity,instrument_program_number
27.81818,28.045452,70,69,40
28.363634,28.590906,70,69,40
28.909088,29.136362,70,69,40
29.454542,29.522724,70,69,40
29.522724,30.806816,79,69,40
30.81818,30.954542,80,69,40
30.954542,31.090906,79,69,40
31.090906,31.35227,77,69,40
31.363634,31.624998,75,69,40
31.63636,31.749998,74,69,40
31.909088,31.97727,75,69,40
31.97727,32.045452,74,69,40
32.045452,32.113632,72,69,40
32.113632,32.181816,74,69,40
32.181816,32.44318,75,69,40
32.454544,32.715908,77,69,40
32.72727,33.488632,70,69,40
33.545452,33.681816,74,69,40
33.681816,33.81818,72,69,40
33.81818,34.329544,70,69,40
34.363632,34.874996,75,69,40
34.90909,35.170452,74,69,40
35.181816,35.44318,72,69,40
35.454544,35.715904,70,69,40
35.72727,35.988632,68,69,40
35.999996,37.22727,67,69,40
37.22727,37.363632,65,72,40
37.363632,37.499996,68,75,40
37.499996,37.63636,67,78,40
37.63636,37.772724,70,81,40
37.772724,37.90909,68,84,40
37.90909,38.045452,72,82,40
38.045452,38.181816,70,81,40
38.181816,38.44318,74,79,40
38.454544,38.56818,72,77,40
38.72727,38.840904,70,74,40
38.999996,39.113632,68,71,40
39.272724,39.78409,65,69,40
39.81818,40.32954,66,69,40
40.363632,40.874996,67,69,40
40.90909,41.420452,58,69,40
41.45454,41.965904,63,74,40
41.999996,42.51136,67,79,40
42.545452,43.306816,67,84,40
43.363632,43.499996,68,76,40
43.499996,43.63636,65,75,40
43.63636,44.147724,63,74,40
44.181816,44.693176,63,69,40
44.72727,45.238632,67,74,40
45.272724,45.78409,70,79,40
45.818176,46.57954,70,84,40
46.63636,46.772724,74,78,40
46.772724,46.90909,72,77,40
46.90909,47.420452,70,76,40
47.45454,48.26136,68,72,40
48.272724,48.53409,67,69,40
48.545452,48.806812,68,69,40
48.818176,49.35227,70,69,40
49.363632,49.499996,74,69,40
49.499996,49.556812,72,69,40
49.63636,49.772724,70,69,40
49.772724,49.90909,68,69,40
49.90909,50.045452,67,69,40
50.045452,50.181812,65,69,40
50.181812,50.693176,63,69,40
50.72727,51.238632,64,69,40
51.272724,51.78409,65,69,40
51.818176,52.32954,70,69,40
52.363632,53.45454,68,69,40
53.45454,53.965904,67,69,40
55.090904,55.60227,79,60,40
55.63636,56.72727,79,60,40
56.72727,57.238632,77,60,40
57.272724,57.499996,75,60,40
57.818176,58.04545,74,60,40
58.363632,58.590904,72,60,40
58.909084,61.63636,70,60,40
61.63636,62.999996,63,60,40
62.999996,63.26136,60,60,40
63.27272,64.90909,58,60,40
64.90909,65.42045,62,60,40
65.45454,66.465904,63,60,40
80.18181,80.69318,77,69,40
80.727264,81.23863,86,69,40
81.27272,81.78408,82,69,40
81.81818,82.57954,81,69,40
82.63636,82.77272,84,73,40
82.77272,82.90908,82,74,40
82.90908,83.17045,81,75,40
83.18181,83.29545,77,76,40
83.45454,83.56818,79,78,40
83.727264,83.840904,81,79,40
83.99999,84.11363,82,81,40
84.27272,84.38636,83,82,40
84.54545,84.65908,84,84,40
84.81818,84.93181,86,82,40
85.090904,85.88636,87,81,40
85.90908,86.17045,84,78,40
86.18181,86.69318,81,77,40
86.727264,86.98863,84,75,40
86.99999,87.26136,82,74,40
87.27272,87.78408,81,73,40
87.81818,88.32954,79,71,40
88.36363,88.44318,77,69,40
88.54545,88.62499,76,69,40
88.727264,88.80681,77,69,40
88.90908,88.98863,79,69,40
89.090904,89.17045,75,69,40
89.27272,89.352264,72,69,40
89.45454,89.99999,70,69,40
89.99999,90.51135,71,69,40
90.54545,90.93181,72,69,40
90.95454,91.02272,74,69,40
91.02272,91.090904,72,69,40
91.090904,91.15908,70,69,40
91.15908,91.227264,72,69,40
91.227264,91.62499,77,69,40
91.63635,92.727264,75,69,40
92.727264,93.23863,74,69,40
106.363625,106.87499,82,69,40
106.90908,107.42045,80,69,40
107.45454,107.9659,79,69,40
107.99999,109.51135,84,69,40
109.63635,110.14772,76,69,40
110.18181,110.69318,77,69,40
110.727264,111.238625,84,69,40
111.27272,112.78408,82,69,40
112.90908,113.42045,74,69,40
113.45454,113.9659,75,69,40
113.99999,114.51135,82,69,40
114.54545,114.81817,82,69,40
114.81817,115.07954,80,69,40
115.0909,115.363625,80,69,40
115.363625,115.62499,79,69,40
115.63635,115.90908,79,69,40
115.90908,116.17045,77,69,40
116.18181,116.45454,77,69,40
116.45454,116.7159,75,69,40
116.727264,116.99999,75,69,40
116.99999,117.26135,74,69,40
117.27272,117.54545,74,69,40
117.54545,117.80681,72,69,40
117.81817,117.88635,72,69,40
117.88635,117.95454,74,69,40
117.95454,118.0909,72,69,40
118.0909,118.352264,70,69,40
