start_time,end_time,note_value,velocity,instrument_program_number
0.0963205,0.20227306,84,66,0
0.192641,0.29859355,83,68,0
0.2889615,0.39491406,84,69,0
0.385282,0.49155408,89,70,0
0.4816025,0.5906888,84,63,0
0.5811182,0.6863949,82,70,0
0.6768243,0.78210086,81,66,0
0.77253026,0.87780684,80,64,0
0.86823624,0.9735128,81,64,0
0.9639422,1.0695342,84,70,0
1.0596483,1.168018,81,64,0
1.158508,1.2631172,79,70,0
1.2536073,1.3582164,77,64,0
1.3487065,1.4533156,76,64,0
1.4438057,1.548415,77,64,0
1.538905,1.6438903,81,70,0
1.6340042,1.7424346,77,65,0
1.732864,1.8381406,74,70,0
1.82857,1.9338466,72,65,0
1.924276,2.0295527,71,65,0
2.019982,2.1252587,72,65,0
2.115688,2.2214794,77,70,0
2.211394,2.321758,72,65,0
2.312248,2.4168572,70,70,0
2.4073472,2.5123324,69,66,0
2.5024464,2.6111922,68,66,0
2.6013062,2.710052,69,66,0
2.700166,2.811149,72,70,0
2.7990258,2.930343,69,64,0
2.9202576,3.0211115,65,70,0
3.0211115,3.117432,77,64,0
3.117432,3.2137525,64,70,0
3.2137525,3.310073,77,64,0
3.310073,3.4063935,65,70,0
3.4063935,3.50793,77,64,0
3.50793,3.603636,67,70,0
3.603636,3.699342,77,64,0
3.699342,3.795048,65,65,0
3.795048,3.890754,77,58,0
3.890754,3.98646,67,67,0
3.98646,4.087314,77,61,0
4.087314,4.182413,69,70,0
4.182413,4.2775126,77,60,0
4.2775126,4.3726115,67,66,0
4.3726115,4.467711,77,62,0
4.467711,4.5628104,69,67,0
4.5628104,4.6775503,77,62,0
4.6775503,4.773871,70,74,0
4.773871,4.8701916,77,61,0
4.8701916,4.966512,70,65,0
4.966512,5.0628324,77,61,0
5.0628324,5.159153,69,65,0
5.159153,5.262794,77,60,0
5.262794,5.3585005,70,70,0
5.3585005,5.4542065,77,60,0
5.4542065,5.5499125,70,65,0
5.5499125,5.6456184,77,60,0
5.6456184,5.7413244,69,65,0
5.7413244,5.857531,77,54,0
5.857531,5.953237,68,49,0
5.953237,6.048943,77,41,0
6.048943,6.144649,68,49,0
6.144649,6.240355,77,42,0
6.240355,6.3360615,68,49,0
6.3360615,6.4397025,77,40,0
6.4397025,6.6498895,76,48,0
6.4397025,6.6498895,67,48,0
7.166584,7.2725368,84,66,0
7.2629046,7.368857,83,68,0
7.359225,7.4651775,84,69,0
7.4555454,7.5618176,89,70,0
7.551866,7.6609526,84,63,0
7.651382,7.7566586,82,70,0
7.747088,7.8523645,81,66,0
7.842794,7.9480705,80,64,0
7.9385,8.0437765,81,64,0
8.034205,8.139798,84,70,0
8.129911,8.238281,81,64,0
8.228771,8.333381,79,70,0
8.323871,8.42848,77,64,0
8.41897,8.52358,76,64,0
8.51407,8.618678,77,64,0
8.609168,8.714153,81,70,0
8.7042675,8.812698,77,65,0
8.803127,8.908404,74,70,0
8.898833,9.00411,72,65,0
8.994539,9.099816,71,65,0
9.090245,9.195522,72,65,0
9.185951,9.291743,77,70,0
9.281657,9.392021,72,65,0
9.382511,9.487121,70,70,0
9.477611,9.582596,69,66,0
9.57271,9.681456,68,66,0
9.67157,9.780315,69,66,0
9.77043,9.8814125,72,70,0
9.869289,10.000539,69,64,0
9.990521,10.090701,65,70,0
10.090701,10.186407,77,64,0
10.186407,10.282113,64,70,0
10.282113,10.377819,77,64,0
10.377819,10.473525,65,70,0
10.473525,10.575062,77,64,0
10.575062,10.670768,67,70,0
10.670768,10.766474,77,64,0
10.766474,10.86218,65,65,0
10.86218,10.957886,77,58,0
10.957886,11.053592,67,67,0
11.053592,11.154446,77,61,0
11.154446,11.249545,69,70,0
11.249545,11.344645,77,60,0
11.344645,11.439743,67,66,0
11.439743,11.5348425,77,62,0
11.5348425,11.629942,69,67,0
11.629942,11.744682,77,62,0
11.744682,11.841002,70,74,0
11.841002,11.937324,77,61,0
11.937324,12.033644,70,65,0
12.033644,12.129964,77,61,0
12.129964,12.226285,69,65,0
12.226285,12.329926,77,60,0
12.329926,12.425632,70,70,0
12.425632,12.521338,77,60,0
12.521338,12.617044,70,65,0
12.617044,12.71275,77,60,0
12.71275,12.808456,69,65,0
12.808456,12.911386,77,46,0
12.911386,13.031309,68,42,0
13.031309,13.151233,77,37,0
13.588102,13.706139,67,42,0
13.706139,13.824175,76,36,0
14.268435,14.386471,66,42,0
14.386471,14.504506,75,35,0
15.141239,15.240755,62,58,0
15.240755,15.34027,67,59,0
15.34027,15.439786,70,60,0
15.439786,15.539302,74,61,0
15.539302,15.648769,72,62,0
15.638818,15.748285,70,62,0
15.738334,15.847801,69,60,0
15.83785,15.948582,67,59,0
15.937365,16.060747,65,57,0
16.049532,16.17165,64,55,0
16.161697,16.261213,65,58,0
16.36073,16.559761,60,49,0
16.559761,16.71373,60,49,0
16.71373,16.768185,64,41,0
16.768185,17.56431,70,49,0
17.56431,17.663826,69,43,0
17.763342,17.862858,67,43,0
17.970982,18.170013,67,49,0
18.170013,18.568077,65,45,0
