start_time,end_time,note_value,velocity,instrument_program_number
1.363636,1.5340905,64,127,40
1.5340905,1.7613631,60,127,40
2.045454,3.8636353,62,127,40
6.81818,6.9886346,64,127,40
6.9886346,7.215907,60,127,40
7.499998,9.318179,62,127,40
20.909084,21.07954,66,127,40
21.07954,21.306812,61,127,40
21.590902,23.409084,55,127,40
21.590902,23.409084,63,127,40
26.363628,26.534084,66,127,40
26.534084,26.761356,61,127,40
27.045446,28.863628,55,127,40
27.045446,28.863628,63,127,40
34.99999,35.10331,80,127,40
35.112637,35.21525,80,127,40
35.22458,35.32719,80,127,40
35.336517,35.43913,80,127,40
35.448456,35.551003,82,127,40
35.560192,35.661297,82,127,40
35.670486,35.771587,82,127,40
35.78078,35.88188,82,127,40
35.891075,35.992176,83,127,40
36.00137,36.10147,83,127,40
36.11053,36.210167,83,127,40
36.219227,36.318863,83,127,40
36.327923,36.42756,87,127,40
36.436615,36.535995,87,127,40
36.544926,36.64314,87,127,40
36.652065,36.750282,87,127,40
36.75921,36.857426,83,127,40
36.866352,36.964565,83,127,40
36.973495,37.07064,83,127,40
37.079445,37.176273,83,127,40
37.185078,37.28191,82,127,40
37.29071,37.387543,82,127,40
37.396343,37.49275,82,127,40
37.501427,37.596912,82,127,40
37.605595,37.70108,80,127,40
37.709763,37.80525,80,127,40
37.813927,37.909412,80,127,40
37.918095,38.01239,80,127,40
38.020954,38.11513,76,127,40
38.12369,38.217873,76,127,40
38.226433,38.32061,76,127,40
38.32917,38.42283,76,127,40
38.431274,38.52418,68,127,40
38.532627,38.62553,68,127,40
38.63398,38.726883,68,127,40
38.73533,38.828236,68,127,40
38.83668,38.9288,61,127,40
38.937244,39.03125,61,127,40
39.039932,39.13609,61,127,40
39.144894,39.24343,61,127,40
41.46788,44.195152,69,127,40
44.195152,44.862766,67,127,40
44.87697,48.271854,69,127,40
48.28606,49.422424,67,127,40
49.422424,49.87697,69,127,40
49.87697,50.331512,67,127,40
50.331512,51.467876,63,127,40
51.69515,52.37697,67,127,40
52.37697,57.149693,69,127,40
57.149693,58.499126,70,127,40
78.90943,80.27306,78,127,40
80.27306,80.95488,76,127,40
80.95488,81.6225,78,127,40
81.6367,83.000336,73,127,40
83.000336,84.1367,76,127,40
84.363976,85.04579,78,127,40
85.04579,85.72761,76,127,40
85.72761,86.409424,76,127,40
86.409424,87.07704,78,127,40
87.09125,88.45488,73,127,40
88.45488,89.59124,76,127,40
89.81852,90.95488,78,127,40
102.09124,103.45488,66,127,40
103.45488,104.59124,63,127,40
106.18215,108.80715,55,127,40
110.89643,112.26007,85,127,40
112.26007,112.94189,83,127,40
112.94189,113.6095,85,127,40
113.6237,114.98734,80,127,40
114.98734,116.1237,83,127,40
116.350975,117.0328,85,127,40
117.0328,117.714615,83,127,40
117.714615,118.39643,83,127,40
118.39643,119.07825,85,127,40
119.07825,120.44189,80,127,40
120.44189,121.80552,83,127,40
121.80552,122.94189,85,127,40
142.26006,142.94188,59,127,40
142.94188,143.6237,61,127,40
143.6237,144.30551,62,127,40
144.30551,144.98734,65,127,40
144.98734,145.66916,66,127,40
145.66916,146.35097,70,127,40
146.35097,147.03279,71,127,40
147.03279,147.7146,73,127,40
147.7146,148.4289,74,127,40
148.4289,149.14317,78,127,40
149.14317,149.89317,82,127,40
149.89317,150.62755,83,127,40
150.64317,151.325,89,127,40
151.325,152.68863,84,127,40
152.68863,153.37045,82,127,40
153.37045,153.825,80,127,40
153.825,154.27954,82,127,40
154.27954,154.71988,83,127,40
154.73409,155.41591,89,127,40
155.41591,156.77954,84,127,40
156.77954,157.0068,82,127,40
157.0068,157.23409,84,127,40
157.23409,157.46135,82,127,40
157.46135,157.91591,80,127,40
157.91591,158.37045,82,127,40
158.37045,158.81363,83,127,40
158.825,159.5068,89,127,40
159.5068,160.87045,84,127,40
160.87045,161.55226,82,127,40
161.55226,162.23409,89,127,40
162.23409,163.59772,84,127,40
163.59772,164.27954,82,127,40
164.27954,164.96135,89,127,40
164.96135,165.18863,87,127,40
165.18863,165.4159,89,127,40
165.4159,165.64317,87,127,40
165.64317,166.325,84,127,40
166.325,166.9926,82,127,40
167.0068,167.68863,78,127,40
167.68863,168.35625,70,127,40
168.37044,169.05226,73,127,40
169.05226,169.71988,72,127,40
169.73409,170.075,70,127,40
170.075,170.7568,82,127,40
170.7568,171.77548,94,127,40
177.26529,178.62894,58,127,40
178.62894,179.99257,60,127,40
179.99257,181.3562,61,127,40
181.3562,185.44711,55,127,40
181.3562,185.44711,65,127,40
185.44711,186.81075,63,127,40
186.81075,187.94711,70,127,40
193.62892,194.99255,66,127,40
194.99255,195.67438,64,127,40
195.67438,196.3562,66,127,40
196.3562,197.71983,61,127,40
197.71983,198.8562,64,127,40
199.08347,199.76529,66,127,40
199.76529,200.4471,64,127,40
200.4471,201.12892,64,127,40
201.12892,201.81075,66,127,40
201.81075,203.17438,61,127,40
203.17438,204.31075,64,127,40
204.53801,206.92438,66,127,40
212.1354,212.2247,70,127,40
212.2247,212.34375,66,127,40
212.49255,212.84225,68,127,40
213.31845,213.7872,61,127,40
214.25595,214.7247,61,127,40
218.11118,218.20045,88,127,40
