start_time,end_time,note_value,velocity,instrument_program_number
15.32459,16.475807,81,64,40
16.475807,17.545147,84,74,40
17.545147,18.079819,74,64,40
18.079819,18.614489,76,64,40
18.614489,18.681322,77,64,40
18.681322,18.748156,79,64,40
18.748156,18.81499,77,64,40
18.81499,18.881823,79,64,40
18.881823,18.948656,77,64,40
18.948656,19.01549,79,64,40
19.01549,19.082323,77,64,40
19.082323,19.149158,79,64,40
19.149158,19.215992,77,64,40
19.215992,19.282825,79,64,40
19.282825,19.349659,77,64,40
19.349659,19.416492,79,64,40
19.416492,19.55016,76,64,40
19.55016,19.683828,77,64,40
19.683828,21.287838,79,64,40
21.287838,21.822508,80,64,40
21.822508,22.22351,81,64,40
22.22351,22.357178,89,64,40
22.357178,22.75818,89,64,40
22.75818,22.891848,81,64,40
22.891848,23.29285,82,64,40
23.29285,23.426517,86,64,40
23.426517,23.82752,86,64,40
23.82752,23.961187,80,65,40
23.961187,24.36219,81,65,40
24.36219,24.495857,84,65,40
24.495857,24.89686,84,65,40
24.89686,25.030527,81,65,40
25.030527,25.832533,79,64,40
25.832533,25.9662,81,60,40
25.9662,26.099867,79,59,40
26.099867,26.634539,77,58,40
26.634539,27.169209,65,54,40
27.169209,27.703878,64,57,40
27.703878,28.238548,63,60,40
28.238548,29.307888,62,64,40
31.446568,32.515907,74,64,40
32.515907,34.654587,77,74,40
35.723927,35.79076,74,74,40
35.79076,35.857594,76,64,40
35.857594,35.92443,74,64,40
35.92443,35.991264,76,64,40
35.991264,36.058098,74,64,40
36.058098,36.12493,76,64,40
36.12493,36.191765,74,64,40
36.191765,36.2586,76,64,40
36.2586,36.32543,74,64,40
36.32543,36.392265,76,64,40
36.392265,36.4591,74,64,40
36.4591,36.525932,76,64,40
36.525932,36.6596,73,64,40
36.6596,36.793266,74,64,40
36.793266,37.060604,82,64,40
37.327938,37.595272,86,64,40
38.93195,38.998783,72,74,40
38.998783,39.065617,74,64,40
39.065617,39.13245,72,64,40
39.13245,39.199284,74,64,40
39.199284,39.266117,72,64,40
39.266117,39.33295,74,64,40
39.33295,39.399784,72,64,40
39.399784,39.466618,74,64,40
39.466618,39.53345,72,64,40
39.53345,39.600285,74,64,40
39.600285,39.667118,72,64,40
39.667118,39.73395,74,64,40
39.73395,39.86762,71,64,40
39.86762,40.00129,72,64,40
40.00129,40.268623,81,64,40
40.535957,40.80329,84,64,40
41.07063,41.605297,74,64,40
41.605297,41.87263,79,64,40
41.87263,42.13997,82,64,40
42.13997,43.4982,72,64,40
43.4982,43.60571,74,64,40
43.71477,43.825428,76,64,40
43.93772,44.052143,77,64,40
44.16833,44.28634,79,64,40
44.40622,44.528027,80,64,40
44.652546,45.803764,81,64,40
45.803764,46.873104,84,74,40
46.873104,47.407772,74,64,40
47.407772,47.942444,76,64,40
47.942444,48.009277,77,74,40
48.009277,48.07611,79,64,40
48.07611,48.142944,77,64,40
48.142944,48.209778,79,64,40
48.209778,48.27661,77,64,40
48.27661,48.343445,79,64,40
48.343445,48.41028,77,64,40
48.41028,48.47711,79,64,40
48.47711,48.543945,77,64,40
48.543945,48.61078,79,64,40
48.61078,48.677616,77,64,40
48.677616,48.74445,79,64,40
48.74445,48.878117,76,64,40
48.878117,49.011784,77,64,40
49.011784,50.081123,79,64,40
50.081123,50.147957,81,73,40
50.147957,50.21479,82,64,40
50.21479,50.281624,81,64,40
50.281624,50.348457,82,64,40
50.348457,50.41529,81,64,40
50.41529,50.482124,82,64,40
50.482124,50.548958,81,64,40
50.548958,50.61579,82,64,40
50.61579,50.68263,81,64,40
50.68263,50.749462,82,64,40
50.749462,50.816296,81,64,40
50.816296,50.88313,82,64,40
50.88313,51.016796,79,64,40
51.016796,51.150463,81,64,40
51.150463,52.219803,82,64,40
54.358482,55.427822,74,64,40
55.427822,57.031834,77,74,40
57.031834,57.5665,82,64,40
57.5665,57.83384,81,64,40
57.83384,58.101173,77,64,40
58.101173,58.368507,74,64,40
58.368507,58.63584,70,64,40
58.63584,59.170513,69,64,40
59.170513,59.705185,65,64,40
59.705185,60.239853,64,64,40
60.239853,60.774525,58,64,40
60.774525,61.309193,57,100,40
61.309193,61.576527,60,64,40
61.843864,62.1112,65,64,40
62.378532,62.645866,69,64,40
62.913204,63.18054,72,64,40
63.447872,63.715206,77,64,40
63.982544,64.51721,57,100,40
64.51721,64.784546,60,64,40
65.05188,65.31922,65,64,40
65.586555,65.85389,69,64,40
66.12122,66.38856,72,64,40
66.65589,66.923225,77,64,40
67.19056,67.725235,57,100,40
67.725235,67.99257,60,64,40
68.2599,68.52724,66,64,40
68.79457,69.061905,69,64,40
69.32925,69.59658,72,64,40
69.863914,70.13125,78,64,40
70.39858,70.93325,57,100,40
70.93325,71.200584,61,64,40
71.467926,71.73526,66,64,40
72.002594,72.26993,69,64,40
72.53726,72.804596,73,64,40
73.07193,73.33927,78,64,40
73.606606,74.14127,56,100,40
74.14127,74.40861,59,64,40
74.67594,74.943275,65,64,40
75.21061,75.47795,68,64,40
75.745285,76.01262,71,64,40
76.27995,76.54729,77,64,40
76.81462,77.21562,78,64,40
77.21562,77.3493,73,64,40
77.3493,77.883965,78,74,40
78.284966,78.41863,73,64,40
78.41863,78.9533,78,74,40
79.35431,79.487976,73,64,40
79.487976,80.022644,78,74,40
80.423645,80.55731,74,64,40
80.55731,81.09198,78,74,40
81.49299,81.626656,74,64,40
81.626656,82.16132,78,74,40
82.562325,82.69599,74,64,40
82.69599,83.23066,78,74,40
83.63167,83.765335,73,64,40
83.765335,84.3,78,74,40
84.701004,84.83467,73,64,40
84.83467,85.36935,78,74,40
85.77035,85.904015,73,64,40
85.904015,86.43868,78,74,40
86.83968,86.97335,71,64,40
86.97335,87.508026,77,74,40
87.90903,88.042694,71,64,40
88.042694,88.57736,77,74,40
88.97836,89.11203,71,64,40
89.11203,89.646706,77,74,40
90.04771,90.18137,73,64,40
90.18137,90.71604,78,74,40
91.11704,91.25071,73,64,40
91.25071,91.785385,78,74,40
92.186386,92.32005,73,64,40
92.32005,92.85472,79,74,40
93.25572,93.3894,74,64,40
93.3894,93.924065,78,74,40
94.325066,94.45873,74,64,40
94.45873,94.9934,78,74,40
95.39441,95.528076,74,64,40
95.528076,96.062744,78,74,40
96.463745,96.59741,73,64,40
96.59741,97.13208,78,74,40
97.53309,97.666756,73,64,40
97.666756,98.20142,78,74,40
98.602425,98.73609,73,64,40
98.73609,99.27076,78,74,40
99.67177,99.805435,71,64,40
99.805435,100.3401,77,74,40
100.741104,100.87477,71,64,40
100.87477,101.40945,77,74,40
101.81045,101.944115,71,64,40
101.944115,102.47878,77,74,40
102.87978,103.01345,69,64,40
103.01345,103.54813,78,74,40
103.94913,104.082794,69,64,40
104.082794,104.61746,78,74,40
105.01846,105.15213,69,64,40
