start_time,end_time,note_value,velocity,instrument_program_number
0.666666,0.9444435,77,63,40
0.999999,1.1631932,79,45,40
1.1666656,1.3298597,81,45,40
1.333332,1.6111095,82,63,40
1.666665,1.8298593,82,48,40
1.8333315,1.9965258,82,50,40
1.999998,2.0555534,81,52,40
2.333331,2.3888865,82,56,40
2.666664,2.999997,83,84,40
2.999997,3.1631913,84,45,40
3.33333,3.5798576,82,45,40
3.5833297,3.6631908,82,56,40
3.666663,3.9131906,84,59,40
3.9166627,3.9965239,84,71,40
3.999996,4.333329,87,105,40
4.333329,4.4965234,86,75,40
4.666662,4.7222176,87,84,40
4.8333287,4.888884,89,60,40
4.999995,5.0555506,91,55,40
5.1666613,5.222217,87,50,40
5.333328,5.916661,84,45,40
5.999994,6.2777715,77,63,40
6.333327,6.4965215,79,47,40
6.4999933,6.663188,81,48,40
6.66666,6.9444375,82,68,40
6.999993,7.1631875,82,51,40
7.1666594,7.329854,82,52,40
7.333326,7.3888817,81,53,40
7.666659,7.7222147,82,56,40
7.999992,8.333325,86,84,40
8.333325,8.496519,84,45,40
8.666658,8.913185,74,45,40
8.916657,8.996519,74,56,40
8.999991,9.246518,75,59,40
9.24999,9.329852,75,71,40
9.333324,9.666657,79,105,40
9.666657,9.829851,77,75,40
9.99999,10.333323,82,63,40
10.333323,10.496517,76,45,40
10.666656,10.999989,77,45,40
10.999989,11.163183,65,45,40
12.666654,12.72221,72,45,40
12.833321,12.888876,74,45,40
12.999987,13.055543,75,45,40
13.166654,13.222209,72,45,40
13.33332,13.916653,77,63,40
15.333318,15.579845,77,60,40
15.583318,15.663178,77,60,40
15.666651,15.913178,76,60,40
15.916651,15.996511,76,60,40
15.999984,16.246511,77,60,40
16.249983,16.329845,77,72,40
16.333317,16.579845,82,76,40
16.583317,16.663177,82,88,40
16.66665,16.918781,84,92,40
16.92233,17.004007,84,92,40
17.007559,17.25969,84,89,40
17.26324,17.344917,86,78,40
17.348469,17.406607,82,75,40
17.522886,17.697306,77,68,40
17.697306,17.875875,74,61,40
17.875875,18.050726,70,53,40
18.054447,18.221113,69,45,40
18.221113,18.38778,72,45,40
18.38778,18.554447,69,45,40
18.554447,18.71764,65,45,40
18.721113,18.88778,60,45,40
18.88778,19.054445,62,45,40
19.054445,19.221113,64,45,40
19.221113,19.384306,65,45,40
19.38778,19.554445,63,45,40
19.554445,19.721111,67,45,40
