start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.32449237,75,53,0
0.0,0.32449237,63,53,0
0.32449237,0.6428689,77,37,0
0.32449237,0.6428689,65,37,0
0.6428689,0.88009244,67,47,0
0.6428689,0.88009244,79,47,0
0.9590397,1.5909313,79,57,0
0.9590397,1.5909313,67,57,0
1.5909313,1.830223,80,41,0
1.5909313,1.830223,68,41,0
1.910223,2.5572815,79,54,0
1.910223,2.5572815,67,54,0
2.5572815,2.8021793,75,34,0
2.5572815,2.8021793,63,34,0
2.8839276,3.201579,79,53,0
2.8839276,3.201579,67,53,0
3.201579,3.5135098,81,58,0
3.201579,3.5135098,69,58,0
3.5135098,3.7443485,83,65,0
3.5135098,3.7443485,71,65,0
3.8206844,4.123462,72,79,0
3.8206844,4.123462,84,79,0
4.123462,4.4250326,85,74,0
4.123462,4.4250326,73,74,0
4.4250326,4.652338,87,82,0
4.4250326,4.652338,75,82,0
4.728287,5.3427167,87,86,0
4.728287,5.3427167,75,86,0
5.3427167,5.576483,89,71,0
5.3427167,5.576483,77,71,0
5.654676,6.289207,87,91,0
5.654676,6.289207,75,91,0
6.289207,6.5311465,82,77,0
6.289207,6.5311465,70,77,0
6.6127057,6.9369326,84,97,0
6.6127057,6.9369326,72,97,0
6.9369326,7.255247,88,80,0
6.9369326,7.255247,76,80,0
7.255247,7.49068,89,71,0
7.255247,7.49068,77,71,0
7.568636,7.8778,58,63,0
7.568636,7.8778,70,63,0
7.8778,8.18221,62,49,0
7.8778,8.18221,74,49,0
8.18221,8.409069,75,40,0
8.18221,8.409069,63,40,0
8.484447,9.090038,67,46,0
8.484447,9.090038,63,46,0
8.484447,9.090038,58,46,0
9.090038,9.319826,68,52,0
9.090038,9.319826,63,52,0
9.090038,9.319826,60,52,0
9.396947,10.0189295,65,44,0
9.396947,10.0189295,62,44,0
9.396947,10.0189295,56,44,0
10.0189295,10.255427,63,53,0
10.0189295,10.255427,58,53,0
10.0189295,10.255427,55,53,0
10.3347225,10.653733,63,40,0
10.3347225,10.653733,58,40,0
10.3347225,10.653733,55,40,0
11.305031,11.629523,75,53,0
11.305031,11.629523,63,53,0
11.629523,11.9479,77,37,0
11.629523,11.9479,65,37,0
11.9479,12.185123,67,47,0
11.9479,12.185123,79,47,0
12.2640705,12.895962,79,57,0
12.2640705,12.895962,67,57,0
12.895962,13.135254,80,41,0
12.895962,13.135254,68,41,0
13.215254,13.862312,79,54,0
13.215254,13.862312,67,54,0
13.862312,14.10721,75,34,0
13.862312,14.10721,63,34,0
14.188958,14.50661,79,53,0
14.188958,14.50661,67,53,0
14.50661,14.818541,81,58,0
14.50661,14.818541,69,58,0
14.818541,15.049379,83,65,0
14.818541,15.049379,71,65,0
15.125715,15.428493,72,71,0
15.125715,15.428493,84,71,0
15.428493,15.730063,85,76,0
15.428493,15.730063,73,76,0
15.730063,15.957369,87,82,0
15.730063,15.957369,75,82,0
16.033318,16.647747,87,86,0
16.033318,16.647747,75,86,0
16.647747,16.881514,89,73,0
16.647747,16.881514,77,73,0
16.959707,17.594238,87,91,0
16.959707,17.594238,75,91,0
17.594238,17.836178,82,77,0
17.594238,17.836178,70,77,0
17.917736,18.241962,84,97,0
17.917736,18.241962,72,97,0
18.241962,18.560278,88,80,0
18.241962,18.560278,76,80,0
18.560278,18.795712,89,71,0
18.560278,18.795712,77,71,0
18.873667,19.18283,58,63,0
18.873667,19.18283,70,63,0
19.18283,19.48724,62,49,0
19.18283,19.48724,74,49,0
19.48724,19.7141,75,40,0
19.48724,19.7141,63,40,0
19.789476,20.395939,67,46,0
19.789476,20.395939,63,46,0
