start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.652174,74,70,0
0.652174,0.978261,74,70,0
0.978261,1.304348,74,70,0
1.304348,1.956522,70,70,0
1.956522,2.608696,70,70,0
2.608696,3.26087,69,70,0
3.26087,3.586957,69,70,0
3.586957,3.913044,69,70,0
3.913044,3.9945657,69,60,0
3.9945657,5.217392,75,70,0
5.217392,5.869566,74,70,0
5.869566,6.195653,74,70,0
6.195653,6.52174,74,70,0
6.52174,6.847827,74,70,0
6.847827,7.0108705,67,70,0
7.173914,7.826088,67,70,0
7.826088,8.152175,72,70,0
8.152175,8.315219,71,70,0
8.315219,8.478262,72,70,0
8.478262,8.641306,71,70,0
8.641306,8.804349,72,70,0
8.804349,8.967393,74,70,0
8.967393,9.130436,72,70,0
9.456523,9.78261,60,60,0
9.78261,10.108697,62,60,0
10.108697,10.434784,63,60,0
9.130436,10.434784,65,70,0
10.434784,11.086958,74,70,0
10.434784,11.086958,86,70,0
11.086958,11.413045,74,70,0
11.086958,11.413045,86,70,0
11.413045,11.739132,74,70,0
11.413045,11.739132,86,70,0
11.739132,12.391306,70,70,0
11.739132,12.391306,82,70,0
12.391306,13.04348,70,70,0
12.391306,13.04348,82,70,0
13.04348,13.695654,69,70,0
13.04348,13.695654,81,70,0
13.695654,14.021741,69,70,0
13.695654,14.021741,81,70,0
14.021741,14.347828,69,70,0
14.021741,14.347828,81,70,0
14.347828,14.42935,81,60,0
14.42935,15.652176,87,70,0
14.347828,15.652176,75,70,0
15.652176,16.30435,74,70,0
15.652176,16.30435,86,70,0
16.30435,16.630438,74,80,0
16.30435,16.630438,86,80,0
16.630438,16.956524,74,86,0
16.630438,16.956524,86,86,0
16.956524,17.608698,79,90,0
16.956524,17.608698,91,90,0
17.608698,17.934786,79,70,0
17.934786,18.260872,82,64,0
17.608698,18.260872,91,80,0
18.260872,18.58696,82,60,0
18.58696,18.750002,81,60,0
18.750002,18.913046,79,60,0
18.913046,19.239134,81,60,0
18.260872,19.239134,84,70,0
19.239134,19.56522,89,70,0
19.239134,19.56522,81,60,0
19.239134,19.56522,75,60,0
19.56522,20.869568,74,70,0
19.56522,20.869568,82,70,0
20.869568,21.521742,74,70,0
21.521742,21.84783,74,70,0
21.84783,22.173916,74,70,0
22.173916,22.82609,70,70,0
22.82609,23.478264,70,70,0
23.478264,24.130438,69,70,0
24.130438,24.456526,69,70,0
24.456526,24.782612,69,70,0
24.782612,24.864134,69,60,0
24.864134,26.08696,75,70,0
26.08696,26.739134,74,70,0
26.739134,27.065222,74,70,0
27.065222,27.391308,74,70,0
27.391308,27.717396,74,70,0
27.717396,27.880438,67,70,0
28.043482,28.695656,67,70,0
28.695656,29.021744,72,70,0
29.021744,29.184786,71,70,0
29.184786,29.34783,72,70,0
29.34783,29.510874,71,70,0
29.510874,29.673918,72,70,0
29.673918,29.83696,74,70,0
29.83696,30.000004,72,70,0
30.326092,30.652178,60,60,0
30.652178,30.978266,62,60,0
30.978266,31.304352,63,60,0
30.000004,31.304352,65,70,0
31.304352,31.956526,74,70,0
31.304352,31.956526,86,70,0
31.956526,32.28261,74,70,0
31.956526,32.28261,86,70,0
32.28261,32.6087,74,70,0
32.28261,32.6087,86,70,0
32.6087,33.260876,70,70,0
32.6087,33.260876,82,70,0
33.260876,33.913048,70,70,0
33.260876,33.913048,82,70,0
33.913048,34.565224,69,70,0
33.913048,34.565224,81,70,0
34.565224,34.891308,69,70,0
34.565224,34.891308,81,70,0
34.891308,35.217396,69,70,0
34.891308,35.217396,81,70,0
35.217396,35.298916,81,60,0
35.298916,36.521744,87,70,0
35.217396,36.521744,75,70,0
36.521744,37.17392,74,70,0
36.521744,37.17392,86,70,0
37.17392,37.500004,74,80,0
37.17392,37.500004,86,80,0
37.500004,37.82609,74,86,0
37.500004,37.82609,86,86,0
37.82609,38.478268,79,90,0
37.82609,38.478268,91,90,0
38.478268,38.80435,79,70,0
38.80435,39.13044,82,64,0
38.478268,39.13044,91,80,0
39.13044,39.456528,82,60,0
39.456528,39.61957,81,60,0
39.61957,39.782616,79,60,0
39.782616,40.1087,81,60,0
39.13044,40.1087,84,70,0
40.1087,40.434788,89,70,0
40.1087,40.434788,81,60,0
