start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.714286,86,88,0
0.0,0.714286,74,88,0
0.0,0.714286,78,88,0
0.0,0.714286,81,88,0
0.714286,0.73214316,62,88,0
0.714286,0.73214316,57,88,0
0.8928575,0.9107146,62,88,0
0.8928575,0.9107146,57,88,0
1.071429,1.0892862,62,88,0
1.071429,1.0892862,57,88,0
1.2500005,1.2678577,62,88,0
1.2500005,1.2678577,57,88,0
1.428572,1.785715,57,88,0
1.785715,1.9642864,64,88,0
1.785715,1.9642864,59,88,0
1.428572,1.9642864,62,88,0
2.142858,2.160715,66,88,0
2.142858,2.160715,62,88,0
2.142858,2.160715,60,88,0
2.3214295,2.3392866,66,88,0
2.3214295,2.3392866,62,88,0
2.3214295,2.3392866,60,88,0
2.500001,2.5178583,66,88,0
2.500001,2.5178583,62,88,0
2.500001,2.5178583,60,88,0
2.6785724,2.6964297,66,88,0
2.6785724,2.6964297,62,88,0
2.6785724,2.6964297,60,88,0
2.857144,3.214287,66,88,0
2.857144,3.214287,60,88,0
3.214287,3.3928585,67,88,0
3.214287,3.3928585,59,88,0
2.857144,3.3928585,62,88,0
3.3928585,3.57143,64,88,0
3.57143,3.6904776,67,88,0
3.6875014,3.806549,66,88,0
3.8095253,3.928573,64,88,0
3.928573,4.047621,70,88,0
4.0446444,4.163692,69,88,0
4.1666684,4.285716,67,88,0
4.285716,4.4642873,69,88,0
4.642859,4.7619066,78,49,0
4.7589307,4.8779783,76,49,0
4.8809543,5.000002,74,49,0
5.000002,5.1190495,81,49,0
5.1160736,5.2351213,79,49,0
5.238097,5.357145,78,49,0
5.357145,5.4761925,76,49,0
5.4732165,5.592264,74,49,0
5.59524,5.714288,73,49,0
5.714288,6.428574,86,88,0
5.714288,6.428574,74,88,0
5.714288,6.428574,78,88,0
5.714288,6.428574,81,88,0
6.428574,6.446431,62,88,0
6.428574,6.446431,57,88,0
6.6071453,6.625003,62,88,0
6.6071453,6.625003,57,88,0
6.785717,6.803574,62,88,0
6.785717,6.803574,57,88,0
6.9642887,6.982146,62,88,0
6.9642887,6.982146,57,88,0
7.14286,7.500003,57,88,0
7.500003,7.6785746,64,88,0
7.500003,7.6785746,58,88,0
7.14286,7.6785746,62,88,0
7.857146,7.8750033,66,88,0
7.857146,7.8750033,62,88,0
7.857146,7.8750033,60,88,0
8.035718,8.053575,66,88,0
8.035718,8.053575,62,88,0
8.035718,8.053575,60,88,0
8.214289,8.232146,66,88,0
8.214289,8.232146,62,88,0
8.214289,8.232146,60,88,0
8.39286,8.410718,66,88,0
8.39286,8.410718,62,88,0
8.39286,8.410718,60,88,0
8.571432,8.928575,66,88,0
8.571432,8.928575,60,88,0
8.928575,9.107146,67,88,0
8.928575,9.107146,58,88,0
8.571432,9.107146,62,88,0
9.285718,9.3035755,68,88,0
9.285718,9.3035755,65,88,0
9.285718,9.3035755,62,88,0
9.46429,9.482146,68,88,0
9.46429,9.482146,65,88,0
9.46429,9.482146,62,88,0
9.642861,9.660718,68,88,0
9.642861,9.660718,65,88,0
9.642861,9.660718,62,88,0
9.821432,9.83929,68,88,0
9.821432,9.83929,65,88,0
9.821432,9.83929,62,88,0
10.000004,10.357147,69,88,0
10.000004,10.357147,65,88,0
10.000004,10.357147,60,88,0
10.357147,10.476194,72,88,0
10.473219,10.592266,70,88,0
10.5952425,10.71429,69,88,0
10.71429,10.833338,67,49,0
10.830361,10.9494095,65,49,0
10.952385,11.071433,64,49,0
11.071433,11.19048,62,49,0
11.187505,11.306552,60,49,0
11.309528,11.428576,58,49,0
11.428576,11.547624,57,49,0
11.544647,11.663695,58,49,0
11.666672,11.785719,60,49,0
11.785719,11.904767,72,49,0
11.901791,12.020838,70,49,0
12.023814,12.142862,69,49,0
12.142862,12.2619095,67,49,0
12.258933,12.377981,65,49,0
12.380958,12.500005,64,49,0
12.500005,12.619053,62,49,0
12.616076,12.735125,60,49,0
12.7381,12.857148,58,49,0
12.857148,12.976195,57,49,0
12.97322,13.092267,58,49,0
13.095243,13.214291,60,49,0
13.214291,13.333339,57,49,0
13.330362,13.44941,58,49,0
13.452386,13.571434,60,49,0
13.571434,13.690482,57,49,0
13.687506,13.806553,58,49,0
13.809529,13.928577,60,49,0
13.928577,14.047625,57,49,0
14.044648,14.163696,58,49,0
