start_time,end_time,note_value,velocity,instrument_program_number
0.0007460021,0.119360335,69,50,0
0.119360335,0.23872067,71,46,0
0.23872067,0.358081,72,46,0
0.358081,0.47744134,71,50,0
0.47744134,0.59680164,72,46,0
0.59680164,0.719223,74,46,0
0.719223,1.077304,76,65,0
1.077304,1.1966643,69,50,0
1.1966643,1.3160247,71,45,0
1.3160247,1.435385,72,45,0
1.5547453,1.6741056,72,44,0
1.6741056,1.797433,74,44,0
1.435385,1.797433,71,70,0
1.797433,2.159481,76,65,0
2.159481,2.2788413,69,50,0
2.2788413,2.3982017,71,45,0
2.3982017,2.5201752,72,45,0
2.6395357,2.758896,72,45,0
2.758896,2.8808696,74,45,0
2.5201752,2.8808696,71,66,0
2.8808696,3.00023,72,50,0
3.00023,3.1195903,74,48,0
3.1195903,3.2389507,76,50,0
3.2389507,3.3584182,77,50,0
3.3584182,3.4785316,79,54,0
3.4785316,3.5994072,81,58,0
3.5994072,3.7191963,79,61,0
3.7191963,3.8389857,77,56,0
3.8389857,3.958775,76,53,0
3.958775,4.0785646,74,55,0
4.0785646,4.198354,72,52,0
4.198354,4.3261495,71,48,0
4.3261495,4.45076,69,56,0
4.45076,4.575371,71,50,0
4.575371,4.699981,72,50,0
4.699981,4.8230586,71,53,0
4.8230586,4.9461355,69,48,0
4.9461355,5.0692124,67,48,0
5.0692124,5.1930513,65,53,0
5.1930513,5.3168902,64,47,0
5.3168902,5.442282,63,47,0
5.442282,5.8053784,64,57,0
6.1702237,6.289984,59,50,0
6.289984,6.4097443,61,45,0
6.4097443,6.529505,63,45,0
6.529505,6.650717,64,54,0
6.650717,6.771929,66,49,0
6.771929,6.895256,68,49,0
6.895256,7.257304,69,59,0
7.257304,7.376352,59,50,0
7.376352,7.4953995,61,45,0
7.4953995,7.614447,63,45,0
7.614447,7.734929,64,54,0
7.734929,7.855411,66,48,0
7.855411,7.9791965,68,48,0
7.9791965,8.34079,69,58,0
8.34079,8.46015,59,50,0
8.46015,8.579511,61,46,0
8.579511,8.698871,63,46,0
8.698871,8.819353,64,54,0
8.819353,8.939835,66,47,0
8.939835,9.063162,68,47,0
9.063162,9.182523,66,60,0
9.182523,9.301883,68,53,0
9.301883,9.424304,69,53,0
9.424304,9.543665,68,64,0
9.543665,9.663025,69,58,0
9.663025,9.785446,71,60,0
9.785446,9.904387,69,68,0
9.904387,10.023539,71,60,0
10.023539,10.143006,72,63,0
10.143006,10.262795,71,73,0
10.262795,10.383017,72,63,0
10.383017,10.503564,74,68,0
10.503564,10.624439,72,79,0
10.624439,10.745645,74,68,0
10.745645,10.867181,76,74,0
10.867181,10.989155,77,90,0
10.989155,11.111129,76,77,0
11.111129,11.237247,74,79,0
11.237247,11.359221,77,88,0
11.237247,11.420208,83,88,0
11.359221,11.481195,76,79,0
11.481195,11.604068,74,79,0
11.604068,11.726042,77,92,0
11.604068,11.787028,83,92,0
11.726042,11.848015,76,80,0
11.848015,11.971342,74,80,0
11.971342,12.094042,77,93,0
11.971342,12.155392,83,93,0
12.094042,12.216741,76,84,0
12.216741,12.342924,74,86,0
12.342924,12.466381,77,97,0
12.342924,12.52811,83,97,0
12.466381,12.589837,76,86,0
12.589837,12.71642,74,87,0
12.71642,12.840259,77,100,0
12.71642,12.902178,83,100,0
12.840259,12.964098,76,88,0
12.964098,13.094817,74,91,0
13.094817,13.216029,77,106,0
13.094817,13.276635,83,106,0
13.216029,13.337241,76,61,0
13.337241,13.460318,74,52,0
13.460318,13.582642,77,60,0
13.582642,13.704966,76,51,0
13.704966,13.828423,74,46,0
13.828423,13.952646,77,57,0
13.952646,14.07687,76,49,0
14.07687,14.2046995,74,43,0
14.2046995,14.3296995,77,56,0
14.3296995,14.4546995,76,47,0
14.4546995,14.580883,74,44,0
14.580883,14.705883,76,56,0
14.705883,14.830883,74,46,0
14.830883,14.957867,72,46,0
14.957867,15.083259,74,55,0
15.083259,15.208651,72,45,0
15.208651,15.335234,71,45,0
15.335234,15.458548,69,50,0
15.458548,15.581153,71,46,0
15.581153,15.703105,72,46,0
15.703105,15.824364,71,50,0
15.824364,15.944937,72,46,0
15.944937,16.067358,74,46,0
16.067358,16.42544,76,65,0
16.42544,16.5448,69,50,0
16.5448,16.66416,71,45,0
16.66416,16.78352,72,45,0
16.90288,17.022242,72,44,0
17.022242,17.145569,74,44,0
16.78352,17.145569,71,70,0
17.145569,17.507616,76,65,0
17.507616,17.626976,69,50,0
17.626976,17.746336,71,45,0
17.746336,17.86831,72,45,0
17.98767,18.10703,72,45,0
18.10703,18.229004,74,45,0
17.86831,18.229004,71,66,0
18.229004,18.348366,72,50,0
18.348366,18.467726,74,48,0
18.467726,18.587086,76,50,0
18.587086,18.706553,77,50,0
18.706553,18.826666,79,54,0
18.826666,18.947542,81,58,0
18.947542,19.067331,79,61,0
19.067331,19.18712,77,56,0
19.18712,19.30691,76,53,0
19.30691,19.426699,74,55,0
19.426699,19.54649,72,52,0
19.54649,19.674284,71,48,0
19.674284,19.798124,69,56,0
19.798124,19.921963,71,50,0
19.921963,20.045801,72,50,0
20.045801,20.168879,71,53,0
20.168879,20.291956,69,48,0
20.291956,20.415033,67,48,0
20.415033,20.538872,65,53,0
20.538872,20.66271,64,47,0
20.66271,20.788103,63,47,0
20.788103,20.909315,64,54,0
20.909315,21.030527,66,49,0
21.030527,21.153854,67,49,0
21.153854,21.515902,69,59,0
21.515902,21.634949,59,50,0
21.634949,21.753998,61,45,0
21.753998,21.873045,63,45,0
21.873045,21.993526,64,54,0
21.993526,22.11401,66,48,0
22.11401,22.237795,67,48,0
22.237795,22.599388,69,58,0
22.599388,22.718748,59,50,0
22.718748,22.838108,61,46,0
22.838108,22.957468,63,46,0
22.957468,23.077951,64,54,0
23.077951,23.198433,66,47,0
23.198433,23.32176,67,47,0
23.32176,23.44112,66,60,0
23.44112,23.56048,67,53,0
23.56048,23.682901,69,53,0
23.682901,23.802261,67,64,0
23.802261,23.921623,69,58,0
23.921623,24.044044,71,60,0
24.044044,24.162985,69,68,0
24.162985,24.282137,71,60,0
24.282137,24.401604,72,63,0
24.401604,24.521393,71,73,0
24.521393,24.641615,72,63,0
24.641615,24.762161,74,68,0
24.762161,24.883512,72,79,0
24.883512,25.006876,74,68,0
25.006876,25.136745,76,74,0
25.136745,25.255795,65,96,0
25.255795,25.375196,70,78,0
25.375196,25.495047,74,74,0
25.495047,25.615257,77,87,0
25.615257,25.735922,82,76,0
25.735922,25.85695,86,76,0
25.85695,25.979002,89,88,0
25.979002,26.1046,94,76,0
26.1046,26.233953,98,76,0
26.233953,26.334965,101,97,0
26.637995,26.84489,64,79,0
26.637995,26.84489,69,79,0
26.637995,26.84489,76,93,0
26.637995,26.84489,72,79,0
27.051786,27.263374,71,74,0
27.051786,27.263374,64,74,0
27.051786,27.263374,76,88,0
27.051786,27.263374,68,74,0
27.47539,27.596601,69,67,0
27.596601,27.717813,71,56,0
27.717813,27.84114,72,56,0
27.84114,28.203188,74,65,0
28.203188,28.322235,64,66,0
28.322235,28.441284,66,54,0
28.441284,28.560331,68,53,0
28.560331,28.680813,69,64,0
28.680813,28.801294,71,55,0
28.801294,28.925081,72,55,0
28.925081,29.286674,74,65,0
29.286674,29.406034,64,64,0
29.406034,29.525394,66,58,0
29.525394,29.644754,68,58,0
29.644754,29.763697,69,68,0
29.763697,29.882847,71,60,0
29.882847,30.002316,72,63,0
30.002316,30.122105,71,73,0
30.122105,30.242325,72,63,0
30.242325,30.362873,74,68,0
30.362873,30.484222,72,79,0
30.484222,30.607588,74,68,0
30.607588,30.737457,76,74,0
30.737457,30.856504,65,96,0
30.856504,30.975908,70,78,0
30.975908,31.095758,74,75,0
31.095758,31.21597,77,93,0
31.21597,31.336632,82,77,0
31.336632,31.45766,86,77,0
31.45766,31.579714,89,92,0
31.579714,31.70531,94,78,0
31.70531,31.834665,98,78,0
31.834665,31.937054,101,97,0
32.24422,32.456985,76,93,0
32.24422,32.456985,69,79,0
32.24422,32.456985,72,79,0
32.24422,32.456985,64,79,0
32.669754,32.900524,76,88,0
32.669754,32.900524,68,74,0
32.669754,32.900524,64,74,0
32.669754,32.900524,71,74,0
33.13129,34.2383,76,88,0
33.13129,34.2383,69,88,0
33.13129,34.2383,81,104,0
33.13129,34.2383,72,88,0
34.452587,34.524933,68,74,0
34.452587,34.524933,76,88,0
34.64551,34.720016,69,58,0
34.64551,34.720016,75,69,0
34.84419,34.916767,76,81,0
34.84419,34.916767,68,68,0
35.037735,35.11224,75,69,0
35.037735,35.11224,69,58,0
35.236412,35.323284,68,74,0
35.236412,35.323284,76,88,0
35.699734,36.806744,77,104,0
35.699734,36.806744,72,88,0
35.699734,36.806744,65,88,0
35.699734,36.806744,69,88,0
37.021027,37.093376,72,88,0
37.021027,37.093376,64,74,0
37.213955,37.288456,65,61,0
37.213955,37.288456,71,72,0
37.41263,37.485954,72,79,0
37.41263,37.485954,64,67,0
37.606922,37.68118,71,72,0
37.606922,37.68118,65,61,0
37.804943,37.891815,64,74,0
37.804943,37.891815,72,88,0
38.268265,39.15387,74,98,0
38.268265,39.15387,71,83,0
38.268265,39.15387,62,83,0
38.268265,39.15387,65,83,0
39.15387,39.375275,72,90,0
39.15387,39.375275,64,76,0
39.15387,39.375275,69,76,0
39.15387,39.375275,60,76,0
39.596676,39.813282,70,90,0
39.596676,39.813282,62,76,0
39.596676,39.813282,58,76,0
39.596676,39.813282,65,76,0
40.02989,40.2419,74,80,0
40.02989,40.2419,65,80,0
40.02989,40.2419,77,95,0
40.02989,40.2419,68,80,0
40.453915,40.671307,69,77,0
40.453915,40.671307,72,77,0
40.453915,40.671307,76,91,0
40.453915,40.671307,64,77,0
40.8887,41.11092,71,79,0
40.8887,41.11092,65,79,0
40.8887,41.11092,74,94,0
41.33314,41.560417,69,76,0
41.33314,41.560417,64,76,0
41.33314,41.560417,72,90,0
41.78769,42.022064,68,74,0
41.78769,42.022064,64,74,0
41.78769,42.022064,71,88,0
42.25644,42.450615,69,87,0
42.450615,42.5477,71,83,0
42.5477,42.644787,72,75,0
42.644787,42.741665,74,76,0
42.741665,42.83865,76,78,0
42.83865,42.936157,78,80,0
42.936157,43.034092,80,82,0
43.034092,43.13245,81,83,0
43.13245,43.231243,83,85,0
43.231243,43.33047,84,87,0
43.33047,43.430252,86,88,0
43.430252,43.503304,76,84,0
43.430252,43.503304,88,99,0
43.625057,43.700058,87,86,0
43.625057,43.700058,75,73,0
43.825058,43.89811,76,79,0
43.825058,43.89811,88,93,0
44.019863,44.09511,87,86,0
44.019863,44.09511,75,73,0
44.22053,44.307404,76,85,0
44.22053,44.307404,88,101,0
44.68385,44.878025,65,89,0
44.878025,44.975113,67,83,0
44.975113,45.0722,69,75,0
45.0722,45.16908,70,76,0
45.16908,45.266064,72,78,0
45.266064,45.36357,74,80,0
45.36357,45.461502,76,82,0
45.461502,45.559864,77,83,0
45.559864,45.658657,79,85,0
45.658657,45.757885,81,87,0
45.757885,45.857662,82,88,0
45.857662,45.930717,84,94,0
45.857662,45.930717,72,79,0
46.052467,46.12772,71,69,0
46.052467,46.12772,83,82,0
46.25314,46.32619,84,90,0
46.25314,46.32619,72,76,0
46.44794,46.523193,71,68,0
46.44794,46.523193,83,81,0
46.648613,46.735485,72,80,0
46.648613,46.735485,84,95,0
47.11193,47.222633,71,85,0
47.222633,47.333332,72,80,0
47.333332,47.444035,74,80,0
47.444035,47.554737,76,78,0
47.554737,47.665436,77,90,0
47.665436,47.77614,83,83,0
47.77614,47.886837,86,82,0
47.886837,47.99754,89,78,0
47.99754,48.108242,88,92,0
48.450603,48.56296,70,86,0
48.56296,48.67532,74,78,0
48.67532,48.78768,77,78,0
48.78768,48.90004,82,78,0
48.90004,49.012398,74,86,0
49.012398,49.12476,77,78,0
49.12476,49.237118,80,78,0
49.237118,49.349476,86,78,0
49.349476,49.461838,72,86,0
49.461838,49.574196,76,76,0
49.574196,49.690475,81,76,0
49.690475,49.806755,84,76,0
49.806755,49.920822,71,80,0
49.920822,50.034893,74,73,0
50.034893,50.14896,77,73,0
50.14896,50.263027,83,72,0
50.263027,50.380676,69,78,0
50.380676,50.49832,72,70,0
50.49832,50.61597,76,70,0
50.61597,50.733616,81,70,0
50.733616,50.855568,68,77,0
50.855568,50.97752,71,69,0
50.97752,51.099472,76,69,0
51.099472,51.22142,80,69,0
51.22142,51.415596,57,87,0
51.415596,51.512684,59,82,0
51.512684,51.60977,60,78,0
51.60977,51.70665,62,77,0
51.70665,51.803635,64,77,0
51.803635,51.901142,66,77,0
51.901142,51.999073,68,76,0
51.999073,52.097435,69,76,0
52.097435,52.196228,71,76,0
52.196228,52.295456,72,75,0
52.295456,52.394794,74,75,0
52.394794,52.49457,76,74,0
52.49457,52.594685,77,74,0
52.594685,52.695244,79,73,0
52.695244,52.79614,81,73,0
52.79614,52.998844,82,71,0
54.012356,54.215057,79,71,0
55.22857,55.431274,76,67,0
56.461563,56.668457,73,55,0
57.748917,57.9788,72,50,0
59.047848,60.120003,69,38,0
60.120003,60.223183,70,36,0
60.223183,60.32636,69,31,0
60.32636,60.73907,67,36,0
60.73907,61.15877,70,38,0
61.15877,61.585697,73,42,0
59.047848,61.585697,60,33,0
61.585697,62.419434,72,40,0
62.419434,62.832554,69,34,0
61.585697,62.841343,60,33,0
62.841343,63.666767,72,40,0
63.666767,64.09351,70,34,0
62.841343,64.10259,60,33,0
64.10259,65.144295,69,38,0
65.144295,65.24545,70,35,0
65.24545,65.3466,69,31,0
65.3466,65.75121,67,36,0
65.75121,66.15977,70,38,0
66.15977,66.585,73,42,0
64.10259,66.585,60,38,0
66.585,67.40266,72,40,0
67.40266,67.81578,69,34,0
