start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.10309275,67,84,0
0.10309275,0.2061855,68,70,0
0.2061855,0.31332824,63,75,0
0.31332824,0.420471,60,70,0
0.420471,0.5419285,56,76,0
0.663386,0.76719224,67,85,0
0.76719224,0.8709985,68,70,0
0.8709985,0.97776,63,75,0
0.97776,1.0845215,60,70,0
1.0845215,1.203569,56,76,0
1.3226165,1.6498895,75,89,0
1.3226165,1.6498895,72,75,0
1.3226165,1.6498895,63,75,0
1.6498895,1.753526,75,85,0
1.6498895,1.753526,72,72,0
1.6498895,1.753526,63,72,0
1.7589805,1.878028,75,89,0
1.7589805,1.878028,72,75,0
1.7589805,1.878028,63,75,0
1.9970756,2.3243484,75,89,0
1.9970756,2.3243484,72,75,0
1.9970756,2.3243484,63,75,0
2.3243484,2.427985,75,85,0
2.3243484,2.427985,72,72,0
2.3243484,2.427985,63,72,0
2.4334395,2.5520165,75,89,0
2.4334395,2.5520165,72,75,0
2.4334395,2.5520165,63,75,0
2.6705935,2.7740417,75,80,0
2.6705935,2.7740417,71,68,0
2.6705935,2.7740417,63,68,0
2.7740417,2.87749,72,73,0
2.87749,2.9842515,68,73,0
2.9842515,3.091013,63,73,0
3.091013,3.207292,60,80,0
3.323571,3.4281006,63,84,0
3.4281006,3.53263,68,74,0
3.53263,3.6393914,72,74,0
3.6393914,3.746153,75,74,0
3.746153,3.86473,80,79,0
3.983307,4.046598,69,65,0
3.983307,4.046598,81,77,0
4.2364717,4.6927457,82,86,0
4.2364717,4.6927457,70,73,0
4.6927457,4.7965517,62,85,0
4.7965517,4.900358,63,70,0
4.900358,5.0071197,58,75,0
5.0071197,5.113881,55,70,0
5.113881,5.2329283,51,76,0
5.351976,5.679249,75,89,0
5.351976,5.679249,73,75,0
5.351976,5.679249,63,75,0
5.679249,5.7828856,75,85,0
5.679249,5.7828856,73,72,0
5.679249,5.7828856,63,72,0
5.78834,5.9073877,75,89,0
5.78834,5.9073877,73,75,0
5.78834,5.9073877,63,75,0
6.026435,6.353708,75,89,0
6.026435,6.353708,73,75,0
6.026435,6.353708,63,75,0
6.353708,6.4573445,75,85,0
6.353708,6.4573445,73,72,0
6.353708,6.4573445,63,72,0
6.462799,6.581376,75,89,0
6.462799,6.581376,73,75,0
6.462799,6.581376,63,75,0
6.699953,6.8034015,75,80,0
6.699953,6.8034015,72,68,0
6.699953,6.8034015,63,68,0
6.8034015,6.9068494,73,73,0
6.9068494,7.013611,70,73,0
7.013611,7.1203723,67,73,0
7.1203723,7.2366514,63,80,0
7.3529305,7.45746,67,84,0
7.45746,7.5619893,70,74,0
7.5619893,7.668751,73,74,0
7.668751,7.7755127,75,74,0
7.7755127,7.8940897,79,79,0
8.012667,8.075957,71,65,0
8.012667,8.075957,83,77,0
