start_time,end_time,note_value,velocity,instrument_program_number
1.2857145,1.714286,64,46,0
1.2857145,1.714286,61,39,0
1.714286,2.1000004,66,50,0
1.714286,2.1000004,62,42,0
2.1428576,2.6083748,63,40,0
2.1428576,2.6083748,60,34,0
2.660099,3.9370768,64,47,0
2.660099,3.9370768,61,39,0
3.9550624,4.386717,69,55,0
4.386717,4.8033834,71,57,0
3.9550624,4.8033834,64,42,0
3.9550624,4.8033834,61,42,0
4.8033834,5.298796,73,61,0
4.8033834,5.298796,65,47,0
4.8033834,5.298796,61,47,0
5.353842,6.269873,73,58,0
6.269873,6.7616763,71,44,0
5.353842,6.7616763,66,45,0
5.353842,6.7616763,62,38,0
6.7616763,7.193331,69,56,0
7.193331,7.644459,68,53,0
6.7616763,7.644459,62,40,0
7.644459,8.076459,66,48,0
7.644459,8.076459,62,37,0
8.124459,9.383325,64,50,0
8.124459,9.383325,62,42,0
9.401055,9.617591,64,50,0
9.401055,9.637276,62,42,0
9.637276,9.699004,64,40,0
9.699004,9.760733,66,40,0
9.760733,9.822461,68,40,0
9.822461,10.208175,66,50,0
9.822461,10.208175,62,42,0
10.251032,10.704814,64,42,0
10.251032,10.704814,62,35,0
10.755234,11.65749,66,50,0
10.755234,11.65749,62,42,0
11.65749,12.172723,64,44,0
11.65749,12.172723,61,37,0
12.195125,12.623695,61,57,0
12.195125,12.623695,57,48,0
12.623695,13.00941,66,62,0
12.623695,13.00941,62,52,0
13.052267,13.517785,63,50,0
13.052267,13.517785,60,42,0
13.569509,14.846487,64,59,0
13.569509,14.846487,61,48,0
14.864472,15.695432,69,69,0
14.864472,15.695432,64,59,0
15.296126,15.712793,73,78,0
15.712793,16.208206,76,75,0
15.712793,16.208206,69,63,0
15.712793,16.208206,64,63,0
15.712793,16.208206,73,63,0
16.263252,17.650595,76,79,0
16.263252,17.650595,68,67,0
16.263252,17.650595,73,67,0
16.263252,17.671085,64,67,0
17.671085,18.084755,68,40,0
17.671085,18.102741,76,56,0
17.671085,18.102741,64,40,0
18.102741,18.535072,68,42,0
18.102741,18.535072,66,42,0
18.102741,18.55387,75,53,0
18.55387,18.985868,68,48,0
18.55387,18.985868,66,37,0
19.033869,20.292734,73,55,0
19.033869,20.292734,64,42,0
19.033869,20.310465,68,42,0
20.310465,20.739569,64,42,0
20.310465,20.758226,73,50,0
20.310465,20.758226,61,42,0
20.758226,21.183422,71,50,0
20.758226,21.183422,64,42,0
20.758226,21.230667,62,42,0
21.230667,21.767447,64,42,0
21.230667,21.767447,62,35,0
21.827087,22.779469,69,50,0
21.827087,22.779469,61,42,0
23.248219,23.67679,64,46,0
23.248219,23.67679,61,39,0
23.67679,24.062506,66,50,0
23.67679,24.062506,62,42,0
24.105362,24.570879,63,40,0
24.105362,24.570879,60,34,0
24.622604,25.899582,64,47,0
24.622604,25.899582,61,39,0
25.917566,26.349222,69,55,0
26.349222,26.765888,71,57,0
25.917566,26.765888,64,42,0
25.917566,26.765888,61,42,0
26.765888,27.243765,73,61,0
26.765888,27.243765,65,47,0
26.765888,27.243765,61,47,0
27.296862,28.212893,73,58,0
28.212893,28.696764,71,44,0
27.296862,28.696764,66,45,0
27.296862,28.696764,62,38,0
28.696764,29.128418,69,56,0
29.128418,29.579546,68,53,0
28.696764,29.579546,62,40,0
29.579546,30.011547,66,48,0
29.579546,30.011547,62,37,0
30.059546,31.31841,64,50,0
30.059546,31.31841,62,42,0
31.336142,31.552677,64,50,0
31.336142,31.572363,62,42,0
31.572363,31.63409,64,40,0
31.63409,31.69582,66,40,0
31.69582,31.757547,68,40,0
31.757547,32.14326,66,50,0
31.757547,32.14326,62,42,0
32.18612,32.6399,64,42,0
32.18612,32.6399,62,35,0
32.690323,33.59258,66,50,0
32.690323,33.59258,62,42,0
33.59258,34.1201,64,44,0
33.59258,34.1201,61,37,0
34.143036,34.571606,61,57,0
34.143036,34.571606,57,48,0
34.571606,34.94923,66,62,0
34.571606,34.94923,62,52,0
34.991188,35.456703,63,50,0
34.991188,35.456703,60,42,0
35.50843,36.785408,64,59,0
35.50843,36.785408,61,48,0
36.803394,37.634354,69,69,0
36.803394,37.634354,64,59,0
37.235046,37.651714,73,78,0
37.651714,38.147125,76,75,0
37.651714,38.147125,69,63,0
37.651714,38.147125,64,63,0
37.651714,38.147125,73,63,0
38.20217,39.589516,76,79,0
38.20217,39.589516,68,67,0
38.20217,39.589516,73,67,0
38.20217,39.61001,64,67,0
39.61001,40.023674,68,40,0
39.61001,40.04166,76,56,0
39.61001,40.04166,64,40,0
40.04166,40.464455,68,42,0
40.04166,40.464455,66,42,0
40.04166,40.482838,75,53,0
40.482838,40.91832,68,48,0
40.482838,40.91832,66,37,0
40.96671,42.225574,73,55,0
40.96671,42.225574,64,42,0
40.96671,42.243305,68,42,0
42.243305,42.67241,64,42,0
42.243305,42.691067,73,50,0
42.243305,42.691067,61,42,0
42.691067,43.11626,71,50,0
42.691067,43.11626,64,42,0
42.691067,43.163506,62,42,0
43.163506,43.700287,64,42,0
43.163506,43.700287,62,35,0
43.75993,45.1885,69,50,0
43.75993,45.1885,61,42,0
45.1885,45.611294,70,59,0
45.1885,45.611294,67,50,0
45.1885,45.611294,61,50,0
45.629677,46.070854,71,64,0
45.629677,46.070854,67,54,0
45.629677,46.070854,62,54,0
46.070854,46.61085,73,68,0
46.070854,46.61085,64,57,0
46.070854,46.61085,70,68,0
46.070854,46.61085,67,57,0
46.670853,47.965816,74,72,0
46.670853,47.965816,62,61,0
46.670853,47.965816,67,61,0
46.670853,47.965816,71,61,0
47.965816,48.379486,62,40,0
47.965816,48.397472,71,56,0
48.397472,48.8298,62,40,0
48.397472,48.8486,67,51,0
48.8486,49.3486,62,48,0
48.8486,49.3486,59,37,0
49.404156,50.66302,64,49,0
49.404156,50.66302,60,37,0
50.68075,51.112404,62,47,0
50.68075,51.112404,59,34,0
51.112404,51.532112,60,34,0
51.112404,51.55036,64,43,0
51.55036,51.956375,65,40,0
51.55036,51.956375,59,31,0
52.001488,52.39156,64,46,0
52.001488,52.39156,60,35,0
52.42702,52.858673,74,47,0
52.42702,52.858673,71,34,0
52.858673,53.281467,72,34,0
52.858673,53.29985,76,43,0
53.29985,53.699852,77,40,0
53.29985,53.699852,71,31,0
53.744297,54.12624,76,46,0
53.744297,54.12624,72,35,0
54.16096,54.6225,62,47,0
54.16096,54.6225,59,34,0
54.6225,55.08998,60,34,0
54.988354,55.110306,67,37,0
54.6225,55.110306,64,43,0
55.110306,55.596794,65,40,0
55.110306,55.596794,59,31,0
55.65085,56.061295,64,46,0
55.65085,56.061295,60,35,0
56.098606,56.546368,64,53,0
56.098606,56.546368,62,45,0
56.546368,56.987545,66,53,0
56.546368,56.987545,64,45,0
56.546368,56.987545,62,45,0
56.987545,57.428722,64,48,0
56.987545,57.428722,62,48,0
56.987545,57.428722,68,60,0
57.428722,57.8699,69,66,0
57.428722,57.8699,61,56,0
57.428722,57.8699,57,56,0
57.8699,58.361702,69,59,0
57.8699,58.361702,71,70,0
57.8699,58.361702,63,59,0
58.361702,59.306583,73,74,0
58.361702,59.306583,69,62,0
58.361702,59.306583,64,62,0
59.306583,59.993607,73,74,0
59.993607,60.263878,71,61,0
59.306583,60.263878,68,62,0
59.306583,60.263878,64,62,0
59.306583,60.263878,62,62,0
60.263878,61.54959,69,52,0
