start_time,end_time,note_value,velocity,instrument_program_number
0.1798232,0.35784608,58,26,0
0.35784608,0.53391385,61,26,0
0.53391385,0.7081699,66,29,0
0.7081699,0.88065034,61,25,0
0.88065034,1.0513059,58,22,0
1.0513059,1.220248,61,30,0
1.220248,1.3875208,58,25,0
1.3875208,1.55308,61,25,0
1.55308,1.7174138,66,29,0
1.7174138,1.8816714,61,26,0
1.8816714,2.0459292,58,23,0
0.0,2.0459292,70,44,0
2.2089682,2.3720071,58,27,0
2.3720071,2.535046,61,29,0
2.535046,2.6986854,66,31,0
2.6986854,2.8623247,61,26,0
2.8623247,3.025366,58,29,0
2.0459292,3.025366,70,41,0
3.1887052,3.3535733,58,28,0
3.3535733,3.5212893,61,30,0
3.5212893,3.701567,66,35,0
3.701567,3.8818448,61,31,0
3.8818448,4.0624895,58,33,0
3.025366,4.0624895,70,44,0
4.241951,4.4196157,58,27,0
4.4196157,4.595683,63,27,0
4.595683,4.7701097,66,34,0
4.7701097,4.942925,63,29,0
4.942925,5.114242,58,26,0
5.114242,5.283992,63,37,0
5.283992,5.452214,58,29,0
5.452214,5.6190157,63,29,0
5.6190157,5.7845736,66,36,0
5.7845736,5.950054,63,29,0
5.950054,6.1155353,58,25,0
4.0624895,6.1155353,70,49,0
6.278574,6.441613,54,30,0
6.441613,6.604652,58,30,0
6.604652,6.767691,63,36,0
6.767691,6.93073,58,30,0
6.93073,7.094229,54,30,0
7.094229,7.2616596,58,37,0
7.2616596,7.430843,54,30,0
7.430843,7.6017466,58,30,0
7.6017466,7.7820244,63,35,0
7.7820244,7.9623017,58,30,0
7.9623017,8.142579,54,27,0
6.1155353,8.142579,66,49,0
8.317204,8.4896,56,29,0
8.4896,8.660421,59,29,0
8.660421,8.829765,63,37,0
8.829765,8.99767,59,29,0
8.99767,9.164003,56,29,0
9.164003,9.328949,59,37,0
9.328949,9.492517,56,29,0
9.492517,9.654666,59,29,0
9.654666,9.81593,63,36,0
9.81593,9.977195,59,29,0
9.977195,10.138459,56,29,0
8.142579,10.138459,68,49,0
10.30031,10.462162,56,29,0
10.462162,10.624014,59,29,0
10.138459,10.624014,66,46,0
10.788123,10.953451,56,28,0
10.953451,11.119862,59,28,0
10.624014,11.119862,65,45,0
11.288482,11.457102,56,29,0
11.457102,11.625722,59,30,0
11.119862,11.625722,63,44,0
11.798285,11.970847,53,29,0
11.970847,12.14341,56,30,0
11.625722,12.14341,61,40,0
12.321878,12.498652,54,32,0
12.498652,12.673852,58,33,0
12.14341,12.673852,66,49,0
12.673852,12.847258,61,35,0
12.847258,13.019072,58,36,0
13.019072,13.18915,54,38,0
13.357691,13.52465,60,38,0
13.52465,13.690054,63,36,0
13.18915,13.690054,70,48,0
13.690054,13.854312,66,35,0
13.854312,14.01857,63,33,0
14.01857,14.182827,60,32,0
14.345281,14.507133,56,27,0
14.507133,14.668983,61,27,0
14.668983,14.830835,65,30,0
14.830835,14.992687,61,27,0
14.992687,15.15621,56,27,0
15.15621,15.324196,61,30,0
15.324196,15.49477,56,27,0
15.49477,15.668009,61,27,0
14.182827,15.668009,68,41,0
15.668009,15.848287,65,31,0
15.848287,16.028564,61,24,0
16.028564,16.208841,57,24,0
15.668009,16.208841,69,39,0
16.388664,16.566689,58,26,0
16.566689,16.742756,61,26,0
16.742756,16.917011,66,29,0
16.917011,17.089493,61,25,0
