start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.265498,80,81,0
0.0,0.265498,72,72,0
0.0,0.265498,68,72,0
0.265498,0.33238474,72,69,0
0.265498,0.33238474,68,69,0
0.265498,0.33238474,79,77,0
0.3992715,0.46615824,68,69,0
0.3992715,0.46615824,72,69,0
0.3992715,0.46615824,77,77,0
0.533045,0.798543,72,72,0
0.533045,0.798543,77,81,0
0.533045,0.798543,68,72,0
0.798543,0.865603,72,78,0
0.798543,0.865603,68,70,0
0.932663,0.999723,68,70,0
0.932663,0.999723,72,78,0
1.066783,1.332281,70,72,0
1.066783,1.332281,73,72,0
1.066783,1.332281,77,81,0
1.332281,1.3991678,70,69,0
1.332281,1.3991678,73,77,0
1.4660546,1.5329412,73,76,0
1.4660546,1.5329412,70,68,0
1.599828,1.8597947,72,72,0
1.599828,1.8597947,68,72,0
1.599828,1.8597947,77,81,0
1.865326,1.933446,72,55,0
1.865326,1.933446,68,49,0
2.001566,2.069686,72,55,0
2.001566,2.069686,68,49,0
2.137806,2.403304,68,43,0
2.137806,2.403304,72,48,0
2.403304,2.470364,72,48,0
2.403304,2.470364,68,43,0
2.403304,2.470364,67,43,0
2.537424,2.604484,72,45,0
2.537424,2.604484,65,40,0
2.537424,2.604484,68,40,0
2.671544,2.937042,68,40,0
2.671544,2.937042,72,45,0
2.671544,2.937042,65,40,0
2.937042,3.004102,72,48,0
2.937042,3.004102,60,43,0
2.937042,3.004102,68,43,0
3.071162,3.138222,68,40,0
3.071162,3.138222,72,45,0
3.071162,3.138222,60,40,0
3.205282,3.47078,65,40,0
3.205282,3.47078,70,40,0
3.205282,3.47078,73,45,0
3.47078,3.5376668,70,43,0
3.47078,3.5376668,61,43,0
3.47078,3.5376668,73,48,0
3.6045535,3.6714404,73,45,0
3.6045535,3.6714404,70,40,0
3.6045535,3.6714404,61,40,0
3.738327,4.003825,72,45,0
3.738327,4.003825,65,40,0
3.738327,4.003825,68,40,0
4.003825,4.071766,68,40,0
4.003825,4.071766,72,45,0
4.003825,4.071766,60,40,0
4.139707,4.207648,72,45,0
4.139707,4.207648,68,40,0
4.139707,4.207648,60,40,0
4.275589,4.541087,68,70,0
