start_time,end_time,note_value,velocity,instrument_program_number
0.75,1.267241,69,45,0
0.75,1.267241,81,56,0
1.267241,1.7036185,82,59,0
1.267241,1.7036185,70,48,0
1.7036185,2.0932286,88,63,0
1.7036185,2.0932286,76,51,0
2.0932286,2.5085776,91,67,0
2.0932286,2.5085776,79,54,0
2.5085776,3.325256,79,56,0
2.5085776,3.325256,91,69,0
3.325256,3.7555015,80,63,0
3.325256,3.7555015,68,51,0
3.7555015,4.1715417,69,56,0
3.7555015,4.1715417,81,69,0
4.1715417,4.5586386,84,63,0
4.1715417,4.5586386,72,51,0
4.5586386,4.975948,77,55,0
4.5586386,4.975948,89,68,0
4.975948,5.782844,89,68,0
4.975948,5.782844,77,55,0
5.782844,6.2130895,66,45,0
5.782844,6.2130895,78,56,0
6.2130895,6.6248198,79,59,0
6.2130895,6.6248198,67,48,0
6.6248198,7.016977,82,63,0
6.6248198,7.016977,70,51,0
7.016977,7.436352,86,67,0
7.016977,7.436352,74,54,0
7.436352,8.251676,74,56,0
7.436352,8.251676,86,69,0
8.251676,8.680341,76,63,0
8.251676,8.680341,64,51,0
8.680341,9.099235,65,56,0
8.680341,9.099235,77,69,0
9.099235,9.493972,81,58,0
9.099235,9.493972,69,47,0
9.493972,9.924167,72,47,0
9.493972,9.924167,84,58,0
9.924167,10.75046,84,54,0
9.924167,10.75046,72,44,0
10.6975975,11.197268,69,38,0
10.75046,11.261097,81,45,0
11.197268,11.658855,70,40,0
11.261097,11.711121,82,48,0
11.658855,12.05203,76,43,0
11.711121,12.10073,88,51,0
12.05203,12.469498,79,45,0
12.10073,12.523455,91,54,0
12.523455,13.352805,91,56,0
12.469498,13.352805,79,47,0
13.352805,13.785306,80,51,0
13.352805,13.785306,68,43,0
13.785306,14.201718,69,44,0
13.785306,14.201718,81,53,0
14.201718,14.6003895,84,51,0
14.201718,14.6003895,72,43,0
14.6003895,15.032184,77,46,0
14.6003895,15.032184,89,55,0
15.032184,15.845121,89,55,0
15.032184,15.845121,77,46,0
