start_time,end_time,note_value,velocity,instrument_program_number
0.0010869562,0.1315217,66,70,0
0.13043475,0.2608695,62,61,0
0.0010869562,0.52011484,71,90,0
0.51915693,0.6338801,73,57,0
0.6338801,0.69091433,74,57,0
0.74773246,0.80440766,76,57,0
0.8608696,0.91711974,78,57,0
0.97315973,1.030194,81,80,0
1.0872283,1.1442626,79,57,0
1.2012968,1.258331,78,57,0
1.3153652,1.3723994,76,57,0
1.4294337,1.4880275,79,79,0
1.5466212,1.605215,78,57,0
1.6638087,1.7224025,76,57,0
1.7809962,1.8412373,74,57,0
1.9014783,2.031913,71,70,0
2.031913,2.1623478,67,61,0
1.9014783,2.4216394,76,90,0
2.4216394,2.5311952,78,57,0
2.5311952,2.5861402,79,57,0
2.6412199,2.6964347,81,57,0
2.7517853,2.8072724,83,57,0
2.8628967,2.921952,86,86,0
2.981007,3.0400622,85,57,0
3.0991173,3.1581724,83,57,0
3.2172275,3.28133,82,57,0
3.3454328,3.465126,83,66,0
3.3454328,3.465126,78,66,0
3.465126,3.5897105,74,57,0
3.5897105,3.653998,71,57,0
3.7195966,3.793126,66,57,0
3.864066,3.9945006,66,70,0
3.9934137,4.1238484,62,61,0
3.864066,4.385661,71,90,0
4.384718,4.4979253,73,60,0
4.4979253,4.554529,74,58,0
4.611133,4.6677365,76,60,0
4.7243404,4.7809443,78,61,0
4.836442,4.8934765,81,84,0
4.9505105,5.007545,79,55,0
5.064579,5.1216135,78,56,0
5.1786475,5.235682,76,57,0
5.292716,5.35131,79,78,0
5.4099035,5.4684973,78,56,0
5.527091,5.585685,76,58,0
5.6442785,5.706007,74,61,0
5.7677355,5.89817,71,70,0
5.89817,6.028605,67,61,0
5.7677355,6.2863226,76,89,0
6.2863226,6.398055,78,55,0
6.398055,6.454165,79,56,0
6.510415,6.566806,81,57,0
6.6234097,6.680156,83,58,0
6.7370467,6.7977753,86,86,0
6.858504,6.919233,85,62,0
6.9799614,7.0406904,83,61,0
7.101419,7.166354,82,60,0
7.2312894,7.3543773,83,66,0
7.2312894,7.3543773,78,66,0
7.3543773,7.483524,74,60,0
7.483524,7.5503907,71,58,0
7.618888,7.700855,66,58,0
7.7763333,7.9056435,74,70,0
7.9056435,8.034954,71,70,0
7.7763333,8.293574,79,91,0
8.293574,8.409256,69,52,0
8.409256,8.467172,71,56,0
8.525086,8.583001,73,60,0
8.640916,8.698832,74,64,0
8.756746,8.814661,78,77,0
8.872577,8.930491,76,66,0
8.988406,9.046321,74,65,0
9.104237,9.162151,72,63,0
9.219121,9.276229,71,62,0
9.334295,9.393274,69,61,0
9.453275,9.514335,67,59,0
9.576405,9.646172,66,58,0
9.712604,9.837604,64,68,0
9.837604,9.962604,59,69,0
9.712604,10.212604,67,88,0
10.212604,10.32926,66,60,0
10.32926,10.387626,67,58,0
10.4459915,10.504585,69,62,0
10.563179,10.621773,71,65,0
10.680443,10.73919,74,76,0
10.797708,10.855923,72,66,0
10.913913,10.971604,71,65,0
11.029003,11.086255,69,63,0
11.144171,11.202765,67,61,0
11.262054,11.322055,66,60,0
11.382785,11.444261,64,58,0
11.506502,11.569528,63,56,0
11.633359,11.7595005,60,56,0
11.7595005,11.886083,55,54,0
11.633359,12.139247,64,56,0
12.265829,12.392412,64,52,0
12.139247,12.392412,62,51,0
12.392412,12.518994,65,53,0
12.518994,12.6455765,67,55,0
12.392412,12.6455765,59,53,0
12.6455765,12.772159,60,56,0
12.772159,12.898741,55,53,0
12.6455765,13.151905,64,56,0
13.2763,13.400098,67,57,0
13.151905,13.400098,65,54,0
13.400098,13.523301,69,60,0
13.523301,13.645918,71,63,0
13.400098,13.645918,62,60,0
13.645918,13.767869,67,66,0
13.767869,13.88982,64,56,0
13.645918,14.145104,72,66,0
14.262292,14.379479,64,56,0
14.145104,15.564598,76,77,0
14.145104,15.564598,70,77,0
15.565684,15.696119,66,70,0
15.695032,15.825467,62,61,0
15.565684,16.087294,71,93,0
16.086336,16.201134,73,57,0
16.201134,16.25824,74,57,0
16.31513,16.371876,76,57,0
16.42841,16.48473,78,57,0
16.54084,16.597874,81,78,0
16.65491,16.711943,79,57,0
16.768976,16.826012,78,57,0
16.883045,16.940079,76,57,0
16.997114,17.055708,79,76,0
17.114302,17.172895,78,57,0
17.23149,17.290083,76,57,0
17.348677,17.408916,74,57,0
17.469158,17.599592,71,70,0
17.599592,17.730028,67,61,0
17.469158,17.989319,76,93,0
17.989319,18.102528,78,57,0
