start_time,end_time,note_value,velocity,instrument_program_number
1.0797575,1.3308035,65,51,0
1.3308035,2.040662,67,55,0
2.040662,2.500432,69,56,0
2.500432,2.740432,70,55,0
2.740432,3.4197545,74,61,0
3.4197545,3.8760285,72,55,0
3.8760285,4.111785,65,52,0
4.111785,4.7911663,71,55,0
4.7911663,5.2390676,72,60,0
5.2390676,5.4762034,74,58,0
5.4762034,6.147845,77,66,0
6.147845,6.595606,75,64,0
6.595606,6.8340797,75,71,0
6.8340797,7.5338235,76,77,0
7.5338235,7.9918385,82,72,0
7.9918385,8.236736,81,67,0
8.236736,8.953421,69,66,0
8.953421,9.425861,82,69,0
9.425861,9.677962,81,61,0
9.677962,10.414127,69,56,0
10.414127,10.897999,82,58,0
10.897999,11.147999,81,53,0
11.397999,11.656619,65,35,0
11.397999,11.656619,62,35,0
11.656619,11.915239,65,31,0
11.656619,11.915239,62,31,0
11.915239,12.173861,62,31,0
11.915239,12.173861,65,31,0
12.173861,12.430118,65,31,0
12.173861,12.430118,62,31,0
11.147999,12.430118,69,50,0
12.430118,12.677031,53,52,0
12.677031,13.39518,55,55,0
13.39518,13.866737,57,55,0
13.866737,14.1096525,60,52,0
14.1096525,14.797305,55,59,0
14.797305,15.25574,53,55,0
15.25574,15.4938345,55,57,0
15.4938345,16.17771,57,63,0
16.17771,16.636145,59,66,0
16.636145,16.87328,62,61,0
16.87328,17.552525,56,72,0
17.552525,18.005356,55,70,0
18.005356,18.256401,60,72,0
18.954672,19.421598,72,70,0
19.421598,19.668512,70,67,0
18.256401,19.668512,61,75,0
20.381367,20.855675,69,70,0
20.855675,21.104637,67,63,0
19.668512,21.104637,62,74,0
21.104637,21.584639,56,58,0
21.584639,21.838875,57,53,0
21.838875,22.311316,62,58,0
22.311316,22.556915,57,54,0
22.556915,23.31099,57,50,0
23.31099,23.819466,58,46,0
23.819466,24.063368,57,52,0
24.063368,24.77264,55,55,0
24.77264,25.237614,57,56,0
25.237614,25.481516,60,53,0
25.481516,26.163334,55,59,0
26.163334,26.617878,53,55,0
26.617878,26.853636,55,57,0
26.853636,27.542591,57,60,0
27.542591,27.995422,59,66,0
27.995422,28.232557,62,62,0
28.232557,28.923962,56,72,0
28.923962,29.384897,55,70,0
29.384897,29.641308,60,72,0
30.361517,30.837708,72,72,0
30.837708,31.085642,70,67,0
29.641308,31.085642,61,77,0
31.80298,32.277287,69,70,0
32.277287,32.52939,67,58,0
31.085642,32.52939,62,74,0
32.52939,33.009388,56,54,0
33.009388,33.263626,57,50,0
33.263626,33.74946,62,56,0
33.74946,33.99739,57,53,0
33.99739,34.765606,60,50,0
34.765606,35.296577,58,46,0
35.573154,36.292522,62,55,0
36.524345,36.75617,61,36,0
36.524345,36.75617,57,36,0
36.30315,36.76697,65,64,0
36.75617,36.991104,57,34,0
36.75617,36.991104,61,34,0
36.75617,36.991104,64,58,0
36.991104,37.10637,61,51,0
37.10637,37.22101,62,53,0
37.22101,37.33502,64,55,0
37.33502,37.448414,65,58,0
37.448414,37.561203,68,60,0
37.561203,37.673386,69,63,0
37.673386,37.78497,73,66,0
37.78497,37.89596,74,68,0
37.89596,38.006367,77,74,0
38.37188,39.07143,62,56,0
39.303253,39.535072,61,36,0
39.303253,39.535072,57,36,0
39.07143,39.535072,65,64,0
39.535072,39.77001,64,58,0
39.535072,39.77001,61,34,0
39.535072,39.77001,57,34,0
39.77001,39.885277,61,51,0
39.885277,39.999916,62,53,0
39.999916,40.113922,64,55,0
40.113922,40.22732,65,58,0
40.22732,40.340107,68,60,0
40.340107,40.45229,69,63,0
40.45229,40.5638,73,66,0
40.5638,40.676907,74,68,0
40.676907,40.78731,81,73,0
41.147137,41.8398,62,57,0
42.069706,42.299606,57,36,0
42.069706,42.299606,61,36,0
41.8398,42.299606,65,64,0
42.299606,42.534546,61,34,0
42.299606,42.534546,57,34,0
42.299606,42.534546,64,58,0
42.534546,42.64981,61,51,0
42.64981,42.76445,62,53,0
42.76445,42.87772,64,55,0
42.87772,42.99015,65,58,0
42.99015,43.101883,68,60,0
43.101883,43.212788,69,63,0
43.212788,43.323082,73,66,0
43.323082,43.433376,74,68,0
43.433376,43.5434,77,74,0
43.903812,44.61008,62,58,0
44.8419,45.073723,57,36,0
44.8419,45.073723,61,36,0
44.61008,45.073723,65,63,0
45.073723,45.30866,61,34,0
45.073723,45.30866,57,34,0
45.073723,45.30866,64,58,0
45.30866,45.423923,61,51,0
45.423923,45.538567,62,53,0
45.538567,45.652573,64,55,0
45.652573,45.76597,65,58,0
45.76597,45.878757,68,60,0
45.878757,45.99094,69,63,0
45.99094,46.10245,73,66,0
46.10245,46.215553,74,68,0
46.215553,46.325962,81,74,0
46.68139,47.39517,86,85,0
47.39517,48.102448,74,72,0
48.102448,48.451607,60,57,0
48.451607,48.566402,62,54,0
48.566402,48.680042,63,57,0
48.680042,48.7924,64,59,0
49.014694,49.125805,60,46,0
49.014694,49.125805,57,46,0
48.7924,49.236916,67,62,0
49.236916,49.362175,57,42,0
49.236916,49.362175,60,42,0
49.236916,49.48744,65,59,0
49.48744,50.203217,82,74,0
50.203217,50.910496,70,67,0
50.910496,51.259655,57,57,0
51.259655,51.374454,58,49,0
51.374454,51.48862,59,52,0
51.48862,51.602016,61,55,0
51.827293,51.93993,53,46,0
51.602016,52.052567,64,58,0
52.052567,52.17783,53,42,0
52.052567,52.30309,62,56,0
52.538383,52.779346,62,41,0
52.538383,52.779346,58,36,0
52.538383,52.779346,67,41,0
52.779346,53.02626,62,35,0
52.779346,53.02626,58,30,0
52.779346,53.02626,67,35,0
53.02626,53.50057,81,70,0
53.50057,53.743484,69,59,0
53.979706,54.219704,67,41,0
53.979706,54.219704,58,36,0
53.979706,54.219704,62,41,0
54.219704,54.464603,67,35,0
54.219704,54.464603,58,30,0
54.219704,54.464603,62,35,0
54.464603,54.93891,81,69,0
54.93891,55.184814,69,59,0
55.184814,55.555183,64,50,0
55.555183,55.674706,63,45,0
55.674706,55.794228,64,48,0
55.794228,55.91375,65,51,0
55.91375,56.40962,69,54,0
56.40962,56.69506,67,52,0
56.95147,57.468174,55,36,0
56.95147,57.468174,58,39,0
56.95147,57.468174,62,39,0
57.748547,58.38395,61,36,0
57.748547,58.38395,55,32,0
57.748547,58.38395,52,32,0
58.38395,59.126415,62,55,0
59.362637,59.598858,57,36,0
59.362637,59.598858,61,36,0
59.126415,59.598858,65,64,0
59.598858,59.83733,61,34,0
59.598858,59.83733,57,34,0
59.598858,59.83733,64,58,0
59.83733,59.952595,61,51,0
59.952595,60.067234,62,53,0
60.067234,60.181244,64,55,0
60.181244,60.29464,65,58,0
