start_time,end_time,note_value,velocity,instrument_program_number
0.645404,0.7946575,71,49,0
0.645404,0.7946575,66,45,0
0.7946575,0.943911,65,46,0
0.943911,1.243163,71,49,0
0.943911,1.243163,66,45,0
1.243163,1.395819,70,49,0
1.243163,1.395819,64,45,0
1.547908,1.697534,67,49,0
1.547908,1.697534,62,45,0
1.697534,1.8471599,61,45,0
1.8471599,2.147912,62,45,0
1.8471599,2.147912,67,49,0
2.147912,2.3013644,66,47,0
2.147912,2.3013644,61,44,0
2.4548168,2.6044428,66,49,0
2.4548168,2.6044428,60,45,0
2.6044428,2.7540689,59,46,0
2.7540689,3.0555768,66,49,0
2.7540689,3.0555768,60,45,0
3.0555768,3.2054944,59,43,0
3.0555768,3.2054944,64,46,0
3.355412,3.506492,58,45,0
3.355412,3.506492,64,49,0
3.657572,3.808652,62,52,0
3.657572,3.808652,58,47,0
3.9597318,4.1108117,61,50,0
3.9597318,4.1108117,58,45,0
4.1108117,4.2626724,59,47,0
4.7179275,4.7934675,71,47,0
4.7179275,4.7934675,74,47,0
4.7179275,4.7934675,62,47,0
4.8690076,4.9445477,64,49,0
4.8690076,4.9445477,71,49,0
4.8690076,4.9445477,74,49,0
5.0200872,5.096018,65,46,0
5.0200872,5.096018,71,46,0
5.0200872,5.096018,74,46,0
5.625188,5.701118,59,45,0
5.625188,5.701118,66,45,0
5.625188,5.701118,56,45,0
5.7770486,5.8529787,64,46,0
5.7770486,5.8529787,58,46,0
5.7770486,5.8529787,61,46,0
5.928909,6.005036,62,46,0
5.928909,6.005036,59,46,0
6.532858,6.608398,62,47,0
6.532858,6.608398,71,47,0
6.532858,6.608398,74,47,0
6.683938,6.759478,71,49,0
6.683938,6.759478,64,49,0
6.683938,6.759478,74,49,0
6.8350177,6.911346,74,45,0
6.8350177,6.911346,71,45,0
6.8350177,6.911346,65,45,0
7.440914,7.5168443,56,47,0
7.440914,7.5168443,59,47,0
7.440914,7.5168443,66,47,0
7.5927744,7.6687045,58,46,0
7.5927744,7.6687045,61,46,0
7.5927744,7.6687045,64,46,0
7.744635,7.8691163,62,46,0
7.744635,7.8691163,59,46,0
7.9935975,8.142851,71,49,0
7.9935975,8.142851,66,45,0
8.142851,8.292105,65,46,0
8.292105,8.591356,71,49,0
8.292105,8.591356,66,45,0
8.591356,8.744013,64,45,0
8.591356,8.744013,70,49,0
8.896668,9.045922,67,49,0
8.896668,9.045922,62,45,0
9.045922,9.195175,61,45,0
9.195175,9.495175,67,49,0
9.195175,9.495175,62,45,0
9.495175,9.648628,66,47,0
9.495175,9.648628,61,44,0
9.80208,9.951707,60,45,0
9.80208,9.951707,66,49,0
9.951707,10.101333,59,46,0
10.101333,10.402841,60,45,0
10.101333,10.402841,66,49,0
10.402841,10.552758,64,46,0
10.402841,10.552758,59,43,0
10.702676,10.853755,64,49,0
10.702676,10.853755,58,45,0
11.004835,11.155915,62,52,0
11.004835,11.155915,58,47,0
11.306995,11.458076,58,45,0
11.306995,11.458076,61,50,0
11.458076,11.609936,59,47,0
12.065191,12.140731,74,47,0
12.065191,12.140731,71,47,0
12.065191,12.140731,62,47,0
12.21627,12.291811,64,49,0
12.21627,12.291811,71,49,0
12.21627,12.291811,74,49,0
12.367351,12.443281,65,46,0
12.367351,12.443281,71,46,0
12.367351,12.443281,74,46,0
12.972451,13.048382,56,45,0
12.972451,13.048382,59,45,0
12.972451,13.048382,66,45,0
13.124311,13.200242,58,44,0
13.124311,13.200242,61,44,0
13.124311,13.200242,64,44,0
13.276173,13.352299,62,46,0
13.276173,13.352299,59,46,0
13.880121,13.955662,74,50,0
13.880121,13.955662,62,50,0
13.880121,13.955662,71,50,0
14.031201,14.106741,74,53,0
14.031201,14.106741,71,53,0
14.031201,14.106741,64,53,0
14.1822815,14.487191,74,58,0
14.1822815,14.487191,71,58,0
14.1822815,14.487191,65,58,0
14.487191,14.792498,73,62,0
14.487191,14.792498,71,62,0
14.487191,14.792498,65,62,0
14.792498,15.097836,77,68,0
14.792498,15.097836,73,68,0
14.792498,15.097836,71,68,0
15.097836,15.285336,70,69,0
15.097836,15.285336,73,69,0
15.097836,15.285336,78,69,0
15.347836,15.496719,78,45,0
15.347836,15.496719,83,49,0
15.496719,15.645602,77,46,0
15.645602,15.944855,83,49,0
15.645602,15.944855,78,45,0
15.944855,16.097511,82,49,0
15.944855,16.097511,76,45,0
16.250166,16.39942,79,49,0
16.250166,16.39942,74,45,0
16.39942,16.548674,73,45,0
16.548674,16.849426,79,49,0
16.548674,16.849426,74,45,0
16.849426,17.002878,78,47,0
16.849426,17.002878,73,44,0
17.162878,17.310297,78,69,0
17.162878,17.310297,72,62,0
17.310297,17.45918,71,64,0
17.45918,17.611042,78,69,0
17.45918,17.611042,72,62,0
17.611042,17.758461,66,67,0
17.611042,17.758461,72,67,0
17.758461,17.907345,65,60,0
17.907345,18.059599,72,64,0
