start_time,end_time,note_value,velocity,instrument_program_number
0.603366,0.905938,63,39,0
0.304383,0.905938,68,59,0
1.204921,1.507554,68,31,0
1.204921,1.507554,63,28,0
0.905938,1.507554,70,57,0
1.507554,1.804319,72,57,0
2.404679,2.708307,67,38,0
2.404679,2.708307,63,34,0
2.105963,2.708307,73,63,0
3.011935,3.315563,63,30,0
3.011935,3.315563,67,35,0
2.708307,3.315563,72,62,0
3.315563,3.619191,70,51,0
4.231581,4.542397,63,38,0
4.231581,4.542397,68,42,0
3.928948,4.542397,72,63,0
4.846025,5.148658,68,41,0
4.846025,5.148658,63,37,0
4.542397,5.148658,73,68,0
5.148658,5.445423,75,71,0
5.445423,5.6677656,77,73,0
5.777095,6.001775,79,74,0
5.755229,6.001775,74,56,0
5.733363,6.001775,68,51,0
6.1111045,6.434554,80,77,0
6.0892386,6.434554,74,56,0
6.067373,6.434554,68,51,0
6.745435,7.0563164,63,38,0
6.745435,7.0563164,68,38,0
6.745435,7.0563164,72,44,0
7.0563164,7.3681993,63,38,0
6.434554,7.3681993,75,81,0
7.0563164,7.3681993,72,43,0
7.0563164,7.3681993,68,38,0
7.6738544,7.8201957,78,59,0
7.8201957,7.9665375,77,56,0
7.9665375,8.121945,75,59,0
8.121945,8.277353,78,56,0
8.277353,8.734324,77,62,0
8.734324,8.885641,73,59,0
8.885641,9.041049,70,55,0
9.041049,9.196457,65,50,0
9.502112,9.648454,76,59,0
9.648454,9.794795,75,56,0
9.794795,9.950203,73,59,0
9.950203,10.105612,76,56,0
10.105612,10.562583,75,62,0
10.562583,10.7139,72,59,0
10.7139,10.8693075,68,57,0
10.8693075,11.024715,63,52,0
11.334473,11.637105,63,39,0
11.334473,11.637105,60,35,0
11.637105,11.947922,63,39,0
11.637105,11.947922,60,35,0
11.334473,11.947922,68,59,0
12.25155,12.554182,65,36,0
12.25155,12.554182,60,31,0
11.947922,12.554182,67,63,0
12.554182,12.850947,68,59,0
12.554182,12.850947,65,36,0
12.554182,12.850947,60,31,0
12.850947,13.307919,70,68,0
13.307919,13.459235,71,61,0
13.156602,13.459235,68,36,0
13.156602,13.459235,62,31,0
13.459235,13.614643,70,59,0
13.614643,13.770051,71,52,0
13.459235,13.770051,68,36,0
13.459235,13.770051,62,31,0
14.081739,14.384373,63,40,0
14.081739,14.384373,61,36,0
14.384373,14.699201,63,39,0
14.384373,14.699201,61,35,0
13.770051,14.699201,67,59,0
15.3079405,15.611415,63,39,0
15.008957,15.611415,68,59,0
15.915043,16.217676,68,31,0
15.915043,16.217676,63,28,0
15.611415,16.217676,70,58,0
