start_time,end_time,note_value,velocity,instrument_program_number
0.0009541979,0.2290075,74,79,0
0.0009541979,0.2290075,78,79,0
0.2290075,0.458015,69,74,0
0.0009541979,0.458015,81,88,0
0.458015,0.6870225,74,75,0
0.458015,0.6870225,70,75,0
0.6870225,0.91603,64,69,0
0.458015,0.91603,76,84,0
0.91603,1.137432,78,79,0
0.91603,1.137432,74,79,0
1.137432,1.358834,69,75,0
0.91603,1.358834,81,88,0
1.358834,1.580236,74,75,0
1.358834,1.580236,70,75,0
1.580236,1.801638,64,70,0
1.358834,1.801638,76,84,0
1.801638,1.8544549,74,72,0
1.9072717,1.9600886,76,67,0
2.0129056,2.0657225,74,71,0
2.1185393,2.1715426,76,67,0
2.2244217,2.3311834,78,72,0
2.437945,2.5447063,78,68,0
2.6514678,2.8657544,76,73,0
2.8657544,3.078899,79,69,0
2.6514678,3.078899,74,66,0
2.6514678,3.078899,67,66,0
3.078899,3.2916648,73,64,0
3.2916648,3.5260398,69,68,0
3.078899,3.5260398,76,72,0
3.5260398,3.7533123,78,79,0
3.5260398,3.7533123,74,79,0
3.7533123,3.9805849,69,75,0
3.5260398,3.9805849,81,88,0
3.9805849,4.207857,74,75,0
3.9805849,4.207857,70,75,0
4.207857,4.4351296,64,73,0
3.9805849,4.4351296,76,84,0
4.4351296,4.6533117,78,79,0
4.4351296,4.6533117,74,79,0
4.6533117,4.871494,69,75,0
4.4351296,4.871494,81,88,0
4.871494,5.089676,74,75,0
4.871494,5.089676,70,75,0
5.089676,5.307858,64,72,0
4.871494,5.307858,76,84,0
5.307858,5.361429,74,77,0
5.4150004,5.468572,76,73,0
5.5221434,5.5757146,74,78,0
5.6292863,5.6828575,76,73,0
5.7364287,5.8435717,78,80,0
5.950714,6.057857,78,72,0
6.165,6.218571,76,80,0
6.165,6.218571,74,80,0
6.2721424,6.3255234,78,81,0
6.378904,6.4320955,79,83,0
6.485287,6.5382905,81,85,0
6.5912943,6.8143425,82,86,0
7.141197,7.2450037,63,42,0
7.141197,7.2450037,61,42,0
7.355705,7.4664054,63,42,0
7.355705,7.4664054,61,42,0
7.683797,7.9011884,63,42,0
7.683797,7.9011884,72,42,0
7.4664054,7.9011884,60,47,0
8.005718,8.110248,65,46,0
8.005718,8.110248,63,46,0
8.220948,8.33165,65,46,0
8.220948,8.33165,63,46,0
8.549041,8.766433,65,41,0
8.549041,8.766433,74,47,0
8.33165,8.766433,62,52,0
8.984614,9.206017,65,38,0
8.766433,9.206017,62,49,0
8.984614,9.206017,67,38,0
8.984614,9.206017,74,41,0
9.422623,9.642403,67,38,0
9.422623,9.642403,75,43,0
9.206017,9.642403,63,50,0
9.85901,10.077988,79,43,0
9.85901,10.077988,71,38,0
9.642403,10.077988,65,54,0
10.295379,10.512771,67,40,0
10.295379,10.512771,75,45,0
10.077988,10.512771,63,53,0
10.6173,10.721829,67,47,0
10.6173,10.721829,65,47,0
10.832531,10.943232,67,48,0
