start_time,end_time,note_value,velocity,instrument_program_number
0.0017720438,0.4252905,66,55,0
0.4252905,0.6676841,68,52,0
0.6302925,0.854642,69,48,0
0.854642,1.2799325,68,55,0
1.2799325,1.705223,71,45,0
0.854642,1.705223,59,30,0
0.854642,1.705223,64,36,0
2.1305134,2.555804,69,52,0
2.555804,2.9343832,71,62,0
2.555804,2.9343832,68,52,0
2.9687996,3.3675816,73,66,0
2.9687996,3.3675816,69,56,0
1.705223,3.4038346,64,55,0
3.4038346,4.2544155,76,59,0
3.4038346,4.2544155,71,49,0
4.2544155,5.1049967,69,49,0
4.2544155,5.1049967,73,57,0
3.4038346,5.1049967,64,46,0
5.1049967,5.521663,73,69,0
5.521663,5.763768,74,68,0
5.726665,5.949283,76,66,0
5.949283,6.3714614,78,66,0
5.949283,6.8098655,73,55,0
6.3714614,6.8098655,73,59,0
5.949283,6.8098655,66,46,0
6.8098655,7.6604466,74,57,0
6.8098655,7.6604466,66,35,0
6.8098655,7.6604466,71,42,0
7.6604466,8.095229,66,58,0
8.095229,8.339984,68,55,0
8.305019,8.522653,69,51,0
8.522653,8.945188,73,50,0
8.522653,9.392948,63,46,0
8.945188,9.818239,70,45,0
9.818239,10.298732,71,42,0
9.392948,10.298732,62,40,0
10.298732,10.724022,66,55,0
10.724022,10.966415,68,54,0
10.929024,11.153374,69,50,0
11.153374,11.578664,68,55,0
11.578664,12.003954,71,45,0
11.153374,12.003954,59,37,0
11.153374,12.003954,64,37,0
12.429245,12.854535,69,55,0
12.854535,13.235845,71,62,0
12.854535,13.235845,68,52,0
13.270509,13.6723795,73,67,0
13.270509,13.6723795,69,57,0
12.003954,13.708913,64,55,0
13.708913,14.559494,76,61,0
13.708913,14.559494,71,49,0
14.559494,15.410075,69,54,0
14.559494,15.410075,73,63,0
13.708913,15.410075,64,45,0
15.410075,15.823071,73,75,0
15.823071,16.060946,75,72,0
16.024412,16.243614,76,68,0
16.243614,16.66261,68,73,0
16.66261,17.094326,73,59,0
16.243614,17.094326,64,53,0
17.094326,17.964853,66,43,0
17.094326,17.964853,63,43,0
17.094326,17.964853,71,62,0
17.964853,18.383846,73,76,0
18.383846,18.623653,75,75,0
17.964853,18.809168,71,58,0
17.964853,18.809168,64,58,0
18.58655,18.809168,76,70,0
18.809168,19.228163,68,73,0
19.228163,19.669989,73,58,0
18.809168,19.669989,64,53,0
19.669989,20.547564,63,43,0
19.669989,20.547564,66,43,0
19.669989,20.547564,71,62,0
20.547564,20.963537,73,77,0
20.963537,21.210587,75,75,0
20.547564,21.4059,64,59,0
20.547564,21.4059,71,59,0
21.171524,21.4059,76,71,0
21.4059,21.837616,80,75,0
21.837616,22.269333,76,64,0
22.269333,22.691511,75,68,0
22.691511,23.14021,73,62,0
23.14021,24.018526,63,44,0
23.14021,24.018526,66,44,0
23.14021,24.018526,73,55,0
24.018526,24.459702,61,58,0
24.459702,24.912458,59,56,0
24.018526,24.932142,66,52,0
24.018526,24.932142,63,44,0
24.932142,25.949398,64,45,0
24.932142,25.949398,59,39,0
25.949398,26.370056,74,54,0
26.370056,26.610748,73,50,0
26.573357,26.797707,71,47,0
