start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.7567732,75,88,0
0.0,0.7567732,67,72,0
0.7567732,1.0038496,67,73,0
0.0,1.0038496,63,72,0
1.0038496,1.5082207,63,70,0
1.0038496,1.5082207,67,70,0
1.0038496,1.5082207,70,84,0
1.5082207,1.7552972,67,64,0
1.5082207,1.7552972,72,78,0
1.7552972,2.0128303,67,73,0
1.5082207,2.0128303,63,64,0
2.0128303,3.0267723,67,67,0
2.0128303,3.0267723,63,67,0
2.0128303,3.0267723,70,80,0
3.0267723,3.2687078,70,81,0
3.2687078,3.5144682,72,70,0
3.0267723,3.5144682,67,66,0
3.0267723,3.5144682,63,62,0
3.5144682,3.7564037,67,81,0
3.7564037,4.0059876,72,68,0
3.5144682,4.0059876,63,68,0
4.0059876,5.0147295,63,67,0
4.0059876,5.0147295,67,67,0
4.0059876,5.0147295,70,80,0
5.0147295,6.023472,70,81,0
5.0147295,6.023472,67,68,0
5.0147295,6.023472,63,68,0
6.023472,6.7800283,65,70,0
6.023472,6.7800283,77,84,0
6.7800283,7.0283523,67,64,0
6.7800283,7.0283523,79,77,0
7.0283523,7.532723,77,84,0
7.0283523,7.532723,65,70,0
6.023472,7.532723,70,70,0
7.532723,7.7785244,72,81,0
7.532723,7.7785244,60,68,0
7.7785244,8.033344,74,78,0
7.7785244,8.033344,62,66,0
7.532723,8.033344,68,68,0
8.033344,9.042087,67,70,0
8.033344,9.042087,63,70,0
8.033344,9.042087,75,84,0
9.042087,9.285989,75,80,0
9.042087,9.285989,63,67,0
9.285989,9.535948,74,69,0
9.285989,9.535948,62,58,0
9.042087,9.535948,67,67,0
9.535948,9.78274,60,63,0
9.535948,9.78274,72,75,0
9.78274,10.040272,62,53,0
9.78274,10.040272,74,64,0
9.535948,10.040272,68,63,0
10.040272,11.049014,58,65,0
10.040272,11.547871,67,65,0
10.040272,11.547871,70,77,0
10.040272,11.547871,63,65,0
11.547871,12.048852,65,59,0
11.049014,12.048852,58,72,0
11.547871,12.048852,70,71,0
11.547871,12.048852,68,59,0
12.048852,13.057593,58,60,0
12.048852,13.558575,67,62,0
12.048852,13.558575,63,60,0
12.048852,13.558575,70,73,0
13.558575,14.068505,70,71,0
13.057593,14.068505,58,72,0
13.558575,14.068505,65,59,0
13.558575,14.068505,68,59,0
14.068505,14.825279,75,88,0
14.068505,14.825279,67,73,0
14.825279,15.072355,67,73,0
14.068505,15.072355,63,72,0
15.072355,15.576726,63,70,0
15.072355,15.576726,67,70,0
15.072355,15.576726,70,84,0
15.576726,15.823803,67,64,0
15.576726,15.823803,72,78,0
15.823803,16.081335,67,73,0
15.576726,16.081335,63,64,0
16.081335,17.095278,63,67,0
16.081335,17.095278,67,67,0
16.081335,17.095278,70,80,0
17.095278,17.337214,70,81,0
